CED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
CED501,13469,760,337,207,11,14788,30688,543,295,14,34,31566,8419,805,883,0,8,10115,653,383,255,0,0,1289,115,116,72,0,3,298,3550,279,196,9,0,4042,593,43,40,58,7,733,53,10,5,0,0,78,13380,1641,1454,71,16,16556,401,292,26,10,0,729,2513,229,223,126,23,3116,60456,3462,2322,429,88,66760
CED502,13412,1008,65,92,8,14589,29370,1230,145,13,16,30783,6886,1794,369,18,12,9077,826,599,94,0,0,1518,91,225,93,0,0,413,3707,498,78,16,7,4308,494,118,21,94,3,725,76,35,6,0,0,123,12076,3277,655,126,24,16160,500,425,29,18,6,981,2656,532,81,128,20,3422,58024,6472,991,376,81,65938
CED503,17226,1290,334,546,33,19431,24487,591,174,39,19,25310,5448,1002,341,12,7,6811,354,421,35,0,5,817,188,201,69,0,4,464,3139,392,84,18,6,3643,312,113,14,101,10,548,62,27,6,7,0,95,9497,2162,547,135,32,12380,761,915,28,34,3,1739,2084,383,94,168,16,2745,54057,5340,1186,920,113,61609
CED504,18337,2245,102,3,9,20695,21877,4138,161,0,0,26181,5928,3141,221,0,12,9305,887,1725,128,0,0,2738,137,242,11,0,0,391,3500,1306,76,0,9,4901,602,193,23,0,3,823,86,56,3,0,0,148,11147,6668,461,3,26,18304,538,258,22,0,0,826,2131,955,52,47,23,3210,54035,14274,790,57,60,69220
CED505,17104,3829,2168,0,20,23114,14730,4375,1935,3,11,21043,4027,3809,5423,4,8,13272,326,838,520,0,0,1689,31,141,117,0,0,289,1762,1431,1521,3,6,4724,267,134,191,3,3,607,14,26,22,0,0,67,6428,6383,7796,16,22,20646,454,433,661,0,6,1558,881,638,866,20,16,2430,39598,15657,13417,41,72,68794
CED506,15609,692,104,6906,582,23886,16871,573,76,444,94,18063,5178,1457,704,57,43,7443,3927,1069,197,32,42,5266,1398,209,98,45,21,1773,3882,458,119,333,131,4920,5890,888,363,1921,369,9428,119,38,7,19,4,186,20392,4111,1485,2412,608,29014,2690,367,147,526,272,4002,6619,1259,430,2082,542,10936,62176,6995,2252,12370,2099,85894
CED507,17906,1101,124,481,39,19656,21843,708,80,51,29,22707,5573,1120,277,21,12,7006,802,810,50,0,4,1662,110,266,74,0,4,462,3940,486,86,41,21,4574,512,90,15,316,16,955,65,25,3,0,0,93,11002,2797,502,382,61,14743,902,464,50,64,19,1501,2483,490,90,442,41,3550,54146,5560,841,1413,194,62155
CED508,14558,2387,976,289,29,18239,23090,2759,1300,9,12,27170,5510,2181,2254,14,13,9979,751,1094,408,0,8,2257,83,182,99,0,0,369,2559,890,571,15,8,4050,275,98,60,94,15,531,38,27,14,0,0,75,9221,4468,3409,130,44,17264,409,299,79,11,3,813,1479,627,440,235,28,2800,48760,10541,6199,673,119,66286
CED509,15183,975,66,192,14,16433,30566,1020,118,15,23,31742,4678,1228,548,4,11,6469,470,511,66,0,4,1050,100,140,23,4,0,262,2605,438,61,13,12,3141,293,63,8,54,0,414,45,26,0,5,0,72,8188,2393,709,81,31,11404,503,115,27,7,4,657,1815,381,92,452,47,2785,56247,4881,1019,746,123,63019
CED510,19505,1836,297,165,3,21796,24657,1464,289,8,3,26430,4172,963,657,3,8,5805,123,220,103,0,0,443,28,69,18,0,0,106,2194,516,200,9,3,2927,141,27,23,37,3,226,30,19,4,0,0,53,6690,1805,1004,47,13,9557,363,306,82,4,4,765,984,259,167,134,28,1573,52201,5671,1830,364,50,60114
