CED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
CED501,971,1143,2114,480,384,862,8,4,12,0,0,3,88,55,138,27562,24896,52459,1763,1844,3609,393,14,407,179,10,188,137,37,176,1085,238,1319,372,370,736,33027,28994,62019,494,637,1136,0,0,5,0,0,0,447,424,867,65,102,168,27,14,49,1039,1179,2217,0,0,0,0,0,0,29,26,52,29,45,69,24,7,35,82,69,151,376,146,520,1501,1397,2894,220,328,552,38,15,53,12,5,19,276,345,620,1692,2887,4586,5316,5678,10992,195,144,342,42004,39445,81452
CED502,878,976,1856,444,414,861,12,6,21,3,0,3,193,112,308,31487,24785,56268,1767,2120,3882,496,22,514,170,13,189,158,24,185,755,187,949,254,269,520,36622,28924,65547,524,627,1148,0,0,0,0,0,0,423,355,773,61,86,152,36,18,54,1045,1085,2133,0,0,0,0,0,0,31,58,90,21,67,93,22,9,36,78,135,217,373,165,537,1491,1389,2876,197,301,502,19,15,30,15,6,21,233,320,549,1615,2372,3985,3852,4906,8757,220,145,362,44037,38050,82087
CED503,388,447,833,438,225,660,5,0,6,0,4,5,62,49,113,21343,20909,42255,1381,1494,2875,605,29,639,110,13,124,103,41,144,851,231,1084,412,393,798,25705,23825,49525,121,119,240,0,0,0,0,0,0,288,244,532,39,34,75,13,3,18,467,402,865,0,0,0,0,0,0,38,19,62,18,42,55,30,12,41,81,73,157,332,124,457,884,604,1481,109,123,228,15,10,27,18,3,12,137,141,275,1805,2995,4803,4905,4892,9799,205,167,374,33634,32620,66257
CED504,557,590,1147,979,1199,2178,11,5,19,4,0,4,222,166,392,31801,26065,57862,1681,2498,4175,524,13,533,229,16,245,263,41,306,652,177,829,197,238,436,37105,31016,68122,420,453,873,0,0,0,0,0,0,305,311,615,26,68,89,24,8,33,769,844,1610,0,0,0,0,0,4,104,131,230,60,106,169,29,32,63,195,269,463,326,178,503,1292,1289,2576,139,173,316,24,24,45,16,10,20,176,210,386,2185,2877,5065,3546,4965,8508,231,150,377,44531,40506,85030
CED505,1380,1194,2576,1816,1565,3377,3,0,5,0,0,0,173,184,358,25768,24294,50063,1353,2134,3486,145,0,151,293,29,326,1246,412,1655,527,161,686,1181,1258,2440,33886,31232,65120,647,597,1241,0,4,6,0,0,3,276,277,557,52,61,109,45,24,71,1029,961,1985,0,0,0,0,0,0,79,93,170,41,72,114,49,33,78,164,200,368,300,189,489,1490,1344,2839,122,122,244,35,21,56,11,10,25,175,155,328,4907,5443,10349,3647,5813,9461,161,130,295,44270,44111,88387
CED506,49,28,85,5872,1210,7088,20,3,27,0,7,5,135,79,216,33450,27083,60531,4415,3015,7434,1120,69,1188,400,109,511,581,408,982,3690,979,4666,3653,3675,7323,53385,36666,90046,22,10,31,0,0,0,0,0,0,38,48,85,0,3,10,0,0,0,58,63,121,0,0,0,0,0,0,93,49,135,53,26,79,293,63,352,438,128,571,1005,324,1330,1503,521,2019,25,18,47,245,49,291,97,26,124,374,92,462,2506,3451,5954,7850,7637,15483,637,427,1060,66250,48786,115034
CED507,21,14,30,600,136,733,6,5,7,0,0,3,61,54,117,24262,23801,48060,1935,1937,3868,392,18,409,129,17,142,392,136,529,572,162,730,749,752,1495,29119,27016,56136,7,0,6,0,0,0,0,0,0,12,11,22,0,0,6,0,0,0,19,15,29,0,0,0,0,0,0,227,58,284,23,19,36,36,3,42,284,81,367,356,159,519,654,258,913,5,3,9,34,4,40,15,3,19,59,12,72,2112,3087,5196,4674,5290,9966,232,180,417,36854,35842,72696
CED508,1180,1085,2259,687,708,1392,14,11,32,5,0,5,147,107,254,28420,26278,54698,1498,1966,3462,335,6,342,226,37,259,494,203,699,597,176,771,584,670,1252,34177,31248,65427,664,607,1275,0,0,0,0,0,0,465,449,910,64,94,163,68,30,99,1265,1187,2446,0,3,5,3,0,4,44,60,101,38,52,93,35,27,62,127,142,264,325,206,532,1714,1534,3250,198,210,415,17,18,37,24,3,24,239,232,473,2938,3993,6931,4140,5723,9859,157,120,280,43371,42847,86216
CED509,405,459,861,454,361,819,3,4,7,0,0,4,105,99,201,29736,26787,56519,1492,1978,3470,630,28,658,226,14,239,181,41,225,863,190,1051,425,430,851,34522,30389,64912,230,272,504,0,0,0,0,0,0,435,438,868,46,65,107,21,9,27,730,777,1508,0,0,0,0,0,0,46,45,89,27,44,69,35,20,55,104,108,210,328,200,524,1160,1085,2252,100,159,255,15,12,28,14,12,25,129,179,308,2440,3659,6097,4690,5595,10288,199,152,347,43143,41060,84202
CED510,1676,1522,3198,252,162,416,8,4,18,0,6,5,99,65,158,27064,24925,51993,1291,1679,2964,470,11,479,200,19,211,286,57,344,615,104,717,316,402,720,32276,28951,61220,768,519,1281,0,0,0,0,0,0,679,576,1246,108,105,206,78,17,92,1624,1205,2831,0,0,0,0,0,0,36,23,55,15,21,35,20,6,27,72,51,121,216,125,346,1913,1385,3294,237,220,457,3,9,12,17,0,17,258,230,483,3785,4642,8432,4228,5993,10219,114,103,217,42571,41304,83876
