CED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
CED501,65780,70240,136023,31771,17557,49324,7469,19231,26703,2770,2655,5424,3047,2881,5927,45056,42325,87380,17369,24718,42083,6.8,6.8,6.8,68.5,60.3,64.2,63.9,56.2,59.9,1391,1667,3055,594,1533,2127,4944,8738,13686,5323,7591,12914,19980,12245,32226,1203,1800,3005,927,1696,2618,22109,15743,37848,68329,72018,140345,11468,12594,24060,43887,45375,89257,30209,34019,64227
CED502,67377,70910,138283,32473,17457,49934,9283,18186,27469,2280,2410,4688,3182,3118,6298,47215,41165,88382,16700,26224,42926,6.7,7.6,7.1,70.1,58.1,63.9,65.4,53.7,59.4,2786,3040,5824,697,1370,2068,7520,10920,18441,5750,6955,12707,16126,9930,26058,1092,1555,2647,863,1492,2359,18079,12985,31060,72432,74389,146819,10441,10888,21327,46509,47196,93707,30445,32417,62865
CED503,58008,64600,122603,24382,13480,37865,6730,16879,23610,2522,2257,4782,2199,2081,4275,35828,34697,70531,19506,26952,46462,6.1,6,6.1,61.8,53.7,57.5,58,50.5,54,1134,1243,2376,538,1396,1936,4095,7335,11433,4342,6919,11258,18039,10308,28346,883,1485,2363,844,1684,2533,19769,13470,33242,59071,64153,123224,9765,11039,20805,38969,41276,80243,25806,29875,55680
CED504,70341,74093,144434,31480,18439,49920,10870,19627,30502,2172,2430,4612,3022,2711,5733,47551,43216,90763,19616,27642,47251,6.4,6.3,6.3,67.6,58.3,62.8,63.3,54.7,58.9,2864,2907,5773,856,1790,2640,9317,11950,21263,6087,7283,13368,15453,8479,23934,988,1320,2307,951,1771,2721,17393,11569,28959,72916,75369,148286,9595,9778,19376,50356,52092,102444,27346,28512,55858
CED505,66121,74273,140397,31289,19932,51227,11257,21750,33006,1726,2434,4158,1975,1834,3807,46243,45942,92189,17250,25303,42558,4.3,4,4.1,69.9,61.9,65.7,67,59.4,63,9480,8534,18010,2080,3855,5935,19885,23290,43177,5498,7415,12915,7392,4065,11455,471,663,1133,643,1428,2069,8500,6150,14651,64708,70068,134782,13020,14561,27587,39510,43250,82757,34489,37811,72300
CED506,119264,94300,213572,50174,25286,75460,9064,17846,26907,7007,5655,12666,2589,2011,4597,68835,50799,119633,26511,30728,57242,3.8,4,3.8,57.7,53.9,56,55.5,51.7,53.9,2396,2551,4951,1052,2337,3392,8263,12503,20763,7312,8589,15905,32359,11703,44061,1516,2261,3769,1376,1827,3204,35247,15784,51035,92693,80109,172798,19956,18603,38555,60014,50857,110865,46714,42419,89132
CED507,59062,64313,123376,26507,14309,40815,7813,19094,26903,2534,2442,4977,1630,1518,3147,38484,37359,75842,17171,23587,40761,4.2,4.1,4.2,65.2,58.1,61.5,62.4,55.7,58.9,1340,1540,2886,704,1760,2468,5520,9555,15079,4393,6649,11037,17601,10350,27950,987,1626,2608,838,1604,2439,19425,13580,33004,58398,62096,120491,10872,11923,22799,38588,40473,79064,26770,29931,56697
CED508,63584,69255,132844,32176,19499,51675,9020,20843,29859,2174,2513,4684,2290,2072,4366,45661,44923,90582,15052,21533,36586,5,4.6,4.8,71.8,64.9,68.2,68.2,61.9,64.9,4085,4419,8505,1274,2685,3960,10650,15403,26051,5665,7311,12976,14870,7677,22546,833,1154,1989,907,1461,2372,16611,10294,26903,63547,67365,130913,11118,12416,23536,40612,42967,83575,29539,32692,62232
CED509,65411,68983,134391,32102,18910,51012,8578,19598,28172,2465,2552,5019,2221,2087,4307,45361,43151,88513,17416,23074,40494,4.9,4.8,4.9,69.3,62.6,65.9,66,59.5,62.7,2248,2671,4918,960,1928,2894,7304,11156,18457,5826,7855,13680,17593,9882,27479,980,1405,2381,910,1723,2629,19482,13008,32489,68011,70848,138862,9993,11049,21044,45014,46550,91569,27837,30617,58450
CED510,62325,66868,129196,31247,17025,48270,9432,21873,31302,1895,2402,4301,2094,1721,3808,44667,43020,87684,16065,22184,38253,4.7,4,4.3,71.7,64.3,67.9,68.3,61.8,64.9,3731,3302,7037,1401,2698,4096,11088,14675,25762,6543,8052,14595,15655,7221,22877,634,973,1606,870,1824,2691,17156,10017,27177,66600,69683,136289,8889,9416,18306,47332,49447,96778,24352,25990,50345
