CED_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
CED501,2307,9134,7593,38827,432,58293,44,356,242,4133,63,4834,1856,77,123,181,11,2256,478,138,81,452,11,1163,1811,549,389,1093,23,3863,32773,8300,7063,30250,557,78943,4475,63,312,65,13,4931,547,73,70,173,3,860,1902,494,415,2427,33,5273,184,65,58,220,5,527,159,41,17,71,0,285,3012,144,67,113,9,3336,5707,1118,932,6594,96,14447,1508,809,362,2895,38,5614,302,8,24,12,0,346,80,25,21,32,6,161,91,21,17,50,0,174,142,63,32,129,3,365,3951,479,343,134,30,4927,1628,550,361,153,12,2705,566,108,83,266,5,1032,263,23,44,53,0,388,454,48,19,8,3,535,7486,1660,1286,6542,92,17067,571,60,10,62,4,707,2152,236,159,55,10,2611,610,79,37,170,6,905,172,17,11,19,0,217,351,14,48,11,0,422,1252,198,136,376,9,1965,13467,1504,1444,1694,136,18242,902,113,115,662,8500,10296,71594,15119,12408,66869,9757,175746
CED502,3536,7291,5754,28759,461,45803,67,345,223,4538,132,5304,10077,175,351,216,56,10881,273,81,73,246,4,670,2014,596,396,1094,23,4125,21486,6497,5217,22772,568,56541,6156,44,274,54,21,6548,537,41,47,172,8,800,1481,366,301,1666,35,3846,144,65,48,155,3,411,214,27,16,60,0,316,11318,204,138,142,24,11822,3772,925,694,4926,59,10371,1830,731,372,2400,38,5362,834,11,27,5,0,871,280,49,32,45,0,411,51,10,14,49,0,120,133,47,16,96,0,294,2060,261,184,65,38,2611,1016,405,204,124,20,1766,601,118,57,266,7,1049,207,16,27,61,0,304,331,31,0,10,0,375,4314,1276,937,4985,88,11591,208,25,16,34,0,286,1508,189,131,62,0,1890,595,41,33,121,0,790,931,22,15,15,6,994,717,27,48,7,0,799,606,145,112,247,3,1111,35041,1720,1460,1694,208,40119,1490,96,105,471,7740,9900,95746,12596,9883,51747,9187,179148
CED503,1656,7858,6516,40029,545,56598,38,274,197,3496,67,4070,1091,48,91,132,11,1374,253,118,49,319,7,749,2204,603,442,1136,14,4400,25768,7249,6237,32999,682,72936,1756,36,216,50,9,2067,519,66,54,187,6,833,1590,396,372,2486,36,4876,144,62,26,185,0,418,152,39,14,62,4,270,1598,97,74,109,0,1879,4627,1000,785,7346,104,13868,1805,716,412,3003,42,5981,118,11,24,3,0,153,39,12,3,30,0,78,30,11,4,35,3,85,120,47,22,91,0,279,1624,296,169,107,14,2210,1149,466,294,182,13,2091,519,95,79,317,8,1016,187,33,24,69,0,320,158,39,0,0,4,204,5419,1321,1158,7144,106,15145,100,26,12,40,0,175,1491,163,141,43,11,1853,317,41,26,144,3,533,113,19,13,25,0,172,227,5,33,6,4,264,994,168,130,319,8,1625,7893,1119,1018,1423,67,11517,531,94,69,679,6276,7656,50519,13003,10634,71154,7662,152970
CED504,3712,6401,4896,24672,357,40032,103,283,124,3176,49,3733,9253,170,327,200,34,9984,1242,237,131,648,21,2272,1134,317,217,589,9,2264,16519,5466,3986,20276,451,46702,2936,33,241,32,18,3258,712,59,50,131,8,963,1535,320,284,1520,28,3697,1322,332,152,729,21,2554,338,56,18,79,0,487,6144,188,135,164,21,6653,4608,1082,657,5458,77,11888,7579,1915,851,5186,91,15618,374,6,23,6,0,409,243,40,17,22,0,320,3074,358,217,572,30,4257,225,66,32,118,0,447,1246,249,136,81,17,1726,781,315,197,97,10,1405,1322,122,135,354,12,1951,414,19,54,47,0,539,125,24,10,0,7,166,3698,1115,800,4864,65,10536,1394,90,40,79,15,1624,1125,135,76,33,0,1369,689,59,47,171,8,970,412,46,31,28,0,515,8593,110,199,102,33,9040,498,111,57,258,0,929,33077,1693,1590,1573,299,38233,2142,91,76,353,6629,9287,98857,12634,9127,48542,7993,177147
CED505,1621,8566,7258,33546,281,51272,30,101,64,1143,13,1356,9922,324,606,383,48,11283,705,260,172,910,11,2063,1865,528,337,836,12,3583,21637,7771,5922,30829,384,66546,758,17,171,33,6,987,1261,158,143,309,5,1876,2545,533,430,2440,22,5971,792,320,164,935,6,2216,359,62,51,80,3,564,3695,213,195,178,13,4296,6567,1747,1273,10771,102,20454,3770,1277,619,3780,45,9494,420,19,36,20,4,496,140,17,27,67,0,240,293,95,70,229,3,689,100,49,14,107,0,272,389,62,62,21,3,528,805,349,243,113,9,1528,1214,224,188,411,7,2038,540,55,73,75,3,747,48,13,10,0,0,75,5653,1849,1350,9122,83,18059,369,42,37,52,5,501,1881,219,248,41,3,2396,689,46,61,174,4,961,443,64,39,52,3,603,732,20,79,37,5,874,938,178,135,500,3,1760,16518,1774,2089,1910,111,22404,531,75,31,349,5914,6906,69114,15418,12452,66635,6860,170484
CED506,1734,8481,7377,62213,853,80663,74,909,430,26866,564,28845,1787,108,126,422,23,2466,438,163,92,523,11,1225,2058,661,389,1179,34,4326,22546,7868,6662,50041,1032,88147,3043,49,320,102,18,3530,790,76,83,309,4,1262,2295,579,527,4603,63,8074,272,124,60,300,6,753,186,50,26,80,7,349,1678,101,64,123,7,1977,4980,1447,1109,13435,201,21169,2071,880,452,3709,73,7191,139,5,16,0,0,159,60,15,3,41,0,121,174,47,19,94,5,338,177,92,31,139,0,441,2314,260,221,130,40,2974,1470,488,350,174,24,2498,731,157,120,432,10,1446,220,25,39,107,3,397,222,18,14,16,0,274,5656,1709,1419,11910,146,20836,183,38,16,32,0,265,1304,143,122,68,6,1638,572,42,28,180,5,828,149,16,25,18,0,205,561,17,34,13,0,628,816,170,120,503,4,1615,10532,1416,1428,3718,211,17308,625,91,81,1129,40678,42608,54887,15189,12457,130751,43307,256586
CED507,1281,7238,5976,44616,528,59633,30,270,138,3630,65,4125,1175,50,94,135,10,1468,174,90,64,317,9,653,1631,481,340,971,23,3446,18260,7190,5740,39281,664,71132,1804,22,191,52,9,2081,563,72,82,267,4,987,1706,454,370,2772,41,5339,169,83,35,347,3,629,106,38,17,72,0,226,968,70,50,103,3,1190,3579,1205,903,9373,98,15163,2269,966,415,4777,57,8483,234,4,34,3,0,276,80,20,14,14,0,125,41,17,23,78,0,156,75,42,26,72,0,217,1186,240,163,72,17,1667,899,511,276,168,24,1881,587,159,135,376,10,1270,216,18,33,78,0,341,55,10,6,3,0,70,4064,1415,1162,8821,106,15568,73,10,11,28,0,122,1345,154,122,53,9,1675,308,45,41,216,3,610,91,19,14,13,0,139,236,12,21,9,3,279,618,164,99,423,8,1305,6120,988,998,1540,89,9734,345,97,88,722,7887,9133,39243,12816,10116,82471,9262,153914
CED508,2076,7879,6507,30761,329,47547,34,195,134,2457,52,2869,6299,164,313,232,32,7037,2345,557,245,1259,35,4441,1484,428,333,853,12,3108,20959,7013,5769,26461,420,60622,3251,32,199,46,5,3536,978,142,137,216,4,1482,2142,484,425,2099,35,5188,240,118,68,303,13,741,209,42,39,79,8,368,3446,187,111,114,9,3872,5319,1388,1146,8005,76,15926,6165,1882,931,5546,100,14632,561,4,24,9,0,603,155,28,19,36,0,245,99,27,13,91,4,231,185,59,31,128,5,409,1156,194,78,63,12,1501,973,388,246,138,9,1751,894,159,146,319,11,1532,406,31,50,65,3,554,151,23,13,0,0,185,5647,1647,1252,7172,66,15789,1072,61,50,61,5,1254,1664,208,178,86,5,2140,844,64,67,195,4,1179,296,39,20,17,0,377,438,25,54,10,4,524,874,190,131,387,3,1585,15654,1850,1918,2170,149,21740,713,82,48,409,6078,7329,69660,14673,11612,60047,7191,163184
CED509,2555,8365,6902,35806,431,54054,49,318,228,4256,64,4916,2363,86,198,196,23,2867,818,228,129,746,13,1944,1846,490,334,938,14,3620,24305,7574,6039,28610,553,67084,4096,64,248,57,24,4488,663,90,86,218,7,1066,1964,505,395,2248,41,5151,263,140,68,330,8,808,252,49,41,105,3,454,5916,233,123,171,23,6460,4950,1300,867,6697,89,13912,3093,1207,636,4000,51,8991,143,0,24,4,6,184,87,38,10,48,0,178,227,80,44,141,0,489,180,72,53,139,6,449,1964,221,181,67,10,2445,1259,514,310,172,14,2272,927,202,150,451,5,1737,278,29,44,80,4,434,190,31,7,5,0,245,5441,1534,1224,6824,87,15110,345,53,22,51,5,474,1549,168,159,57,8,1942,576,54,38,155,0,819,293,44,21,35,5,399,1135,36,41,44,3,1259,890,192,149,360,8,1586,18639,1667,1472,1898,177,23859,904,83,95,529,7827,9440,70568,14633,11450,64758,9148,170549
CED510,1874,8373,7007,31465,229,48953,36,123,80,1031,11,1277,3417,130,223,232,15,4016,563,217,101,582,3,1468,2196,475,298,799,12,3778,35931,7229,5851,24856,352,74219,738,41,142,42,8,968,894,109,80,220,8,1306,2727,461,406,1939,24,5552,588,202,101,450,6,1340,277,59,37,48,5,421,2345,169,124,117,10,2764,9294,1481,1051,7355,65,19249,3092,1088,567,3291,39,8069,192,8,18,0,0,223,99,18,14,47,0,174,443,104,54,272,3,875,181,54,48,116,0,396,708,137,85,38,8,981,1155,482,268,94,0,1996,1321,178,167,319,9,1999,375,19,56,58,4,512,59,7,6,0,0,76,8597,1543,1087,6356,60,17640,304,40,17,40,0,398,3506,235,201,39,6,3983,561,58,59,124,8,812,186,35,32,27,0,280,468,27,56,12,5,571,1657,178,134,364,6,2337,11051,1400,1566,1513,88,15620,595,83,65,414,3328,4482,74310,14004,11274,56250,4110,159945
