CED_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
CED501,2447,471,43,15,2529,357,0,5861,1733,789,116,47,2295,548,16,5544,3124,3077,629,308,3652,1278,22,12094,2908,3714,924,453,2854,1042,16,11917,2723,3361,769,432,2819,663,15,10778,2069,2780,767,395,2613,430,22,9071,975,1606,746,456,2039,308,25,6166,481,738,378,292,1321,243,11,3459,117,156,84,58,457,155,4,1023,16574,16689,4454,2463,20568,5031,137,65912,2349,639,78,39,2063,297,0,5462,1475,1243,350,279,1591,298,4,5231,1741,3863,1893,2449,2338,700,12,12998,1290,3975,2604,2771,1836,596,12,13080,1318,4035,2246,1629,1929,471,12,11648,973,3079,1798,1419,2014,333,34,9644,563,1492,1267,1320,1962,320,29,6954,314,650,575,591,1418,341,9,3895,146,194,89,88,675,259,5,1453,10160,19170,10898,10577,15827,3612,118,70360,4793,1105,122,54,4591,651,4,11321,3210,2027,464,324,3887,845,17,10770,4873,6939,2522,2751,5993,1981,38,25091,4196,7688,3532,3227,4690,1637,30,24993,4043,7393,3015,2061,4741,1136,31,22428
CED502,2057,508,46,19,2428,333,0,5388,1731,852,113,53,2566,368,13,5686,3247,3029,572,279,4601,844,25,12587,3407,4200,1118,571,4169,758,22,14242,2512,3049,759,396,3236,610,21,10576,1960,2338,646,318,2673,412,25,8370,1118,1660,746,430,2220,307,47,6520,434,679,345,250,1271,228,15,3221,118,118,54,54,448,154,0,952,16583,16426,4388,2360,23611,4014,163,67539,2008,732,86,27,2083,301,5,5244,1448,1248,339,246,1894,333,3,5501,2019,3475,1736,2279,3536,790,18,13853,1295,3938,2556,3032,2968,719,14,14524,1194,3310,1867,1524,2130,502,19,10552,964,2624,1545,1286,2218,369,66,9069,586,1487,1299,1304,2147,348,68,7239,335,639,529,522,1345,308,19,3695,135,188,92,70,684,274,6,1454,9974,17635,10058,10291,19006,3940,216,71125,4066,1240,135,42,4515,633,6,10629,3173,2093,454,298,4451,693,19,11185,5262,6504,2309,2564,8139,1635,39,26444,4705,8131,3672,3602,7138,1482,36,28768,3708,6355,2625,1923,5370,1114,38,21128
CED503,2049,387,44,19,1811,253,0,4568,1291,599,93,35,1563,203,0,3782,2115,2174,439,252,2223,467,8,7674,2006,2730,738,421,1902,544,14,8346,2271,2900,737,377,2070,536,11,8910,2129,2827,888,470,2387,419,12,9128,1414,2436,1196,717,2620,427,19,8822,718,1234,692,512,1790,362,0,5317,183,234,121,124,687,186,0,1530,14175,15519,4944,2919,17050,3400,70,58077,1986,562,74,28,1646,249,0,4545,1154,998,246,194,1084,194,3,3879,1204,2556,1349,2040,1511,443,19,9118,864,2932,1917,2350,1175,449,11,9699,1101,3689,1923,1547,1381,432,13,10083,1012,3224,2164,1689,1787,361,15,10258,603,2047,1976,2051,2376,390,24,9468,438,913,895,1006,1849,432,8,5552,219,251,157,147,963,360,4,2101,8593,17170,10705,11051,13772,3311,99,64699,4038,943,116,52,3457,503,4,9111,2451,1596,337,224,2647,400,7,7664,3316,4734,1786,2290,3731,908,25,16788,2874,5660,2655,2764,3077,991,28,18049,3374,6593,2659,1931,3450,966,27,18995
CED504,1944,352,42,15,2479,251,4,5092,1849,783,109,51,2716,373,5,5887,3562,3015,549,251,4806,761,15,12962,3071,3595,902,382,3598,686,9,12241,2618,3140,783,340,3199,534,10,10632,2387,2875,791,342,3197,409,22,10029,1542,2117,853,428,2687,315,20,7961,658,969,456,285,1726,258,7,4352,171,219,81,73,617,118,0,1284,17814,17063,4567,2170,25027,3708,97,70441,1937,546,79,35,2013,263,3,4872,1819,1095,218,151,1988,300,11,5583,2380,3736,1430,1599,3374,728,33,13276,1440,3482,2067,2322,2615,641,15,12583,1273,3543,2025,1504,2368,464,23,11194,1177,3213,1889,1546,2559,376,66,10834,711,2071,1732,1514,2606,386,37,9051,461,964,764,704,1771,334,5,5003,254,301,144,96,905,191,0,1893,11458,18948,10350,9476,20184,3687,193,74282,3889,901,120,51,4491,511,5,9961,3675,1879,329,203,4699,677,14,11467,5939,6754,1977,1850,8181,1490,50,26238,4513,7073,2968,2695,6215,1333,28,24825,3894,6680,2808,1844,5567,993,35,21823
CED505,2888,357,22,20,2274,157,16,5735,2208,861,75,32,1769,185,18,5148,3807,3002,419,140,2642,546,54,10607,3107,4160,1006,353,1835,472,25,10958,3238,4282,988,339,1488,349,55,10749,2662,3556,771,282,1439,307,43,9054,1633,2654,881,328,1602,337,36,7473,858,1332,616,283,1361,344,17,4804,280,327,158,76,787,244,4,1871,20673,20530,4938,1837,15200,2939,269,66394,2958,471,35,17,1849,190,18,5540,2438,1269,165,43,1326,225,18,5482,3272,4082,1030,973,1994,549,54,11955,1459,3851,2629,2632,1224,481,32,12296,1330,4478,2920,1859,914,340,32,11872,1255,3826,2221,1151,1068,304,42,9853,778,2476,2048,1262,1476,392,42,8486,478,1254,1182,896,1556,429,11,5815,333,466,281,223,1475,421,10,3222,14301,22175,12514,9060,12892,3336,250,74526,5844,833,59,37,4124,349,30,11279,4644,2123,238,75,3097,412,41,10636,7077,7086,1448,1110,4635,1101,106,22561,4562,8011,3635,2983,3061,946,57,23257,4566,8766,3911,2194,2403,695,85,22619
CED506,2008,539,88,44,2210,908,0,5801,1725,950,206,87,2244,1449,144,6813,4364,4234,885,509,5737,5432,282,21445,4284,5178,1458,812,4841,5613,156,22341,4069,4979,1245,681,5281,5218,91,21562,3933,4735,1349,721,5501,4096,67,20403,2566,3523,1416,1019,4417,1970,36,14948,793,1139,573,471,1895,769,10,5652,116,136,97,83,465,182,3,1092,23860,25413,7325,4427,32589,25644,791,120057,1966,731,123,60,1569,786,0,5235,1408,1358,394,273,1544,1054,101,6129,2685,4370,1876,2278,3010,2829,236,17283,1631,4487,2601,2814,1875,2237,48,15693,1786,4739,2490,1615,2251,2172,27,15080,1868,4754,2605,1980,3018,2050,34,16315,1099,2805,2279,2161,3083,1484,38,12945,387,812,679,792,1435,681,4,4795,128,190,95,99,578,235,0,1323,12954,24251,13131,12084,18364,13518,494,94799,3975,1269,210,103,3776,1695,3,11038,3131,2310,603,362,3788,2503,244,12940,7041,8608,2759,2788,8743,8260,512,38721,5915,9666,4061,3621,6714,7858,198,38037,5860,9720,3735,2296,7535,7384,116,36641
CED507,2200,361,29,18,1838,298,4,4747,1231,624,102,31,1219,241,12,3454,2365,2177,459,204,2101,755,66,8125,2359,3283,868,374,1751,727,35,9398,2580,3443,920,367,1818,687,22,9837,2379,3148,907,469,2039,610,11,9565,1500,2536,1250,679,2057,508,8,8532,648,1025,588,395,1311,318,6,4295,161,222,110,83,524,177,0,1273,15426,16820,5226,2623,14653,4315,166,59234,2208,542,63,22,1400,265,8,4503,914,893,210,152,824,189,6,3183,1267,2643,1245,1763,1361,553,44,8874,931,3352,2312,2521,1063,523,22,10723,1208,4144,2259,1543,1159,542,12,10862,1078,3527,2328,1619,1472,535,25,10589,583,2042,2074,1885,1860,499,11,8956,378,858,830,856,1411,381,6,4728,209,272,163,137,927,293,0,2009,8778,18275,11486,10509,11481,3779,130,64441,4415,903,87,38,3241,560,10,9256,2141,1514,305,188,2037,427,23,6637,3630,4816,1709,1965,3463,1313,105,17000,3292,6635,3184,2898,2813,1250,56,20127,3792,7583,3181,1913,2979,1224,29,20703
CED508,2096,301,19,11,1846,190,17,4485,1833,754,76,42,1919,245,19,4895,3615,3281,539,218,3053,612,60,11377,3178,4094,1116,439,2437,594,24,11893,2826,3723,891,386,2244,491,32,10590,2324,3007,734,296,2209,384,40,8998,1265,2092,779,360,1977,324,30,6830,540,839,409,237,1223,297,6,3540,152,218,71,72,518,184,3,1214,17837,18307,4631,2059,17430,3327,233,63815,2203,448,35,14,1525,174,0,4405,1899,1307,210,110,1358,227,22,5143,2638,4244,1438,1532,2082,565,53,12560,1451,4069,2538,2576,1526,479,17,12650,1388,4228,2304,1529,1421,410,23,11304,1299,3437,1813,1217,1696,344,35,9842,663,1946,1524,1231,1844,342,33,7578,352,851,596,551,1333,346,6,4036,207,218,142,102,920,339,0,1928,12108,20738,10601,8870,13707,3235,191,69450,4296,742,59,26,3373,370,20,8884,3735,2061,290,156,3279,475,42,10038,6256,7527,1977,1748,5136,1176,116,23936,4629,8170,3653,3016,3967,1074,43,24540,4215,7945,3198,1909,3664,907,55,21892
CED509,2516,451,31,25,2327,244,3,5612,1795,720,76,41,2024,394,0,5054,3034,2883,561,259,3155,1189,25,11102,2902,3884,960,463,2721,1099,14,12036,2744,3685,870,395,2351,771,13,10829,2172,2978,771,388,2308,523,26,9157,1217,2030,905,497,1883,320,16,6867,517,929,509,356,1205,242,10,3761,171,169,84,66,471,136,6,1095,17067,17729,4772,2493,18434,4914,108,65512,2401,583,61,34,1835,238,4,5157,1606,1165,245,167,1299,240,7,4732,1840,3568,1622,2130,2294,631,27,12112,1220,3918,2450,2656,1716,601,14,12579,1286,4244,2357,1632,1596,456,11,11572,1098,3225,1978,1393,1715,337,42,9795,542,1682,1623,1523,1683,310,30,7401,377,770,667,771,1253,290,11,4136,183,221,137,106,743,254,4,1646,10560,19373,11142,10414,14138,3353,146,69132,4915,1036,98,63,4162,479,13,10767,3407,1881,322,210,3324,630,11,9787,4874,6456,2177,2394,5443,1822,47,23212,4119,7802,3410,3117,4437,1699,30,24616,4027,7925,3228,2026,3938,1229,23,22396
CED510,2809,293,14,5,2208,132,0,5465,1990,632,52,32,1909,140,3,4761,2551,2093,388,148,2145,293,22,7637,2938,3828,974,346,1598,327,11,10025,3179,4350,965,299,1761,309,22,10880,2842,3711,879,359,2028,235,22,10086,1673,2979,1174,542,2054,198,15,8630,573,1026,528,265,1212,187,4,3791,153,207,106,70,517,103,4,1154,18711,19126,5078,2059,15430,1923,100,62425,2725,409,25,7,1746,124,4,5037,1883,847,104,56,1228,101,11,4243,1668,2695,1056,1087,1224,287,13,8036,1063,3799,2691,2394,930,275,12,11157,1320,4724,2858,1635,992,270,12,11813,1263,4288,2582,1515,1439,242,15,11346,613,2341,2337,1742,1897,223,18,9174,338,836,767,734,1319,255,14,4258,201,254,140,106,1027,184,0,1908,11090,20190,12556,9275,11797,1964,107,66972,5533,706,41,20,3950,256,3,10498,3878,1483,161,83,3134,247,17,8998,4222,4789,1444,1230,3366,581,34,15670,4007,7623,3663,2742,2525,599,25,21184,4497,9076,3825,1934,2750,579,31,22691
