CED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
CED501,125,6284,319,0,6726,888,12167,692,9,13752,264,5285,311,0,5861,159,4858,508,16,5544,254,10636,1181,22,12094,217,10698,984,16,11917,334,9824,607,15,10778,518,8121,410,22,9071,685,5185,270,25,6166,677,2583,190,11,3459,386,514,121,4,1023,4512,76151,5589,138,86391,63,5809,314,3,6185,421,11963,687,13,13076,177,5018,265,0,5462,114,4846,261,4,5231,230,12113,640,12,12998,292,12218,562,12,13080,433,10769,433,12,11648,581,8729,301,34,9644,711,5952,266,29,6954,843,2804,240,9,3895,661,591,196,5,1453,4516,80814,4163,134,89624,182,12089,633,3,12914,1303,24125,1381,21,26831,439,10308,572,4,11321,280,9705,767,17,10770,489,22746,1821,38,25091,507,22917,1542,30,24993,764,20592,1043,31,22428,1100,16848,707,52,18717,1392,11134,536,51,13116,1519,5382,430,18,7352,1052,1098,320,8,2474,9023,156967,9754,271,176018
CED502,110,6587,367,3,7065,783,12404,741,7,13940,240,4865,284,0,5388,191,5179,303,13,5686,235,11624,707,25,12587,268,13281,671,22,14242,340,9686,534,21,10576,469,7499,373,25,8370,673,5532,269,47,6520,638,2400,166,15,3221,332,477,143,0,952,4269,79534,4572,179,88549,81,6317,377,7,6774,354,11979,771,11,13113,143,4802,295,5,5244,125,5076,287,3,5501,267,12866,707,18,13853,328,13515,666,14,14524,424,9642,464,19,10552,628,8021,352,66,9069,759,6126,292,68,7239,859,2594,224,19,3695,647,582,217,6,1454,4618,81519,4644,231,91012,187,12899,741,7,13844,1133,24387,1510,24,27053,392,9659,577,6,10629,316,10256,596,19,11185,498,24488,1412,39,26444,593,26796,1341,36,28768,764,19330,997,38,21128,1095,15522,727,92,17435,1424,11655,559,115,13758,1493,5000,392,32,6918,975,1059,356,4,2401,8884,161048,9213,411,179558
CED503,81,4439,237,4,4761,616,9497,514,8,10635,229,4120,216,0,4568,144,3456,186,0,3782,204,7046,420,8,7674,206,7643,477,14,8346,291,8097,508,11,8910,483,8243,394,12,9128,742,7677,384,19,8822,870,4163,275,0,5317,540,857,128,0,1530,4406,65241,3739,78,73467,49,4421,174,6,4647,300,9498,544,4,10344,120,4202,217,0,4545,93,3611,170,3,3879,185,8516,404,19,9118,239,9033,420,11,9699,381,9277,415,13,10083,548,9334,356,15,10258,781,8357,314,24,9468,999,4221,331,8,5552,940,906,255,4,2101,4626,71367,3595,109,79691,129,8858,413,14,9408,919,18997,1058,7,20982,353,8326,435,4,9111,235,7065,357,7,7664,385,15557,825,25,16788,449,16674,899,28,18049,666,17381,918,27,18995,1029,17576,745,31,19380,1520,16037,695,36,18291,1873,8381,606,9,10862,1481,1759,389,4,3632,9036,136606,7330,186,153159
CED504,104,5266,296,4,5669,514,10086,653,5,11260,190,4689,207,4,5092,151,5406,322,5,5887,261,12055,630,15,12962,249,11367,611,9,12241,371,9783,462,10,10632,556,9081,369,22,10029,743,6918,285,20,7961,863,3297,187,7,4352,565,635,76,0,1284,4567,78594,4100,102,87365,50,5102,310,3,5467,258,9492,586,8,10339,124,4518,229,3,4872,93,5225,251,11,5583,198,12377,665,33,13276,258,11697,615,15,12583,432,10311,427,23,11194,701,9720,344,66,10834,900,7796,315,37,9051,1187,3571,235,5,5003,1082,692,117,0,1893,5294,80505,4092,203,90089,154,10372,606,6,11138,772,19581,1238,7,21595,314,9206,436,5,9961,246,10635,571,14,11467,465,24428,1301,50,26238,515,23062,1227,28,24825,803,20091,892,35,21823,1259,18806,708,89,20858,1639,14716,604,59,17019,2050,6872,418,13,9354,1647,1327,199,4,3175,9859,159094,8189,309,177460
CED505,49,4260,191,6,4498,309,10347,362,20,11036,107,5453,164,16,5735,78,4873,177,18,5148,138,9910,508,54,10607,140,10347,450,25,10958,166,10179,342,55,10749,242,8450,315,43,9054,400,6699,334,36,7473,635,3852,295,17,4804,700,980,180,4,1871,2969,75355,3315,292,81924,44,4017,152,11,4224,166,9905,286,22,10375,82,5252,193,18,5540,73,5187,209,18,5482,137,11250,516,54,11955,129,11659,479,32,12296,188,11322,340,32,11872,297,9209,303,42,9853,434,7646,367,42,8486,925,4536,337,11,5815,1564,1317,332,10,3222,4034,81294,3518,281,89130,93,8276,347,10,8722,474,20255,654,38,21418,191,10706,355,30,11279,155,10053,384,41,10636,278,21159,1024,106,22561,266,22006,926,57,23257,357,21499,680,85,22619,538,17665,619,86,18912,835,14348,703,77,15957,1560,8387,635,33,10616,2266,2297,512,14,5087,6998,156654,6828,571,171054
CED506,67,6171,816,4,7059,568,12605,1929,13,15113,175,4841,791,0,5801,122,5155,1393,144,6813,188,15654,5321,282,21445,192,16499,5493,156,22341,283,16099,5089,91,21562,523,15789,4021,67,20403,805,12267,1841,36,14948,705,4259,674,10,5652,358,585,144,3,1092,3975,109935,27509,812,142227,44,5765,767,0,6570,293,12132,1875,6,14306,88,4508,635,0,5235,76,4953,1002,101,6129,150,14137,2763,236,17283,219,13214,2217,48,15693,367,12554,2137,27,15080,570,13694,2015,34,16315,812,10717,1381,38,12945,756,3461,572,4,4795,609,542,176,0,1323,3977,95659,15542,504,115674,111,11933,1584,5,13630,852,24735,3804,28,29415,257,9347,1426,3,11038,194,10104,2394,244,12940,339,29789,8080,512,38721,411,29711,7714,198,38037,653,28645,7229,116,36641,1090,29481,6041,103,36723,1618,22985,3217,78,27896,1458,7723,1248,16,10444,969,1128,314,6,2415,7951,205591,43048,1319,257904
CED507,53,4229,237,3,4516,589,10084,568,14,11260,224,4273,250,4,4747,132,3086,227,12,3454,191,7167,699,66,8125,192,8470,703,35,9398,268,8870,687,22,9837,430,8563,557,11,9565,625,7435,459,8,8532,684,3342,254,6,4295,463,687,122,0,1273,3844,66217,4762,186,75007,50,4014,223,0,4290,275,9626,591,15,10500,115,4162,214,8,4503,89,2915,172,6,3183,182,8120,529,44,8874,205,9980,513,22,10723,283,10030,543,12,10862,442,9613,511,25,10589,624,7884,432,11,8956,826,3619,281,6,4728,994,829,180,0,2009,4104,70793,4192,142,79226,104,8240,460,6,8808,863,19713,1163,27,21765,340,8437,467,10,9256,220,5999,395,23,6637,374,15288,1232,105,17000,403,18450,1219,56,20127,551,18897,1232,29,20703,876,18177,1073,34,20154,1253,15323,895,23,17490,1505,6969,537,14,9021,1462,1520,305,0,3286,7950,137010,8957,328,154241
CED508,75,5182,200,12,5471,479,9200,410,7,10095,174,4112,177,17,4485,116,4516,243,19,4895,182,10588,542,60,11377,180,11150,538,24,11893,259,9822,476,32,10590,354,8222,379,40,8998,490,6013,296,30,6830,629,2666,233,6,3540,502,578,129,3,1214,3451,72057,3627,246,79387,50,4762,176,12,4996,265,9152,381,7,9800,141,4113,144,0,4405,98,4809,206,22,5143,212,11781,512,53,12560,203,11959,477,17,12650,310,10556,415,23,11304,415,9049,345,35,9842,553,6690,305,33,7578,913,2867,250,6,4036,1067,636,227,0,1928,4228,76373,3442,204,84247,122,9946,376,14,10470,745,18353,786,10,19894,314,8227,329,20,8884,217,9330,451,42,10038,393,22367,1061,116,23936,387,23105,1006,43,24540,567,20385,890,55,21892,772,17274,720,76,18836,1042,12707,599,60,14410,1547,5530,487,14,7578,1573,1215,353,4,3143,7675,148436,7071,455,163632
CED509,123,5753,244,0,6119,696,11354,524,11,12588,243,5144,217,3,5612,131,4551,364,0,5054,229,9760,1091,25,11102,198,10793,1032,14,12036,266,9786,757,13,10829,399,8254,484,26,9157,476,6069,297,16,6867,590,2969,191,10,3761,424,567,101,6,1095,3773,75012,5316,120,84222,63,5398,212,4,5676,320,11013,461,10,11803,149,4783,210,4,5157,94,4410,218,7,4732,193,11309,593,27,12112,226,11767,568,14,12579,306,10804,455,11,11572,430,9007,316,42,9795,533,6558,273,30,7401,887,3037,201,11,4136,801,663,186,4,1646,4004,78750,3689,162,86609,185,11155,451,10,11793,1013,22371,986,21,24391,395,9935,434,13,10767,227,8965,583,11,9787,423,21066,1680,47,23212,428,22558,1604,30,24616,569,20588,1214,23,22396,832,17265,805,60,18955,1018,12630,568,49,14265,1477,6009,395,19,7899,1223,1225,291,3,2747,7783,153766,9007,275,170828
CED510,53,4324,94,3,4479,479,10646,248,9,11383,158,5167,138,0,5465,119,4506,137,3,4761,138,7236,247,22,7637,121,9586,309,11,10025,165,10431,265,22,10880,237,9591,233,22,10086,422,7989,202,15,8630,520,3126,140,4,3791,456,603,97,4,1154,2865,73194,2112,112,78277,32,4030,100,3,4168,227,10251,277,5,10758,114,4817,103,4,5037,75,4051,104,11,4243,117,7644,263,13,8036,133,10741,272,12,11157,180,11348,271,12,11813,322,10769,238,15,11346,511,8420,219,18,9174,787,3289,175,14,4258,1005,771,133,0,1908,3497,76130,2143,116,81898,90,8348,195,7,8645,712,20893,525,14,22137,269,9985,242,3,10498,192,8556,237,17,8998,256,14879,506,34,15670,253,20328,583,25,21184,350,21780,539,31,22691,555,20362,474,39,21434,931,16416,423,31,17801,1304,6410,316,19,8057,1461,1374,222,3,3058,6368,149328,4253,225,160173
