CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
CED501,86391,89624,176018,6726,6185,12914,13752,13076,26831,5861,5462,11321,5544,5231,10770,12094,12998,25091,11917,13080,24993,10778,11648,22428,9071,9644,18717,6166,6954,13116,3459,3895,7352,1023,1453,2474,138,134,271,83767,88713,172477,2631,911,3537,2797,2440,5236,62,65,124,107,74,185,2965,2582,5547,55611,56484,112097,26619,29245,55857,71378,74355,145732,9411,11157,20566,71714,75185,146902,1849,1668,3517,12888,12261,25154,4076,4029,8104,1266,1573,2842,1939,4132,6069,30451,36180,66629,8255,8324,16582,17770,16678,34445,3563,3445,7010,1575,1676,3258,308,280,588
CED502,88549,91012,179558,7065,6774,13844,13940,13113,27053,5388,5244,10629,5686,5501,11185,12587,13853,26444,14242,14524,28768,10576,10552,21128,8370,9069,17435,6520,7239,13758,3221,3695,6918,952,1454,2401,179,231,411,88084,90339,178421,465,673,1138,2509,2705,5216,53,35,84,51,61,105,2609,2797,5402,49473,49476,98947,34730,37065,71788,56931,57642,114574,26820,28420,55237,71447,72220,143668,1864,1786,3652,12991,12204,25196,3904,4002,7903,1847,2070,3914,2605,4470,7074,35094,38880,73974,6899,6928,13832,14960,14599,29562,3452,3188,6636,2171,2307,4477,913,1040,1951
CED503,73467,79691,153159,4761,4647,9408,10635,10344,20982,4568,4545,9111,3782,3879,7664,7674,9118,16788,8346,9699,18049,8910,10083,18995,9128,10258,19380,8822,9468,18291,5317,5552,10862,1530,2101,3632,78,109,186,72382,78731,151111,1084,955,2044,2005,2069,4076,48,47,97,40,46,89,2093,2161,4260,51624,54739,106360,18530,21404,39931,64659,69783,134437,5107,6266,11375,64418,69725,134146,1305,1234,2541,10007,9699,19702,3144,3372,6517,864,1204,2064,1230,2980,4211,24327,30175,54508,7122,7847,14976,17184,17302,34483,3935,3572,7510,2022,1923,3946,217,175,385
CED504,87365,90089,177460,5669,5467,11138,11260,10339,21595,5092,4872,9961,5887,5583,11467,12962,13276,26238,12241,12583,24825,10632,11194,21823,10029,10834,20858,7961,9051,17019,4352,5003,9354,1284,1893,3175,102,203,309,87001,89513,176515,371,577,946,1714,1960,3673,41,40,78,48,64,109,1802,2064,3865,49059,49118,98174,34549,37136,71686,53360,53495,106855,29811,32180,61992,72368,74388,146751,1470,1473,2941,10441,9616,20052,3887,3889,7779,2207,2394,4602,2958,4562,7520,39394,41728,81120,6488,6255,12747,13344,13534,26878,3139,3203,6347,3047,3896,6950,1351,1723,3073
CED505,81924,89130,171054,4498,4224,8722,11036,10375,21418,5735,5540,11279,5148,5482,10636,10607,11955,22561,10958,12296,23257,10749,11872,22619,9054,9853,18912,7473,8486,15957,4804,5815,10616,1871,3222,5087,292,281,571,78232,84715,162949,3696,4411,8104,636,692,1331,23,18,38,13,17,28,667,731,1404,52112,55759,107872,26544,29848,56396,65564,69694,135258,12933,15665,28598,69680,75234,144916,1446,1371,2815,10582,10008,20590,5061,5040,10104,2984,3311,6292,3216,4674,7886,50081,55445,105523,3960,4121,8080,6235,7870,14108,1909,2004,3918,780,1114,1894,161,219,372
CED506,142227,115674,257904,7059,6570,13630,15113,14306,29415,5801,5235,11038,6813,6129,12940,21445,17283,38721,22341,15693,38037,21562,15080,36641,20403,16315,36723,14948,12945,27896,5652,4795,10444,1092,1323,2415,812,504,1319,104992,103723,208708,37235,11957,49193,15174,15032,30208,252,209,463,397,371,767,15825,15612,31439,90806,79382,170184,24212,20540,44749,101041,87543,188585,12893,12166,25062,105236,91854,197093,1550,1488,3043,12855,12143,25000,3001,2932,5930,635,861,1502,2125,3871,5991,43138,42545,85675,12935,10614,23550,28153,20561,48711,5777,4064,9840,3493,2423,5914,554,452,1003
CED507,75007,79226,154241,4516,4290,8808,11260,10500,21765,4747,4503,9256,3454,3183,6637,8125,8874,17000,9398,10723,20127,9837,10862,20703,9565,10589,20154,8532,8956,17490,4295,4728,9021,1273,2009,3286,186,142,328,72485,77174,149660,2528,2051,4580,2059,2100,4157,22,29,62,46,45,100,2138,2179,4311,56167,58509,114677,14563,16428,30989,64982,68965,133942,5242,6088,11328,65223,69254,134482,1213,1134,2348,10509,9788,20298,3225,3175,6403,542,717,1253,1178,3048,4229,25429,31937,57371,7126,7458,14585,16947,16037,32990,3535,2998,6535,1789,1697,3492,237,173,417
CED508,79387,84247,163632,5471,4996,10470,10095,9800,19894,4485,4405,8884,4895,5143,10038,11377,12560,23936,11893,12650,24540,10590,11304,21892,8998,9842,18836,6830,7578,14410,3540,4036,7578,1214,1928,3143,246,204,455,77938,82881,160817,1451,1372,2822,1429,1466,2899,32,17,54,29,39,68,1493,1522,3018,50798,53047,103843,25158,27908,53066,61397,64074,125470,14261,16630,30893,68023,72150,140171,1619,1461,3081,9586,9353,18940,3396,3567,6963,1811,2292,4098,2527,4360,6886,38072,43933,82010,5941,5636,11583,11539,11200,22741,2497,2444,4942,1814,2135,3948,356,452,808
CED509,84222,86609,170828,6119,5676,11793,12588,11803,24391,5612,5157,10767,5054,4732,9787,11102,12112,23212,12036,12579,24616,10829,11572,22396,9157,9795,18955,6867,7401,14265,3761,4136,7899,1095,1646,2747,120,162,275,81382,85140,166527,2840,1463,4306,3119,2693,5814,75,49,119,75,46,118,3262,2792,6055,55890,56000,111892,25242,27466,52713,65345,67467,132813,13624,15402,29022,71757,74403,146156,1748,1589,3335,11963,11233,23198,4116,3953,8076,1460,1710,3169,2013,3811,5824,34118,39635,73751,7046,6995,14041,15780,14036,29820,3138,2817,5959,1626,1742,3364,439,503,942
CED510,78277,81898,160173,4479,4168,8645,11383,10758,22137,5465,5037,10498,4761,4243,8998,7637,8036,15670,10025,11157,21184,10880,11813,22691,10086,11346,21434,8630,9174,17801,3791,4258,8057,1154,1908,3058,112,116,225,77493,80775,158263,786,1124,1915,638,612,1239,34,26,58,19,21,40,686,654,1341,48225,49193,97413,28237,30807,59049,68502,70370,138871,7787,9499,17286,70068,72863,142934,1525,1364,2889,11067,10427,21500,4405,4303,8708,2033,2071,4108,1890,3192,5083,39072,43036,82100,6112,6153,12264,11763,11929,23694,2371,2279,4653,902,1122,2020,137,177,316
