CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
CED501,0,4,0,5,4,0,8,106,0,0,0,0,0,5,20,16,5,8,0,0,0,0,0,54,3,7,79,70,139,47,213,283,6,7,16,3,0,0,14,888,14,108,118,16,11,10,25,50,0,3,3,0,0,0,10,378,0,0,0,0,11,24,79,21,4,0,10,0,3,0,0,149,0,0,0,5,13,10,120,41,6,5,3,4,3,0,12,223,0,0,0,14,4,0,8,3,0,0,5,0,0,0,7,49,0,4,30,52,83,59,164,100,29,13,22,15,15,0,19,607,0,0,0,0,0,3,48,34,14,9,4,3,9,0,0,118,22,234,72,52,54,26,82,22,6,6,0,4,0,0,9,584,3,8,139,477,982,1055,2544,2133,142,122,158,149,73,84,253,8325,0,0,4,8,8,4,8,0,0,0,0,0,0,0,3,45,0,0,3,3,7,3,78,65,12,13,3,4,6,0,6,198
CED502,9,4,14,15,0,4,0,372,0,0,8,0,0,160,173,77,7,14,18,0,0,0,17,469,0,8,84,79,127,38,103,110,14,9,10,9,0,0,12,594,26,205,200,55,13,10,29,42,8,3,0,0,0,0,10,610,0,6,3,0,9,35,74,31,3,9,0,7,3,0,6,190,0,0,0,0,9,51,319,149,26,19,6,27,9,0,7,626,0,0,9,30,53,32,23,24,8,4,0,5,0,5,13,205,0,11,62,204,714,304,1242,709,132,94,84,101,37,6,71,3761,0,0,0,0,0,5,172,77,9,14,19,36,7,5,4,349,31,369,93,52,84,28,53,22,7,0,0,0,0,0,18,750,6,18,121,358,827,765,1460,1112,97,62,101,130,29,41,157,5270,0,0,4,4,3,0,0,4,0,0,0,0,0,0,0,19,0,0,5,12,29,60,376,611,100,92,104,147,73,15,22,1637
CED503,0,0,0,5,0,8,0,100,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,16,3,12,59,74,116,51,160,199,7,5,0,0,0,0,14,704,41,199,126,29,16,3,16,17,3,0,0,0,0,0,18,480,0,0,0,0,8,25,31,11,0,0,0,6,0,4,5,90,0,0,0,0,6,3,37,31,0,0,0,4,3,0,3,92,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,11,3,13,40,52,67,37,107,55,9,6,20,14,0,0,9,437,0,0,0,0,0,0,18,14,4,6,4,8,4,0,0,52,30,358,67,67,93,33,63,36,0,6,4,6,7,6,13,789,7,19,177,595,906,743,1245,936,56,42,52,91,52,51,172,5136,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,4,6,0,23,56,9,4,0,10,9,0,0,118
CED504,47,30,27,35,12,11,10,967,0,0,0,5,9,336,410,249,68,50,35,50,19,4,34,1261,6,10,77,89,154,51,290,509,32,35,37,50,22,0,12,1376,92,1029,984,265,91,75,109,235,37,24,19,12,12,0,136,3116,0,3,0,9,28,63,126,39,7,8,9,5,0,0,7,317,0,0,0,5,26,19,129,74,8,6,9,19,0,0,7,295,0,0,13,26,49,18,40,12,3,0,0,0,3,4,6,179,8,21,95,226,774,255,483,275,91,98,111,92,37,5,70,2652,0,0,0,0,0,3,89,66,20,15,31,32,10,0,12,267,32,170,38,26,31,19,22,24,4,9,5,0,4,0,10,392,0,4,115,361,728,577,852,705,29,32,69,49,36,19,106,3682,21,72,329,411,360,273,160,81,20,13,13,17,6,4,56,1843,0,4,6,19,22,58,156,290,70,77,66,124,60,7,16,970
CED505,15,5,36,39,5,0,10,656,0,0,3,0,0,21,25,17,5,0,3,0,0,0,0,85,17,74,80,102,304,122,318,413,23,32,43,114,105,55,33,1847,90,323,144,80,48,43,133,229,30,23,18,32,24,3,46,1259,0,5,3,18,45,125,190,116,39,46,64,79,46,14,31,819,0,0,0,10,33,32,108,81,7,25,7,11,4,0,10,326,0,4,8,12,15,0,3,0,0,0,0,5,0,0,0,55,22,37,155,381,598,297,425,272,62,67,66,60,67,17,33,2561,0,0,0,0,8,6,29,25,30,42,45,46,9,0,0,239,20,180,26,42,49,52,137,63,13,20,8,24,13,6,15,663,16,34,205,428,617,423,601,396,37,36,46,58,31,43,77,3057,0,7,12,17,30,8,5,6,0,0,0,0,0,0,5,96,0,0,3,7,4,18,44,47,15,27,8,12,7,0,5,206
CED506,0,0,3,0,4,0,30,111,0,0,3,0,0,9,15,4,6,0,0,0,0,0,15,54,7,25,53,81,129,71,259,315,10,11,15,71,23,0,23,1092,37,155,113,33,8,9,35,87,8,8,16,41,23,0,25,614,0,0,6,4,6,18,38,23,0,0,20,15,6,3,3,141,0,0,0,5,4,10,38,25,3,3,3,18,0,0,3,124,0,0,0,6,0,5,0,3,0,0,4,3,0,0,8,30,0,12,39,64,80,46,135,67,9,32,41,21,3,0,24,575,0,0,0,0,0,0,28,23,21,13,18,9,4,0,0,128,27,309,75,57,47,52,81,25,9,4,7,9,12,0,23,750,7,20,259,921,1396,1142,1945,1264,110,116,123,144,56,77,356,7925,6,5,8,16,18,13,8,4,0,0,0,0,0,0,0,76,0,5,0,4,3,11,46,69,12,9,10,8,3,3,9,188
CED507,3,0,0,0,0,0,3,52,0,0,0,0,6,10,11,10,4,0,0,0,0,0,0,40,7,17,46,78,122,41,131,163,6,7,3,3,4,0,11,635,49,261,118,18,5,8,41,71,11,10,10,17,11,0,48,677,0,0,4,4,3,21,43,42,0,5,5,12,4,3,0,156,0,0,0,0,6,8,69,63,13,3,14,19,8,0,8,214,0,0,4,10,6,8,10,4,0,0,0,0,3,0,0,48,4,14,33,34,37,29,51,44,12,21,20,13,0,0,5,331,0,0,0,0,0,0,21,20,15,12,9,0,0,0,0,82,24,233,60,36,61,38,62,37,3,3,7,4,3,0,13,593,11,19,171,512,829,592,1014,574,31,68,38,43,32,22,193,4152,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,24,55,6,7,11,7,5,10,0,134
CED508,19,21,19,14,5,3,4,453,0,0,0,0,5,7,22,17,0,4,0,0,0,0,0,64,0,9,69,73,166,107,256,342,14,9,26,22,29,14,18,1156,108,865,734,143,91,63,135,227,43,17,22,26,9,0,91,2570,0,0,3,5,36,63,127,49,11,10,10,14,3,0,3,340,0,0,3,4,15,29,191,131,11,16,10,15,4,0,14,451,0,0,3,21,13,13,11,7,0,0,0,0,0,0,4,81,0,11,62,114,303,196,476,285,68,57,49,46,37,7,29,1737,0,0,0,0,0,0,71,51,10,16,14,16,4,0,0,178,19,158,47,29,54,27,77,43,8,0,15,19,4,3,13,509,5,13,99,380,767,612,1000,776,75,56,59,92,33,25,120,4113,0,4,0,13,12,4,4,0,0,0,0,0,0,0,4,38,0,0,6,5,4,15,57,90,15,19,18,27,5,9,5,264
CED509,5,6,6,4,5,7,4,204,0,0,0,0,3,120,103,59,3,11,11,4,0,4,12,334,3,10,90,77,195,81,195,235,20,0,5,3,7,0,23,942,61,413,269,65,26,18,33,33,12,6,0,9,3,3,45,1000,0,0,0,0,19,36,86,19,0,7,0,0,0,0,4,170,0,0,0,0,7,9,48,26,11,6,0,3,0,0,4,113,0,0,5,11,27,13,8,3,0,0,0,0,0,0,8,66,9,16,58,63,171,111,207,86,16,8,15,14,3,0,30,793,0,0,0,0,0,0,93,52,0,3,8,17,4,0,0,181,25,222,68,57,71,36,77,29,0,0,0,4,0,0,27,619,9,17,158,492,1001,798,1514,1202,84,109,71,84,43,41,203,5828,3,0,12,16,21,26,18,14,0,0,0,0,0,0,0,115,0,4,5,3,15,18,90,96,5,16,13,21,3,3,10,309
CED510,24,15,15,16,3,0,4,471,0,0,0,0,0,17,17,14,0,9,0,0,0,0,0,54,0,21,71,113,544,201,667,706,22,27,26,21,6,7,21,2459,46,248,170,78,33,31,76,88,13,3,5,20,16,0,30,849,0,0,0,9,35,66,88,37,6,3,9,10,6,0,0,267,0,0,0,3,28,8,57,30,5,3,5,9,0,0,0,152,0,0,5,7,15,6,6,5,0,0,0,0,0,0,3,46,4,19,76,146,292,112,205,82,19,12,25,34,8,5,16,1049,0,0,0,0,0,0,11,4,8,5,5,3,3,0,0,41,16,212,69,46,90,48,79,40,9,11,3,6,9,0,11,637,7,12,116,507,983,649,775,556,45,40,25,56,22,22,84,3903,0,11,28,36,20,26,9,5,0,0,0,0,0,0,3,149,0,3,4,3,12,7,22,23,8,10,17,7,10,0,3,123
