SA4_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
501,1344,4057,2379,6785,396,433,647,16034,1350,3534,2613,6454,354,606,682,15595,1158,2714,2742,5831,295,650,882,14271,1249,3150,3268,5569,290,815,2916,17263,5939,16840,12877,33885,3040,2931,6060,81565,0,0,0,7,0,0,494,508,0,0,0,4,0,0,440,453,0,0,3,15,5,0,1256,1290,3,6,11,21,0,3,1424,1469,0,9,4,22,0,7,1583,1622,5,11,9,34,0,3,1354,1418,3,15,19,42,3,7,1968,2050,14,48,44,157,12,17,8534,8814,6,0,54,944,602,71,786,2462,50,424,283,2385,619,112,622,4501,789,2992,1582,6316,606,259,1795,14335,1362,4095,2425,6971,413,441,2097,17803,1363,3576,2655,6601,365,627,2297,17478,1171,2752,2771,5948,306,663,2266,15883,1262,3177,3306,5657,296,833,4920,19450,6009,17015,13078,34820,3205,3005,14791,91922
502,568,1549,1299,3274,201,238,377,7510,623,1416,1485,3424,150,298,374,7764,562,1149,1621,3400,166,339,519,7753,613,1594,2129,4272,211,606,2583,12014,2744,7365,7743,19419,1606,1747,4394,45023,0,0,0,3,0,0,243,246,0,0,0,0,0,0,311,317,0,0,4,3,0,3,668,674,0,0,5,13,4,4,759,787,0,4,8,15,0,0,803,825,4,0,7,19,0,0,671,700,0,6,11,35,3,9,989,1057,10,23,33,87,8,17,4438,4597,6,0,42,499,310,54,390,1297,37,346,271,1307,340,69,443,2812,338,1336,932,3442,290,170,966,7478,573,1567,1318,3383,209,245,1146,8445,631,1432,1505,3504,153,299,1186,8709,577,1158,1654,3477,169,345,1201,8575,620,1614,2155,4345,211,615,3589,13148,2779,7454,7875,19957,1677,1794,8924,50461
503,6718,10451,2313,1909,131,226,600,22344,5671,8521,2284,1667,93,360,548,19144,4204,6278,2413,1666,113,389,586,15651,4165,6946,3454,1873,150,692,2213,19492,27886,48954,13703,11133,1168,1970,4974,109784,0,0,0,0,0,0,277,283,0,13,0,4,0,0,681,693,0,17,5,5,0,0,1984,2015,9,14,3,7,0,0,1271,1298,4,15,4,7,6,0,940,973,11,18,8,10,0,0,822,863,6,39,18,8,0,9,1350,1425,29,101,39,38,5,12,7324,7546,3,10,75,462,288,41,374,1253,492,3953,904,1138,229,79,930,7734,6662,12909,2299,2525,194,186,2675,27456,6737,10495,2328,1945,135,228,1877,23756,5699,8557,2305,1698,101,366,1497,20224,4220,6310,2434,1678,119,392,1417,16578,4186,6998,3473,1895,151,700,3575,20965,28009,49237,13821,11352,1207,1999,12351,117968
504,4235,8843,4762,8194,527,688,1146,28392,2745,5805,4239,7328,423,827,995,22363,1943,3597,3500,6419,295,849,1087,17692,1504,3409,3380,5915,270,936,2917,18323,14005,32791,21106,41279,3558,4071,7896,124695,0,0,0,3,4,0,504,512,0,3,0,8,0,0,612,627,0,5,3,22,4,0,1897,1933,0,9,10,11,0,0,1752,1788,0,7,11,22,0,0,1562,1603,3,3,17,22,0,3,1209,1256,5,19,13,28,0,6,1522,1593,16,44,51,119,9,16,9056,9311,0,11,92,1071,669,111,778,2750,245,1998,1131,3302,761,210,1070,8714,3349,9227,4118,9681,741,472,3031,30618,4260,8900,4827,8411,547,703,2941,30586,2776,5870,4321,7482,436,842,2594,24324,1950,3640,3551,6533,298,868,2351,19194,1513,3444,3427,5978,273,946,4469,20049,14101,33085,21462,42467,3732,4146,17236,136230
505,10267,22216,10209,15668,883,1392,2390,63025,7702,15766,10313,14426,746,1922,2321,53203,5080,9710,8395,12739,641,1717,2136,40424,3841,9080,8748,12428,643,2286,6674,43702,35508,83584,48375,79617,6511,8823,17042,279453,0,0,0,13,0,0,852,873,0,4,3,21,0,5,1213,1237,6,15,10,28,5,4,3567,3625,7,36,25,43,3,0,3372,3481,3,28,22,44,3,4,2794,2900,10,19,16,48,0,0,2117,2224,17,29,32,70,0,9,2818,2976,53,127,108,260,14,22,16729,17319,8,24,235,2215,1284,218,1374,5355,636,5555,2421,5987,1311,419,2070,18404,8012,21372,8171,16736,1136,899,5798,62131,10320,22332,10299,15921,915,1415,5805,67005,7750,15851,10411,14609,767,1941,5156,56495,5111,9763,8464,12890,657,1732,4295,42921,3873,9144,8804,12545,645,2298,9531,46836,35709,84047,48810,80907,6709,8931,34031,299140
506,11246,20819,9096,13580,819,1086,2367,59016,6655,12482,7516,11780,657,1386,1937,42404,4231,7614,6255,10251,529,1303,1974,32154,3354,7409,6617,10648,481,1759,6662,36936,35395,74886,40247,68884,6450,6828,16660,249355,0,0,0,5,0,0,993,996,0,6,6,16,6,3,1548,1584,10,17,9,23,0,0,4018,4085,9,35,7,29,6,0,3514,3596,10,18,18,36,0,3,2859,2948,7,19,10,44,4,10,2182,2264,14,34,33,67,4,11,2478,2633,47,124,90,223,15,22,17585,18105,12,14,239,2092,1366,167,1551,5448,695,5468,2742,6278,1566,362,2501,19613,9254,21226,7978,15133,1248,815,6480,62135,11286,20960,9200,13925,853,1109,5949,63278,6705,12577,7642,12028,679,1402,4867,45892,4270,7687,6331,10422,538,1331,4229,34798,3397,7481,6684,10767,492,1775,9216,39814,35609,75407,40814,70645,6748,6967,34783,270971
507,7753,15872,7279,12745,746,985,1698,47070,6104,11406,7363,11753,602,1353,1685,40273,4530,7362,6018,9966,524,1337,1726,31461,3752,7302,6323,9202,464,1687,5422,34149,27894,60575,34093,64201,5746,6472,12939,211919,0,0,0,3,0,0,818,826,0,10,0,17,7,0,1191,1226,0,11,5,21,3,0,3115,3164,3,24,15,31,0,0,2899,2976,4,10,19,47,3,0,2450,2535,12,10,13,34,8,6,1892,1971,15,33,31,66,0,5,2522,2669,36,101,85,220,14,18,14894,15364,5,11,186,1810,1190,159,1263,4620,389,3878,1593,5239,1257,322,1827,14502,5394,14912,5474,14189,1133,668,4574,46341,7797,15961,7385,13042,765,1008,4643,50597,6143,11480,7464,11974,633,1366,4187,43232,4566,7432,6087,10095,533,1355,3667,33728,3776,7361,6375,9314,466,1702,7994,36994,28074,61034,34559,65653,5971,6572,28149,230021
509,707,2294,1311,3601,283,220,484,8903,738,2072,1655,3734,259,375,597,9431,795,1794,1990,3972,250,477,770,10048,859,2035,2503,3993,209,646,2652,12899,3674,10458,8573,20841,2080,1946,5351,52919,0,0,0,4,0,0,520,525,0,0,0,5,4,0,474,489,0,4,7,11,0,0,1183,1211,5,9,4,27,0,0,1310,1358,5,13,12,25,0,4,1583,1648,0,7,12,35,0,3,1636,1694,0,15,15,39,0,3,2240,2318,8,49,52,150,8,16,8950,9240,0,0,21,532,377,40,797,1775,55,385,202,1382,408,62,676,3162,523,1897,917,3905,379,155,1681,9465,707,2319,1354,3745,295,224,1840,10499,745,2111,1714,3869,277,384,2237,11341,803,1835,2047,4092,259,484,2487,12008,863,2067,2537,4056,209,649,4985,15376,3709,10617,8791,21589,2222,2003,14697,63631
510,815,1935,1254,3369,180,164,304,8020,494,1096,942,2447,90,171,265,5503,335,593,695,1580,57,134,233,3626,127,249,258,569,15,46,232,1508,2643,6607,4267,12157,853,690,1535,28749,0,0,0,0,0,0,582,584,0,0,4,0,0,0,839,848,0,6,0,9,4,3,2871,2898,3,7,5,15,0,3,2518,2550,0,8,6,13,0,0,2056,2081,0,4,5,18,0,0,1514,1540,0,4,0,5,0,0,668,680,9,24,18,71,11,7,11045,11182,0,0,12,205,194,26,883,1317,41,359,149,935,265,59,1085,2895,844,2451,1053,4006,354,179,3502,12393,860,1995,1383,3971,286,227,3100,11818,531,1163,1030,2829,148,210,2535,8456,367,670,769,1772,103,160,1904,5744,140,278,300,647,25,66,1037,2496,2788,6925,4698,14362,1370,941,14050,45117
511,800,1975,1260,3669,251,211,364,8531,642,1565,1305,3590,203,281,473,8071,473,998,1245,3133,161,278,530,6817,320,841,1091,2486,128,307,1435,6609,2987,7978,6099,18573,1768,1320,3419,42150,0,0,0,0,0,0,631,631,0,0,0,0,0,0,863,871,0,5,0,17,0,0,2057,2074,0,5,11,20,6,0,1978,2018,5,6,6,17,0,0,1859,1888,0,3,3,28,0,0,1654,1698,0,3,9,25,0,0,1741,1777,8,25,24,103,7,9,10781,10962,0,0,23,392,307,31,876,1635,69,447,215,1446,458,79,1094,3812,696,2186,1001,4318,422,176,2538,11338,805,2017,1327,3924,282,233,2435,11030,658,1621,1371,3800,231,297,2461,10451,487,1042,1300,3292,180,290,2288,8886,325,865,1133,2551,134,314,3311,8638,3046,8186,6380,19728,2013,1429,15012,55784
