SA4_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
501,91,76,164,1440,1423,2862,3,13,17,1539,1510,3047,417,374,792,7791,7095,14885,50,40,91,8259,7512,15773,306,328,639,6252,6203,12453,33,44,79,6593,6582,13171,13,25,41,273,237,510,5,0,4,292,265,555,5,17,27,135,372,505,0,4,5,143,389,537,30,26,57,680,367,1049,4,0,4,713,395,1109,12,32,43,503,1130,1632,3,0,8,516,1159,1680,0,0,0,8,5,20,0,0,0,17,5,22,53,108,162,1612,2108,3716,10,3,13,1676,2216,3896,3,14,19,195,482,674,4,3,8,199,499,700,5,17,23,152,454,605,0,0,0,154,472,627,0,5,5,67,152,215,0,0,0,67,151,219,9,23,29,337,961,1297,0,4,4,342,981,1327,0,0,0,0,3,3,0,0,0,0,3,3,12,55,69,745,2051,2795,4,11,9,761,2114,2877,67,166,231,2357,4166,6529,15,12,30,2442,4337,6783,28,32,59,493,746,1238,4,3
502,49,41,88,740,737,1474,5,3,10,790,781,1571,254,268,524,3895,3923,7822,21,25,44,4177,4211,8391,192,222,414,3202,3107,6309,16,19,37,3410,3348,6758,7,19,20,182,205,393,0,0,0,189,225,414,7,0,7,80,247,325,0,0,0,84,251,335,12,10,22,356,215,572,5,0,6,375,229,603,9,10,19,275,585,857,0,3,3,277,598,872,0,0,0,5,0,9,0,0,0,5,0,10,35,40,69,898,1258,2148,9,6,14,934,1304,2235,7,16,24,355,712,1063,0,0,0,361,724,1085,4,6,13,111,342,443,0,0,0,110,353,461,0,3,3,73,133,203,0,0,0,73,140,213,4,15,14,214,473,687,0,0,0,215,485,700,0,0,0,5,5,5,0,0,0,5,5,5,17,37,59,744,1654,2405,0,0,0,761,1701,2465,49,83,133,1647,2916,4561,9,5,14,1699,3007,4706,14,17,32,297,488,784,0,4
503,8,9,22,1440,1228,2661,0,3,3,1449,1238,2691,58,48,108,6214,5991,12209,5,9,17,6281,6051,12333,64,105,171,5790,5555,11351,14,14,32,5873,5677,11550,0,5,4,351,371,717,0,0,0,351,367,719,6,0,10,460,679,1143,0,0,0,471,681,1155,0,0,0,247,187,429,0,3,3,249,188,434,8,7,13,540,882,1430,0,0,0,551,892,1439,0,0,0,5,5,13,0,0,0,5,8,14,16,9,20,1606,2121,3729,5,3,6,1626,2140,3763,60,75,139,3879,4568,8448,13,5,10,3947,4649,8597,22,23,45,1716,1818,3531,5,0,5,1741,1844,3582,4,12,17,453,534,984,0,0,3,460,542,1001,19,15,37,1313,1813,3130,4,0,8,1337,1836,3172,0,0,0,16,16,28,0,0,0,14,16,28,105,124,232,7374,8749,16127,17,9,22,7499,8889,16383,119,132,253,8989,10883,19872,21,13,35,9128,11029,20160,3,10,11,750,1028,1782,0,3
504,127,116,241,2576,2277,4854,8,3,15,2707,2395,5101,645,554,1199,11331,10596,21925,36,41,77,12012,11185,23201,426,432,857,9002,8251,17257,37,27,66,9471,8710,18183,23,18,41,583,579,1164,0,0,0,606,596,1208,12,18,32,489,847,1330,0,4,4,501,868,1368,30,18,50,809,474,1278,5,0,4,833,494,1332,15,36,46,961,1600,2561,0,8,8,976,1637,2615,0,0,0,11,12,21,0,0,0,9,12,28,79,90,170,2852,3507,6357,6,15,16,2934,3605,6544,18,51,70,2083,2681,4763,5,4,7,2106,2736,4842,11,32,40,856,1200,2054,5,0,5,867,1229,2095,8,14,24,395,534,929,0,3,3,403,555,953,18,45,62,1032,1784,2809,0,0,0,1045,1833,2877,0,0,0,20,12,27,0,0,0,17,12,31,54,151,205,4376,6206,10581,9,13,16,4434,6364,10804,131,242,378,7246,9732,16971,14,23,36,7388,9997,17383,46,39,84,1104,1561,2667,0,3
505,143,127,269,5163,4765,9930,14,15,26,5319,4908,10229,618,588,1211,25124,23797,48919,70,66,136,25817,24453,50267,437,406,840,20331,19386,39718,69,75,146,20842,19868,40705,18,31,41,1327,1240,2571,3,3,6,1350,1276,2625,7,17,23,971,1693,2659,4,3,8,981,1707,2688,36,26,60,1683,895,2578,4,3,5,1721,924,2647,19,33,50,1825,3122,4952,10,7,16,1851,3161,5009,0,0,0,19,19,40,0,0,0,20,17,40,76,108,177,5832,6965,12801,15,18,34,5929,7088,13017,34,67,107,5668,7362,13026,18,14,25,5718,7443,13159,22,40,60,2014,2807,4826,4,3,13,2035,2855,4889,12,22,31,1052,1275,2327,0,3,3,1061,1304,2361,21,44,63,2284,3893,6173,0,3,7,2305,3943,6241,0,0,0,28,30,58,0,0,0,28,30,58,80,172,252,11045,15365,26415,20,25,43,11144,15571,26712,157,276,433,16918,22377,39290,38,41,81,17106,22695,39803,36,57,92,2248,3239,5485,11,14
506,176,170,353,4642,4373,9009,8,8,16,4827,4551,9380,869,887,1758,22525,21277,43799,69,60,120,23459,22224,45678,704,677,1378,17313,16246,33557,56,47,98,18071,16967,35032,25,23,54,1522,1284,2804,8,7,14,1557,1310,2865,10,28,42,1276,1985,3260,4,4,6,1292,2020,3310,48,23,70,1540,924,2469,7,0,7,1600,953,2548,28,58,89,1904,3214,5117,7,7,12,1946,3274,5220,0,0,0,23,29,54,6,0,4,29,35,61,125,139,258,6271,7436,13706,27,16,40,6420,7590,14009,41,86,125,6229,7559,13786,13,10,18,6276,7657,13930,34,46,86,2735,3269,6000,3,6,7,2779,3322,6094,10,15,23,953,1200,2158,3,0,0,964,1215,2179,26,73,105,2074,3225,5303,5,9,16,2105,3309,5412,0,0,0,23,30,56,0,0,0,23,30,56,112,221,341,12011,15285,27299,20,24,48,12147,15534,27678,232,362,601,18324,22752,41076,46,36,84,18603,23153,41757,71,86,157,2403,3046,5453,11,4
507,141,128,261,4015,3692,7708,8,8,14,4160,3824,7987,742,688,1427,18748,18251,36996,58,44,97,19542,18982,38530,526,477,1002,15036,14596,29631,37,49,84,15598,15120,30718,36,31,70,814,814,1626,0,0,5,852,844,1694,8,38,45,591,1075,1664,5,0,6,597,1109,1713,30,38,71,1441,808,2244,7,0,7,1469,843,2319,30,45,73,1358,2463,3816,3,5,13,1389,2510,3902,0,0,0,22,20,41,0,0,0,27,20,41,108,147,259,4216,5169,9392,12,11,25,4337,5331,9671,30,73,103,3979,5513,9492,8,13,19,4021,5600,9616,24,39,68,1419,2253,3664,0,3,3,1442,2300,3741,11,17,26,784,953,1734,3,0,3,798,975,1774,30,58,89,1802,3161,4960,0,3,6,1829,3226,5057,0,0,0,15,30,47,0,0,0,15,30,47,98,191,290,7989,11912,19896,19,21,37,8102,12121,20225,208,345,550,12223,17107,29330,30,35,64,12460,17481,29941,54,74,126,1549,2177,3728,8,4
509,85,57,142,873,848,1723,4,7,9,964,915,1876,386,423,804,4761,4545,9308,69,53,123,5212,5024,10238,347,352,697,3627,3623,7245,45,46,94,4021,4013,8042,11,10,19,178,162,343,6,0,4,195,174,366,6,22,24,75,179,249,6,6,3,78,197,279,21,16,35,429,226,657,3,0,3,454,246,700,12,19,30,284,777,1059,0,4,4,294,801,1091,0,0,0,7,5,17,0,0,0,9,5,16,46,62,109,971,1353,2320,7,10,16,1031,1425,2450,3,11,10,146,274,423,0,4,4,151,286,438,0,7,9,85,221,304,0,0,0,88,225,314,0,0,0,45,125,169,0,0,0,45,127,175,0,19,17,195,610,804,0,4,3,195,632,826,0,0,0,0,6,3,0,0,0,0,6,3,3,34,38,472,1230,1704,0,5,12,482,1276,1754,52,89,146,1443,2584,4027,11,18,27,1505,2696,4204,22,19,44,295,451,743,0,3
510,284,216,503,547,526,1077,3,3,9,842,751,1587,1600,1486,3085,2792,2596,5390,31,25,54,4419,4109,8534,840,911,1748,1539,1465,3002,14,17,31,2389,2388,4777,31,38,73,56,43,100,0,0,0,92,77,172,4,13,23,63,85,149,0,0,0,70,101,171,35,31,64,162,127,288,0,0,0,199,161,356,44,73,114,312,560,873,3,0,4,353,639,988,0,0,4,10,0,10,0,0,0,8,0,10,116,160,279,605,809,1416,0,0,6,729,977,1700,11,21,33,36,92,122,0,0,0,44,116,155,11,31,40,58,154,213,0,0,0,68,190,255,0,3,8,23,54,80,0,0,0,26,61,86,11,50,64,249,492,745,0,0,4,263,546,806,0,0,0,0,4,4,0,0,0,0,4,4,29,112,142,367,798,1165,0,0,6,400,911,1311,150,276,426,969,1609,2578,3,6,8,1126,1890,3017,28,58,87,163,266,432,0,0
511,140,137,278,818,845,1655,7,0,17,961,985,1951,757,722,1480,4033,3791,7823,36,37,71,4824,4552,9372,541,540,1085,2861,2798,5662,22,28,53,3428,3372,6796,15,16,34,133,163,301,0,0,0,157,183,334,16,15,29,82,115,202,0,0,0,96,135,233,29,23,59,367,258,627,0,0,3,398,281,689,17,29,47,384,806,1190,3,3,0,405,841,1243,0,0,0,6,6,13,0,0,0,6,6,16,84,92,172,978,1354,2332,0,5,10,1060,1450,2505,4,9,13,114,201,311,0,0,0,121,211,328,7,14,20,118,225,348,0,0,0,124,241,364,0,8,8,43,93,137,0,0,0,45,104,144,12,26,37,253,593,842,0,5,5,264,620,880,0,0,0,8,0,10,0,0,0,8,4,11,16,65,77,533,1113,1647,0,3,4,554,1174,1731,103,151,253,1514,2467,3977,0,12,16,1620,2629,4244,44,44,84,266,359,623,4,0
