SA4_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
501,471,29524,125,30121,223,7971,35,8221,606,20236,126,20961,135,3517,29,3686,64,2203,36,2303,16,276,3,300,65,1406,4708,6177,1574,65133,5061,71769,583,36334,160,37071,280,8149,52,8481,529,18357,98,18988,115,2786,34,2934,46,1997,49,2092,10,203,0,215,60,1491,3745,5303,1627,69313,4150,75081,1054,65855,289,67196,499,16116,88,16704,1142,38594,228,39952,252,6297,65,6617,109,4200,82,4390,26,480,9,511,124,2899,8454,11479,3201,134440,9210,146853
502,264,16376,76,16712,136,4455,27,4617,276,11574,69,11917,82,2383,28,2496,36,1467,25,1529,16,128,0,141,27,979,2529,3538,841,37363,2750,40945,330,19562,82,19975,119,5035,26,5182,311,12101,71,12487,68,2240,16,2327,30,1392,20,1441,10,107,5,123,30,1274,1879,3182,902,41716,2100,44711,594,35939,156,36688,255,9491,47,9794,591,23671,144,24406,149,4623,47,4816,68,2862,40,2974,25,234,6,262,66,2253,4403,6718,1744,79074,4846,85660
503,316,57209,129,57654,47,3104,13,3163,85,5104,27,5219,17,842,6,863,17,717,9,736,10,226,5,239,20,1028,4090,5131,504,68232,4269,73010,348,59687,121,60159,48,3036,9,3095,89,5993,37,6123,8,867,6,887,14,1048,10,1073,3,345,0,350,16,1143,3206,4361,532,72126,3396,76047,667,116902,248,117815,94,6136,31,6256,174,11104,63,11339,27,1710,15,1754,33,1761,22,1814,12,566,5,583,34,2171,7287,9497,1038,140352,7666,149057
504,903,57793,148,58839,297,9468,32,9799,1098,21179,93,22372,148,3511,31,3691,128,2811,29,2967,56,870,3,927,86,1839,5159,7081,2714,97473,5495,105684,1002,63814,162,64981,318,8962,33,9308,745,19520,101,20364,144,3229,22,3393,113,3392,26,3527,30,1108,5,1141,79,1843,3826,5749,2428,101867,4168,108469,1905,121610,306,123826,612,18434,68,19109,1846,40700,192,42738,291,6740,59,7091,241,6198,47,6494,83,1982,9,2074,166,3680,8983,12829,5148,199346,9663,214153
505,947,132820,341,134112,280,18064,64,18414,610,36723,148,37489,156,5888,35,6079,84,4750,34,4856,24,1670,20,1721,73,3173,9510,12752,2176,203091,10157,215426,1123,146844,348,148310,342,17636,58,18039,694,37029,165,37886,153,6042,50,6241,92,6284,50,6431,26,2228,17,2273,83,3789,7139,11006,2507,219851,7823,230181,2075,279662,688,282420,626,35703,125,36450,1302,73751,310,75372,311,11927,85,12329,171,11031,88,11285,56,3898,36,3994,152,6963,16648,23761,4692,422939,17976,445602
506,1289,119967,289,121540,449,16071,74,16591,1261,35691,177,37126,260,6271,45,6583,180,4804,27,5009,68,1750,14,1828,185,3713,9794,13692,3695,188264,10413,202380,1495,127963,297,129756,554,15432,68,16055,1147,33853,133,35136,250,5783,54,6088,149,5407,62,5619,36,2106,16,2161,151,4252,7681,12077,3777,194797,8317,206895,2783,247926,583,251295,1005,31506,143,32653,2408,69549,308,72266,514,12057,100,12671,324,10214,89,10625,102,3854,26,3989,338,7969,17470,25775,7479,383062,18734,409271
507,1018,94873,265,96162,349,14975,62,15390,1109,31731,152,32994,191,5136,35,5365,140,3616,36,3792,72,708,11,786,101,2689,8652,11444,2981,153739,9217,165935,1221,107486,254,108961,386,14341,59,14780,749,31161,162,32066,208,5051,40,5300,87,4348,44,4481,13,899,4,918,105,3206,6143,9452,2762,166488,6710,175960,2243,202360,513,205121,733,29314,124,30174,1853,62889,312,65061,400,10190,75,10663,232,7959,88,8278,83,1607,20,1704,200,5896,14801,20900,5747,320224,15926,341898
509,465,21069,144,21679,206,5249,65,5519,742,15038,133,15917,156,2968,29,3153,156,2150,33,2342,24,261,5,290,136,1615,4866,6614,1893,48350,5267,55514,503,24440,148,25093,281,5462,44,5779,642,12612,122,13372,142,2137,29,2304,92,1529,38,1656,8,229,10,246,156,1281,4010,5445,1822,47696,4393,53909,969,45515,288,46778,488,10707,106,11298,1389,27650,249,29289,302,5102,62,5462,248,3676,72,4002,39,490,11,538,286,2897,8873,12062,3721,96043,9664,109426
510,1910,11934,82,13928,1168,3003,21,4192,2323,5461,48,7831,596,794,18,1402,620,355,10,991,194,106,5,304,510,437,6647,7593,7319,22100,6827,36243,2228,12892,68,15187,1369,1888,21,3275,2133,3042,37,5209,568,390,11,969,530,214,4,747,159,70,3,230,516,270,4370,5154,7496,18764,4516,30774,4134,24827,149,29109,2538,4887,38,7467,4455,8509,87,13048,1160,1182,21,2372,1149,573,12,1734,356,181,4,534,1022,707,11016,12746,14818,40862,11336,67018
511,849,16294,86,17224,475,4998,40,5520,1291,11812,88,13194,333,2252,22,2606,320,1482,21,1826,71,182,0,258,294,938,6292,7524,3627,37962,6553,48145,991,18704,102,19797,646,4577,30,5252,1239,8914,74,10228,294,1596,15,1904,259,1146,19,1416,64,163,4,229,323,774,4445,5543,3822,35874,4693,44386,1841,34998,185,37022,1122,9580,72,10773,2529,20724,169,23417,627,3845,40,4506,573,2628,45,3242,136,345,4,488,619,1712,10739,13073,7444,73840,11246,92526
597,5,138,0,139,3,33,0,38,0,63,0,59,0,9,0,13,0,0,0,0,0,3,0,3,0,8,191,197,7,256,193,453,0,33,0,30,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,38,19,61,9,167,0,173,3,34,0,38,0,66,0,61,0,11,0,16,0,0,0,0,0,3,0,3,0,8,214,226,9,289,218,515
599,39,952,5,994,17,216,0,231,62,546,3,617,20,109,5,137,13,56,0,78,4,12,0,10,592,855,711,2158,747,2752,731,4222,42,984,4,1030,22,184,0,205,37,370,5,410,18,71,0,90,9,33,0,36,5,9,0,14,455,350,407,1212,592,1997,417,3007,75,1937,6,2024,31,399,3,438,105,913,11,1024,40,176,12,225,27,87,0,117,5,24,0,30,1048,1207,1115,3375,1338,4747,1145,7225
