SA4_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
501,28,1014,1048,27,535,558,129,1517,1642,159,2893,3056,219,7362,7579,243,6165,6410,224,5424,5646,239,6706,6946,267,7397,7674,156,5726,5884,138,4579,4714,95,3596,3693,176,7425,7602,252,5993,6244,43,1232,1274,2395,67564,69970
502,24,788,817,13,322,338,78,995,1069,104,2008,2109,150,5314,5466,161,4446,4611,124,3242,3373,121,3575,3693,116,3689,3809,84,2675,2759,72,2369,2438,62,1907,1963,116,4399,4517,164,3726,3892,35,853,884,1424,40308,41738
503,18,1334,1354,10,523,534,30,1166,1193,34,2051,2083,28,3531,3562,51,3811,3860,45,3438,3484,40,4657,4700,67,6064,6133,67,5429,5489,54,5274,5328,44,5324,5373,196,24512,24704,44,4177,4219,11,724,736,739,72015,72752
504,63,1503,1569,43,665,699,188,1941,2128,199,3393,3590,243,7998,8240,267,7411,7678,254,6904,7154,279,9253,9534,348,11409,11759,237,9281,9517,196,7706,7902,166,6568,6730,367,13965,14334,335,7670,7996,71,1362,1437,3256,97029,100267
505,72,3139,3214,39,1454,1488,217,4125,4340,231,6966,7189,298,15810,16106,290,15332,15632,285,14114,14398,316,18501,18816,359,22656,23017,294,19353,19649,222,17084,17312,214,14700,14905,475,35939,36415,331,15745,16080,73,2748,2822,3716,207666,211383
506,107,3174,3280,47,1394,1443,331,4038,4361,353,6813,7165,446,14719,15167,437,14779,15210,414,13480,13892,491,18032,18526,516,21798,22318,381,17330,17715,303,14728,15033,242,11736,11974,522,26727,27250,499,13661,14159,119,2428,2553,5208,184837,190046
507,55,2388,2444,54,1135,1191,243,3152,3398,282,5479,5763,312,12578,12888,331,11665,11995,284,10365,10655,346,13622,13973,403,17229,17635,334,14485,14816,250,12857,13105,198,10998,11199,497,27526,28024,402,12740,13147,88,2093,2181,4079,158312,162414
509,60,823,884,42,430,470,165,1218,1382,207,2176,2385,301,5926,6226,278,4856,5138,204,3901,4113,206,4787,4988,223,5192,5411,129,3635,3768,116,2999,3118,59,2318,2373,119,4915,5037,229,4102,4327,113,1143,1260,2451,48421,50880
510,91,164,254,137,59,193,731,124,857,790,189,976,618,333,951,492,349,838,316,461,788,348,842,1191,419,1443,1863,354,1711,2060,309,1763,2072,301,1891,2187,729,6479,7206,691,1690,2383,321,302,626,6647,17800,24445
511,74,619,694,72,255,335,327,771,1096,427,1302,1726,398,3282,3681,399,2652,3054,254,2221,2474,309,3037,3345,330,3792,4124,236,3189,3421,200,2910,3115,142,2454,2598,275,6134,6411,428,3294,3721,177,857,1034,4048,36769,40829
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
