SA4_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
501,98,5276,6941,12216,80,113,196,2510,3268,5780,26,39,67,2622,3428,6044,719,848,1561,24627,29457,54079,186,232,418,25528,30528,56056,263,191,455,3919,3414,7330,5510,4498,10007,9698,8101,17794,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747
502,78,3641,4648,8290,43,79,124,2095,2381,4476,18,26,42,2155,2488,4645,410,531,947,15682,18729,34410,112,148,262,16208,19413,35619,116,113,220,2166,2301,4467,2928,2249,5176,5205,4664,9868,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
503,40,3556,4529,8087,9,31,38,1508,1674,3181,15,12,30,1536,1721,3250,198,271,464,19659,22983,42640,90,106,196,19944,23361,43305,55,25,78,2607,2585,5194,4414,3522,7938,7078,6135,13209,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267
504,75,6301,8736,15037,75,154,229,2956,3894,6853,19,28,48,3048,4079,7125,930,1163,2088,32288,38869,71159,136,182,311,33348,40208,73559,865,370,1229,6074,4757,10827,6053,4608,10660,12984,9728,22716,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573
505,164,12461,16969,29437,107,180,286,5637,7487,13121,35,58,92,5782,7721,13505,1046,1302,2344,64858,79589,144444,307,368,677,66214,81255,147463,270,251,520,9631,9974,19604,11062,8573,19634,20965,18795,39755,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297
506,165,11404,15381,26786,163,282,444,5294,7033,12327,36,58,100,5490,7379,12869,1543,1994,3539,58164,69135,127294,276,370,639,59979,71495,131475,818,479,1302,9798,9038,18838,11542,9321,20855,22159,18837,40993,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466
507,168,10002,13858,23866,105,177,290,4694,6094,10789,41,63,106,4847,6333,11182,1207,1500,2703,51755,63381,115133,287,342,625,53247,65219,118467,796,275,1073,8233,7862,16098,10043,7423,17465,19073,15566,34634,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407
509,95,4345,5240,9585,95,163,260,2175,2503,4678,28,36,62,2300,2704,5003,817,1013,1826,19120,21142,40262,180,190,374,20112,22345,42458,412,245,656,2984,2170,5162,5782,4851,10631,9180,7267,16444,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175
510,13,1035,1295,2330,122,252,372,255,242,492,3,8,12,378,496,870,1761,2368,4128,4909,4909,9813,40,47,87,6710,7318,14035,1381,989,2366,1164,864,2036,7893,5535,13425,10437,7387,17824,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128
511,58,2748,3384,6130,175,294,473,1378,1546,2926,21,22,38,1581,1862,3439,1311,1645,2957,12902,13759,26660,131,134,262,14342,15535,29877,805,563,1365,2118,1849,3967,7479,5555,13038,10408,7962,18370,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758
