SA4_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
501,122,193,319,6949,11767,18714,56,114,167,7130,12073,19198,281,370,647,6222,8171,14384,34,48,87,6533,8586,15124,43,61,100,2953,3177,6128,23,29,48,3021,3261,6282,8,13,28,550,804,1355,16,21,34,575,843,1413,148,162,308,4736,3775,8507,44,47,98,4931,3983,8911,93,69,163,4574,2746,7322,48,34,80,4715,2849,7563,19,21,43,798,680,1481,8,12,24,828,716,1545,36,51,92,1776,1764,3541,20,17,31,1829,1837,3662,270,385,652,6540,10433,16975,43,60,102,6857,10874,17734,17,20,41,953,835,1787,11,7,17,986,862,1848,201,209,408,6051,7783,13837,42,35,83,6295,8028,14326,1586,1529,3112,52828,51451,104273,278,307,581,54694,53282,107973,263,191,455,3919,3414,7330,5510,4498,10007,9698,8101,17794,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747,1695,1615,3306,56052,54914,110970,296,322,616,58042,56852,114894,521,539,1059,17000,19492,36487,113,131,251,17637,20162,37799,117,191,303,5119,6693,11811,40,54
502,66,120,188,4696,7951,12642,44,71,117,4806,8144,12953,158,243,406,3472,5041,8504,19,38,57,3649,5313,8965,32,36,67,2265,2067,4331,23,27,49,2316,2130,4440,0,7,11,358,454,810,8,12,19,370,469,837,90,96,183,3398,2645,6043,35,29,55,3518,2764,6281,52,42,91,3617,2108,5728,30,24,56,3697,2172,5872,13,13,27,637,582,1222,0,3,6,650,601,1253,22,34,53,1373,1482,2853,9,19,23,1404,1539,2935,163,268,435,3939,6215,10158,17,36,49,4122,6517,10636,15,18,27,766,636,1402,10,7,17,782,663,1444,160,150,300,3780,5053,8836,23,37,62,3961,5237,9198,900,894,1790,27638,28381,56019,139,126,266,28676,29400,58075,116,113,220,2166,2301,4467,2928,2249,5176,5205,4664,9868,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641,980,951,1933,29438,30495,59934,149,136,286,30569,31585,62149,292,328,617,10058,11864,21927,59,82,140,10408,12277,22687,79,122,206,3524,4478,8006,33,44
503,26,43,68,3875,6960,10837,27,49,72,3928,7050,10972,64,112,180,5601,6183,11778,13,18,35,5678,6309,11989,5,16,22,2492,2733,5228,12,14,31,2509,2761,5278,0,8,6,557,891,1444,17,5,23,567,903,1474,27,39,64,2728,1995,4717,15,12,27,2765,2044,4809,20,18,36,3664,2088,5752,22,18,40,3706,2121,5830,7,6,21,536,423,958,5,4,7,550,430,987,11,14,25,886,1057,1943,7,14,18,908,1082,1989,89,148,234,5862,8608,14468,24,27,54,5977,8779,14756,0,8,5,704,520,1222,6,5,9,718,530,1244,47,74,117,5501,7195,12693,21,25,41,5568,7287,12853,415,418,828,59173,58373,117548,130,121,250,59718,58911,118622,55,25,78,2607,2585,5194,4414,3522,7938,7078,6135,13209,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267,434,442,876,62429,62181,124613,135,129,263,63003,62757,125757,145,181,322,14648,16865,31515,61,60,122,14854,17107,31967,43,57,100,3496,4446,7944,13,25
504,111,229,338,7076,12586,19661,42,78,123,7228,12896,20123,375,535,906,9014,11740,20754,24,45,68,9417,12319,21734,33,54,88,3165,3741,6909,13,27,38,3213,3823,7038,8,14,25,680,1023,1706,9,16,21,695,1056,1755,205,213,416,6867,5678,12548,31,40,66,7102,5928,13033,109,126,234,5616,3549,9164,28,36,61,5752,3711,9461,36,52,84,1078,964,2043,9,7,18,1123,1026,2147,41,61,104,2117,2123,4239,22,15,33,2174,2200,4374,337,520,864,9019,14481,23502,30,40,67,9393,15035,24430,26,41,69,1186,945,2129,5,9,19,1223,996,2215,328,306,628,9036,11739,20780,41,35,82,9405,12085,21487,2367,2223,4599,83739,80306,164043,281,246,527,86397,82774,169170,865,370,1229,6074,4757,10827,6053,4608,10660,12984,9728,22716,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573,2546,2346,4899,88911,85935,174841,308,256,561,91759,88537,180302,673,743,1421,23239,26543,49778,95,104,194,24004,27387,51396,179,261,436,6097,8429,14526,23,53
505,142,270,415,14487,27121,41600,87,174,256,14713,27557,42271,438,555,990,18009,22803,40812,54,80,129,18498,23440,41940,44,68,114,7245,8151,15398,22,56,79,7314,8272,15586,13,20,31,1594,2448,4042,20,31,50,1626,2498,4125,184,278,464,12716,10271,22983,58,58,117,12957,10608,23563,135,126,260,11951,7533,19487,82,59,138,12170,7709,19884,26,49,69,2102,1849,3952,15,12,28,2148,1910,4053,67,83,149,3751,4215,7976,24,36,62,3849,4335,8181,420,598,1016,16859,28061,44926,76,88,167,17359,28749,46109,21,36,58,2328,2017,4350,18,21,45,2368,2079,4449,280,349,630,18089,24548,42633,88,99,186,18449,25002,43455,2335,2318,4647,182427,179092,361523,485,472,958,185244,181882,367125,270,251,520,9631,9974,19604,11062,8573,19634,20965,18795,39755,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297,2482,2450,4936,192890,191225,384110,518,507,1025,195893,194186,390074,775,820,1591,46988,55525,102511,198,221,418,47971,56557,104525,162,298,463,12232,16583,28808,69,90
506,202,388,590,12637,23075,35708,79,178,263,12914,23646,36557,598,882,1480,15443,19933,35372,47,78,127,16085,20894,36984,71,92,161,5926,6781,12703,38,36,78,6042,6904,12943,18,27,50,1303,1739,3042,15,29,49,1343,1796,3136,380,451,830,13298,10910,24205,67,70,141,13744,11433,25180,205,215,422,10647,6638,17287,56,64,120,10909,6920,17827,64,75,134,1996,1774,3768,18,18,34,2072,1864,3936,73,117,191,3677,4069,7741,33,34,63,3783,4221,8005,581,911,1487,15362,24475,39838,64,88,149,16004,25471,41476,48,52,97,2149,1830,3978,17,22,42,2213,1910,4119,426,508,937,16532,20902,37431,63,85,151,17029,21495,38523,3497,3390,6890,168235,160683,328913,465,403,872,172195,164476,336670,818,479,1302,9798,9038,18838,11542,9321,20855,22159,18837,40993,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466,3716,3605,7323,177792,170942,348735,490,440,936,181998,174995,356996,1110,1243,2355,41803,47284,89084,173,203,381,43087,48736,91823,270,473,733,11073,14816,25881,63,98
507,164,323,482,11910,21333,33237,85,156,237,12158,21810,33968,468,647,1110,13999,18178,32175,52,76,129,14526,18898,33422,58,68,125,5636,6318,11962,41,43,83,5738,6430,12168,12,22,33,1129,1623,2754,30,35,64,1171,1677,2852,217,241,465,9974,8151,18123,59,49,109,10250,8443,18697,143,105,247,9316,5753,15073,67,69,140,9524,5935,15457,36,49,84,1745,1520,3262,15,11,23,1793,1578,3373,64,75,140,3225,3527,6751,33,36,67,3314,3636,6955,479,742,1223,14425,23831,38259,68,93,159,14974,24667,39642,35,25,66,1815,1531,3341,11,18,28,1858,1573,3435,363,434,796,14440,19452,33892,86,93,178,14888,19978,34864,2698,2555,5251,134091,132093,266184,401,348,746,137189,134997,272181,796,275,1073,8233,7862,16098,10043,7423,17465,19073,15566,34634,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407,2887,2724,5607,142237,141658,283892,427,380,806,145548,144760,290309,896,1005,1902,37327,43834,81163,174,187,355,38394,45028,83421,201,315,520,9731,13448,23183,75,90
509,138,249,387,5771,8578,14346,72,106,174,5977,8928,14908,286,422,708,4660,5873,10533,46,45,92,4988,6343,11328,39,58,101,2400,2336,4744,16,28,47,2465,2424,4886,11,27,31,416,618,1036,6,15,18,431,654,1095,231,268,495,3918,2994,6909,35,29,65,4185,3293,7472,143,134,276,3910,2272,6179,38,24,67,4096,2426,6521,40,34,78,631,526,1156,14,8,13,678,566,1246,62,65,125,1547,1385,2933,17,12,29,1628,1466,3091,249,405,649,4647,7041,11686,47,59,106,4936,7502,12442,27,34,65,807,655,1453,11,11,15,843,696,1538,172,223,399,4444,5427,9869,29,36,69,4642,5692,10335,1693,1584,3274,35915,33684,69598,319,302,625,37929,35567,73504,412,245,656,2984,2170,5162,5782,4851,10631,9180,7267,16444,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175,1779,1674,3453,38212,35956,74171,332,324,650,40323,37950,78272,561,590,1149,12797,13705,26506,110,105,215,13470,14404,27870,158,257,412,4144,4933,9072,48,49
510,190,360,549,991,1058,2053,8,15,20,1189,1431,2623,421,804,1220,1647,1800,3451,13,10,22,2077,2617,4691,63,120,184,417,392,812,5,3,3,482,522,998,33,59,95,49,33,82,0,3,4,81,96,176,664,947,1614,910,461,1378,9,10,23,1586,1416,3009,348,397,742,593,223,817,8,4,12,946,627,1575,139,190,331,137,87,227,0,0,3,275,282,561,78,100,174,252,185,443,3,4,11,333,291,622,354,429,779,1209,1975,3175,9,14,22,1569,2407,3974,63,87,148,105,52,159,5,5,8,171,139,312,488,597,1090,1188,1383,2562,5,7,18,1683,1987,3668,7761,7525,15286,21891,18457,40348,200,152,356,29858,26136,55999,1381,989,2366,1164,864,2036,7893,5535,13425,10437,7387,17824,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128,8088,7848,15937,22685,19283,41970,207,162,366,30974,27294,58266,1369,1636,3010,3893,3865,7760,32,30,65,5299,5529,10832,270,486,755,766,800,1563,5,10
511,190,348,540,3382,4829,8209,53,59,109,3619,5233,8857,365,636,1001,3475,4203,7678,27,42,66,3868,4884,8750,76,86,163,1509,1392,2905,18,19,38,1605,1500,3105,37,55,95,276,364,640,4,4,11,323,424,745,515,641,1165,2786,2019,4802,32,24,53,3335,2687,6018,285,290,572,2375,1349,3730,30,19,45,2689,1662,4346,98,158,261,518,423,948,4,0,11,630,587,1216,88,115,209,1024,894,1918,11,21,27,1122,1026,2157,309,460,764,3146,4708,7855,29,32,52,3484,5190,8678,44,54,96,455,361,818,5,9,13,496,423,923,364,384,745,2892,3577,6472,42,33,68,3299,3992,7289,3363,3375,6740,31432,28277,59709,225,220,446,35025,31869,66893,805,563,1365,2118,1849,3967,7479,5555,13038,10408,7962,18370,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758,3570,3526,7102,33013,29919,62936,245,229,467,36832,33680,70504,907,946,1847,9031,9270,18298,81,82,166,10021,10299,20312,229,408,636,2490,2948,5432,30,29
