SA4_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
501,13,260,7,285,14,210,12,237,28,263,53,348,31,186,40,256,32,182,25,243,26,159,15,207,7,116,5,132,154,1382,166,1706,19,265,16,303,18,184,6,212,47,264,6,320,53,241,7,297,58,218,10,282,37,161,12,201,19,127,9,161,250,1462,65,1778,33,529,23,587,33,392,21,446,78,531,65,668,84,426,45,553,99,400,32,533,62,324,25,408,27,245,21,295,410,2845,233,3485
502,17,148,7,174,11,104,0,115,24,160,11,195,17,117,11,144,17,86,10,108,22,81,4,112,4,65,4,75,121,755,48,924,13,149,13,173,18,110,3,132,30,166,7,201,35,117,8,154,36,91,8,142,26,80,0,104,11,72,3,93,164,787,49,995,30,300,23,349,28,211,9,246,53,330,15,393,53,233,18,300,54,179,14,251,50,160,6,215,17,137,11,166,284,1543,96,1925
503,4,60,4,66,8,87,0,94,3,108,0,119,10,75,5,91,13,68,4,84,10,39,4,49,4,34,4,46,47,472,21,543,8,87,0,96,8,94,0,103,13,119,0,142,8,65,7,72,20,58,0,79,13,33,0,51,8,33,3,42,70,489,16,580,16,146,5,164,13,178,3,191,21,231,3,257,17,139,6,162,32,125,4,165,23,72,5,99,10,66,6,83,122,957,41,1122
504,22,347,31,392,26,284,103,409,38,481,278,788,36,325,163,524,41,261,78,378,32,202,35,274,15,97,16,128,206,1999,692,2899,23,331,20,374,31,265,25,328,95,485,78,661,71,281,47,401,80,277,27,384,56,198,16,270,19,165,12,193,384,2007,221,2607,48,677,49,768,53,554,133,735,132,960,352,1449,111,605,210,928,122,541,103,763,86,401,52,544,38,266,25,322,591,4003,915,5510
505,23,375,13,413,19,287,7,317,38,492,19,547,55,321,10,390,54,249,10,310,34,208,14,252,25,127,9,160,251,2051,81,2389,32,304,16,354,25,289,8,324,101,505,21,628,96,358,10,466,85,301,15,402,63,237,5,310,26,155,16,202,434,2152,96,2680,49,676,34,760,44,583,14,640,137,1000,39,1180,151,677,25,850,146,546,26,714,98,441,18,558,50,280,25,363,678,4204,181,5068
506,28,516,73,613,37,468,72,578,82,720,197,999,60,475,117,653,53,426,73,545,43,280,36,364,19,214,23,260,320,3100,596,4016,39,509,29,581,45,461,22,530,139,731,82,955,120,481,63,663,122,429,46,591,83,320,24,430,43,270,30,344,598,3207,295,4094,68,1028,107,1199,85,927,101,1113,224,1455,285,1959,179,954,178,1311,172,853,113,1140,132,599,61,791,66,485,46,600,919,6300,894,8113
507,26,393,43,458,29,359,102,485,48,571,226,843,42,373,141,563,60,288,70,413,37,191,21,256,29,140,15,181,265,2324,607,3198,35,373,25,434,39,351,15,400,90,586,29,707,101,395,11,498,98,299,3,402,68,235,9,310,35,149,22,212,456,2388,121,2970,61,766,66,893,62,710,113,888,128,1156,260,1554,146,766,153,1062,159,592,70,818,104,427,32,565,64,293,33,389,724,4712,728,6162
509,18,282,31,333,16,189,26,228,39,254,84,376,33,220,60,307,40,216,28,282,34,260,26,319,30,166,15,215,210,1585,266,2064,17,239,29,287,21,136,18,175,50,266,13,327,56,206,22,285,72,245,21,340,61,230,25,320,42,208,16,261,319,1531,137,1989,33,526,62,616,36,324,44,402,84,522,98,700,87,423,79,593,113,461,45,617,98,492,44,637,74,376,31,479,530,3111,405,4053
510,86,851,95,1037,95,704,109,910,200,1351,251,1804,185,1133,207,1529,136,903,134,1176,90,600,76,766,48,399,31,472,841,5938,911,7692,85,809,105,997,146,690,57,891,291,1376,111,1773,272,1129,115,1524,249,874,79,1205,150,667,48,870,77,496,50,625,1273,6036,568,7874,176,1660,202,2033,237,1393,166,1797,488,2724,362,3572,464,2260,325,3052,384,1781,212,2380,242,1273,123,1634,119,892,82,1095,2111,11976,1483,15567
511,44,436,67,549,30,340,73,445,66,572,155,791,71,425,121,618,72,447,90,605,57,389,34,482,31,292,39,365,365,2914,587,3865,28,445,58,536,46,372,30,448,108,576,52,738,127,462,69,654,118,499,46,669,83,430,29,544,41,385,44,470,551,3169,336,4051,68,889,132,1082,76,714,105,894,176,1149,202,1533,200,887,190,1271,186,945,142,1272,144,817,67,1028,75,675,80,833,914,6084,919,7915
