SA4_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
501,7,118,99,1270,316,43,323,2180,231,955,544,3775,239,91,970,6804,451,1287,924,4265,117,153,1148,8347,517,1283,1069,4142,91,194,1322,8620,454,1106,1082,3999,73,219,1137,8067,634,1444,1476,4461,78,354,2090,10536,2291,6193,5211,22276,1205,1072,7386,45639,0,0,0,22,18,3,19,66,0,0,7,62,16,4,10,102,9,15,18,85,28,4,17,169,10,28,21,76,7,6,20,168,10,28,25,51,8,7,16,151,11,21,13,38,10,3,12,99,6,8,12,19,0,4,25,87,40,95,105,353,94,36,111,835,3,0,36,550,293,40,130,1061,43,303,177,1052,283,64,74,1999,552,2020,1014,2444,337,161,261,6793,898,2773,1471,2615,287,280,350,8677,833,2264,1557,2403,265,423,344,8089,706,1615,1676,1897,225,438,520,7072,621,1715,1806,1170,216,473,1820,7810,3666,10685,7738,12133,1894,1891,3495,41505,0,0,0,4,0,0,249,252,0,0,0,0,0,0,218,225
502,12,123,87,671,156,24,219,1292,86,390,291,1995,112,48,520,3442,193,457,470,1988,60,72,654,3906,226,466,580,2161,41,91,666,4235,241,464,663,2319,44,96,587,4412,329,757,1052,3491,52,244,1429,7352,1096,2657,3163,12843,638,592,4270,25253,0,0,4,15,10,0,3,28,0,8,4,25,13,3,9,68,0,12,19,64,3,0,7,104,0,15,11,52,3,4,9,85,0,9,11,37,6,0,6,71,8,7,12,22,0,5,9,57,4,6,4,9,0,6,10,34,16,50,65,220,30,24,52,447,0,0,17,265,125,39,61,509,28,222,176,609,170,46,72,1319,255,940,623,1388,171,109,169,3651,376,1094,836,1342,151,169,201,4167,393,952,913,1304,109,202,209,4087,327,687,977,1131,127,244,324,3809,289,850,1093,837,157,363,1671,5246,1666,4735,4631,6880,1002,1176,2709,22799,0,0,0,0,0,0,134,132,0,0,0,0,0,0,143,147
503,217,1766,386,594,112,31,456,3567,3024,5951,1091,1624,113,83,1503,13390,3258,4944,1163,1268,62,89,1097,11892,2763,4095,1010,1079,32,126,854,9960,2168,3245,960,1147,36,110,746,8417,2360,3607,1494,1412,24,204,1511,10610,13792,23606,6141,7320,507,659,6343,58376,0,0,0,9,11,0,0,23,0,16,9,24,4,0,5,49,17,34,17,20,6,6,5,101,14,15,9,11,3,0,0,50,9,13,7,6,0,5,3,48,6,9,9,4,0,0,4,27,4,8,0,0,0,0,0,19,50,93,47,88,21,14,22,324,0,4,50,260,151,23,46,534,277,2165,511,522,115,44,126,3760,3626,6918,1190,875,79,99,322,13108,3463,5530,1159,665,69,137,273,11301,2920,4444,1277,608,68,238,278,9832,2045,3049,1462,528,74,279,334,7774,1815,3368,1968,479,116,485,1381,9622,14142,25484,7618,3936,671,1317,2758,55928,0,0,0,0,0,0,148,147,0,8,0,0,0,0,355,361
504,93,776,466,1738,389,81,579,4123,1223,3577,1739,5895,338,197,1640,14610,1776,3758,2174,5287,202,236,1651,15096,1138,2521,1896,4780,139,254,1447,12188,882,1651,1544,4525,91,259,1200,10150,776,1607,1651,4757,71,359,1796,11021,5890,13901,9515,27529,1586,1432,8726,68568,0,0,3,26,18,5,12,57,4,11,13,79,22,6,22,147,6,47,56,197,21,10,30,372,24,29,35,85,7,8,24,208,21,33,47,52,9,11,27,197,9,23,24,40,4,8,26,128,0,16,21,14,0,8,18,79,63,164,192,486,86,44,152,1184,0,8,49,514,294,64,108,1044,148,1209,653,1485,351,125,188,4161,2116,5597,2319,3582,375,264,561,14809,2463,5105,2608,3034,332,456,579,14580,1619,3305,2371,2635,288,575,516,11310,1062,1961,1982,1960,206,593,668,8433,728,1811,1746,1204,202,581,1864,8133,8142,18995,11729,14417,2048,2660,4484,62480,0,0,0,0,3,0,248,254,0,0,0,0,0,0,280,288
505,249,2335,1022,3231,657,175,1119,8782,3103,8290,3312,10567,514,369,3093,29252,4310,9131,4590,10273,305,530,3221,32348,3628,7018,4499,9384,221,597,2862,28209,2504,4643,3595,8975,165,519,2153,22559,2194,4504,4388,9941,160,762,3637,25588,15998,35933,21503,53457,2672,3030,16795,149392,0,0,0,21,14,0,12,53,3,18,11,71,23,8,5,140,19,68,62,167,38,10,25,383,20,55,40,90,17,12,28,265,25,35,53,67,8,13,29,223,12,15,39,43,6,8,25,141,6,20,15,10,3,4,25,79,88,218,219,464,108,56,149,1289,7,10,125,1094,626,127,242,2237,378,3205,1385,2679,631,240,423,8941,4881,13015,4792,6003,583,518,1129,30924,5981,13125,5658,5546,592,873,1246,33016,4094,8779,5857,5144,532,1330,1250,26997,2584,5092,4826,3869,480,1202,1276,19330,1661,4604,4393,2573,478,1528,4327,19560,19591,47824,27042,26908,3927,5826,9896,141009,0,0,0,0,0,0,404,405,0,0,3,7,0,5,525,538
506,277,2334,1281,3268,810,161,1390,9523,3727,8819,3754,9148,614,354,3491,29912,5176,9040,4320,8633,322,420,3313,31228,3275,5737,3363,7713,207,463,2782,23547,2137,3582,2668,7258,125,446,2180,18394,1930,3722,3181,8567,129,654,3528,21709,16539,33236,18670,45580,2884,2575,17497,136969,0,0,0,38,23,0,34,97,7,16,34,119,48,10,24,251,22,65,88,256,45,17,58,551,25,70,65,147,21,11,32,371,20,49,75,95,18,8,43,316,17,39,41,43,8,6,42,197,16,20,18,20,5,8,52,143,113,266,323,716,170,62,271,1927,8,12,132,1063,668,95,226,2212,411,3111,1427,2881,703,187,404,9140,5496,12332,4125,5713,585,448,1139,29839,6085,11832,4811,5139,512,680,1125,30175,3403,6779,4188,4203,456,928,932,20885,2105,4055,3610,3110,399,867,1125,15279,1442,3713,3466,2163,361,1112,4310,16567,18943,41835,21761,24286,3684,4314,9268,124093,0,0,0,0,0,0,493,491,0,6,6,4,0,0,687,701
507,154,1519,617,2787,643,135,991,6833,1941,5738,2233,8627,476,295,2552,21868,3238,6398,3227,8202,257,395,2680,24408,2742,4862,3269,7705,187,444,2374,21583,2210,3334,2591,6931,150,430,1892,17533,2129,3581,3036,7449,144,619,3223,20175,12410,25429,15032,42521,2463,2396,14369,114624,0,0,7,32,16,0,26,76,0,29,21,101,33,6,20,215,17,67,75,174,38,11,22,415,18,46,49,116,12,7,24,277,20,45,41,75,17,5,24,224,19,37,30,40,6,7,24,154,8,24,11,18,0,4,32,93,93,254,231,546,126,43,164,1455,3,5,115,963,572,90,210,1955,231,2326,956,2349,579,180,304,6924,3430,9099,3166,5371,614,357,714,22752,4542,9506,4098,4711,488,597,870,24810,3379,6573,4139,4180,425,910,871,20466,2336,4053,3458,3116,377,917,1004,15258,1642,3739,3316,1844,313,1076,3448,15370,15564,35287,19247,22523,3369,4128,7412,107530,0,0,0,0,0,0,386,384,0,9,0,3,0,0,517,533
509,15,122,60,813,172,28,384,1593,155,573,299,2471,138,62,981,4674,223,714,490,2306,96,86,1016,4936,244,738,626,2449,80,123,1222,5488,292,658,732,2804,81,176,1324,6068,410,852,1087,3168,69,295,2225,8112,1337,3655,3297,14286,845,782,7583,31780,0,0,0,9,9,10,27,59,3,0,0,31,15,0,11,72,3,8,15,68,22,6,26,147,0,10,18,56,13,4,19,122,3,17,32,60,5,0,32,159,0,22,27,39,9,5,43,143,3,11,12,14,7,3,52,104,20,74,103,281,80,27,220,807,0,0,18,245,168,24,104,559,45,264,134,537,222,30,69,1288,369,1319,602,1359,222,82,147,4100,488,1592,835,1374,190,140,222,4836,491,1346,1050,1356,192,253,281,4962,506,1146,1288,1246,166,303,415,5070,449,1193,1438,868,134,355,1613,6052,2349,6858,5358,6985,1288,1185,2847,26875,0,0,0,0,0,0,246,241,0,0,0,0,6,0,206,211
510,13,97,49,562,122,27,595,1467,292,787,373,2801,127,72,1955,6403,303,709,645,2901,96,106,1862,6624,206,439,476,2137,55,84,1554,4941,158,256,351,1401,40,61,1180,3442,62,119,146,540,6,35,564,1484,1030,2405,2048,10437,532,405,8198,25052,0,0,0,15,37,3,107,174,0,7,12,102,51,17,72,260,11,47,57,269,93,25,143,646,25,43,86,217,74,34,134,609,21,56,68,134,41,26,109,458,21,55,48,63,26,19,78,318,11,24,18,16,4,12,85,167,90,225,293,821,332,144,732,2635,0,0,9,79,65,7,30,182,31,266,89,266,89,14,40,791,544,1618,616,936,131,76,176,4110,528,1237,643,852,121,88,152,3618,301,666,494,553,57,100,116,2288,184,354,366,304,31,76,111,1438,68,140,130,82,11,24,109,566,1661,4279,2345,3083,501,386,735,12992,0,0,0,0,0,0,260,259,0,0,3,0,0,0,375,376
511,27,130,50,857,206,30,629,1932,233,729,347,2877,161,67,1510,5928,291,693,547,2592,92,91,1384,5696,265,587,540,2578,71,102,1451,5598,188,406,548,2391,68,110,1272,4984,133,353,512,2064,53,145,1575,4842,1149,2896,2557,13549,783,563,8286,29778,0,0,0,19,33,6,55,110,0,0,14,56,31,12,37,152,7,20,37,106,40,6,59,275,6,28,38,120,21,11,53,273,7,35,39,84,17,16,60,261,12,29,34,55,12,14,58,214,4,21,23,7,0,3,75,138,35,131,177,450,153,61,408,1426,0,0,21,184,146,22,60,419,42,311,153,532,225,35,60,1361,450,1436,628,1329,220,98,162,4328,510,1299,732,1199,162,128,161,4202,380,1000,790,1131,137,182,242,3872,287,608,717,839,98,171,297,3010,186,490,593,474,81,167,860,2850,1861,5139,3635,5691,1073,800,1843,20046,0,0,0,0,0,0,306,306,0,0,0,0,0,0,369,368
597,0,4,0,7,0,0,10,18,0,9,5,27,0,6,40,82,0,10,6,39,0,4,74,135,3,10,3,15,0,0,47,83,0,6,0,7,0,3,20,47,0,0,3,0,0,0,3,7,7,36,24,100,3,8,210,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,4,3,0,0,0,10,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
599,0,12,10,43,11,4,135,204,23,81,37,131,8,4,402,676,17,53,33,132,10,3,529,786,17,28,21,113,6,7,525,712,16,24,25,114,0,9,343,533,11,27,28,115,0,7,218,411,89,227,143,662,39,26,2194,3376,0,0,0,0,0,0,20,23,0,0,3,6,0,0,32,36,0,0,0,4,0,0,96,105,0,4,0,0,0,0,120,133,0,0,0,3,0,0,98,102,0,0,3,0,0,0,51,56,0,0,0,0,0,0,36,38,3,3,4,15,6,0,460,495,0,0,0,3,4,0,20,34,0,40,7,24,12,0,26,108,53,141,45,57,16,0,74,384,27,70,43,66,4,8,95,317,16,32,28,43,4,5,75,200,21,34,45,46,4,19,47,213,16,13,20,25,0,8,49,132,134,333,182,268,45,38,392,1385,0,0,0,0,0,0,13,13,0,0,0,0,0,0,48,48
