SA4_CODE_2021,Emp_Worked_FT_A_15_24_y_M,Emp_Worked_FT_A_25_34_y_M,Emp_Worked_FT_A_35_44_y_M,Emp_Worked_FT_A_45_54_y_M,Emp_Worked_FT_A_55_64_y_M,Emp_Worked_FT_A_65_and_over_M,Emp_Worked_FT_Tot_M,Emp_Worked_PT_A_15_24_y_M,Emp_Worked_PT_A_25_34_y_M,Emp_Worked_PT_A_35_44_y_M,Emp_Worked_PT_A_45_54_y_M,Emp_Worked_PT_A_55_64_y_M,Emp_Worked_PT_A_65_and_over_M,Emp_Worked_PT_Tot_M,EAfW_A_15_24_y_M,EAfW_A_25_34_y_M,EAfW_A_35_44_y_M,EAfW_A_45_54_y_M,EAfW_A_55_64_y_M,EAfW_A_65_over_M,EAfW_Tot_M,Emp_Tot_Age_15_24_y_M,Emp_Tot_Age_25_34_y_M,Emp_Tot_Age_35_44_y_M,Emp_Tot_Age_45_54_y_M,Emp_Tot_Age_55_64_y_M,Emp_Tot_A_65_over_M,Emp_Tot_Tot_M,Unemp_A_15_24_y_M,Unemp_A_25_34_y_M,Unemp_A_35_44_y_M,Unemp_A_45_54_y_M,Unemp_A_55_64_y_M,Unemp_A_65_over_M,Unemp_Tot_M,Tot_LF_Ag_15_24_y_M,Tot_LF_Ag_25_34_y_M,Tot_LF_Ag_35_44_y_M,Tot_LF_Ag_45_54_y_M,Tot_LF_Ag_55_64_y_M,Tot_LF_Ag_65_and_over_M,Tot_LF_Tot_M,Not_in_LF_Age_15_24_y_M,Not_in_LF_Age_25_34_y_M,Not_in_LF_Age_35_44_y_M,Not_in_LF_Age_45_54_y_M,Not_in_LF_Age_55_64_y_M,Not_in_LF_A_65and_over_M,Not_In_LF_Tot_M,LF_stat_NS_A_15_24_y_M,LF_stat_NS_A_25_34_y_M,LF_stat_NS_A_35_44_y_M,LF_stat_NS_A_45_54_y_M,LF_stat_NS_A_55_64_y_M,LF_stat_NS_A_65and_over_M,LF_status_NS_Tot_M,Tot_Age_15_24_y_M,Tot_Age_25_34_y_M,Tot_Age_35_44_y_M,Tot_Age_45_54_y_M,Tot_Age_55_64_y_M,Tot_A_65_and_over_M,Tot_Tot_M,Emp_Worked_FT_A_15_24_y_F,Emp_Worked_FT_A_25_34_y_F,Emp_Worked_FT_A_35_44_y_F,Emp_Worked_FT_A_45_54_y_F,Emp_Worked_FT_A_55_64_y_F,Emp_Worked_FT_A_65_and_over_F,Emp_Worked_FT_Tot_F,Emp_Worked_PT_A_15_24_y_F,Emp_Worked_PT_A_25_34_y_F,Emp_Worked_PT_A_35_44_y_F,Emp_Worked_PT_A_45_54_y_F,Emp_Worked_PT_A_55_64_y_F,Emp_Worked_PT_A_65_and_over_F,Emp_Worked_PT_Tot_F,EAfW_A_15_24_y_F,EAfW_A_25_34_y_F,EAfW_A_35_44_y_F,EAfW_A_45_54_y_F,EAfW_A_55_64_y_F,EAfW_A_65_over_F,EAfW_Tot_F,Emp_Tot_Age_15_24_y_F,Emp_Tot_Age_25_34_y_F,Emp_Tot_Age_35_44_y_F,Emp_Tot_Age_45_54_y_F,Emp_Tot_Age_55_64_y_F,Emp_Tot_A_65_over_F,Emp_Tot_Tot_F,Unemp_A_15_24_y_F,Unemp_A_25_34_y_F,Unemp_A_35_44_y_F,Unemp_A_45_54_y_F,Unemp_A_55_64_y_F,Unemp_A_65_over_F,Unemp_Tot_F,Tot_LF_Ag_15_24_y_F,Tot_LF_Ag_25_34_y_F,Tot_LF_Ag_35_44_y_F,Tot_LF_Ag_45_54_y_F,Tot_LF_Ag_55_64_y_F,Tot_LF_Ag_65_and_over_F,Tot_LF_Tot_F,Not_in_LF_Age_15_24_y_F,Not_in_LF_Age_25_34_y_F,Not_in_LF_Age_35_44_y_F,Not_in_LF_Age_45_54_y_F,Not_in_LF_Age_55_64_y_F,Not_in_LF_A_65and_over_F,Not_In_LF_Tot_F,LF_stat_NS_A_15_24_y_F,LF_stat_NS_A_25_34_y_F,LF_stat_NS_A_35_44_y_F,LF_stat_NS_A_45_54_y_F,LF_stat_NS_A_55_64_y_F,LF_stat_NS_A_65and_over_F,LF_status_NS_Tot_F,Tot_Age_15_24_y_F,Tot_Age_25_34_y_F,Tot_Age_35_44_y_F,Tot_Age_45_54_y_F,Tot_Age_55_64_y_F,Tot_A_65_and_over_F,Tot_Tot_F,Emp_Worked_FT_A_15_24_y_P,Emp_Worked_FT_A_25_34_y_P,Emp_Worked_FT_A_35_44_y_P,Emp_Worked_FT_A_45_54_y_P,Emp_Worked_FT_A_55_64_y_P,Emp_Worked_FT_A_65_and_over_P,Emp_Worked_FT_Tot_P,Emp_Worked_PT_A_15_24_y_P,Emp_Worked_PT_A_25_34_y_P,Emp_Worked_PT_A_35_44_y_P,Emp_Worked_PT_A_45_54_y_P,Emp_Worked_PT_A_55_64_y_P,Emp_Worked_PT_A_65_and_over_P,Emp_Worked_PT_Tot_P,EAfW_A_15_24_y_P,EAfW_A_25_34_y_P,EAfW_A_35_44_y_P,EAfW_A_45_54_y_P,EAfW_A_55_64_y_P,EAfW_A_65_over_P,EAfW_Tot_P,Emp_Tot_Age_15_24_y_P,Emp_Tot_Age_25_34_y_P,Emp_Tot_Age_35_44_y_P,Emp_Tot_Age_45_54_y_P,Emp_Tot_Age_55_64_y_P,Emp_Tot_A_65_over_P,Emp_Tot_Tot_P,Unemp_A_15_24_y_P,Unemp_A_25_34_y_P,Unemp_A_35_44_y_P,Unemp_A_45_54_y_P,Unemp_A_55_64_y_P,Unemp_A_65_over_P,Unemp_Tot_P,Tot_LF_Ag_15_24_y_P,Tot_LF_Ag_25_34_y_P,Tot_LF_Ag_35_44_y_P,Tot_LF_Ag_45_54_y_P,Tot_LF_Ag_55_64_y_P,Tot_LF_Ag_65_and_over_P,Tot_LF_Tot_P,Not_in_LF_Age_15_24_y_P,Not_in_LF_Age_25_34_y_P,Not_in_LF_Age_35_44_y_P,Not_in_LF_Age_45_54_y_P,Not_in_LF_Age_55_64_y_P,Not_in_LF_A_65and_over_P,Not_In_LF_Tot_P,LF_stat_NS_A_15_24_y_P,LF_stat_NS_A_25_34_y_P,LF_stat_NS_A_35_44_y_P,LF_stat_NS_A_45_54_y_P,LF_stat_NS_A_55_64_y_P,LF_stat_NS_A_65and_over_P,LF_status_NS_Tot_P,Tot_Age_15_24_y_P,Tot_Age_25_34_y_P,Tot_Age_35_44_y_P,Tot_Age_45_54_y_P,Tot_Age_55_64_y_P,Tot_A_65_and_over_P,Tot_Tot_P
501,132,131,121,105,84,19,592,87,33,24,32,22,5,201,15,33,12,13,13,7,99,244,196,162,148,111,30,895,68,46,19,16,11,0,153,311,241,179,164,127,33,1050,196,102,74,76,76,98,626,11,3,8,4,6,4,37,517,348,256,243,207,132,1706,79,44,80,84,41,3,324,135,72,92,83,35,11,426,21,31,12,14,5,0,90,234,150,180,177,86,17,841,59,20,18,16,16,0,129,293,172,194,196,98,17,970,211,146,97,89,101,138,773,11,7,4,4,4,9,37,513,320,297,282,201,161,1778,214,174,199,183,119,23,920,223,109,111,117,52,17,628,37,66,27,26,23,6,189,480,350,338,324,197,48,1733,126,68,36,32,25,0,289,600,415,371,358,222,45,2020,407,243,171,160,173,240,1392,22,11,12,8,15,12,73,1034,668,553,533,408,295,3485
502,49,85,65,48,44,8,296,47,17,16,17,12,4,114,11,14,13,3,0,3,42,107,120,91,69,58,7,452,48,22,10,10,5,0,96,160,140,104,71,60,11,554,127,46,40,34,43,61,352,8,3,0,4,4,3,19,293,195,144,108,112,75,924,39,27,36,29,18,3,167,75,42,28,29,18,3,198,8,12,13,14,8,0,55,125,87,79,72,45,7,419,31,17,11,11,8,0,72,159,100,89,81,49,9,490,142,98,62,52,57,71,482,7,0,4,4,0,4,25,306,201,154,142,104,93,995,94,114,101,78,63,9,460,126,60,44,45,31,8,314,21,27,23,18,9,3,101,236,205,170,141,100,21,870,82,40,23,18,15,3,169,319,238,191,161,111,23,1041,267,143,103,81,105,134,838,9,9,9,11,0,8,47,598,393,300,251,215,166,1925
503,27,62,53,44,22,9,205,49,16,8,10,8,6,82,3,8,5,6,3,0,28,80,84,59,54,25,9,321,22,7,6,3,0,0,39,99,93,68,60,32,9,360,59,28,14,26,11,26,163,4,0,4,0,6,7,20,162,119,91,84,49,46,543,28,63,29,32,9,8,166,51,31,16,18,6,4,125,3,14,0,0,0,0,29,88,107,48,45,21,12,318,28,5,6,3,0,0,41,112,113,57,51,19,12,361,84,29,14,27,28,28,202,0,4,0,0,0,4,7,196,142,72,79,51,42,580,61,127,79,72,34,12,374,99,44,17,19,18,6,207,7,23,11,8,3,0,52,163,193,107,102,53,18,636,46,7,18,7,8,0,85,213,205,122,113,57,21,722,143,50,28,48,42,58,367,4,3,6,5,4,12,30,355,257,162,165,99,83,1122
504,173,268,206,156,108,16,916,120,58,33,36,26,5,282,17,54,27,16,15,0,124,312,372,266,202,143,19,1323,89,59,26,24,6,0,205,407,432,295,223,151,25,1535,378,355,229,147,110,93,1310,19,6,4,6,9,8,56,809,788,524,378,274,128,2899,110,171,108,140,65,17,614,135,109,81,62,41,12,439,28,45,18,14,5,0,108,272,322,206,216,116,33,1167,85,44,22,25,5,0,182,353,366,234,239,124,33,1349,328,282,162,134,140,156,1194,22,10,10,12,11,7,71,699,661,401,384,270,193,2607,281,437,316,293,171,38,1532,258,163,112,98,66,14,724,49,92,49,27,23,0,237,586,700,472,421,260,56,2488,175,102,52,45,16,0,392,764,798,525,461,277,59,2886,708,635,387,280,246,252,2506,43,20,16,21,16,14,129,1505,1449,928,763,544,322,5510
505,175,277,217,136,101,15,916,117,63,37,30,32,8,288,22,40,21,22,6,7,125,317,382,271,193,138,27,1327,98,63,30,29,20,4,245,413,445,300,223,159,33,1574,292,94,81,82,89,113,753,17,11,9,8,10,10,58,728,547,390,310,252,160,2389,99,176,136,130,73,14,627,163,136,99,82,44,4,530,19,55,24,13,7,9,129,282,362,257,230,129,27,1286,77,39,38,20,5,0,181,363,405,297,249,134,29,1468,309,212,156,142,164,167,1151,8,10,14,7,7,16,59,673,628,466,402,310,202,2680,275,452,345,270,174,24,1543,280,201,134,108,78,13,811,43,98,44,38,13,11,253,599,744,529,422,271,54,2610,181,104,65,56,25,7,429,777,845,592,478,295,60,3044,596,308,240,228,254,284,1904,23,25,20,14,10,27,115,1404,1180,850,714,558,363,5068
506,255,370,274,235,143,34,1305,155,102,49,38,29,24,401,41,63,35,39,21,3,193,450,533,360,306,187,61,1902,165,91,64,33,25,10,391,615,624,420,343,219,68,2293,528,356,213,189,123,172,1578,50,18,21,18,16,19,140,1193,999,653,545,364,260,4016,145,267,209,181,93,20,919,250,126,129,104,77,10,691,44,37,15,24,27,4,154,442,440,346,313,189,43,1770,141,80,52,56,13,0,352,583,521,401,367,206,43,2123,510,412,243,213,205,273,1851,25,25,16,13,14,21,116,1113,955,663,591,430,344,4094,402,637,483,413,233,56,2226,404,225,178,146,100,38,1097,83,102,53,63,46,15,353,891,968,710,616,382,106,3675,312,178,116,89,44,10,745,1203,1142,826,705,426,113,4419,1033,767,452,401,325,441,3431,72,44,34,36,40,42,263,2310,1959,1311,1140,791,600,8113
507,199,319,251,169,102,13,1063,150,79,37,44,30,15,343,32,48,32,21,9,10,144,379,451,316,231,136,37,1551,138,73,29,25,18,3,282,513,527,346,255,154,38,1837,414,305,196,147,88,135,1277,13,17,19,10,13,12,78,939,843,563,413,256,181,3198,135,206,133,111,82,16,691,225,141,119,70,53,16,630,36,38,17,18,9,3,120,396,391,271,203,145,32,1437,98,60,40,24,17,3,236,495,453,315,226,156,35,1676,323,249,177,175,139,157,1214,18,8,8,4,14,20,74,838,707,498,402,310,212,2970,339,527,382,283,190,28,1754,374,224,154,114,81,27,980,65,87,52,37,13,8,264,782,844,587,434,285,69,2993,237,136,71,50,29,3,524,1011,979,662,478,310,74,3513,737,555,373,316,230,287,2498,30,21,27,17,27,28,152,1777,1554,1062,818,565,389,6162
509,112,113,96,89,105,16,528,68,30,27,20,28,12,183,34,25,13,19,22,3,118,207,169,138,125,159,27,826,55,41,40,31,17,6,183,264,207,175,157,180,35,1013,275,150,128,114,125,163,954,23,14,12,16,18,15,94,564,376,307,282,319,215,2064,49,56,52,79,57,8,301,87,68,66,68,56,16,371,13,13,7,14,13,3,73,154,136,130,163,126,31,742,52,24,25,23,15,0,138,201,166,153,187,144,32,876,233,152,115,138,162,211,1012,22,11,14,15,14,18,91,460,327,285,340,320,261,1989,159,169,151,171,163,25,831,160,94,93,91,88,26,546,48,40,23,26,43,9,185,363,304,263,291,282,63,1566,105,64,64,50,30,5,318,467,371,331,337,318,66,1890,511,304,238,252,292,380,1975,42,22,30,28,28,32,190,1022,700,593,617,637,479,4053
510,252,546,476,344,208,59,1889,159,143,139,93,61,21,614,59,112,98,66,32,11,372,469,798,711,507,300,88,2881,206,165,118,81,37,10,611,675,962,824,590,337,97,3487,1153,757,622,527,386,352,3794,114,83,83,60,40,28,410,1948,1804,1529,1176,766,472,7692,181,329,337,300,180,23,1356,191,247,211,128,94,32,906,56,91,69,44,33,15,311,425,674,624,474,312,65,2571,157,112,102,69,28,4,473,582,780,729,541,338,75,3047,1219,923,706,607,498,506,4465,85,70,87,53,34,42,366,1889,1773,1524,1205,870,625,7874,436,874,814,650,387,82,3244,349,387,352,220,156,53,1522,112,205,162,109,68,25,682,900,1466,1331,980,609,159,5448,358,273,225,152,65,13,1088,1259,1746,1550,1137,674,170,6538,2370,1680,1329,1132,884,860,8254,202,151,171,113,75,66,777,3837,3572,3052,2380,1634,1095,15567
511,146,234,180,182,140,30,910,84,52,43,47,44,14,281,36,44,27,27,31,7,174,270,334,246,256,218,47,1369,106,91,70,60,30,7,365,376,430,317,310,248,58,1732,557,337,275,263,220,272,1920,63,36,27,30,17,37,217,994,791,618,605,482,365,3865,107,120,135,145,88,13,611,145,107,124,122,96,21,608,35,29,30,34,22,12,157,288,249,293,306,200,47,1383,79,46,41,38,29,9,240,368,298,325,342,232,55,1618,573,403,299,294,280,373,2221,47,33,28,28,30,40,213,984,738,654,669,544,470,4051,252,355,319,331,227,44,1524,228,161,163,170,137,41,889,77,72,53,65,54,17,330,552,580,536,560,422,98,2751,190,136,104,92,55,15,601,742,722,642,653,481,114,3348,1124,736,572,562,500,644,4142,109,73,63,61,49,74,428,1980,1533,1271,1272,1028,833,7915
