SA4_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
501,0,9,6,12,0,0,0,0,7,7,0,0,0,0,7,7,154,158,307,4407,3861,8263,778,602,1378,5340,4619,9958,159,163,320,4668,4114,8784,784,607,1394,5613,4885,10500,2357,2423,4783,77738,80395,158133,474,530,1007,80567,83346,163920,106,120,220,4,19,26,0,0,0,107,137,249,36,28,68,5657,6544,12200,35,34,71,5732,6609,12341,6,0,5,0,0,0,0,0,0,6,0,5,96,113,202,10,18,27,0,0,0,100,134,231,11,16,32,526,944,1479,4,5,13,546,970,1522,739,820,1557,33323,39809,73131,227,303,532,34288,40933,75222,0,0,0,343,308,654,0,5,0,341,314,653,4,3,10,537,495,1035,7,0,6,549,497,1049,3,0,3,42,42,87,0,0,0,44,42,85,9,11,19,0,5,6,0,0,0,4,19,19,7,25,30,369,477,843,3,3,9,377,500,876,11,32,46,367,479,846,3,3,9,383,518,902,1685,1675,3362,46256
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,61,117,1241,1341,2586,118,136,253,1425,1536,2958,64,65,135,1375,1471,2850,130,154,278,1570,1688,3262,1365,1454,2819,43849,47084,90938,274,289,561,45485,48827,94318,54,72,132,0,5,4,0,0,0,53,77,134,17,9,23,2841,3689,6528,13,15,28,2871,3710,6585,0,0,0,0,0,0,0,0,0,0,0,0,52,75,129,0,5,4,0,0,0,52,80,130,8,5,11,305,639,943,0,7,12,318,653,969,436,487,929,20325,25072,45389,140,173,313,20897,25730,46632,4,0,6,252,273,525,0,0,0,254,275,529,3,0,3,176,210,389,3,0,3,184,212,393,0,0,0,26,19,46,0,0,0,26,19,46,0,3,3,0,0,0,0,0,0,0,3,3,7,13,19,241,348,591,6,4,7,251,362,615,11,13,24,241,348,591,6,4,7,251,368,615,980,1036,2014,24440
503,18,31,34,68,0,0,0,4,3,11,0,0,6,3,6,11,231,253,484,3764,3481,7250,1472,1053,2525,5471,4795,10261,240,255,493,3920,3640,7560,1489,1074,2561,5644,4970,10611,576,652,1231,67204,67230,134434,191,202,397,67967,68087,136054,49,42,85,4,5,5,0,0,0,47,47,97,31,20,46,16821,19751,36566,40,44,82,16886,19811,36692,0,0,0,0,0,0,0,0,0,0,0,0,46,39,87,4,3,5,0,0,0,47,45,90,6,4,10,2400,3201,5597,0,4,8,2406,3203,5609,222,273,492,32509,38699,71203,128,154,283,32855,39121,71977,0,0,0,1934,1905,3837,0,0,8,1937,1911,3839,3,5,7,1345,1256,2603,3,0,3,1353,1260,2610,0,0,5,465,460,928,0,0,0,468,463,932,0,4,9,0,0,0,0,0,0,0,4,9,3,7,5,563,590,1144,0,5,5,561,597,1157,6,6,11,563,587,1150,0,5,5,565,599,1163,402,421,822,43059
504,0,4,3,4,0,0,0,0,3,5,0,0,0,0,3,5,372,339,709,2757,2657,5415,242,207,448,3366,3197,6563,379,346,725,2948,2839,5790,246,212,462,3575,3395,6968,3360,3377,6731,97300,97590,194891,423,390,814,101083,101354,202437,170,214,382,5,13,16,0,0,0,172,226,397,70,50,122,27498,30460,57963,57,72,132,27630,30584,58216,3,0,9,0,0,0,0,0,0,3,0,9,159,212,369,5,13,16,0,0,0,164,222,386,15,13,29,2926,4087,7012,3,10,18,2952,4108,7060,1160,1358,2516,51794,59260,111056,234,278,512,53193,60890,114085,0,0,8,3446,3220,6669,4,7,11,3457,3228,6684,16,16,25,4356,4121,8482,19,14,33,4391,4153,8539,0,0,0,347,384,734,0,6,6,350,387,739,7,9,23,0,0,0,0,0,0,12,9,18,7,11,20,2148,2220,4366,0,6,8,2158,2228,4393,20,21,39,2148,2220,4366,0,6,11,2171,2244,4406,2407,2228,4626,57366
505,0,11,23,40,0,0,0,9,4,8,0,0,0,9,9,16,209,189,395,4819,4823,9642,444,427,871,5466,5439,10905,210,191,405,5112,5118,10230,448,443,889,5771,5754,11530,3453,3629,7081,209802,215993,425797,750,758,1504,213998,220381,434382,153,184,336,9,14,25,0,0,0,161,202,370,57,56,115,55166,61951,117122,139,203,339,55363,62211,117574,5,10,17,0,0,0,0,0,0,5,10,17,143,179,324,9,14,25,0,0,0,161,197,352,14,16,33,5872,7991,13861,19,34,52,5903,8044,13947,1173,1419,2594,115832,137191,253017,425,607,1032,117433,139216,256651,0,3,7,6121,5660,11780,7,5,16,6130,5675,11799,31,28,60,7945,7678,15622,40,26,68,8018,7734,15755,0,3,3,1439,1586,3022,4,7,15,1446,1597,3044,11,8,21,0,0,0,0,0,0,11,12,20,5,15,23,2580,2788,5362,4,6,10,2587,2807,5397,20,25,37,2580,2791,5369,4,6,10,2601,2818,5414,2394,2378,4771,120546
506,6,12,18,33,0,0,0,24,19,38,4,0,5,25,17,44,419,340,758,5202,4999,10201,733,619,1355,6351,5960,12307,434,359,791,5526,5321,10837,754,640,1394,6710,6312,13023,5059,5283,10344,169542,169121,338667,686,670,1359,175286,175081,350367,269,303,570,18,15,32,0,0,0,287,320,602,90,77,169,72312,76482,148791,169,212,376,72567,76769,149337,4,8,14,0,0,0,0,0,0,12,8,18,253,288,539,11,15,30,0,0,0,266,302,568,29,22,48,8006,10059,18063,13,31,42,8051,10101,18152,1803,2100,3905,94039,108350,202386,413,475,881,96251,110924,207174,0,4,3,10730,9973,20702,16,27,38,10754,9999,20754,30,39,66,15903,14556,30455,47,54,102,15973,14648,30626,0,5,5,145,143,292,3,5,4,150,150,296,21,14,37,0,6,0,0,0,0,26,18,42,19,30,48,5729,5558,11284,14,10,28,5760,5599,11361,40,44,83,5730,5559,11292,14,10,28,5782,5614,11397,3503,3502,6997,102994
507,9,43,14,61,0,0,0,4,4,5,0,0,0,4,4,5,221,210,433,4541,4450,8995,1002,883,1890,5768,5553,11320,237,213,447,4813,4694,9507,1017,901,1920,6070,5809,11876,3988,4085,8072,166786,172346,339135,627,629,1260,171403,177065,348470,170,180,349,11,15,27,0,3,3,177,200,378,68,53,120,32970,38537,71502,99,102,198,33134,38688,71821,6,6,11,0,0,0,0,0,0,6,6,11,162,171,331,11,15,27,0,3,3,176,186,360,21,24,44,2776,4407,7186,12,26,34,2815,4455,7266,1201,1316,2520,84489,99884,184376,346,399,744,86039,101595,187636,4,0,3,3036,3009,6044,0,4,11,3045,3011,6051,14,9,22,2455,2474,4932,13,8,17,2479,2493,4972,3,0,3,165,201,368,0,0,5,171,200,375,12,14,30,0,0,0,0,0,0,12,14,30,15,30,43,1909,2053,3966,4,10,18,1929,2094,4023,31,42,71,1909,2059,3968,4,10,18,1946,2113,4055,2927,2957,5884,101118
509,4,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,226,194,420,4591,3089,7681,1112,495,1610,5925,3777,9709,238,214,454,4845,3280,8129,1129,501,1627,6211,4000,10207,2572,2659,5233,55633,54729,110358,515,483,996,58721,57872,116589,113,101,208,8,7,13,3,4,4,122,109,231,26,23,40,3489,3871,7358,51,32,88,3557,3929,7488,0,3,9,0,0,0,0,0,0,4,5,10,109,93,208,5,7,10,3,4,4,119,106,224,11,4,16,315,558,873,4,5,4,327,562,891,928,1131,2058,24950,28059,53008,276,263,542,26152,29449,55603,4,0,3,170,154,318,0,0,0,178,156,328,7,3,12,391,341,732,8,5,16,408,351,758,0,0,0,28,22,55,0,0,0,32,28,58,18,9,26,0,0,0,0,0,0,22,9,25,9,16,23,231,352,582,9,4,7,242,369,613,27,21,49,230,352,581,9,4,7,262,381,644,1679,1563,3242,31530
510,17,80,65,145,0,0,0,0,0,0,0,0,0,0,0,0,1086,791,1880,21114,11723,32837,10253,3089,13339,32450,15605,48058,1165,885,2046,21218,11813,33033,10295,3126,13420,32682,15827,48505,6658,6830,13487,24482,20910,45389,222,199,420,31360,27939,59297,3353,3562,6913,33,34,67,0,8,9,3390,3605,6994,107,67,177,3902,3887,7785,33,27,54,4042,3977,8018,259,222,480,0,0,0,0,4,4,265,223,485,3000,3252,6251,27,32,67,0,3,7,3033,3291,6325,14,12,30,367,651,1023,0,5,5,387,671,1058,4884,5615,10501,9967,9410,19373,115,95,208,14962,15122,30082,3,0,6,422,314,736,0,0,0,424,321,746,25,9,32,538,425,961,0,0,4,565,434,999,0,0,0,23,20,45,0,0,0,23,20,45,352,331,685,0,4,3,0,4,5,356,334,693,17,15,31,147,136,283,0,0,0,163,148,316,368,349,716,150,141,290,3,4,3,520,492,1009,4114,3797,7915,16361
511,11,26,26,57,0,0,0,0,0,0,0,0,0,0,0,0,598,539,1135,13486,8372,21860,6227,2016,8250,20318,10934,31248,629,575,1202,13668,8516,22186,6268,2046,8318,20571,11130,31702,4062,4257,8324,43138,40492,83630,353,317,677,47559,45067,92630,936,1054,1988,15,5,24,5,3,3,952,1063,2019,41,40,78,4276,4537,8813,26,33,61,4348,4608,8955,60,54,117,0,0,0,0,0,0,65,54,120,853,982,1844,15,5,24,0,3,5,872,997,1868,5,12,19,394,681,1073,5,5,15,404,696,1102,2032,2389,4423,20190,21919,42112,197,191,387,22422,24503,46925,3,0,4,351,288,634,0,0,0,354,290,643,5,7,12,514,460,975,3,3,6,524,473,994,0,0,0,17,23,45,0,0,0,16,23,44,117,107,221,0,3,3,0,0,0,117,113,224,11,7,17,196,242,439,0,0,0,207,251,455,126,115,240,196,244,442,0,0,0,318,361,682,2700,2649,5347,24802
