SA4_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
501,5729,11059,455,307,763,5920,6184,12102,128,152,282,5539,5939,11481,506,303,814,6177,6395,12567,118,136,252,5705,6162,11864,517,348,860,6333,6646,12977,116,124,238,5660,6091,11746,421,328,748,6191,6543,12730,91,82,166,5840,6418,12252,394,337,723,6318,6831,13149,132,161,295,17506,18657,36159,1117,1152,2268,18757,19972,38723,2672,2647,5324,84594,87780,172380,5997,5045,11042,93269,95483,188747
502,2809,5223,243,142,381,2715,3019,5736,51,61,114,2772,3065,5837,268,180,452,3089,3308,6404,60,78,139,2912,3308,6213,250,140,393,3225,3521,6745,58,68,126,3134,3465,6601,237,160,395,3428,3690,7124,47,40,90,3104,3684,6785,175,147,329,3332,3875,7206,75,93,166,12293,13581,25878,603,600,1208,12973,14273,27246,1508,1590,3097,47282,51523,98809,3187,2541,5733,51979,55660,107641
503,5729,11411,366,217,578,6093,5978,12071,48,40,93,5379,5651,11033,286,180,466,5720,5868,11587,32,43,74,5514,5659,11173,314,209,517,5857,5910,11760,38,35,70,4995,5109,10099,286,191,481,5320,5333,10649,13,17,26,4568,4794,9368,228,170,399,4808,4986,9792,46,42,83,13315,15297,28616,734,754,1489,14096,16096,30190,679,732,1411,84701,87752,172445,4645,3756,8401,90025,92241,182267
504,8903,17562,520,312,834,9403,9395,18798,212,209,417,8208,8705,16919,510,347,864,8928,9271,18197,170,175,342,8328,8628,16954,494,302,793,8991,9101,18094,152,145,299,7856,8132,15991,456,262,715,8463,8536,17004,114,125,247,6930,7362,14296,347,252,603,7399,7741,15138,128,193,322,17876,20313,38186,840,908,1744,18847,21413,40254,4342,3874,8212,127270,129549,256824,6491,5049,11539,138101,138478,276573
505,19429,37512,992,583,1574,19235,20224,39464,177,202,374,18175,19170,37344,968,581,1547,19315,19950,39264,141,201,340,17759,18710,36466,903,524,1430,18802,19436,38237,141,172,309,15915,17055,32969,771,493,1261,16828,17719,34542,118,133,250,14246,15672,29922,617,452,1073,14976,16261,31239,160,202,363,39322,47007,86330,1472,1815,3286,40950,49028,89980,3800,4003,7802,267375,280785,548156,11887,9447,21336,283068,294235,577297
506,17395,34914,1003,643,1646,18828,18331,37162,292,288,575,15696,15710,31408,916,595,1513,16904,16595,33501,257,308,563,15003,14972,29967,914,583,1500,16175,15856,32031,208,247,456,13623,14003,27626,765,529,1295,14599,14783,29384,155,176,329,12259,13237,25497,622,445,1075,13034,13861,26897,260,344,600,34024,39284,73310,1357,1571,2928,35639,41198,76835,6076,6083,12162,245757,249115,494871,12305,10127,22430,264141,265325,529466
507,14681,28412,890,482,1377,14875,15383,30261,236,206,439,13447,14331,27778,815,525,1336,14500,15057,29564,179,194,374,13336,14204,27539,797,473,1265,14318,14865,29180,151,170,323,12257,13297,25553,689,446,1136,13098,13913,27014,103,137,243,11095,11933,23028,554,375,931,11757,12446,24199,181,212,389,30463,35600,66058,1400,1521,2925,32045,37333,69375,4892,4497,9392,202226,212902,415127,10753,8142,18893,217864,225539,443407
509,3357,6594,406,318,732,3787,3826,7612,158,148,308,3640,3780,7417,431,385,813,4230,4310,8542,122,190,314,4172,4228,8406,506,378,883,4798,4797,9597,177,181,352,4587,4619,9210,534,422,959,5296,5223,10518,150,142,287,4788,4816,9600,474,336,811,5408,5293,10700,215,261,479,14553,14238,28792,1286,1232,2517,16054,15733,31791,3003,2925,5931,60317,59274,119586,6298,5361,11662,69616,67561,137175
510,1973,4506,719,420,1140,3966,3099,7066,610,611,1220,2298,1789,4088,697,396,1095,3602,2797,6404,562,594,1155,2138,1596,3734,634,391,1021,3337,2578,5914,415,492,904,1953,1329,3281,587,323,907,2952,2140,5096,353,380,732,1461,1085,2544,426,238,659,2234,1693,3936,472,625,1095,1642,1159,2803,397,297,700,2521,2076,4597,11229,11205,22433,28758,25059,53818,8139,5742,13883,48124,41999,90128
511,2946,5899,557,397,954,3810,3659,7464,317,316,633,3221,3105,6317,568,351,918,4106,3764,7875,291,347,640,3478,3253,6740,621,390,1013,4396,3992,8387,266,285,549,3474,3206,6676,542,367,909,4283,3856,8135,217,260,473,3441,3026,6472,509,335,842,4174,3624,7791,365,470,833,8164,7775,15944,1012,870,1880,9541,9118,18656,5692,5735,11421,48036,45527,93565,7853,5915,13770,61579,57177,118758
597,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
599,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
