SA4_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
501,498,6356,6855,115,746,859,27,155,182,5,27,34,4,18,17,151,946,1092,686,17671,18358,594,24370,24968,227,13387,13612,23,1262,1286,1530,56690,58224,2385,67577,69965
502,258,3426,3682,65,345,416,24,70,91,3,7,17,0,0,4,92,422,528,424,10684,11106,381,14524,14902,145,8575,8718,8,708,718,958,34491,35444,1418,40319,41734
503,274,18015,18291,30,1455,1485,0,119,123,0,16,16,0,0,3,30,1590,1627,268,25743,26015,97,16999,17098,25,5612,5636,6,1288,1290,396,49642,50039,742,72018,72762
504,678,11688,12369,178,1492,1670,54,284,339,12,59,70,8,16,22,252,1851,2101,987,28368,29357,754,33851,34600,284,15224,15506,27,1583,1604,2052,79026,81067,3250,97026,100273
505,770,22087,22860,183,2691,2872,53,474,522,15,90,101,9,36,45,260,3291,3540,1153,60811,61959,946,74083,75030,287,34214,34498,41,3589,3630,2427,172697,175117,3722,207666,211386
506,1127,24864,25995,287,3410,3696,71,608,676,19,143,162,10,39,46,387,4200,4580,1601,54542,56149,1247,62898,64141,396,26938,27332,54,3169,3222,3298,147547,150844,5212,184842,190049
507,823,17675,18495,195,1738,1934,48,256,303,13,55,74,6,12,15,262,2061,2326,1270,46503,47772,1024,54287,55306,386,27649,28033,31,2676,2707,2711,131115,133818,4087,158323,162413
509,523,5187,5711,136,598,739,34,94,131,6,24,38,10,4,7,186,720,915,712,12480,13194,571,17698,18272,191,8114,8303,24,1301,1325,1498,39593,41094,2434,48428,50866
510,1685,3058,4743,617,362,981,275,53,330,139,20,155,93,3,101,1124,438,1567,1808,5702,7509,1191,5403,6599,290,1806,2092,32,216,251,3321,13127,16451,6644,17793,24437
511,863,4508,5371,305,495,794,104,75,179,44,13,63,33,12,40,486,595,1076,1115,9812,10926,941,13086,14027,277,5800,6080,35,766,803,2368,29464,31836,4056,36787,40843
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
