SA4_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
501,..,565,457,407,210,160,1803,..,..,..,24,32,86,144,..,..,..,..,..,5,5,..,565,457,431,243,256,1955,..,24127,9007,9080,3664,1167,47043,..,..,..,494,519,612,1625,..,..,..,..,..,67,67,..,24127,9007,9576,4187,1844,48730
502,..,363,269,219,157,88,1102,..,..,..,25,29,43,98,..,..,..,..,..,0,0,..,363,269,246,182,135,1197,..,14886,5254,4811,1867,692,27506,..,..,..,320,320,460,1100,..,..,..,..,..,37,37,..,14886,5254,5131,2189,1183,28638
503,..,220,78,72,26,10,408,..,..,..,3,0,6,10,..,..,..,..,..,0,0,..,220,78,76,28,20,422,..,22157,8784,9259,3345,628,44168,..,..,..,259,231,294,788,..,..,..,..,..,31,31,..,22157,8784,9526,3574,951,44986
504,..,717,623,561,309,226,2434,..,..,..,54,51,129,228,..,..,..,..,..,25,25,..,717,623,617,351,380,2692,..,29565,16058,15119,5502,2190,68428,..,..,..,906,1023,1599,3525,..,..,..,..,..,217,217,..,29565,16058,16022,6521,4009,72174
505,..,845,722,592,326,221,2708,..,..,..,59,59,100,214,..,..,..,..,..,17,17,..,845,722,654,382,341,2942,..,63318,33910,35712,12445,3936,149322,..,..,..,1870,1958,2834,6652,..,..,..,..,..,263,263,..,63318,33910,37581,14400,7031,156244
506,..,1158,937,809,443,344,3691,..,..,..,83,70,174,328,..,..,..,..,..,30,30,..,1158,937,890,514,545,4042,..,53683,29212,29479,11375,4621,128376,..,..,..,1654,1910,3135,6701,..,..,..,..,..,404,404,..,53683,29212,31142,13283,8164,135482
507,..,903,765,701,389,258,3013,..,..,..,54,56,131,237,..,..,..,..,..,5,5,..,903,765,749,447,395,3261,..,48623,25432,25855,9389,2939,112237,..,..,..,1235,1384,2019,4637,..,..,..,..,..,216,216,..,48623,25432,27094,10780,5163,117090
509,..,622,435,338,214,175,1783,..,..,..,38,28,72,145,..,..,..,..,..,12,12,..,622,435,378,241,258,1937,..,17899,5634,5187,2485,946,32148,..,..,..,326,261,510,1088,..,..,..,..,..,46,46,..,17899,5634,5507,2744,1504,33282
510,..,1386,1093,995,651,538,4654,..,..,..,141,183,637,957,..,..,..,..,..,273,273,..,1386,1093,1129,830,1444,5883,..,5016,2518,2910,1271,381,12095,..,..,..,73,82,154,310,..,..,..,..,..,11,11,..,5016,2518,2990,1350,545,12417
511,..,965,674,571,354,293,2857,..,..,..,70,93,235,394,..,..,..,..,..,71,71,..,965,674,636,446,596,3321,..,12290,4787,4498,1913,687,24172,..,..,..,248,202,329,779,..,..,..,..,..,14,14,..,12290,4787,4747,2113,1026,24964
597,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
599,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
