SA4_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
501,199,217,411,61,87,152,144,173,316,142,182,326,111,204,318,109,216,330,102,140,241,103,153,256,143,119,265,89,63,152,63,57,122,75,37,111,197,66,264,167,67,236,1706,1778,3485
502,148,155,297,28,45,77,82,94,176,93,105,198,57,106,158,67,122,179,40,74,112,43,57,101,67,66,125,40,38,78,41,24,70,42,25,67,149,54,200,36,40,74,924,995,1925
503,63,69,129,38,41,75,44,25,69,32,65,97,22,46,70,38,43,75,20,34,56,32,30,57,37,34,72,27,41,68,29,33,60,22,26,46,126,77,203,19,16,36,543,580,1122
504,310,342,652,74,106,175,187,237,415,193,216,405,114,211,323,107,238,350,101,198,303,131,155,288,199,191,400,166,138,307,150,118,264,124,99,217,355,144,495,694,218,920,2899,2607,5510
505,316,314,633,99,106,207,198,213,406,193,263,457,151,288,438,144,256,402,102,211,315,128,193,324,177,206,385,150,152,301,135,137,269,110,77,183,399,181,585,81,87,162,2389,2680,5068
506,463,523,991,126,178,310,352,356,706,323,430,756,202,363,561,224,393,620,177,270,449,241,245,487,277,301,576,194,229,416,204,192,402,158,106,269,494,241,735,579,271,852,4016,4094,8113
507,343,351,692,122,156,274,240,256,494,235,291,521,140,258,397,133,269,406,107,234,341,156,226,382,198,231,428,169,170,337,165,128,301,120,70,196,460,186,644,602,136,736,3198,2970,6162
509,276,257,531,77,98,177,200,185,378,216,248,466,171,241,410,143,231,379,89,159,243,104,142,244,148,124,272,95,61,157,64,53,115,60,27,87,147,37,187,269,139,410,2064,1989,4053
510,816,807,1618,183,268,450,1600,1477,3074,942,1229,2178,415,715,1129,300,576,879,210,331,539,247,351,600,293,352,640,234,325,562,276,268,540,244,167,404,945,396,1346,992,613,1605,7692,7874,15567
511,415,420,831,114,147,259,546,504,1047,481,546,1027,290,464,753,202,452,658,124,266,394,170,258,433,181,222,400,125,138,265,143,122,265,114,66,177,358,121,473,605,328,938,3865,4051,7915
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,3,9
599,27,19,46,23,24,45,215,161,373,121,100,215,50,52,102,19,30,50,15,19,35,3,10,15,6,0,10,0,7,6,9,3,14,0,0,3,12,0,19,238,176,416,749,597,1349
