SA4_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
501,5,522,784,1303,169,76,248,1535,1160,2697,5384,4397,9787,7095,5635,12726,1081,1049,2129,19868,20795,40661,5494,4516,10009,26444,26358,52802
502,7,317,507,816,45,38,81,780,883,1665,2852,2219,5070,3670,3141,6815,606,655,1268,10560,12051,22617,2899,2281,5177,14070,14990,29061
503,4,751,1047,1797,21,11,35,676,718,1390,4359,3472,7831,5051,4199,9253,281,321,600,23855,25400,49262,4398,3522,7923,28540,29241,57783
504,4,1151,1601,2757,698,237,927,2549,1534,4085,5918,4488,10400,9160,6254,15418,2074,1612,3678,33804,33958,67763,6008,4589,10594,41887,40149,82038
505,26,2294,3308,5603,96,91,193,2439,2765,5202,10776,8303,19082,13317,11153,24466,1494,1544,3039,72223,76320,148542,10983,8507,19487,84691,86376,171069
506,18,2484,3134,5626,595,281,885,3885,3475,7354,11206,9027,20234,15693,12783,28473,2656,2462,5118,69086,71163,140260,11397,9190,20582,83140,82814,165955
507,12,1609,2252,3862,612,120,729,2638,2186,4819,9802,7211,17013,13050,9520,22568,2279,1824,4102,54204,57999,112207,9930,7354,17281,66422,67175,133600
509,8,317,474,794,277,157,437,1585,965,2550,5613,4720,10338,7478,5838,13318,1174,1104,2281,12586,13013,25598,5747,4851,10593,19507,18967,38475
510,0,199,328,525,999,643,1639,411,301,707,7679,5381,13061,9088,6317,15407,3901,3585,7488,6423,6766,13194,7740,5436,13173,18068,15782,33854
511,6,313,402,714,607,345,954,780,600,1383,7303,5392,12691,8689,6336,15032,2192,1943,4134,10275,10860,21132,7377,5472,12850,19842,18272,38115
597,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
599,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
