SA4_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
501,43184,89440,244,244,489,48184,45100,93287,223,99,323,3199,2515,5709,5506,4486,9994,8925,7105,16029,74,49,127,1304,1250,2552,9,13,22,1384,1310,2696,624,589,1214,11536,10727,22265,73,66,136,12238,11383,23625,162,201,359,3573,3520,7087,21,23,44,3759,3737,7499,15,30,49,608,787,1396,5,0,3,625,823,1444,28,102,130,1305,3355,4663,6,8,15,1344,3468,4812,479,586,1068,29738,36565,66310,125,161,285,30344,37320,67661,256,319,573,8703,8943,17644,34,62,93,8991,9315,18314,648,585,1230,21196,19356,40552,132,107,235,21976,20043,42020,177,161,336,4364,3582,7948,34,37,72,4573,3782,8354,65,56,118,2315,2089,4397,36,49,82,2410,2191,4602,16,10,26,276,203,480,3,0,9,300,215,511,2190,2245,4440,71606,75467,147071,3336,3454,6792,77132,81162,158301,0,0,0,61,34,90,15,5,21,71,40,113,164,210,380,4896,5955,10855,549,557,1102,5611,6726,12335,2359,2457,4813,76559,81455,158020,3897,4015,7912,82813,87932,170746
502,23342,47784,127,121,249,25549,24503,50053,63,47,117,1523,1622,3141,2906,2241,5150,4497,3908,8404,43,43,87,739,727,1467,7,0,5,791,772,1565,381,394,776,5775,5699,11475,30,40,65,6188,6125,12312,101,121,219,1941,2050,3991,9,7,21,2049,2179,4233,18,27,48,544,758,1304,0,0,7,564,789,1354,23,35,58,783,1934,2716,0,12,12,808,1976,2787,274,335,607,16486,19664,36156,77,80,158,16834,20086,36927,161,143,301,4892,5474,10363,27,31,52,5080,5646,10720,307,341,648,12017,12581,24596,70,77,149,12389,12996,25383,99,98,199,2791,2618,5407,28,20,48,2921,2733,5658,40,42,81,1519,1446,2966,25,20,40,1586,1507,3092,16,10,25,128,110,236,0,5,6,141,119,264,1265,1348,2615,39152,43091,82240,1467,1581,3044,41885,46024,87904,0,0,0,26,18,42,0,0,0,28,26,49,103,114,214,4077,5142,9215,308,338,652,4482,5596,10082,1364,1464,2830,43251,48250,91502,1776,1922,3699,46393,51639,98035
503,39599,82656,84,70,153,43540,40089,83633,38,31,73,2434,2039,4474,4428,3525,7954,6902,5596,12501,9,7,19,1385,1216,2600,0,0,0,1394,1223,2623,89,109,195,9369,8939,18311,17,21,34,9474,9068,18542,61,84,146,4400,4537,8937,9,10,14,4469,4629,9101,43,55,99,3536,4032,7573,8,3,16,3587,4097,7678,60,58,110,4489,5963,10452,14,11,19,4551,6029,10583,317,350,667,57364,59826,117190,129,125,244,57806,60295,118109,57,64,112,4036,3933,7971,17,17,32,4101,4013,8111,99,101,202,5984,6895,12881,27,41,64,6111,7037,13145,30,27,56,1678,1622,3305,13,10,21,1720,1657,3378,18,21,41,813,1143,1952,9,10,22,838,1180,2010,10,3,12,222,342,569,5,0,5,235,346,583,219,244,470,46361,48231,94598,766,813,1576,47347,49287,96639,0,0,0,0,0,0,0,0,0,0,0,0,280,296,574,31518,32879,64396,1811,1710,3519,33608,34879,68483,501,546,1044,77880,81113,158993,2572,2516,5087,80961,84172,165131
504,52925,110289,191,155,346,59961,55303,115262,724,239,968,4878,3333,8211,6031,4590,10615,11634,8158,19796,115,118,238,2586,2277,4863,3,4,11,2708,2404,5114,927,814,1741,16371,15174,31546,56,50,108,17348,16042,33394,227,230,453,5813,5625,11439,21,18,43,6058,5871,11931,42,62,104,2629,2891,5518,7,3,11,2681,2956,5635,61,150,216,3862,6453,10309,5,16,25,3934,6619,10548,911,1019,1929,58143,64188,122331,147,162,315,59202,65372,124574,338,358,704,10764,10202,20962,35,31,72,11142,10592,21737,1169,805,1972,22659,20765,43424,106,103,209,23934,21675,45607,202,196,393,4638,4302,8941,34,26,64,4873,4525,9398,136,121,255,2951,3520,6470,31,22,48,3112,3660,6775,56,30,83,870,1112,1981,3,5,9,927,1143,2072,3017,2995,6012,107265,110520,217782,3234,3136,6367,113521,116645,230162,3,0,3,8,5,17,3,4,10,16,13,25,433,501,939,12197,13827,26023,823,857,1684,13452,15189,28640,3452,3498,6952,119472,124350,243821,4063,3996,8053,126983,131844,258829
505,111420,231966,360,261,627,123301,114067,237366,167,124,294,7041,6471,13514,11022,8492,19512,18230,15087,33316,134,140,272,5271,5026,10295,8,13,19,5414,5171,10591,879,832,1712,36177,34161,70339,106,109,216,37165,35096,72264,243,235,481,13539,13365,26907,49,51,101,13834,13647,27479,58,92,160,6602,7316,13917,12,15,32,6674,7428,14102,75,153,229,8194,13696,21892,25,30,51,8287,13883,22172,965,1137,2101,133612,147625,281234,353,351,702,134923,149110,284033,328,391,718,21028,20571,41597,74,68,140,21425,21026,42455,686,741,1427,39975,40079,80058,160,182,340,40821,40999,81823,217,201,421,8552,8499,17050,42,56,105,8817,8759,17579,89,96,180,5100,6592,11695,33,55,90,5220,6743,11968,27,28,58,1676,2229,3903,20,17,36,1730,2277,4001,2994,3113,6104,216757,225926,442679,5398,5334,10738,225155,234369,459521,0,0,0,35,26,57,6,0,0,34,24,63,515,651,1168,37519,44026,81547,1962,2184,4143,39998,46860,86856,3506,3768,7275,254312,269969,524279,7366,7519,14883,265183,281259,546439
506,93693,196684,316,259,571,106813,97445,204258,675,375,1052,8207,6790,14995,11489,9273,20761,20373,16439,36811,174,171,342,4567,4309,8869,8,3,11,4742,4479,9221,1298,1284,2585,32308,30287,62589,100,84,188,33709,31649,65362,361,381,746,11469,11494,22968,30,30,59,11866,11907,23773,91,100,196,7535,7762,15301,14,10,26,7644,7876,15521,124,246,373,9328,13840,23168,32,31,65,9485,14117,23605,1312,1526,2836,120666,128668,249337,295,302,593,122271,130498,252766,542,642,1182,18496,17840,36337,77,75,152,19115,18558,37670,1363,1256,2615,38348,36425,74779,180,140,320,39891,37824,77719,344,323,669,8509,7776,16282,49,64,112,8903,8165,17066,187,157,346,5101,5656,10762,27,62,89,5313,5881,11196,71,36,106,1758,2111,3870,14,16,26,1840,2166,3998,4523,4837,9361,199340,202839,402179,6495,6212,12707,210360,213886,424252,0,3,6,19,16,36,0,0,0,21,23,44,623,687,1312,33430,35987,69416,1974,2108,4081,36027,38782,74808,5150,5529,10675,232790,238843,471629,8462,8327,16791,246403,252694,499103
507,95617,196727,321,269,586,104365,98838,203202,681,154,837,6267,5255,11520,10053,7433,17484,17006,12839,29844,147,130,278,4087,3732,7816,6,6,13,4242,3871,8110,1090,985,2070,27290,26312,53606,76,76,152,28455,27371,55830,261,277,536,9799,10005,19803,25,29,51,10083,10309,20389,68,98,164,4558,5420,9981,12,16,25,4635,5534,10174,111,213,321,5833,10343,16179,13,20,34,5956,10574,16529,1034,1238,2273,95417,108029,203448,265,254,519,96719,109519,206240,420,440,852,17032,16423,33455,69,69,131,17519,16922,34443,1185,816,2003,34061,33442,67499,155,169,325,35400,34421,69826,243,265,505,7094,6964,14059,41,45,91,7378,7274,14657,149,92,236,3865,4610,8477,39,44,87,4048,4749,8798,72,13,83,711,900,1611,11,4,20,787,921,1705,3565,3720,7285,168060,176879,344940,4736,4831,9566,176361,185428,361793,0,0,0,12,9,21,8,5,10,19,13,31,474,497,970,21901,26482,48386,1417,1437,2849,23788,28414,52201,4036,4216,8261,189978,203371,393338,6158,6270,12424,200170,213850,414018
509,27909,59441,271,233,508,33480,29708,63191,349,196,550,2699,1878,4577,5735,4852,10579,8780,6923,15707,61,57,119,762,723,1494,6,12,14,831,790,1621,605,628,1232,6989,6642,13635,88,75,165,7680,7348,15033,192,175,370,2139,2166,4299,32,21,57,2362,2360,4723,14,23,28,370,469,832,5,3,4,378,487,866,30,69,95,740,2048,2788,5,14,21,771,2128,2905,478,516,994,21203,24598,45801,146,149,297,21829,25262,47088,251,308,556,5703,5942,11639,64,53,117,6019,6297,12320,796,708,1504,15571,13171,28743,141,126,264,16506,14002,30511,209,181,390,3412,2644,6055,41,30,66,3653,2855,6512,163,94,255,2218,1587,3799,31,41,77,2414,1714,4131,24,8,39,258,229,493,5,10,11,294,246,536,2371,2483,4857,51434,51809,103249,4415,4305,8719,58220,58597,116816,0,0,0,57,40,100,6,0,7,65,40,107,162,150,315,1990,2205,4194,314,269,583,2461,2632,5094,2537,2635,5175,53483,54056,107536,4726,4579,9305,60747,61263,122012
510,13465,29824,128,102,232,20603,17369,37972,1814,1415,3229,922,628,1553,7894,5537,13433,10635,7586,18217,249,210,459,559,518,1075,6,6,6,815,730,1540,2117,2044,4157,3728,3540,7267,44,33,77,5884,5623,11505,421,427,850,770,729,1497,9,9,8,1192,1156,2356,35,48,83,181,220,405,0,0,3,217,277,492,87,213,303,774,1465,2243,3,3,13,868,1683,2547,1942,2261,4207,11990,12950,24936,79,69,150,14014,15280,29291,1256,1445,2695,3181,2045,5225,21,24,47,4457,3514,7967,2439,2255,4696,5681,3269,8950,53,35,91,8169,5560,13729,669,645,1314,983,545,1531,15,12,28,1665,1203,2872,657,555,1208,379,243,619,10,4,12,1042,800,1841,194,159,356,106,70,181,5,3,4,304,230,534,8572,9022,17599,18841,18317,37159,3394,3397,6793,30810,30736,61549,30,21,50,48,32,80,6,6,10,83,59,141,1058,1082,2134,3766,3401,7169,1080,964,2042,5901,5448,11352,9668,10120,19783,22656,21754,44403,4481,4366,8843,36797,36242,73042
511,20738,45537,166,150,314,27666,23540,51204,817,558,1375,1571,1178,2748,7487,5557,13045,9870,7294,17164,114,128,240,702,765,1470,7,0,7,821,895,1718,1116,1053,2172,5823,5497,11321,59,54,116,6993,6605,13598,271,263,538,1618,1565,3183,13,9,23,1896,1841,3743,22,40,64,375,464,836,0,0,3,398,506,902,58,108,169,972,1966,2938,3,9,15,1034,2086,3120,866,1007,1873,16390,18799,35190,84,102,186,17339,19912,37250,524,695,1214,5350,4941,10294,44,33,78,5919,5665,11580,1366,1321,2683,12219,9334,21551,92,80,167,13675,10731,24406,397,354,756,2633,1944,4573,24,18,37,3054,2318,5372,331,264,595,1521,1191,2717,21,19,45,1871,1475,3350,71,64,136,182,163,345,0,4,4,258,229,488,4295,4641,8940,37669,37307,74979,4119,3991,8113,46089,45942,92031,6,8,12,55,43,95,10,10,17,65,53,118,510,524,1034,4293,4223,8513,859,824,1681,5660,5568,11228,4819,5167,9991,42018,41571,83587,4985,4826,9809,51817,51569,103387
