SA4_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
501,129,31,157,1122,941,2062,157,153,309,1408,1117,2530
502,19,23,44,283,558,841,30,42,69,342,619,961
503,114,132,249,2724,3008,5729,778,501,1278,3612,3643,7253
504,643,173,820,2039,1119,3161,121,133,248,2809,1418,4229
505,52,33,80,1590,2610,4201,178,209,389,1820,2855,4677
506,529,232,760,3126,2929,6058,220,236,455,3879,3397,7271
507,566,63,621,2212,2345,4552,731,491,1226,3503,2892,6401
509,218,65,290,1647,1089,2733,339,157,489,2196,1315,3511
510,764,289,1056,4061,1513,5578,3028,884,3906,7855,2689,10543
511,415,115,535,2138,933,3069,1688,491,2178,4248,1540,5785
597,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0
