SA4_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
501,8,5,22,33,78,92,85,319,167,128,91,93,65,58,47,647,4,4,4,7,14,32,36,100,0,0,0,0,0,9,15,28,0,3,22,41,71,76,91,308,9,5,8,7,35,44,58,163,3,0,4,6,9,6,15,43,3,0,3,6,19,27,25,92,57,151,126,91,116,71,47,652,0,0,5,3,10,12,16,41,106,69,34,39,64,57,38,408,1402,646,353,285,231,134,60,3112,142,90,86,55,35,29,19,455,1839,1034,668,553,533,408,295,5324
502,0,4,9,25,39,55,54,188,111,73,60,52,51,41,16,406,0,3,4,5,15,12,20,67,0,0,0,0,0,0,4,11,0,4,7,14,37,63,51,183,3,0,0,3,14,27,39,91,0,0,0,0,9,8,12,27,10,6,0,6,11,12,23,53,47,100,84,73,48,49,33,435,0,0,0,0,8,6,9,27,99,40,38,37,31,39,20,300,858,371,228,148,98,59,30,1790,90,56,26,20,14,12,9,220,1179,598,393,300,251,215,166,3097
503,0,0,4,8,12,18,21,68,25,49,35,24,20,9,6,180,0,4,0,4,3,8,4,22,0,0,0,0,0,0,8,6,0,4,7,7,15,15,14,64,0,3,0,6,3,6,22,36,0,0,0,0,4,0,8,21,0,0,0,7,5,5,14,25,6,71,71,42,30,12,4,234,0,0,0,0,5,0,3,5,19,32,19,14,21,12,12,117,230,225,157,83,86,37,22,828,19,19,9,10,9,12,3,78,294,355,257,162,165,99,83,1411
504,4,9,21,41,64,97,107,338,263,146,139,97,110,89,57,906,0,0,0,6,20,26,24,88,0,0,0,0,3,0,24,25,3,9,20,52,84,149,101,416,5,8,4,12,31,85,92,234,5,0,0,8,21,17,25,84,6,0,0,8,11,43,32,104,98,178,201,142,119,96,36,864,0,0,0,5,8,21,29,69,171,89,87,75,79,74,49,628,2008,941,717,406,310,157,63,4599,222,222,375,224,107,55,18,1229,2705,1505,1449,928,763,544,322,8212
505,0,16,26,48,83,123,123,415,277,155,155,148,102,98,59,990,3,3,7,14,17,31,38,114,0,3,0,0,9,6,23,31,5,10,29,60,94,143,123,464,6,3,14,20,39,85,89,260,7,4,0,9,10,19,24,69,12,4,7,11,26,42,53,149,112,205,235,163,152,111,46,1016,0,5,8,3,16,16,25,58,166,93,94,75,88,65,52,630,2029,920,704,437,327,166,58,4647,215,100,63,61,33,35,23,520,2739,1404,1180,850,714,558,363,7802
506,6,19,47,69,118,147,175,590,362,269,245,185,157,126,125,1480,5,3,10,15,34,40,50,161,0,0,5,0,0,11,33,50,4,25,65,109,184,224,225,830,9,3,24,33,80,122,153,422,4,3,15,16,22,29,45,134,9,0,18,17,29,51,62,191,144,326,322,250,209,138,89,1487,0,0,0,14,12,33,32,97,222,133,145,121,122,108,77,937,3071,1438,1010,570,465,223,108,6890,326,249,320,201,121,54,30,1302,4052,2310,1959,1311,1140,791,600,12162
507,5,15,38,62,107,132,131,482,317,206,174,149,124,78,70,1110,3,4,4,17,25,41,40,125,0,0,0,0,9,3,19,33,5,25,37,62,87,131,109,465,8,10,13,9,38,68,97,247,10,5,3,11,13,13,20,84,8,0,3,12,29,42,43,140,155,276,272,173,190,109,52,1223,3,0,6,0,15,16,28,66,227,116,110,81,120,86,56,796,2375,1054,777,514,291,168,68,5251,246,205,283,171,91,32,40,1073,3224,1777,1554,1062,818,565,389,9392
509,5,3,6,26,79,128,142,387,152,110,88,84,90,98,85,708,3,5,4,4,24,26,36,101,0,0,0,0,0,5,25,31,0,12,27,49,92,163,154,495,5,0,8,23,40,90,115,276,3,0,9,4,11,20,33,78,5,7,0,8,25,46,42,125,51,105,116,101,132,90,52,649,4,0,0,3,5,19,31,65,90,50,26,41,73,70,47,399,1405,683,364,278,245,201,98,3274,206,106,117,89,50,54,27,656,1881,1022,700,593,617,637,479,5931
510,5,4,26,55,124,160,183,549,237,161,175,177,192,149,125,1220,0,4,4,19,32,56,60,184,0,0,0,8,4,20,65,95,12,34,78,257,420,438,371,1614,39,38,43,87,166,200,169,742,12,8,15,34,72,94,97,331,18,5,3,8,36,49,54,174,51,129,194,158,129,81,35,779,0,0,4,11,46,39,40,148,190,105,117,156,209,170,144,1090,5496,3044,2637,1954,1233,637,283,15286,844,370,375,355,214,123,84,2366,6857,3837,3572,3052,2380,1634,1095,22433
511,6,4,26,35,103,165,200,540,195,134,123,119,159,145,125,1001,0,0,4,9,34,41,71,163,0,0,0,0,8,10,68,95,13,25,64,125,259,345,327,1165,18,11,19,49,113,181,180,572,9,3,19,23,46,64,90,261,9,3,0,22,34,65,75,209,51,133,146,125,129,125,63,764,5,0,0,6,17,28,44,96,165,63,77,82,119,135,113,745,2722,1386,944,687,536,294,164,6740,380,273,218,197,150,85,66,1365,3504,1980,1533,1271,1272,1028,833,11421
