SA4_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
501,28,1014,1048,19,475,494,46,892,933,52,1670,1717,120,4532,4653,117,3172,3289,132,4838,4969,150,4371,4517,197,4908,5107,190,4734,4920,145,3479,3628,131,3549,3678,252,7062,7311,159,4589,4755,126,3884,4015,235,7180,7413,252,5993,6244,43,1232,1274,2385,67577,69965
502,24,788,817,7,293,296,22,584,603,32,1134,1168,67,3119,3187,84,2411,2497,94,3416,3510,99,2905,3007,101,2909,3012,96,2597,2693,78,1795,1874,68,1778,1849,133,3625,3762,82,2189,2273,72,2025,2102,145,4175,4320,164,3726,3892,35,853,884,1418,40319,41734
503,18,1334,1354,10,463,472,22,860,878,27,1503,1534,20,2752,2775,28,2501,2527,30,2510,2543,34,2987,3025,53,3909,3963,50,4066,4118,38,3521,3556,30,3483,3514,92,7398,7487,36,3731,3765,36,4403,4444,168,21688,21856,44,4177,4219,11,724,736,742,72018,72762
504,63,1503,1569,24,548,574,64,1062,1127,93,1920,2013,128,4862,4986,117,3486,3602,181,5035,5211,160,5212,5376,238,6487,6726,198,6867,7062,191,5452,5650,175,5483,5652,356,11679,12039,240,7650,7890,182,6605,6794,440,14124,14566,335,7670,7996,71,1362,1437,3250,97026,100273
505,72,3139,3214,25,1181,1206,79,2278,2358,94,3948,4042,180,10032,10205,152,7578,7732,196,10245,10441,218,10836,11051,223,12952,13180,264,13553,13813,195,11220,11411,164,10854,11021,398,23261,23657,270,15565,15833,238,14643,14875,560,37889,38444,331,15745,16080,73,2748,2822,3722,207666,211386
506,107,3174,3280,29,1126,1156,114,2143,2260,151,3902,4057,218,9084,9303,262,7023,7289,310,9395,9703,274,10038,10309,368,12464,12833,370,13019,13393,267,10861,11126,267,10355,10621,571,21840,22414,384,13920,14304,264,12420,12692,625,27977,28601,499,13661,14159,119,2428,2553,5212,184842,190049
507,55,2388,2444,38,967,1003,88,1824,1915,108,3235,3346,171,8021,8187,189,6039,6226,217,7990,8202,208,8254,8470,265,9629,9893,281,9845,10126,237,8514,8745,171,8272,8449,440,17650,18091,290,11516,11800,233,11152,11381,607,28196,28801,402,12740,13147,88,2093,2181,4087,158323,162413
509,60,823,884,28,381,409,62,736,804,89,1259,1346,165,3786,3945,139,2468,2610,182,3638,3820,186,3412,3599,204,3693,3893,173,3527,3702,133,2532,2666,99,2542,2646,207,4809,5017,129,2931,3063,101,2313,2416,146,4323,4468,229,4102,4327,113,1143,1260,2434,48428,50866
510,91,164,254,65,56,112,265,80,344,329,152,478,414,224,646,282,205,485,437,280,715,425,340,764,448,605,1053,398,723,1126,269,852,1120,280,976,1255,541,2448,2992,305,1366,1672,332,1903,2236,755,5440,6193,691,1690,2383,321,302,626,6644,17793,24437
511,74,619,694,36,226,260,142,491,632,200,838,1040,252,2189,2446,179,1456,1637,288,2040,2327,278,1991,2275,278,2189,2464,245,2247,2492,243,1884,2125,184,1928,2117,328,4303,4632,197,2538,2737,189,2501,2681,333,5188,5519,428,3294,3721,177,857,1034,4056,36787,40843
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
