SA4_CODE_2021,Age_14_IndSt_nsP,Age_14_TotM,Age_14_TotF,Age_14_TotP,Age_10_14_Indig_M,Age_10_14_Indig_F,Age_10_14_Indig_P,Age_10_14_NonInd_M,Age_10_14_NonInd_F,Age_10_14_NonInd_P,Age_10_14_Indig_st_nsM,Age_10_14_Indig_st_nsF,Age_10_14_Indig_st_nsP,Age_10_14_TotM,Age_10_14_TotF,Age_10_14_TotP,Age_15_Indig_M,Age_15_Indig_F,Age_15_Indig_P,Age_15_NonInd_M,Age_15_NonInd_F,Age_15_NonInd_P,Age_15_Indig_st_nsM,Age_15_Indig_st_nsF,Age_15_Indig_st_nsP,Age_15_TotM,Age_15_TotF,Age_15_TotP,Age_16_Indig_M,Age_16_Indig_F,Age_16_Indig_P,Age_16_NonInd_M,Age_16_NonInd_F,Age_16_NonInd_P,Age_16_IndigStat_nsM,Age_16_IndigStat_nsF,Age_16_IndigStat_nsP,Age_16_TotM,Age_16_TotF,Age_16_TotP,Age_17_Indig_M,Age_17_Indig_F,Age_17_Indig_P,Age_17_NonInd_M,Age_17_NonInd_F,Age_17_NonInd_P,Age_17_IndigStat_nsM,Age_17_IndigStat_nsF,Age_17_IndigStat_nsP,Age_17_TotM,Age_17_TotF,Age_17_TotP,Age_18_Indig_M,Age_18_Indig_F,Age_18_Indig_P,Age_18_NonInd_M,Age_18_NonInd_F,Age_18_NonInd_P,Age_18_IndigStat_nsM,Age_18_IndigStat_nsF,Age_18_IndigStat_nsP,Age_18_TotM,Age_18_TotF,Age_18_TotP,Age_19_Indig_M,Age_19_Indig_F,Age_19_Indig_P,Age_19_NonInd_M,Age_19_NonInd_F,Age_19_NonInd_P,Age_19_IndigStat_nsM,Age_19_IndigStat_nsF,Age_19_IndigStat_nsP,Age_19_TotM,Age_19_TotF,Age_19_TotP,Age_15_19_Indig_M,Age_15_19_Indig_F,Age_15_19_Indig_P,Age_15_19_NonInd_M,Age_15_19_NonInd_F,Age_15_19_NonInd_P,Age_15_19_IndSt_nsM,Age_15_19_IndSt_nsF,Age_15_19_IndSt_nsP,Age_15_19_TotM,Age_15_19_TotF,Age_15_19_TotP,Age_20_Indig_M,Age_20_Indig_F,Age_20_Indig_P,Age_20_NonInd_M,Age_20_NonInd_F,Age_20_NonInd_P,Age_20_Ind_status_nsM,Age_20_Ind_status_nsF,Age_20_Ind_status_nsP,Age_20_TotM,Age_20_TotF,Age_20_TotP,Age_21_Indig_M,Age_21_Indig_F,Age_21_Indig_P,Age_21_NonInd_M,Age_21_NonInd_F,Age_21_NonInd_P,Age_21_Ind_status_nsM,Age_21_Ind_status_nsF,Age_21_Ind_status_nsP,Age_21_TotM,Age_21_TotF,Age_21_TotP,Age_22_Indig_M,Age_22_Indig_F,Age_22_Indig_P,Age_22_NonInd_M,Age_22_NonInd_F,Age_22_NonInd_P,Age_22_Indig_st_nsM,Age_22_Indig_st_nsF,Age_22_Indig_st_nsP,Age_22_TotM,Age_22_TotF,Age_22_TotP,Age_23_Indig_M,Age_23_Indig_F,Age_23_Indig_P,Age_23_NonInd_M,Age_23_NonInd_F,Age_23_NonInd_P,Age_23_Indig_st_nsM,Age_23_Indig_st_nsF,Age_23_Indig_st_nsP,Age_23_TotM,Age_23_TotF,Age_23_TotP,Age_24_Indig_M,Age_24_Indig_F,Age_24_Indig_P,Age_24_NonInd_M,Age_24_NonInd_F,Age_24_NonInd_P,Age_24_Indig_st_nsM,Age_24_Indig_st_nsF,Age_24_Indig_st_nsP,Age_24_TotM,Age_24_TotF,Age_24_TotP,Age_20_24_Indig_M,Age_20_24_Indig_F,Age_20_24_Indig_P,Age_20_24_NonInd_M,Age_20_24_NonInd_F,Age_20_24_NonInd_P,Age_20_24_Indig_st_nsM,Age_20_24_Indig_st_nsF,Age_20_24_Indig_st_nsP,Age_20_24_TotM,Age_20_24_TotF,Age_20_24_TotP,Age_25_29_Indig_M,Age_25_29_Indig_F,Age_25_29_Indig_P,Age_25_29_NonInd_M,Age_25_29_NonInd_F,Age_25_29_NonInd_P,Age_25_29_Indig_st_nsM,Age_25_29_Indig_st_nsF,Age_25_29_Indig_st_nsP,Age_25_29_TotM,Age_25_29_TotF,Age_25_29_TotP,Age_30_34_Indig_M,Age_30_34_Indig_F,Age_30_34_Indig_P,Age_30_34_NonInd_M,Age_30_34_NonInd_F,Age_30_34_NonInd_P,Age_30_34_Indig_st_nsM,Age_30_34_Indig_st_nsF,Age_30_34_Indig_st_nsP,Age_30_34_TotM,Age_30_34_TotF,Age_30_34_TotP,Age_35_39_Indig_M,Age_35_39_Indig_F,Age_35_39_Indig_P,Age_35_39_NonInd_M,Age_35_39_NonInd_F,Age_35_39_NonInd_P,Age_35_39_Indig_st_nsM,Age_35_39_Indig_st_nsF,Age_35_39_Indig_st_nsP,Age_35_39_TotM,Age_35_39_TotF,Age_35_39_TotP,Age_40_44_Indig_M,Age_40_44_Indig_F,Age_40_44_Indig_P,Age_40_44_NonInd_M
501,161,1402,1365,2764,313,321,638,6142,5729,11867,359,368,728,6817,6421,13235,57,79,139,1169,1106,2274,54,55,108,1283,1242,2524,69,62,131,1125,1055,2184,67,49,116,1262,1175,2434,55,51,109,1065,1050,2116,56,66,119,1176,1165,2344,53,62,116,920,854,1771,51,47,95,1021,967,1983,52,41,90,750,733,1485,48,53,104,852,829,1678,285,303,587,5026,4793,9824,276,274,553,5592,5373,10963,47,50,97,795,644,1434,43,42,83,878,736,1618,46,49,86,751,655,1401,42,33,70,834,729,1561,47,51,101,735,672,1404,47,50,100,835,772,1604,47,32,81,692,654,1344,62,46,105,793,729,1529,53,29,78,727,725,1458,52,52,104,831,808,1633,237,212,446,3687,3348,7033,245,223,465,4170,3777,7948,191,181,373,3996,4188,8181,368,293,665,4562,4659,9216,159,144,297,4669,5132,9801,364,284,645,5193,5556,10748,127,149,275,5075,5836,10913,425,315,742,5630,6307,11934,132,146,276,5329
502,72,737,675,1409,199,218,411,3077,2992,6073,173,175,347,3449,3387,6830,41,43,85,581,591,1169,29,38,60,646,673,1314,36,42,79,542,557,1101,21,26,42,597,627,1222,31,44,76,566,531,1097,28,34,58,631,598,1230,38,25,58,526,517,1038,25,16,40,591,552,1135,25,22,52,490,466,956,40,33,71,563,524,1087,174,173,349,2704,2653,5359,137,138,273,3015,2971,5986,20,23,39,502,497,999,43,23,65,566,537,1108,27,24,51,472,553,1027,32,37,67,530,615,1143,29,17,53,459,454,914,39,32,70,527,506,1036,26,30,55,443,476,913,38,17,55,502,519,1026,16,38,51,445,435,878,35,30,65,496,498,993,115,132,246,2326,2410,4739,179,145,321,2623,2686,5306,98,87,187,2220,2469,4691,174,131,309,2493,2692,5188,97,110,206,2358,2764,5119,228,143,372,2677,3020,5700,83,84,169,2595,2983,5586,256,163,420,2935,3228,6170,60,75,132,2412
503,50,1020,1015,2032,45,75,124,4956,4777,9733,127,111,239,5128,4970,10096,13,19,36,974,936,1910,21,24,50,1009,981,1991,10,11,21,919,933,1855,19,28,40,955,966,1926,8,19,28,945,869,1819,26,13,44,983,896,1880,21,20,39,948,1030,1978,25,41,66,995,1087,2082,10,27,42,1027,1115,2147,53,54,105,1089,1204,2295,66,96,164,4817,4891,9705,145,158,302,5030,5143,10172,23,28,46,1111,1251,2361,53,71,121,1189,1348,2531,14,15,31,1140,1231,2375,67,53,121,1228,1302,2527,22,11,36,1144,1261,2413,59,71,133,1228,1351,2581,17,25,43,1207,1307,2510,68,77,148,1291,1406,2704,19,20,44,1302,1408,2707,83,94,178,1407,1518,2930,94,103,191,5910,6462,12372,343,367,703,6339,6927,13265,67,85,152,7068,7292,14358,590,467,1056,7721,7841,15567,52,55,108,7212,7376,14588,570,387,962,7834,7825,15654,44,35,79,6677,6662,13342,413,306,720,7139,7001,14136,45,34,80,5679
504,115,1822,1612,3432,456,470,923,8211,7520,15732,339,285,628,9005,8276,17285,91,82,169,1564,1462,3025,75,69,135,1723,1608,3333,77,82,158,1584,1374,2957,50,52,101,1708,1507,3222,69,76,143,1502,1319,2826,54,45,96,1621,1447,3066,80,66,148,1482,1427,2913,57,47,102,1620,1534,3157,80,67,149,1442,1335,2776,55,63,121,1582,1466,3048,392,374,768,7579,6917,14492,285,276,553,8253,7566,15820,71,58,127,1572,1406,2979,59,44,113,1705,1507,3216,72,63,135,1582,1453,3042,64,53,119,1720,1570,3294,100,66,160,1521,1452,2973,68,60,125,1685,1578,3262,76,71,149,1558,1432,2995,78,73,151,1714,1571,3289,98,71,164,1573,1633,3205,79,61,140,1745,1765,3509,409,328,735,7812,7373,15187,354,294,647,8574,7993,16571,411,356,766,8513,8829,17341,521,415,934,9450,9597,19045,375,307,682,9924,10566,20490,611,417,1027,10908,11294,22203,304,228,531,10213,10220,20434,582,402,983,11093,10850,21946,219,178,397,8656
505,198,3792,3688,7485,435,417,858,18410,17375,35788,551,507,1060,19396,18307,37704,99,73,172,3575,3323,6901,116,103,218,3790,3498,7286,97,82,176,3500,3188,6686,109,93,200,3708,3361,7059,74,76,153,3456,3268,6727,91,81,172,3622,3426,7052,71,66,135,3164,3088,6254,102,86,194,3340,3243,6579,69,55,124,3156,2986,6140,101,92,193,3323,3135,6457,413,354,760,16847,15857,32702,513,458,971,17773,16665,34435,55,70,126,3306,3171,6478,114,108,225,3478,3352,6828,72,63,133,3319,3210,6532,135,105,237,3522,3379,6903,58,72,130,3329,3218,6549,150,108,257,3539,3395,6935,74,59,135,3231,3199,6427,142,119,261,3441,3382,6825,57,53,111,3356,3243,6599,186,117,308,3596,3419,7015,317,324,640,16540,16041,32583,723,562,1284,17578,16927,34506,285,333,616,16774,17636,34411,953,801,1754,18015,18760,36779,266,297,563,19007,21137,40142,1131,785,1924,20408,22219,42622,223,255,477,20475,21747,42226,1151,808,1958,21854,22810,44661,164,208,373,18084
506,226,3497,3128,6626,694,650,1343,16152,15080,31231,628,586,1223,17477,16319,33797,152,132,276,3063,2822,5890,110,113,220,3329,3063,6389,130,133,270,2888,2755,5641,109,90,195,3124,2981,6103,123,115,231,2823,2602,5415,91,96,188,3030,2810,5841,107,99,212,2768,2706,5477,100,114,212,2986,2923,5905,97,102,205,2906,2854,5762,132,109,240,3136,3069,6202,613,581,1199,14448,13742,28186,540,522,1062,15601,14847,30444,124,110,234,3205,2962,6164,154,118,268,3483,3181,6667,127,113,241,3412,3262,6669,160,133,288,3693,3505,7199,121,100,227,3603,3308,6911,188,147,335,3912,3551,7470,110,94,205,3475,3291,6768,197,160,353,3786,3542,7325,97,113,212,3401,3352,6749,215,159,372,3717,3622,7338,578,530,1113,17095,16168,33267,914,714,1623,18590,17408,35999,523,533,1054,18119,17647,35769,1097,937,2026,19738,19115,38852,481,422,905,18839,20130,38973,1184,919,2095,20505,21471,41977,352,362,713,19996,20493,40487,1128,888,2017,21474,21740,43219,301,300,606,17524
507,236,3072,2865,5936,571,516,1089,14082,13319,27400,527,495,1023,15180,14331,29512,90,83,177,2624,2607,5224,97,90,184,2812,2774,5587,101,96,199,2487,2385,4867,85,67,158,2673,2548,5226,74,81,157,2526,2382,4908,82,75,165,2689,2538,5230,98,92,188,2420,2403,4828,91,97,186,2610,2590,5202,92,81,171,2468,2360,4833,116,88,205,2680,2529,5212,458,434,893,12527,12140,24665,483,418,899,13464,12995,26454,102,76,172,2503,2466,4971,116,89,203,2723,2624,5347,99,90,190,2420,2560,4976,146,89,229,2659,2737,5393,108,88,190,2469,2563,5032,147,121,268,2719,2775,5491,96,73,171,2534,2473,5008,158,119,277,2786,2667,5461,80,80,158,2463,2394,4859,147,119,265,2691,2602,5290,485,400,888,12381,12462,24843,710,540,1248,13576,13401,26979,458,379,834,12814,13238,26045,873,659,1535,14142,14274,28418,385,329,715,13983,15533,29512,1003,659,1665,15373,16525,31895,303,282,586,14875,16194,31074,1010,627,1642,16192,17106,33300,254,220,473,13729
509,146,870,852,1723,326,373,704,3654,3464,7118,390,347,735,4371,4180,8560,97,72,171,660,715,1380,66,76,142,823,864,1691,84,71,158,672,625,1295,67,50,118,824,742,1565,62,59,117,700,626,1328,63,46,108,820,732,1553,45,37,84,611,508,1117,63,50,118,720,595,1318,47,44,94,566,422,990,62,50,108,672,519,1192,333,287,616,3210,2902,6108,319,271,596,3866,3451,7320,43,33,75,485,422,908,48,40,85,581,496,1075,38,38,75,514,405,914,58,34,92,607,480,1080,43,28,70,502,446,942,55,41,97,594,519,1115,48,33,79,544,475,1017,67,49,111,655,554,1212,59,41,101,539,481,1020,61,49,109,660,571,1226,228,175,402,2585,2218,4802,283,214,503,3099,2607,5712,211,170,375,2866,2752,5622,330,245,574,3402,3164,6566,162,162,321,3119,3139,6260,356,314,670,3640,3613,7257,170,130,299,3255,3447,6702,371,296,666,3802,3865,7664,139,153,292,3241
510,139,577,572,1141,1124,1154,2277,1681,1607,3286,399,405,796,3203,3162,6364,226,232,455,237,247,482,75,56,134,536,529,1067,215,173,392,275,231,504,63,60,125,553,459,1018,210,196,411,255,190,441,61,50,113,526,438,957,182,202,387,205,172,375,61,50,114,450,421,868,200,200,399,190,202,386,78,53,133,463,453,919,1037,997,2033,1149,1040,2189,340,270,608,2526,2308,4829,190,204,392,211,165,374,74,53,128,475,417,895,193,169,366,200,206,409,62,70,132,462,444,904,193,195,389,254,243,499,95,65,159,544,503,1046,186,167,343,298,309,609,122,101,224,603,570,1172,151,163,312,375,342,715,129,96,219,651,601,1254,910,891,1797,1342,1260,2605,481,387,867,2731,2534,5265,854,881,1734,2278,2351,4625,774,565,1345,3907,3796,7702,950,888,1843,2960,2993,5954,900,682,1583,4810,4572,9378,811,820,1634,3025,2813,5840,879,553,1429,4716,4185,8902,718,703,1420,2531
511,171,770,729,1501,636,599,1234,2911,2778,5689,451,404,859,3998,3782,7781,135,125,263,551,525,1074,85,68,151,768,712,1487,113,110,226,493,469,959,66,67,132,663,650,1314,100,100,198,556,469,1027,60,66,127,714,637,1346,104,109,211,480,403,878,74,61,133,661,567,1230,102,88,190,468,407,873,61,59,118,633,550,1184,549,536,1082,2546,2261,4808,343,318,665,3438,3120,6553,80,89,175,476,378,850,67,66,126,616,531,1151,90,101,190,519,419,938,96,70,161,702,594,1292,96,90,182,526,455,984,116,66,182,739,616,1348,95,93,188,502,520,1031,111,84,194,708,699,1415,88,68,156,532,559,1090,129,91,215,746,719,1465,445,448,894,2553,2337,4894,513,373,884,3514,3161,6674,433,405,838,3090,2886,5977,675,418,1087,4197,3710,7904,357,332,691,3114,3229,6341,608,406,1015,4081,3969,8049,319,340,656,3243,3131,6371,609,478,1090,4169,3950,8117,304,313,615,2949
