SA4_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
501,0,0,0,6,4,0,549,562,0,5,3,11,0,3,582,607,0,4,4,7,0,0,609,630,7,11,7,14,0,0,603,640,0,9,11,9,4,0,993,1026,7,34,25,55,4,14,3798,3937,3,0,36,578,314,45,395,1376,43,304,187,1118,306,70,298,2324,559,2036,1039,2536,363,167,828,7533,915,2806,1495,2702,294,293,951,9454,845,2294,1582,2461,275,436,978,8865,722,1646,1692,1949,237,439,1131,7817,624,1734,1833,1200,218,481,2832,8918,3713,10825,7868,12543,1999,1936,7406,46282,0,0,0,45,45,3,31,120,0,0,12,124,36,3,18,197,8,18,26,194,36,8,29,329,16,28,34,161,12,8,31,295,8,36,40,121,13,13,32,265,11,26,24,83,11,8,29,190,13,14,26,46,5,12,32,140,54,131,160,780,158,56,198,1539,6,0,54,893,558,65,257,1835,50,417,275,2255,584,105,162,3851,779,2967,1554,6100,565,248,504,12722
502,0,0,0,0,0,0,273,280,0,0,3,0,0,0,282,293,0,6,5,4,0,0,299,310,4,0,3,9,0,0,278,294,0,3,9,11,3,3,485,514,0,10,18,18,5,9,1899,1964,5,0,23,279,134,36,198,676,28,226,184,635,180,48,225,1520,255,950,641,1452,177,112,449,4038,373,1110,847,1390,150,173,493,4542,400,965,928,1346,110,210,524,4472,336,688,992,1161,122,247,613,4166,288,858,1104,851,153,372,2164,5787,1686,4797,4712,7116,1038,1201,4661,25208,3,0,3,20,17,4,14,63,0,10,13,47,19,6,9,101,4,15,20,136,9,6,16,200,6,15,16,97,5,9,8,150,7,11,16,69,3,0,16,121,14,8,27,58,0,4,12,129,0,12,12,30,0,5,12,74,27,62,101,450,58,33,93,837,0,0,41,469,285,49,132,984,37,335,264,1260,316,61,118,2401,334,1326,904,3309,276,162,287,6594
503,0,8,0,4,0,0,849,858,4,9,0,0,0,0,505,518,3,5,4,3,6,0,361,384,4,8,4,5,0,0,336,355,3,20,5,4,0,7,677,719,16,51,22,13,5,10,3227,3342,0,4,50,274,162,27,195,712,277,2192,521,546,114,44,477,4171,3645,6963,1201,901,80,108,1172,14067,3478,5553,1162,673,72,142,783,11865,2937,4461,1292,621,68,241,646,10270,2057,3066,1473,530,78,288,673,8156,1823,3390,1974,489,122,495,2064,10359,14209,25629,7677,4034,699,1335,6008,59596,0,0,0,18,11,5,0,34,0,23,12,46,8,5,4,96,29,58,20,49,12,6,6,178,17,40,13,36,3,0,9,109,24,30,16,26,0,5,5,107,11,18,16,8,0,0,10,59,9,15,0,14,0,0,10,47,86,181,78,178,35,15,54,633,3,7,75,443,271,41,96,932,488,3920,893,1093,217,78,251,6944,6639,12838,2272,2480,184,178,683,25270
504,0,0,0,13,4,0,807,824,0,5,5,3,0,0,678,697,0,4,8,8,0,0,603,628,5,0,4,10,0,0,468,488,5,10,6,6,0,3,791,819,10,23,27,41,10,12,3871,4001,0,8,53,535,314,74,376,1361,155,1221,667,1566,368,128,486,4594,2128,5654,2371,3782,406,274,1395,16004,2483,5136,2648,3118,344,469,1286,15491,1640,3343,2427,2706,294,586,1145,12136,1071,1991,2014,2006,210,609,1155,9051,738,1833,1775,1224,203,588,2668,9032,8211,19186,11950,14941,2140,2718,8508,67659,0,0,4,59,31,4,31,121,9,26,15,148,43,3,38,284,10,76,79,397,45,13,53,669,22,43,57,202,16,14,44,403,30,55,72,134,7,17,39,356,10,33,40,89,9,14,52,246,4,20,35,34,6,11,33,134,82,254,306,1068,157,65,285,2222,0,11,85,1017,635,109,251,2115,245,1973,1114,3147,716,204,414,7801,3332,9145,4035,9258,693,460,1080,28013
505,4,11,3,3,4,0,1550,1569,3,27,9,17,3,0,1312,1373,6,16,8,18,0,4,1026,1074,12,16,8,11,0,0,838,882,9,16,15,24,0,6,1544,1607,35,76,51,76,11,16,7191,7450,7,11,125,1121,636,131,665,2701,384,3224,1407,2754,657,244,952,9612,4901,13084,4861,6171,623,526,2705,32878,6005,13204,5710,5647,612,882,2582,34649,4123,8830,5917,5225,540,1351,2295,28292,2607,5118,4873,3920,488,1211,2139,20357,1674,4640,4416,2604,481,1536,5893,21255,19715,48114,27310,27450,4042,5889,17231,149749,0,0,4,45,36,7,35,116,3,26,21,133,40,10,22,253,28,106,83,347,61,14,46,682,40,77,64,216,24,22,45,489,47,58,80,138,15,16,45,390,16,39,49,107,5,14,39,268,20,34,24,45,3,4,37,161,154,336,325,1026,184,81,260,2365,8,23,232,2152,1250,207,490,4368,630,5524,2399,5839,1269,412,833,16911,7978,21253,8086,16361,1076,885,2185,57822
506,4,10,10,10,0,0,1792,1828,0,14,3,4,3,0,1468,1503,3,9,14,12,0,4,1107,1148,3,10,4,11,4,3,880,919,5,20,18,12,4,11,1316,1394,14,74,50,64,8,17,7747,7987,8,12,134,1108,691,100,744,2797,410,3137,1462,3013,761,201,1113,10086,5521,12404,4224,5983,635,461,2989,32219,6113,11917,4880,5288,531,691,2625,32047,3424,6834,4276,4315,472,941,2083,22347,2128,4107,3661,3165,411,884,2045,16399,1464,3753,3507,2197,368,1124,5686,18101,19072,42178,22144,25067,3866,4395,17290,133999,0,0,0,79,55,9,99,240,7,28,35,239,88,13,44,446,32,111,135,522,73,34,99,1002,36,102,94,309,32,27,69,666,41,74,104,212,27,18,74,538,33,52,67,126,7,13,74,377,24,37,38,51,8,9,78,240,172,400,478,1543,280,116,533,3517,12,14,237,2004,1308,163,464,4210,686,5441,2696,6027,1476,346,903,17583,9207,21092,7835,14592,1179,786,2362,57049
507,0,9,0,14,0,0,1283,1309,0,11,4,10,0,0,1066,1094,5,5,10,9,3,0,920,952,4,8,9,7,3,6,745,778,8,20,21,9,0,3,1291,1356,15,62,53,57,13,12,6204,6409,3,5,118,991,587,90,616,2414,236,2359,979,2453,614,187,837,7670,3454,9172,3239,5561,656,369,2021,24472,4562,9567,4153,4838,504,610,1955,26182,3397,6621,4194,4261,442,914,1811,21642,2361,4098,3494,3158,390,928,1776,16192,1654,3780,3342,1867,319,1086,4768,16821,15670,35601,19530,23129,3506,4181,13777,115398,0,0,3,68,36,0,44,148,0,39,30,192,55,8,32,366,29,106,100,402,67,24,52,778,45,66,91,268,20,16,43,550,31,58,80,172,22,5,52,418,28,55,52,96,9,12,42,295,10,36,20,49,0,5,51,176,148,359,385,1230,210,81,323,2733,5,11,177,1741,1152,152,404,3645,388,3832,1561,5030,1196,310,600,12921,5362,14792,5367,13765,1063,648,1403,42395
509,0,0,10,10,0,0,531,546,0,6,8,3,0,0,585,596,3,11,4,9,3,0,706,733,5,3,4,8,0,0,705,721,0,12,7,3,0,3,1086,1115,5,31,28,38,7,9,4053,4172,0,0,18,259,178,30,376,856,41,265,138,566,242,34,286,1572,370,1329,623,1436,244,92,697,4795,490,1603,857,1438,203,145,823,5561,499,1372,1089,1421,201,257,1020,5857,512,1176,1316,1293,174,310,1159,5939,459,1220,1451,890,141,354,2757,7264,2367,6967,5494,7302,1376,1222,7119,31848,0,0,0,23,26,8,63,122,3,0,7,72,30,4,30,144,3,16,20,152,31,11,52,279,4,17,31,124,14,6,46,239,3,30,49,107,11,3,57,262,3,30,43,86,10,6,76,261,9,11,15,32,8,0,87,158,25,107,163,596,135,47,405,1469,3,0,21,503,350,36,211,1127,53,380,194,1297,385,54,176,2536,521,1877,892,3741,347,144,448,7976
510,0,3,0,0,4,0,1229,1236,3,0,0,3,0,4,948,963,0,3,0,4,0,0,759,766,0,7,0,8,0,0,537,549,0,0,0,0,0,0,282,288,3,12,12,20,4,6,4384,4438,0,0,9,100,102,14,393,616,31,266,106,367,141,33,488,1427,556,1670,680,1209,230,100,1549,5993,557,1286,732,1078,194,123,1234,5196,324,728,558,694,97,128,984,3510,209,415,417,374,62,98,727,2301,80,163,154,104,13,33,476,1015,1758,4520,2647,3922,833,535,5852,20064,0,0,0,49,68,11,229,361,0,4,15,213,91,27,144,497,17,69,77,680,140,55,291,1329,39,54,123,582,111,61,280,1243,35,68,90,363,56,41,221,871,31,66,68,170,38,29,163,580,12,27,32,73,6,19,139,311,132,297,415,2132,510,243,1472,5193,0,0,9,155,125,15,67,370,40,356,134,715,171,37,96,1545,830,2376,976,3321,208,120,343,8169
511,0,0,0,6,0,0,802,811,0,8,3,11,0,0,834,862,0,3,0,6,0,0,702,712,0,4,3,10,0,0,659,674,0,0,4,7,0,0,792,807,3,13,16,36,5,0,4465,4542,0,0,20,204,173,22,418,840,42,318,161,592,253,49,468,1878,460,1454,659,1443,261,104,1024,5413,512,1330,776,1330,187,143,1052,5331,392,1036,835,1227,155,199,1010,4852,293,643,750,898,113,184,1014,3897,197,514,618,493,79,169,1728,3798,1895,5294,3827,6176,1226,864,6724,26003,0,0,0,42,49,6,125,221,0,8,10,117,54,15,87,284,9,31,38,287,63,19,131,574,7,37,58,234,26,18,101,481,10,51,60,190,25,23,128,489,13,39,50,129,17,14,105,370,4,25,38,43,5,8,133,250,45,184,254,1040,235,101,805,2677,0,0,20,349,257,24,123,776,65,439,202,1330,407,59,141,2656,680,2150,961,4019,367,154,348,8687
