SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOSR501,978179,1027301,2005481,64648,61180,125835,134627,127708,262338,60713,58103,118813,63523,62845,126375,138475,148949,287428,140711,149730,290440,124118,132138,256255,106670,115861,222529,83955,93356,177310,45355,52848,98207,15374,24582,39957,2636,2568,5203,957500,1006434,1963937,20678,20866,41544,19025,19405,38432,480,407,892,487,489,976,19995,20307,40300,587114,604198,1191319,349655,381803,731454,726344,751917,1478263,204703,229653,434358,815811,853688,1669498,18688,17393,36084,127640,121106,248750,46802,47043,93848,25125,28016,53143,31902,51689,83593,462814,514348,977167,72408,72690,145091,144706,146044,290751,32273,31594,63863,19085,23054,42140,5428,6915,12345
SOSR511,35471,37465,72939,2315,2174,4492,5406,5033,10440,2300,2329,4627,1932,1860,3786,4384,4706,9091,4653,5014,9666,4504,4978,9478,4253,4597,8854,3372,3701,7074,1790,2128,3920,561,949,1511,43,49,92,34286,36813,71097,1185,650,1835,1249,1310,2563,14,10,21,32,33,70,1294,1362,2653,26755,28015,54775,7107,7812,14919,30338,32372,62711,2925,3416,6340,30722,32857,63577,671,581,1255,5082,4749,9833,1553,1636,3194,303,432,738,616,1465,2083,11392,14248,25642,3514,3736,7249,8446,8061,16509,1738,1568,3308,845,871,1715,124,94,215
SOSR512,59066,60799,119864,3613,3477,7093,8289,7890,16181,3724,3485,7209,3265,3096,6364,7421,7419,14837,7405,7765,15166,7470,8038,15506,7488,7767,15253,5986,6334,12323,3271,3763,7037,1137,1766,2902,111,94,209,55759,58576,114329,3305,2226,5534,3744,3688,7430,45,44,93,79,51,132,3871,3783,7656,43384,44400,87787,10968,12171,23137,48782,51003,99789,4816,5249,10066,49154,51640,100792,911,896,1807,7531,7170,14700,2310,2312,4619,495,616,1114,1148,2488,3637,18818,22852,41672,5664,5925,11589,13251,12130,25380,2819,2495,5313,1736,1560,3297,281,241,523
SOSR513,41570,37730,79299,2868,2626,5491,5764,5525,11289,2029,1793,3815,1978,1882,3860,6316,6542,12858,6867,5948,12809,5979,4707,10684,5045,4202,9248,3203,3003,6210,1294,1173,2466,231,330,563,206,135,346,35363,34847,70214,6212,2875,9088,3891,4013,7906,142,121,263,235,239,470,4267,4374,8642,26383,24601,50981,8118,8214,16332,30421,28560,58985,3756,3998,7753,31023,29170,60194,679,652,1328,4930,4746,9678,1146,1107,2251,250,361,606,789,1569,2356,13396,14837,28230,3696,3166,6862,7165,5482,12649,1448,1058,2507,653,561,1217,115,96,212
SOSR514,13626,14253,27874,895,812,1705,2050,1979,4025,856,729,1589,596,510,1106,1549,1649,3194,1768,2074,3836,1708,1934,3643,1625,1793,3414,1593,1607,3198,760,834,1591,221,340,561,62,20,83,13116,13814,26929,509,440,951,534,538,1072,5,6,14,9,4,11,553,556,1107,10015,10406,20425,2423,2758,5183,11584,12179,23760,881,1001,1881,11590,12238,23825,189,214,408,1863,1783,3643,559,491,1050,61,90,154,201,547,748,4447,5580,10028,1341,1310,2645,2742,2698,5436,630,533,1169,393,299,696,40,24,60
SOSR515,50568,49230,99799,3119,2884,6007,6751,6262,13017,2656,2447,5104,2503,2307,4808,6329,6480,12807,6208,6277,12491,6586,6116,12696,6681,6649,13327,6038,5912,11946,2890,2808,5698,808,1099,1904,327,161,490,46244,46734,92982,4318,2496,6814,3832,4052,7879,89,87,173,64,84,147,3982,4221,8205,35309,34493,69804,8933,9465,18398,40371,39855,80226,3889,4076,7968,41022,40466,81488,706,649,1357,5840,5404,11247,1524,1493,3023,270,350,622,694,1626,2320,14804,17368,32168,4769,4683,9446,11028,9743,20767,2642,2025,4670,1526,1253,2770,262,212,473
SOSR521,21451,20119,41575,1249,1149,2392,2528,2324,4846,975,946,1925,983,877,1866,2552,2504,5059,2557,2462,5022,2863,2592,5453,3281,3045,6325,2866,2581,5446,1281,1226,2507,317,423,738,53,69,120,18725,18850,37575,2729,1276,4002,2553,2784,5331,11,21,29,22,25,51,2588,2827,5411,14807,14095,28896,3320,3467,6786,16628,15786,32414,1610,1896,3514,17082,16430,33513,255,235,489,2172,1990,4160,492,521,1011,80,95,171,230,556,789,5691,6514,12209,1809,1848,3654,5069,4316,9380,1108,943,2051,832,629,1463,74,69,143
SOSR522,12546,11805,24346,691,662,1353,1483,1453,2936,620,587,1204,621,671,1292,1503,1436,2939,1447,1350,2802,1563,1365,2920,1832,1810,3646,1806,1580,3386,796,685,1481,179,198,373,28,48,77,11310,11213,22528,1231,592,1819,2676,2838,5513,10,15,29,13,23,33,2698,2874,5576,9345,8830,18174,1736,1696,3439,9215,8558,17777,1850,2013,3854,10462,9933,20394,142,153,297,1279,1261,2541,263,276,534,48,68,119,112,279,392,3465,3781,7251,1140,1197,2342,2995,2541,5538,722,534,1260,557,364,916,64,78,148
SOSR531,118008,84308,202315,3965,3652,7622,10455,9669,20119,4807,4197,8998,5940,3843,9785,16591,9515,26105,18116,10697,28811,19874,13079,32959,19251,14508,33753,13287,10535,23823,4877,3797,8679,840,818,1662,503,262,774,79085,75458,154547,38922,8845,47766,5315,3619,8936,80,32,105,129,44,171,5522,3699,9216,74820,58311,133126,21289,16470,37753,85767,69283,155050,7532,5845,13374,86545,70037,156579,925,899,1827,9344,8657,18000,2937,2804,5746,741,771,1508,1448,2500,3949,38750,35094,73847,10322,7637,17962,25123,15291,40411,4600,2780,7377,2491,1422,3914,472,186,652
SOSR579,3003,413,3413,0,0,0,0,4,3,14,8,19,81,37,121,459,94,549,945,55,999,896,57,951,473,86,560,119,61,178,15,17,32,0,3,3,143,16,164,24,15,37,2981,399,3380,40,6,44,0,0,0,0,0,0,39,6,48,1000,174,1179,618,97,717,1404,244,1654,208,22,233,1373,231,1606,0,0,0,0,0,0,0,5,5,10,4,10,63,9,68,944,198,1141,246,22,272,366,40,402,32,6,38,4,0,4,4,0,0
