SOSR_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOSR501,..,991,35610,79413,74330,65437,55211,29840,7320,348143,..,6556,31339,18712,12468,8545,4190,1282,223,83304,..,172,1097,3417,5331,3503,1586,735,459,16309,189663,..,..,..,..,..,..,..,..,189663,..,50210,..,..,..,..,..,..,..,50210,..,35926,20992,6873,4151,1809,328,3,0,70075,..,5966,5398,2009,1611,1881,1514,847,438,19663,..,3018,4554,1819,1118,689,340,124,13,11683,..,8034,13862,4565,3152,2791,1874,683,145,35108,..,3645,13953,13973,13832,15292,13517,7823,3439,85477,2213,2683,2954,2214,1796,1394,1054,487,150,14954,118,115,228,177,174,242,269,91,20,1424,191995,117300,129997,133170,117962,101588,79884,41912,12213,926017,..,2361,53421,89261,77572,65301,50258,21779,3477,363434,..,10582,35683,18656,12473,7687,3196,833,107,89216,..,1563,9424,17142,19050,10604,4599,2925,1968,67281,179680,..,..,..,..,..,..,..,..,179680,..,51636,..,..,..,..,..,..,..,51636,..,25208,12741,3112,2004,1445,369,13,0,44889,..,5453,3528,1194,1597,3735,4436,2702,1628,24273
SOSR511,..,47,1103,2334,2421,2459,2170,1227,269,12034,..,390,1107,608,465,393,201,51,7,3222,..,11,43,204,238,96,50,22,22,695,7301,..,..,..,..,..,..,..,..,7301,..,1327,..,..,..,..,..,..,..,1327,..,1404,482,214,117,64,12,0,0,2294,..,185,148,66,47,51,45,22,11,582,..,123,127,70,44,24,9,4,0,401,..,183,276,120,119,112,81,20,5,913,..,174,485,464,551,626,524,311,134,3270,110,137,134,97,69,61,45,23,3,684,4,9,7,8,3,4,3,3,0,36,7420,3978,3910,4179,4089,3894,3146,1680,460,32762,..,92,1667,2746,2721,2503,2004,904,132,12768,..,577,1215,660,526,380,139,36,0,3545,..,110,530,857,737,279,140,99,65,2824,6814,..,..,..,..,..,..,..,..,6814,..,1499,..,..,..,..,..,..,..,1499,..,972,270,95,66,52,15,0,0,1466,..,125,77,21,55,118,124,69,42,637
SOSR512,..,61,1660,3207,3550,3700,3324,1943,514,17969,..,657,1750,1138,903,713,344,90,25,5619,..,20,88,254,365,189,82,48,32,1074,10837,..,..,..,..,..,..,..,..,10837,..,1872,..,..,..,..,..,..,..,1872,..,2212,808,314,232,91,15,0,0,3676,..,364,230,118,92,123,117,41,27,1111,..,189,194,93,74,41,18,7,0,614,..,349,468,199,176,194,102,45,9,1539,..,289,749,742,929,1224,1048,575,255,5828,197,225,219,199,135,160,127,49,16,1327,5,7,3,6,5,15,6,4,3,48,11038,6243,6158,6280,6464,6452,5189,2804,884,51503,..,149,2334,3823,3990,3732,3106,1493,256,18885,..,1004,1907,1184,998,645,262,83,5,6091,..,159,719,1185,1067,518,226,170,96,4135,10336,..,..,..,..,..,..,..,..,10336,..,1944,..,..,..,..,..,..,..,1944,..,1386,406,135,124,94,24,0,0,2166,..,287,110,52,109,190,204,142,59,1152
SOSR513,..,34,1140,2407,1951,1552,896,395,66,8436,..,330,1430,1027,652,393,114,23,0,3969,..,13,44,145,167,97,36,12,9,532,7272,..,..,..,..,..,..,..,..,7272,..,941,..,..,..,..,..,..,..,941,..,1035,358,130,68,25,0,0,0,1619,..,218,135,83,70,66,49,29,8,655,..,99,136,53,38,28,3,0,0,371,..,139,301,151,137,117,65,9,0,913,..,188,544,510,588,605,319,169,49,2968,125,138,162,129,118,170,228,94,9,1168,4,7,14,6,3,3,5,0,0,45,7402,3150,4273,4632,3790,3049,1714,742,141,28888,..,57,1738,2639,1929,1414,746,271,34,8834,..,509,1682,1026,603,310,74,22,0,4225,..,83,432,612,443,199,96,50,21,1947,6926,..,..,..,..,..,..,..,..,6926,..,922,..,..,..,..,..,..,..,922,..,634,156,60,35,22,7,0,0,911,..,194,74,32,64,117,89,41,22,642
SOSR514,..,9,289,774,808,787,878,479,91,4108,..,96,401,320,234,157,97,19,0,1324,..,0,18,48,91,38,20,15,11,239,2662,..,..,..,..,..,..,..,..,2662,..,460,..,..,..,..,..,..,..,460,..,451,181,67,39,26,9,0,0,768,..,67,34,21,13,24,30,5,4,207,..,29,60,35,21,10,8,0,0,162,..,85,181,64,68,55,27,10,3,485,..,49,110,171,205,270,302,123,59,1295,49,43,43,39,41,25,34,9,0,287,0,0,6,0,0,0,0,0,0,11,2710,1297,1314,1542,1511,1399,1396,658,165,12000,..,22,460,1000,859,837,814,342,41,4374,..,155,473,357,254,151,64,13,0,1456,..,15,148,319,324,117,57,29,25,1042,2512,..,..,..,..,..,..,..,..,2512,..,415,..,..,..,..,..,..,..,415,..,268,83,37,25,15,8,0,0,431,..,42,15,11,13,36,28,33,19,202
SOSR515,..,54,1284,2332,2457,2628,2467,1391,319,12921,..,439,1433,970,775,617,310,99,14,4654,..,14,83,181,234,146,72,34,20,785,8457,..,..,..,..,..,..,..,..,8457,..,1214,..,..,..,..,..,..,..,1214,..,1459,498,246,166,76,6,0,0,2451,..,257,158,80,76,98,73,38,16,803,..,122,133,59,40,38,24,4,0,428,..,158,301,144,144,160,112,41,5,1066,..,230,577,519,865,1007,978,490,190,4863,122,148,191,152,163,126,178,67,19,1164,5,11,18,0,3,9,3,0,0,58,8581,4113,4684,4686,4913,4912,4227,2158,588,38861,..,119,1798,2843,2643,2781,2331,979,151,13636,..,670,1656,1019,778,566,250,56,11,5012,..,111,539,774,718,313,170,102,69,2802,7866,..,..,..,..,..,..,..,..,7866,..,1217,..,..,..,..,..,..,..,1217,..,938,260,90,93,44,18,0,0,1440,..,199,85,54,91,164,149,91,39,868
SOSR521,..,41,426,785,900,1104,1141,584,131,5118,..,166,478,309,290,327,163,49,0,1781,..,5,23,67,109,73,42,28,8,343,3181,..,..,..,..,..,..,..,..,3181,..,401,..,..,..,..,..,..,..,401,..,601,259,135,107,41,0,0,0,1151,..,149,84,56,57,65,46,14,8,476,..,35,42,30,21,22,14,5,0,166,..,51,66,53,52,85,62,19,5,398,..,91,188,206,372,549,522,260,84,2269,85,72,58,74,49,58,58,23,4,474,0,0,4,0,0,0,0,0,0,7,3264,1614,1618,1713,1959,2322,2047,979,243,15765,..,57,613,972,1003,1175,1062,422,64,5368,..,240,550,364,353,275,119,28,0,1931,..,60,256,375,296,144,95,71,19,1325,2929,..,..,..,..,..,..,..,..,2929,..,454,..,..,..,..,..,..,..,454,..,392,114,57,44,28,6,0,0,642,..,135,59,35,55,80,79,39,26,503
SOSR522,..,51,261,420,471,581,634,353,84,2851,..,116,311,211,183,144,74,26,5,1071,..,4,21,43,47,40,21,5,4,186,1862,..,..,..,..,..,..,..,..,1862,..,197,..,..,..,..,..,..,..,197,..,360,156,86,59,14,0,0,0,679,..,161,81,53,42,41,25,8,4,410,..,17,18,4,4,5,5,3,0,64,..,14,42,19,34,50,34,17,0,204,..,49,118,125,235,341,346,159,41,1411,48,58,40,31,30,38,37,8,0,290,0,0,0,0,0,0,0,0,0,0,1906,1030,1046,1001,1104,1257,1173,575,139,9230,..,66,355,485,508,636,570,255,35,2918,..,164,327,232,177,137,55,15,0,1119,..,56,172,190,169,111,50,38,16,794,1822,..,..,..,..,..,..,..,..,1822,..,230,..,..,..,..,..,..,..,230,..,279,76,32,19,15,3,0,0,426,..,113,43,37,45,66,51,24,12,384
SOSR531,..,70,1546,4094,5974,7123,6135,2691,437,28078,..,336,1294,1209,1357,1269,684,159,15,6322,..,15,60,203,315,262,133,76,36,1107,12251,..,..,..,..,..,..,..,..,12251,..,2373,..,..,..,..,..,..,..,2373,..,2867,1132,493,342,142,14,0,0,4992,..,316,158,103,118,180,223,113,59,1270,..,150,184,87,102,90,73,24,3,715,..,108,238,138,170,234,204,72,8,1172,..,261,506,559,1057,1623,1569,687,157,6419,268,299,239,198,176,217,236,102,24,1762,7,7,21,7,0,10,9,4,0,72,12527,6809,5378,7086,9622,11153,9280,3926,745,66532,..,124,2313,5243,6767,7488,5386,1802,182,29292,..,508,1574,1358,1552,1221,442,102,3,6770,..,68,348,647,702,365,216,174,105,2628,11277,..,..,..,..,..,..,..,..,11277,..,2504,..,..,..,..,..,..,..,2504,..,1737,665,209,136,99,21,0,0,2868,..,224,85,47,89,206,269,255,177,1358
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
