SOSR_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR501,726344,751917,1478263,5383,5862,11244,7838,7497,15337,858,996,1848,8733,10317,19042,22207,26895,49095,1689,2056,3746,32622,39266,71891,2164,2533,4706,3886,4374,8259,3059,3729,6790,1970,2148,4118,1838,1790,3626,4957,4754,9709,5844,5404,11247,2422,2326,4750,10547,9283,19834,2969,2966,5933,4621,3355,7983,1289,1295,2578,34481,31177,65660,10463,11971,22439,2301,3325,5624,632,870,1503,3047,3449,6501,2771,2903,5674,4507,4408,8917,3677,3641,7322,2212,2902,5118,3443,4097,7533,1335,2143,3482,422,361,779,2624,2753,5377,4365,5539,9906,4838,6592,11425,6187,7992,14179,3321,4384,7704,18710,24503,43216,5281,6217,11504,4215,4161,8372,1807,4455,6255,987,937,1923,9757,11636,21391,34940,38172,73115,204703,229653,434358,44496,43161,87657,2636,2568,5203,978179,1027301,2005481
SOSR511,30338,32372,62711,310,331,641,84,80,163,39,64,104,46,55,101,206,307,512,4,12,20,257,376,633,7,12,26,52,65,112,44,58,105,24,54,72,21,27,46,45,33,76,53,50,107,34,32,63,95,81,173,31,28,56,59,45,103,14,8,25,345,306,650,220,244,463,27,42,75,19,6,27,74,60,131,8,5,8,120,119,235,24,23,46,46,61,110,37,33,69,40,58,98,5,3,10,6,10,17,158,186,345,43,68,121,177,256,431,92,117,211,477,629,1106,81,78,159,27,29,55,23,95,124,3,6,6,46,85,131,509,550,1054,2925,3416,6340,2171,1623,3793,43,49,92,35471,37465,72939
SOSR512,48782,51003,99789,413,422,839,63,48,113,166,183,348,60,57,122,238,246,482,9,14,28,306,322,628,20,26,44,122,123,248,136,199,337,37,20,58,21,20,40,53,40,96,102,87,193,41,41,83,122,108,228,54,36,84,68,55,123,25,28,53,480,415,893,215,233,445,27,41,70,6,9,9,39,41,83,12,10,26,125,104,230,41,27,72,36,38,71,53,62,115,30,38,72,38,37,81,12,7,16,307,359,665,99,139,239,366,435,801,211,278,493,974,1215,2189,116,93,203,56,41,100,69,280,358,11,10,24,129,171,301,1190,1188,2377,4816,5249,10066,5351,4452,9803,111,94,209,59066,60799,119864
SOSR513,30421,28560,58985,241,235,473,69,34,107,367,443,815,48,76,126,156,211,363,10,8,21,214,294,509,20,20,44,133,104,238,97,148,250,36,26,65,23,14,36,77,59,138,101,73,176,30,23,61,59,52,110,76,52,131,52,31,83,23,19,43,439,329,770,122,111,235,24,43,68,13,8,20,21,35,60,21,24,43,40,27,70,11,11,25,31,35,61,53,54,102,23,23,47,9,8,21,19,17,35,203,235,435,77,97,174,292,295,584,164,185,355,732,812,1546,132,168,306,35,30,66,95,262,356,15,14,26,68,81,146,999,982,1982,3756,3998,7753,7186,5035,12219,206,135,346,41570,37730,79299
SOSR514,11584,12179,23760,38,27,66,12,4,14,22,27,47,18,19,37,33,54,89,0,3,3,51,70,126,3,3,9,63,74,132,66,102,161,7,7,16,3,0,5,3,3,9,8,3,16,4,3,9,16,8,26,12,8,17,12,5,21,0,0,0,61,40,101,76,60,137,19,31,48,3,3,3,25,21,46,0,0,8,16,16,34,7,0,8,13,31,53,25,33,54,3,8,10,0,0,0,6,5,17,33,46,78,24,31,55,50,64,116,11,25,32,118,161,283,51,58,110,11,5,14,21,33,50,0,0,0,22,24,36,174,165,340,881,1001,1881,1100,1049,2148,62,20,83,13626,14253,27874
SOSR515,40371,39855,80226,172,153,329,49,34,78,522,562,1076,33,48,83,169,228,399,12,6,18,213,284,503,18,27,48,98,112,207,130,162,296,29,24,54,22,7,31,11,5,15,35,23,61,17,10,26,52,34,93,28,25,57,27,20,46,10,3,12,199,135,335,245,251,491,20,37,62,3,20,23,19,30,49,25,21,49,57,53,112,13,19,33,45,52,95,36,60,99,17,24,43,16,3,17,24,13,38,234,260,499,71,84,157,238,253,490,185,188,370,731,786,1516,76,81,157,30,28,53,65,169,234,4,0,3,77,102,182,1439,1351,2791,3889,4076,7968,5987,5135,11117,327,161,490,50568,49230,99799
SOSR521,16628,15786,32414,64,76,141,10,9,21,667,770,1435,9,11,16,49,80,128,0,3,9,53,93,148,4,10,15,32,32,59,44,69,105,11,12,24,0,0,0,0,3,5,13,8,21,4,6,7,21,4,24,4,3,3,0,0,0,0,0,0,41,31,73,53,60,110,5,6,16,0,6,5,5,6,9,12,0,13,20,32,45,3,4,7,3,12,21,14,18,34,6,9,17,0,0,0,3,3,12,94,106,200,20,20,43,101,92,191,19,26,38,233,246,477,42,42,84,9,4,13,19,62,81,0,0,0,28,38,62,868,982,1843,1610,1896,3514,3159,2364,5525,53,69,120,21451,20119,41575
SOSR522,9215,8558,17777,22,17,42,5,5,16,1456,1587,3040,3,0,7,20,29,44,0,3,3,21,26,52,14,5,25,16,17,29,12,38,51,5,0,8,4,4,3,4,5,7,6,3,6,6,4,11,9,10,17,6,0,7,3,0,3,0,0,4,36,26,64,19,26,43,7,5,14,0,0,0,0,5,10,0,0,0,11,14,25,0,0,0,11,6,13,5,4,10,4,0,7,0,0,0,0,3,3,19,17,34,12,13,17,30,26,57,10,13,24,64,72,134,11,17,26,8,7,8,0,12,17,0,0,0,9,4,17,1534,1668,3204,1850,2013,3854,1454,1185,2636,28,48,77,12546,11805,24346
SOSR531,85767,69283,155050,524,415,941,98,44,141,1401,1369,2771,75,65,142,373,276,653,19,6,24,473,351,822,129,94,221,249,224,471,391,428,819,80,57,139,22,7,35,39,15,53,49,12,59,18,5,28,64,26,88,43,10,56,40,11,52,32,8,36,302,100,406,579,495,1078,47,66,118,23,9,30,50,28,82,65,42,99,30,5,36,57,7,68,87,71,159,117,85,200,43,26,64,26,7,29,58,31,87,223,104,328,114,84,201,292,145,437,153,111,264,789,444,1230,225,208,427,32,13,50,79,213,286,11,8,16,254,229,478,2690,2121,4813,7532,5845,13374,24204,8909,33120,503,262,774,118008,84308,202315
SOSR579,1404,244,1654,0,0,0,3,0,3,3,0,0,0,0,0,8,3,12,0,0,0,8,3,12,0,0,0,9,4,6,3,0,5,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,16,0,14,3,0,3,4,0,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,5,7,0,7,3,3,8,0,0,0,18,0,20,13,0,13,28,0,28,6,0,6,67,7,74,4,0,4,0,0,0,5,4,8,0,0,0,7,0,7,41,5,41,208,22,233,1238,122,1364,143,16,164,3003,413,3413
