SOSR_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
SOSR501,381284,236434,277301,282555,248932,215014,171134,94852,38316,1945823,284,218,308,317,293,421,458,323,146,2761,62,202,288,244,219,222,199,66,11,1518,91,137,276,224,215,284,240,64,9,1534,42,72,154,188,205,252,152,29,3,1104,16,32,85,93,139,114,69,25,5,570,5940,7515,7818,6042,5486,5123,4101,2534,1381,45952,20,20,44,44,57,93,125,28,7,434,34,29,74,65,44,48,28,8,0,319,20,23,56,33,23,21,15,4,0,188,10,4,8,10,10,17,17,5,0,77,6234,8028,8789,6936,6400,6178,4942,2763,1420,51692,6519,8244,9097,7254,6693,6600,5398,3089,1563,54455,366,511,1024,632,635,910,788,267,78,5203,388166,245189,287428,290440,256255,222529,177310,98207,39957,2005481
SOSR511,14649,7998,8637,9287,9076,8382,6787,3797,1420,70040,10,14,18,5,17,27,28,28,10,152,0,3,3,0,4,5,6,0,0,35,0,5,10,6,9,14,11,0,5,56,4,0,0,8,5,7,9,0,0,40,4,0,5,0,0,0,0,0,0,12,252,388,386,335,347,381,208,83,76,2466,0,0,0,0,8,5,10,0,0,23,0,3,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,268,396,409,358,368,423,253,93,77,2651,275,407,428,360,385,452,280,116,91,2799,5,9,26,8,9,14,11,3,0,92,14933,8413,9091,9666,9478,8854,7074,3920,1511,72939
SOSR512,22642,12641,13563,14045,14427,13770,11120,6556,2743,111513,14,20,21,30,41,46,55,46,16,286,10,8,18,20,9,41,50,12,0,160,11,0,19,22,13,41,116,7,0,227,9,9,26,16,18,60,59,0,0,193,0,6,6,13,8,33,61,10,0,135,567,854,1102,988,960,1202,816,389,133,7013,0,5,7,7,10,20,23,6,0,79,0,0,0,9,6,14,6,4,0,35,0,0,0,0,3,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,601,885,1191,1067,1019,1412,1126,427,136,7859,618,905,1212,1098,1057,1459,1178,467,153,8146,15,21,56,19,22,39,23,12,10,209,23268,13569,14837,15166,15506,15253,12323,7037,2902,119864
SOSR513,15894,6742,10528,10605,8264,6271,3231,1524,458,63515,42,30,33,26,22,40,26,13,8,238,78,32,64,88,113,153,159,30,7,722,112,18,71,99,102,239,316,63,5,1014,42,12,79,117,134,182,153,18,3,754,20,12,31,41,57,108,125,27,0,422,566,782,1854,1743,1942,2141,2100,764,80,11967,14,4,18,15,17,49,46,15,0,173,3,6,32,18,12,27,7,6,0,112,10,0,0,7,0,10,8,0,0,40,0,0,0,0,0,0,0,0,0,0,840,866,2161,2131,2372,2899,2917,924,96,15205,880,897,2190,2161,2394,2941,2944,943,100,15443,11,43,137,51,25,39,32,7,0,346,16781,7678,12858,12809,10684,9248,6210,2466,563,79299
SOSR514,5553,2520,2899,3598,3419,3062,2901,1479,533,25968,16,10,13,15,9,11,20,13,3,115,3,6,0,4,0,7,3,0,0,19,3,0,0,0,3,3,5,0,0,19,0,0,8,4,6,13,12,3,0,51,0,4,0,4,6,4,5,6,0,24,157,147,236,186,193,298,248,87,28,1570,0,0,0,0,0,7,0,0,0,14,0,0,3,0,3,0,0,0,0,7,0,6,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,160,158,250,199,215,334,280,94,28,1713,176,168,259,217,219,344,297,108,27,1833,0,8,30,23,3,6,0,3,0,83,5733,2694,3194,3836,3643,3414,3198,1591,561,27874
SOSR515,18159,8852,10906,10950,10843,10604,8765,4667,1737,85480,32,31,36,40,41,49,71,34,12,349,41,21,47,58,56,134,221,14,0,584,74,11,64,64,83,174,251,36,0,749,23,15,32,47,56,142,153,18,0,482,14,12,18,31,38,111,128,31,0,388,640,824,1507,1214,1517,1998,2281,884,152,11012,4,10,9,13,13,41,41,10,0,134,11,3,9,11,14,29,8,0,0,88,10,0,0,5,4,12,8,0,0,48,0,0,0,0,0,0,0,0,0,0,812,890,1683,1439,1779,2636,3085,995,153,13481,847,921,1721,1480,1823,2684,3158,1028,164,13826,6,133,181,57,32,34,28,8,4,490,19015,9908,12807,12491,12696,13327,11946,5698,1904,99799
SOSR521,6899,3366,4043,4174,4494,5016,4173,2163,697,35032,19,12,15,14,31,23,26,24,11,171,5,5,28,11,17,48,62,9,0,187,7,13,13,18,13,98,114,6,3,294,21,4,18,26,30,58,75,9,0,249,9,0,17,10,12,38,78,10,0,174,268,357,857,723,830,1015,881,290,33,5253,4,0,4,0,4,14,13,0,0,35,3,3,6,8,15,16,9,0,0,54,5,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,320,379,954,800,918,1283,1240,323,37,6256,342,393,970,819,952,1307,1263,342,46,6428,0,19,52,20,10,8,9,0,0,120,7245,3785,5059,5022,5453,6325,5446,2507,738,41575
SOSR522,4012,2175,2329,2254,2347,2729,2377,1195,350,19760,29,19,40,23,28,39,31,19,7,229,3,5,8,7,8,36,42,10,0,125,23,12,11,18,8,46,85,12,0,212,3,3,0,12,7,40,41,11,0,121,6,0,18,8,5,16,37,4,0,97,208,258,465,448,501,707,754,244,20,3603,0,8,15,15,3,16,12,0,0,66,3,9,6,4,3,10,3,0,0,41,0,0,4,0,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,247,293,529,517,542,877,980,272,20,4284,275,312,567,541,568,915,1012,292,25,4512,0,12,45,3,6,0,5,0,0,77,4289,2496,2939,2802,2920,3646,3386,1481,373,24346
SOSR531,25613,15037,15992,19385,23326,24522,17961,7439,1515,150795,40,75,74,60,88,96,108,53,9,596,176,61,239,264,210,368,380,41,0,1744,313,67,168,307,299,494,549,62,3,2259,119,79,258,347,355,537,452,54,0,2198,83,59,115,147,209,265,247,45,0,1170,1279,3245,8843,8051,8259,7219,3987,970,121,41988,32,14,39,54,74,108,65,0,0,383,25,15,74,58,54,47,29,5,0,306,19,10,9,18,14,20,14,0,0,114,0,0,0,0,0,0,0,0,0,3,2048,3554,9750,9238,9468,9067,5718,1174,129,50156,2092,3631,9820,9300,9558,9160,5825,1223,141,50751,38,117,290,126,74,75,40,12,5,774,27741,18781,26105,28811,32959,33753,23823,8679,1662,202315
SOSR579,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,0,0,33,37,61,29,0,0,4,164,3,141,549,999,951,560,178,32,3,3413
