SOSR_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOSR501,2412,55421,2817,63,60713,2823,56805,3702,190,63523,6887,122025,9018,548,138475,10904,121475,7945,388,140711,13908,103772,6074,372,124118,14735,87040,4491,397,106670,10310,69758,3545,342,83955,5042,37171,3019,118,45355,1543,11828,1975,28,15374,68557,665295,42598,2453,778901,2738,52532,2764,67,58103,3740,55759,3154,187,62845,11247,129355,7866,478,148949,18434,124348,6703,242,149730,24015,102768,5094,262,132138,25526,85885,3941,513,115861,15914,73166,3830,446,93356,6008,42704,4001,140,52848,1180,19824,3528,45,24582,108809,686352,40875,2380,838412,5145,107960,5577,129,118813,6570,112569,6855,379,126375,18133,251386,16889,1024,287428,29336,245828,14650,632,290440,37922,206541,11163,635,256255,40264,172925,8437,910,222529,26227,142922,7381,788,177310,11049,79869,7021,267,98207,2723,31650,5510,78,39957,177360,1351640,83472,4837,1617314
SOSR511,86,2095,118,4,2300,74,1693,160,0,1932,221,3701,450,14,4384,396,3839,412,9,4653,474,3699,320,6,4504,590,3427,229,5,4253,409,2766,194,0,3372,197,1471,116,3,1790,41,433,89,0,561,2494,23125,2091,44,27749,128,2099,101,0,2329,103,1653,93,0,1860,389,4030,276,7,4706,748,4048,216,4,5014,923,3844,204,6,4978,1054,3356,174,7,4597,604,2927,168,3,3701,243,1707,174,7,2128,44,721,182,0,949,4246,24378,1593,41,30255,212,4188,220,6,4627,181,3347,257,3,3786,613,7731,723,26,9091,1142,7887,622,8,9666,1394,7548,525,9,9478,1649,6781,407,14,8854,1016,5687,361,11,7074,444,3183,285,3,3920,84,1155,270,0,1511,6737,47501,3680,89,58003
SOSR512,157,3231,331,0,3724,127,2789,337,13,3265,315,6116,957,26,7421,544,5931,908,15,7405,769,5953,743,8,7470,923,5857,689,21,7488,616,4877,483,8,5986,353,2631,284,9,3271,124,865,144,4,1137,3920,38259,4881,110,47164,166,3030,289,3,3485,159,2657,282,7,3096,600,6130,657,28,7419,1083,6043,634,6,7765,1356,6146,521,11,8038,1552,5674,522,11,7767,954,4899,469,14,6334,457,2956,344,5,3763,100,1435,231,4,1766,6435,38961,3946,84,49428,321,6258,618,3,7209,288,5447,610,15,6364,918,12243,1617,56,14837,1629,11977,1540,19,15166,2119,12103,1261,22,15506,2477,11536,1213,39,15253,1574,9776,952,23,12323,810,5587,631,12,7037,225,2298,379,10,2902,10356,77221,8826,192,96591
SOSR513,73,1654,303,0,2029,62,1505,393,14,1978,224,4727,1287,82,6316,395,5024,1411,45,6867,367,4311,1285,21,5979,348,3644,1027,29,5045,202,2544,446,12,3203,85,1013,201,4,1294,21,178,37,0,231,1766,24598,6379,199,32940,72,1449,266,4,1793,81,1461,319,23,1882,392,5056,1039,59,6542,576,4562,797,12,5948,530,3488,686,4,4707,528,3087,574,15,4202,323,2298,359,18,3003,118,897,160,0,1173,16,272,47,0,330,2635,22565,4243,131,29578,145,3102,575,5,3815,141,2969,708,40,3860,619,9779,2323,137,12858,971,9580,2211,51,12809,895,7793,1968,25,10684,877,6735,1599,39,9248,521,4850,802,32,6210,204,1910,355,7,2466,36,446,83,0,563,4403,47159,10623,332,62518
SOSR514,43,721,96,0,856,25,510,59,8,596,83,1263,176,28,1549,119,1476,157,23,1768,173,1379,156,5,1708,194,1293,134,3,1625,164,1324,104,0,1593,88,598,75,0,760,20,161,46,0,221,891,8729,997,62,10676,23,633,69,0,729,30,421,59,0,510,151,1361,132,3,1649,267,1643,157,3,2074,333,1460,141,5,1934,333,1338,121,5,1793,256,1254,101,0,1607,98,638,93,3,834,17,262,61,0,340,1507,9009,935,20,11464,68,1355,165,0,1589,52,931,113,8,1106,228,2625,312,30,3194,387,3115,311,23,3836,498,2841,299,3,3643,528,2630,254,6,3414,420,2576,209,0,3198,187,1239,163,3,1591,34,419,110,0,561,2399,17734,1938,77,22147
SOSR515,121,2164,370,3,2656,87,1979,334,101,2503,324,4981,910,116,6329,483,4811,869,48,6208,556,5092,907,22,6586,696,5212,761,12,6681,523,4949,559,14,6038,270,2297,317,4,2890,72,599,135,0,808,3128,32090,5155,320,40698,122,1977,346,0,2447,122,1832,325,30,2307,498,5148,765,66,6480,768,4764,730,15,6277,932,4524,654,9,6116,1122,4915,591,22,6649,798,4605,493,15,5912,302,2162,341,3,2808,49,824,227,0,1099,4718,30745,4459,160,40084,244,4138,718,4,5104,213,3815,658,128,4808,825,10130,1679,181,12807,1252,9577,1597,57,12491,1494,9618,1557,32,12696,1815,10125,1351,34,13327,1319,9552,1049,28,11946,566,4466,656,8,5698,120,1426,357,4,1904,7845,62836,9613,480,80781
SOSR521,51,793,134,0,975,43,770,162,7,983,137,1875,517,21,2552,183,1862,496,8,2557,248,2053,565,0,2863,319,2467,495,4,3281,259,2248,352,0,2866,109,980,189,0,1281,32,241,43,0,317,1390,13288,2957,51,17680,63,753,132,4,946,57,681,127,7,877,229,1892,359,31,2504,341,1792,322,11,2462,406,1867,312,9,2592,482,2189,371,5,3045,342,1922,307,4,2581,126,908,196,0,1226,15,344,63,0,423,2063,12343,2183,67,16650,115,1541,262,4,1925,100,1454,292,20,1866,363,3771,879,52,5059,518,3656,823,20,5022,649,3920,878,10,5453,806,4653,865,8,6325,607,4172,661,9,5446,236,1884,382,0,2507,53,584,109,0,738,3446,25631,5139,118,34335
SOSR522,54,482,83,0,620,54,500,64,3,621,125,1173,184,22,1503,172,1077,204,0,1447,192,1149,222,0,1563,190,1407,232,0,1832,158,1409,240,0,1806,71,618,105,0,796,12,128,39,0,179,1034,7941,1367,28,10373,45,448,90,0,587,82,510,72,11,671,171,1091,149,21,1436,241,965,132,7,1350,240,982,132,6,1365,296,1314,202,3,1810,229,1150,196,4,1580,80,505,109,0,685,10,146,46,0,198,1411,7108,1121,47,9688,96,938,172,0,1204,136,1005,130,12,1292,300,2268,332,45,2939,416,2039,336,3,2802,433,2135,355,6,2920,495,2721,434,0,3646,387,2556,439,5,3386,155,1121,215,0,1481,23,269,81,0,373,2441,15045,2494,79,20052
SOSR531,220,4013,566,3,4807,228,4090,1570,59,5940,566,10375,5476,174,16591,990,11522,5513,100,18116,1575,13270,4966,64,19874,1881,13714,3609,48,19251,1176,10593,1495,28,13287,450,3889,531,5,4877,94,658,93,0,840,7181,72117,23815,483,103590,195,3511,479,3,4197,212,2944,635,47,3843,678,7151,1574,113,9515,1271,8028,1366,28,10697,2210,9346,1516,12,13079,2781,10352,1354,22,14508,1450,8132,944,14,10535,390,2992,411,0,3797,59,680,74,4,818,9238,53137,8359,251,70987,422,7523,1048,7,8998,443,7031,2204,111,9785,1240,17519,7047,290,26105,2260,19550,6878,126,28811,3784,22616,6483,74,32959,4652,24061,4965,75,33753,2629,18723,2437,40,23823,839,6881,938,12,8679,146,1339,166,5,1662,16417,125255,32169,733,174575
SOSR579,0,8,7,0,14,3,46,28,0,81,11,222,193,24,459,29,465,416,37,945,30,427,374,53,896,23,234,196,24,473,3,69,41,0,119,0,11,0,0,15,0,0,0,0,0,105,1492,1256,143,3002,5,3,3,0,8,0,20,15,0,37,7,57,28,3,94,0,30,20,7,55,7,30,22,0,57,7,43,29,3,86,5,43,14,0,61,0,10,5,0,17,0,0,0,4,3,23,242,123,16,405,5,6,10,0,19,6,69,43,0,121,11,278,223,33,549,31,492,432,37,999,38,459,399,61,951,33,280,220,29,560,9,115,54,0,178,0,22,6,0,32,0,0,0,4,3,129,1727,1382,164,3410
