SOSR_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SOSR501,73246,14235,13049,14952,19158,8269,1862,5867,337379,342,103,92,23,19,21,28,20,6,1266,1921,346886,146607,124983,20026,18148,20172,25097,11657,3349,14525,731454
SOSR511,1296,204,243,223,293,131,44,76,4796,10,0,0,0,3,0,0,0,0,83,101,7349,3034,2439,313,346,333,421,213,70,402,14919
SOSR512,1985,365,347,394,479,223,157,121,7616,31,9,0,0,0,0,3,0,0,145,190,11514,4231,3686,552,543,624,724,351,213,688,23137
SOSR513,1378,284,238,288,490,206,60,114,5422,21,5,3,0,0,4,7,0,0,35,67,6686,3623,3152,458,384,458,710,329,106,419,16332
SOSR514,334,62,60,64,89,55,12,88,1353,9,0,0,0,0,0,0,0,0,17,28,2887,740,736,117,90,106,163,90,23,213,5183
SOSR515,1105,277,224,327,494,205,129,207,5277,29,5,4,0,0,0,9,0,0,61,115,10194,2749,2239,422,364,471,697,303,184,773,18398
SOSR521,372,73,70,107,148,72,58,49,1637,19,6,0,0,0,0,0,0,0,16,32,3941,876,827,139,125,169,211,106,75,306,6786
SOSR522,139,30,18,41,72,21,17,18,640,9,0,0,0,0,0,0,0,0,21,33,2185,378,335,79,50,69,122,38,29,148,3439
SOSR531,1495,196,251,353,620,233,118,238,8128,71,18,15,0,0,0,4,3,0,809,933,23092,5634,3808,455,443,636,1095,390,218,1989,37753
SOSR579,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
