SOSR_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR501,587114,604198,1191319,3070,2305,5377,1384,1258,2647,2191,2843,5035,11534,15426,26953,2011,2138,4152,1238,1105,2341,470,541,1011,3808,4674,8487,947,1033,1982,2874,3311,6184,29855,27814,57670,4862,7955,12815,3161,2989,6144,1835,1662,3495,8027,7568,15592,8176,7786,15967,1235,3071,4310,2634,3321,5956,603,534,1135,13851,16977,30827,2144,2051,4190,3224,3381,6608,28190,26974,55156,4392,2748,7144,12484,17635,30116,2127,2935,5059,6792,8282,15076,17876,19153,37031,4386,4145,8528,1148,2216,3361,2181,5979,8156,95422,96181,191611,4156,4312,8467,7211,9672,16876,54164,61826,115993,38773,38735,77508,2636,2568,5203,978179,1027301,2005481
SOSR511,26755,28015,54775,4,4,9,19,24,44,52,64,116,66,137,202,13,11,23,14,10,27,12,7,21,106,142,246,16,16,24,19,27,50,333,282,621,38,94,134,25,16,45,18,22,42,164,153,318,161,142,304,30,32,59,68,56,118,27,21,43,83,109,193,36,33,66,123,132,259,1144,1071,2213,55,39,94,391,583,976,36,56,92,52,71,120,677,731,1410,34,40,71,53,98,148,32,127,166,2303,2424,4725,88,88,175,34,79,113,772,875,1648,1562,1589,3150,43,49,92,35471,37465,72939
SOSR512,43384,44400,87787,58,28,81,13,9,30,87,143,234,153,165,318,33,22,54,25,19,41,73,70,145,181,271,454,15,8,16,22,32,59,460,384,843,84,173,255,33,22,60,6,5,13,154,174,323,183,162,341,15,49,59,42,50,100,0,0,0,123,116,238,38,33,68,185,220,406,1962,1805,3776,77,61,134,784,1119,1904,32,44,70,58,77,129,759,842,1605,83,58,140,29,54,80,121,373,498,3401,3835,7235,141,172,311,104,136,237,1432,1436,2871,4608,4130,8733,111,94,209,59066,60799,119864
SOSR513,26383,24601,50981,14,6,15,19,13,34,46,99,144,83,163,252,25,20,45,18,16,33,36,34,69,127,177,309,16,10,26,27,37,62,388,268,653,75,145,220,16,12,31,3,3,10,190,163,352,82,67,147,10,47,53,22,29,54,3,0,7,81,87,168,29,21,49,97,95,190,1579,1312,2886,41,24,68,547,672,1224,26,38,70,61,66,132,529,531,1058,83,60,146,26,49,72,63,283,352,2556,2446,4996,85,113,201,44,81,125,1074,1017,2088,6864,4779,11644,206,135,346,41570,37730,79299
SOSR514,10015,10406,20425,6,4,6,0,4,7,27,52,83,16,23,43,3,0,8,6,3,8,0,7,7,87,129,218,8,5,7,3,7,8,74,48,124,17,38,62,9,3,9,0,6,4,69,57,127,76,45,123,7,28,36,19,19,42,0,0,3,15,26,40,6,3,8,53,39,91,341,350,683,14,8,18,93,154,251,9,23,35,18,28,46,112,127,240,19,17,30,8,27,39,14,40,54,931,1002,1934,54,43,96,18,21,34,303,346,642,1117,1072,2196,62,20,83,13626,14253,27874
SOSR515,35309,34493,69804,93,51,146,12,9,24,62,97,171,90,107,197,25,24,48,15,6,14,51,23,77,193,250,439,17,10,26,16,23,38,194,171,369,56,138,191,14,7,26,6,5,5,166,166,333,194,169,357,14,39,59,21,25,52,11,4,13,107,126,237,20,12,28,181,180,357,1604,1469,3071,30,24,60,528,716,1242,32,43,77,65,67,126,400,396,799,47,37,83,31,97,128,75,246,320,3167,3351,6521,154,163,322,63,83,150,1179,1120,2302,5996,5112,11103,327,161,490,50568,49230,99799
SOSR521,14807,14095,28896,6,0,5,0,0,0,26,26,55,15,30,43,5,11,14,0,4,6,16,13,34,70,107,176,4,8,9,7,7,18,59,76,136,18,44,60,8,5,11,3,0,3,76,62,140,67,47,110,5,16,15,4,9,18,0,0,0,35,31,64,5,6,7,73,63,137,631,539,1171,0,3,4,229,288,519,10,14,18,20,16,32,160,164,326,9,7,19,20,46,58,22,85,103,1276,1282,2554,38,61,98,20,29,51,387,382,777,3278,2491,5772,53,69,120,21451,20119,41575
SOSR522,9345,8830,18174,6,3,11,0,4,0,9,11,24,10,12,23,11,4,12,0,3,4,6,12,15,38,54,92,6,0,6,0,0,9,43,39,79,11,17,27,4,0,4,7,0,5,29,38,66,27,20,49,3,8,11,0,5,8,0,3,4,13,14,25,6,4,13,39,48,82,316,292,608,8,4,10,55,80,132,6,7,18,4,13,12,67,72,132,8,3,12,0,8,11,4,22,23,793,689,1483,23,29,55,5,8,17,180,186,363,1436,1229,2662,28,48,77,12546,11805,24346
SOSR531,74820,58311,133126,69,6,75,31,5,42,186,239,424,234,149,383,96,58,156,30,10,44,88,29,116,459,522,980,36,19,54,51,49,107,387,170,554,139,147,283,96,10,105,39,11,46,536,311,847,479,313,790,22,88,109,56,34,91,24,4,33,264,210,468,24,4,25,413,354,763,3877,2230,6108,57,18,74,639,485,1129,87,88,174,143,141,284,1268,960,2226,95,35,136,31,77,113,64,260,331,7736,6993,14727,316,318,634,258,201,455,2953,1907,4864,21397,9270,30664,503,262,774,118008,84308,202315
SOSR579,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
