SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
SOSR501,139,171,275,457,679,1039,1529,1668,1195,7152,210,139,258,479,1338,3142,4858,4084,1773,16280,3598,18089,21995,18571,15898,12866,7631,3866,2444,104952,51,50,117,305,629,1070,1709,2031,1513,7478,6279,7245,10251,12121,13074,14363,12294,7388,4515,87539,158245,82179,99996,99271,78406,56993,34706,12859,3595,626248,12838,8559,9914,9281,8407,6761,5251,3953,2858,67830,188700,120692,148478,149485,131874,115347,92912,52702,24539,1024731,356,1265,3743,8059,17239,31053,41442,31132,14043,148329,21359,18982,22867,23011,19932,16957,14160,7744,2705,147717,384,479,1181,2899,6127,11015,16052,11873,4453,54457,16,36,33,70,153,541,1791,5022,6071,13736,601,1266,2552,6171,12064,19417,24382,15654,5286,87401,479,483,794,1788,5295,12620,20873,18644,9480,70452,343,327,518,940,1379,2252,3403,3721,2236,15114,476,306,514,949,2457,5732,9260,7914,3210,30818,7613,27218,33993,30138,26388,21219,13113,6442,3421,169550,96,109,213,601,1267,2456,4138,4622,2686,16194,15702,13151,16228,19566,22445,25000,21978,12699,6884,153666,319421,174681,200704,198593,156845,112405,65832,24608,6327,1259419
SOSR511,5,3,4,20,32,46,64,54,54,284,13,10,9,25,50,163,236,171,71,749,181,780,892,804,773,631,365,162,110,4704,0,0,5,11,27,56,92,89,62,350,286,265,359,438,497,617,467,270,184,3388,5749,2621,2822,3030,2701,2032,1237,537,133,20859,594,334,369,319,333,318,236,184,147,2829,7206,4179,4693,5009,4973,4584,3696,2122,949,37415,22,63,187,430,914,1557,1952,1320,551,6998,1211,765,891,959,821,715,621,328,97,6409,15,16,43,116,232,480,665,445,165,2164,0,0,4,8,7,32,79,228,248,604,28,59,113,236,515,808,1073,616,223,3667,23,23,38,70,190,477,804,723,390,2733,11,4,25,34,66,98,132,144,97,607,21,16,24,41,103,292,446,362,115,1422,396,1159,1369,1267,1233,1048,655,281,153,7556,0,0,16,16,57,111,199,174,101,679,687,486,549,701,817,1061,826,469,261,5853,11612,5536,5684,6032,5321,4074,2385,1000,234,41873
SOSR512,9,8,19,29,49,94,139,143,106,586,10,11,6,30,100,253,358,274,120,1162,228,999,1249,1158,1170,939,582,341,206,6870,0,5,12,22,42,64,151,166,125,583,389,378,530,650,772,884,754,508,287,5148,8929,4161,4398,4582,4304,3482,2190,909,246,33200,1289,741,795,805,782,748,555,316,188,6224,11365,6576,7389,7758,8020,7752,6322,3757,1766,60702,31,75,226,548,1292,2349,3013,2331,1104,10969,1573,1197,1343,1352,1302,1283,1020,594,232,9883,17,14,73,153,398,725,1131,849,339,3698,0,0,0,4,21,54,142,427,503,1150,34,69,197,376,819,1490,1694,1138,390,6208,30,26,57,99,341,902,1409,1263,760,4898,29,14,40,57,105,197,298,289,193,1213,27,21,23,50,172,478,741,567,240,2311,472,1541,1919,1813,1905,1637,1023,547,297,11154,0,11,13,32,83,178,314,358,227,1212,962,736,836,1030,1271,1528,1323,875,428,8997,17838,8939,9207,9153,8581,6939,4288,1710,447,67117
SOSR513,3,3,14,27,39,34,40,40,12,211,9,0,6,15,36,105,128,104,22,432,129,371,708,615,439,337,154,84,49,2883,5,0,0,8,27,45,34,21,25,166,220,138,302,327,363,358,256,132,87,2184,6339,2353,4046,3644,2502,1998,1123,312,46,22360,1159,618,1084,903,778,669,422,146,39,5826,8148,3652,6488,5938,4697,4188,2978,1174,330,37592,13,27,139,261,580,1023,1197,669,156,4053,772,481,855,847,659,611,444,173,39,4874,10,5,36,119,184,347,427,277,77,1472,0,0,3,0,3,22,53,107,105,292,32,47,115,223,452,683,658,316,80,2600,31,29,37,74,202,459,614,438,134,2016,15,9,43,46,71,78,101,81,23,460,25,8,16,25,76,216,260,197,42,875,266,583,1028,935,756,633,322,145,66,4739,5,0,6,13,47,89,107,86,39,384,536,254,485,535,652,636,534,257,137,4028,12799,5036,8046,7920,5803,4277,2349,638,81,46963
SOSR514,3,3,3,8,10,12,33,25,15,107,5,0,0,3,22,53,101,51,33,268,63,176,267,299,295,237,155,49,30,1564,0,0,3,7,16,19,32,41,24,150,80,68,108,154,184,193,149,114,45,1093,2180,797,1009,1263,1069,835,580,206,64,8003,333,142,164,196,169,154,126,76,48,1409,2787,1238,1648,2067,1934,1792,1608,830,340,14233,7,16,44,129,293,541,792,541,196,2554,354,204,280,338,290,256,250,129,37,2130,7,3,12,47,83,184,286,183,49,862,0,0,0,0,0,13,30,85,77,209,7,22,35,83,153,300,447,231,50,1332,6,6,14,23,81,179,366,268,113,1054,10,5,6,17,23,36,71,49,22,232,9,3,8,11,43,112,207,105,46,538,125,284,382,454,456,392,270,91,42,2508,3,0,8,13,29,39,88,82,34,300,220,133,168,230,307,333,308,192,87,1980,4409,1805,2045,2418,2098,1639,1142,408,105,16064
SOSR515,8,3,9,27,64,70,110,107,46,441,7,3,5,22,96,225,315,186,73,933,165,642,905,869,822,762,473,172,93,4893,0,0,0,10,34,61,109,115,75,409,225,226,368,492,616,692,635,315,175,3748,7122,2967,3982,3643,3158,3021,2079,645,166,26783,1230,706,843,818,751,731,593,336,160,6155,9139,4716,6408,6265,6107,6627,5898,2804,1095,49068,25,50,160,409,1001,2076,2921,1732,644,9019,1031,772,993,1027,1002,1091,991,424,118,7452,11,13,57,103,272,619,1023,705,190,2989,0,0,0,5,7,22,112,230,278,653,35,72,125,278,656,1205,1499,857,253,4977,36,20,40,100,334,750,1376,992,395,4040,18,10,23,50,106,159,229,232,94,920,28,17,18,51,161,433,637,442,139,1927,335,995,1336,1364,1338,1310,861,336,139,8003,8,5,12,28,69,132,278,260,128,915,615,430,579,778,1025,1233,1201,607,273,6736,14467,6353,8187,7539,6914,6123,4212,1335,310,55444
SOSR521,3,0,10,10,19,31,45,47,19,178,0,4,5,12,38,103,171,84,29,447,56,220,312,336,331,349,220,82,31,1935,0,0,5,9,25,25,62,38,25,186,84,68,124,174,251,294,228,120,73,1417,2643,1159,1520,1414,1269,1307,822,296,66,10502,522,257,384,330,350,413,322,181,56,2820,3471,1813,2474,2451,2580,3040,2574,1226,423,20054,7,26,74,182,404,981,1415,765,263,4114,424,280,378,410,418,494,479,208,48,3124,3,9,16,47,103,308,434,292,89,1299,0,0,6,6,6,17,39,71,84,235,10,29,58,137,331,538,754,366,98,2320,19,25,21,53,145,390,647,426,158,1884,10,0,11,20,40,73,115,98,35,392,11,4,6,31,74,218,390,211,57,987,142,340,480,553,545,621,449,149,52,3333,0,0,3,14,39,78,136,112,44,426,229,147,192,285,413,572,498,225,106,2671,5421,2508,3078,2878,2782,2737,1727,597,129,21847
SOSR522,0,0,4,10,16,24,36,21,13,127,3,0,0,10,27,62,88,36,6,237,16,105,153,163,163,191,120,40,9,957,0,0,0,0,8,24,22,20,10,89,66,54,79,109,139,213,146,68,22,901,1601,885,932,786,709,778,534,187,36,6446,371,154,172,164,144,223,220,90,41,1575,2120,1246,1420,1345,1355,1814,1575,685,199,11752,5,9,34,85,232,554,795,423,104,2239,157,138,194,227,256,293,312,100,25,1704,3,5,12,23,50,175,252,182,38,740,0,0,0,0,4,8,33,47,34,123,7,18,44,133,246,403,436,229,44,1571,12,12,19,48,95,231,406,251,87,1154,6,0,7,14,25,45,64,42,22,230,12,0,0,8,41,122,213,112,30,536,57,175,239,278,295,327,238,76,18,1714,0,0,0,3,19,47,81,65,21,240,149,96,120,193,254,379,310,130,38,1666,3213,1790,1993,1670,1563,1594,1142,377,77,13420
SOSR531,6,5,11,34,68,89,138,118,32,498,22,13,15,37,111,286,443,240,45,1208,217,890,1051,1215,1340,1316,681,182,54,6951,3,4,8,28,57,85,157,121,35,498,370,328,501,696,1022,1376,1004,361,114,5776,10713,5201,5695,6431,7308,7080,4088,1090,171,47766,1486,1205,1678,1522,1794,1676,1159,430,73,11018,13308,7985,9400,10667,13071,14487,10520,3798,820,84045,17,106,287,713,1945,4352,5162,2357,543,15477,1432,1184,1503,1890,2070,2097,1649,595,100,12513,27,36,64,218,621,1427,1923,981,171,5461,0,4,4,5,17,45,117,254,160,605,44,90,196,407,1115,1956,2341,1099,213,7460,37,39,74,128,571,1583,2428,1525,380,6763,21,18,33,71,148,249,333,275,77,1231,35,24,33,60,230,650,1041,601,105,2786,510,1397,1703,2052,2382,2373,1390,412,78,12305,9,5,18,43,122,225,431,323,90,1267,903,684,871,1273,1892,2644,2064,763,193,11289,21908,12227,14558,16091,17710,16232,9204,2538,375,110843
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,3,20,43,24,30,46,21,5,0,190,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,0,0,6,13,26,28,28,3,0,114,0,3,18,34,23,17,15,0,0,115,0,0,0,0,5,8,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,4,4,0,37,0,0,0,0,5,13,13,6,0,38,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,15,0,0,21,24,19,6,0,4,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,9,21,11,7,0,0,59,3,79,249,445,397,225,56,7,0,1457
