SOSR_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
SOSR501,53585,285,17,4,0,0,11,4134,58036,54048,2930,1053,235,26,5,8,4357,62657,46936,9450,5838,1812,454,109,39,4515,69160,32335,17711,17341,5620,1610,417,233,4052,79315,18016,15573,28156,10306,2888,846,508,3573,79867,11554,11017,27421,11760,3443,1036,709,2666,69618,9958,9858,26427,12402,3720,1158,800,2579,66901,9384,9247,25802,12301,3838,1209,839,2348,64975,8140,7749,23368,12453,4210,1160,800,2108,59999,6538,6532,21294,12735,4432,1226,679,1913,55346,5149,5476,19219,11774,4239,1113,682,1900,49557,3630,4149,17050,10639,4011,1071,618,2195,43357,2189,2353,10627,8007,3310,995,630,2119,30227,1409,1428,6147,6077,3315,1146,767,2192,22481,1393,1468,5429,5682,3772,1666,1476,3654,24539,264252,105241,235192,121814,43261,13173,8804,44298,836033
SOSR511,2158,20,0,0,0,0,0,150,2323,1421,229,70,16,0,0,0,120,1856,1134,432,301,106,36,11,3,160,2189,687,502,749,299,90,36,11,131,2505,395,398,1002,477,135,44,25,111,2591,274,340,951,496,183,52,30,96,2419,276,285,998,524,184,58,35,94,2453,280,325,974,545,197,57,29,107,2520,253,218,886,557,204,49,28,107,2298,201,190,858,596,242,74,39,85,2290,149,121,710,540,189,59,43,94,1912,132,118,685,476,196,53,30,96,1785,69,57,378,361,189,60,36,88,1237,41,50,218,226,150,75,46,90,888,27,34,144,219,180,96,73,170,949,7497,3312,8928,5434,2169,728,434,1717,30211
SOSR512,3071,36,0,0,0,0,0,374,3480,2275,329,118,28,4,0,3,338,3091,1836,613,524,180,41,11,3,342,3553,1132,708,991,451,156,48,18,334,3838,684,564,1344,698,263,80,59,325,4011,486,478,1307,739,297,94,71,283,3748,520,473,1424,805,312,97,79,257,3958,541,487,1387,853,342,103,74,280,4064,495,391,1260,918,358,103,66,299,3888,421,363,1303,898,396,117,80,296,3864,333,269,1209,877,329,83,60,253,3410,227,215,967,787,332,101,42,241,2911,145,133,668,551,288,101,58,186,2138,93,81,333,437,303,115,88,179,1625,79,105,295,391,339,166,140,248,1766,12329,5251,13128,8611,3749,1212,836,4221,49344
SOSR513,1460,24,0,0,0,0,0,299,1788,1288,176,63,11,0,0,6,319,1864,1575,397,340,121,36,10,0,493,2977,1093,604,766,344,117,36,10,545,3511,638,474,998,533,182,60,34,457,3371,393,297,773,463,197,59,42,343,2566,332,284,759,432,168,51,45,333,2397,288,261,672,423,191,57,47,361,2298,230,217,647,452,161,67,38,294,2108,188,168,654,473,193,63,40,298,2082,131,121,549,431,164,43,34,235,1706,77,71,492,295,143,42,24,139,1276,40,36,225,205,95,36,22,111,779,23,16,83,98,65,24,23,62,396,11,10,58,60,62,40,27,53,330,7770,3156,7091,4350,1782,583,384,4332,29444
SOSR514,642,10,0,0,0,0,0,80,729,369,45,21,0,0,0,0,66,510,380,108,99,36,10,0,0,61,699,333,162,203,115,34,12,7,86,945,177,181,377,185,43,14,5,83,1064,148,125,376,176,76,21,9,64,1000,121,138,390,205,59,15,16,74,1018,129,116,333,167,71,23,13,71,911,106,105,311,185,63,27,11,76,888,101,76,318,237,86,21,13,52,904,85,60,290,220,96,25,11,59,845,45,59,262,215,83,30,16,48,761,39,35,154,142,60,25,11,63,526,24,10,61,82,54,25,12,41,303,17,12,57,75,51,30,28,71,340,2721,1244,3250,2033,774,276,149,999,11447
SOSR515,1990,38,7,0,0,0,0,404,2440,1542,236,119,24,4,0,0,344,2277,1536,512,421,183,55,7,8,378,3103,993,553,779,400,136,40,15,395,3308,555,451,1004,579,203,62,43,387,3277,392,356,977,552,236,72,69,329,2987,382,338,929,549,252,84,63,348,2953,388,379,1029,629,222,97,85,334,3153,408,294,1063,695,305,106,54,332,3255,335,268,1119,854,337,111,56,300,3371,282,248,1123,752,356,108,55,297,3213,178,194,902,697,321,79,49,268,2691,102,95,480,448,228,69,58,205,1676,49,41,252,296,210,69,46,165,1126,49,54,182,239,191,96,92,191,1095,9182,4050,10372,6878,3059,989,707,4689,39927
SOSR521,746,21,6,0,0,0,0,174,945,547,109,62,10,4,0,0,146,867,498,196,176,74,26,12,0,175,1151,362,219,302,163,51,24,19,185,1320,212,168,362,215,112,26,37,163,1294,174,122,315,197,106,34,45,158,1162,176,138,337,180,92,33,36,151,1140,199,149,425,263,138,47,29,189,1439,191,144,438,314,134,44,51,201,1528,163,124,461,338,166,45,31,186,1518,123,96,449,334,143,59,33,186,1422,77,69,377,275,125,37,37,148,1150,57,47,191,188,94,34,27,116,755,20,19,88,131,84,36,24,72,468,16,8,61,99,92,34,36,66,423,3559,1640,4062,2796,1359,471,403,2309,16585
SOSR522,447,24,0,0,0,0,0,118,587,390,111,48,9,0,0,0,101,663,315,123,110,48,6,3,0,92,699,226,99,160,89,39,16,6,84,718,128,81,179,144,53,34,14,83,718,105,67,152,109,67,23,27,74,623,93,81,166,115,42,36,21,73,628,100,74,199,148,65,34,29,79,731,115,79,233,187,88,29,28,123,875,95,80,302,211,101,23,28,109,940,68,74,254,220,99,28,27,117,880,56,38,235,175,59,17,18,100,696,31,17,112,104,52,18,9,63,410,15,11,37,71,54,20,23,49,277,5,11,20,45,33,16,21,37,199,2180,967,2211,1675,767,290,250,1304,9638
SOSR531,3562,23,4,0,0,0,8,595,4189,2839,181,67,17,0,0,0,689,3795,2545,488,400,125,39,6,3,835,4434,1723,697,1022,511,152,55,17,792,4961,1030,595,1559,976,314,71,50,703,5295,775,513,1720,1177,373,96,64,664,5377,836,570,2112,1233,435,129,76,764,6159,894,673,2377,1410,541,152,94,771,6913,860,643,2448,1721,666,172,90,763,7356,727,554,2393,1783,735,204,86,640,7120,504,435,2030,1604,642,173,80,590,6060,279,271,1574,1153,504,153,74,441,4457,136,149,783,701,345,97,43,290,2542,39,50,271,343,222,109,67,144,1246,30,31,150,207,148,101,70,70,820,16783,5876,18903,12961,5124,1521,818,8748,70735
SOSR579,7,0,0,0,0,0,0,3,8,26,0,0,0,0,0,0,10,36,26,0,0,0,0,0,0,14,43,30,0,0,0,0,0,0,19,40,18,0,0,0,0,0,0,10,29,6,0,3,0,0,0,0,11,24,9,0,0,0,0,0,0,6,23,13,3,13,0,0,0,0,11,36,6,0,12,3,0,0,0,12,43,8,0,14,8,5,0,0,14,40,0,3,13,5,3,0,0,5,28,0,0,8,8,4,0,0,11,31,0,0,7,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,15,69,25,10,4,0,127,392
