SOSR_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,34123,50371,115401,116105,104897,74284,18029,1551,108,514862,21896,9693,26423,27737,22646,37635,71486,47465,21131,286120,2014,2599,6647,5648,4331,3433,3392,3688,3299,35048,58036,62657,148478,149485,131874,115347,92912,52702,24539,836033,9125,42190,146267,151666,138740,91505,16996,1010,50,597549,43433,46428,62067,67443,56307,48695,21688,3177,201,349444,1792,2819,11299,8778,6067,6549,2019,237,24,39585,837,2065,4559,3203,2431,1538,497,171,63,15375,55182,93507,224191,231089,203550,148292,41198,4597,334,1001946,2214,4235,6890,5617,5520,4306,650,44,3,29481,9190,3988,4289,3702,2887,2756,932,88,8,27840,11405,8222,11181,9316,8410,7061,1585,133,11,57316,66589,101731,235374,240404,211963,155352,42783,4724,346,1059262,47982,18823,37485,37542,34307,58940,127201,86803,34409,483491,4116,5439,13546,11859,9354,7324,6544,6413,5130,69726,118685,125988,286403,289808,255624,221618,176529,97942,39885,1612479
SOSR511,1503,1450,3373,3904,3987,2802,604,46,3,17672,750,315,1085,925,802,1612,2937,1930,785,11150,77,85,236,181,175,173,153,146,155,1391,2323,1856,4693,5009,4973,4584,3696,2122,949,30211,590,1700,4295,4696,4975,3526,567,24,0,20385,1693,902,1877,2459,2148,1814,782,89,3,11774,102,132,393,277,290,309,74,10,0,1595,41,58,121,102,86,48,17,4,6,486,2430,2794,6684,7536,7509,5696,1441,124,13,34235,124,137,220,174,165,145,21,0,0,975,263,95,137,117,117,89,26,5,0,848,389,241,355,285,282,229,42,5,0,1824,2818,3033,7042,7825,7789,5925,1484,127,13,36055,1640,553,1544,1443,1292,2562,5275,3538,1273,19112,166,196,482,386,386,347,311,246,231,2746,4624,3782,9066,9652,9467,8839,7068,3914,1511,57919
SOSR512,2234,2306,5234,5847,6388,4928,1215,105,7,28276,1018,537,1539,1340,1161,2320,4683,3348,1544,17486,230,247,613,572,481,504,420,305,210,3584,3480,3091,7389,7758,8020,7752,6322,3757,1766,49344,1156,2880,7053,7374,8056,5951,1146,73,5,33695,2655,1372,2858,3476,3324,3284,1433,189,15,18600,129,191,575,434,485,570,145,26,6,2565,60,118,221,152,174,117,34,19,11,903,4000,4566,10704,11434,12041,9923,2767,309,32,55766,155,207,275,238,249,178,24,0,0,1331,316,102,180,155,129,178,46,0,0,1129,472,308,456,398,382,363,77,5,0,2464,4471,4876,11161,11833,12422,10285,2839,310,35,58226,2232,962,2309,2045,1968,3810,8574,6122,2523,30556,496,504,1313,1271,1094,1130,884,588,342,7616,7202,6346,14779,15147,15483,15223,12300,7025,2895,96403
SOSR513,986,1267,4414,4326,3398,2376,574,52,3,17397,591,298,1090,861,650,1259,2042,953,266,8009,207,294,981,753,647,555,363,164,65,4030,1788,1864,6488,5938,4697,4188,2978,1174,330,29444,575,1692,6131,6393,5521,3627,674,33,0,24652,1105,564,1774,2132,1445,1207,501,83,0,8819,69,139,653,542,476,551,210,35,0,2671,50,66,249,182,97,88,19,6,0,761,1807,2464,8803,9252,7540,5469,1408,154,6,36899,106,137,177,149,150,105,9,0,0,841,155,59,106,94,65,63,28,0,0,564,265,193,282,248,210,171,35,5,0,1405,2068,2658,9084,9496,7748,5636,1448,153,6,38302,1275,503,1443,1181,1042,2027,3950,1952,448,13816,476,662,2187,2077,1868,1546,784,353,115,10067,3812,3818,12717,12761,10658,9210,6176,2466,563,62190
SOSR514,435,367,1156,1590,1508,1054,286,31,0,6425,243,87,362,338,292,621,1232,706,278,4158,53,55,121,138,136,113,93,96,60,865,729,510,1648,2067,1934,1792,1608,830,340,11447,184,470,1350,1663,1647,1097,227,14,0,6647,543,263,756,1068,965,806,373,49,0,4832,39,24,126,168,135,134,34,7,0,667,26,20,52,51,42,18,12,5,0,217,790,781,2279,2944,2782,2061,645,70,5,12359,39,38,99,70,67,59,8,0,0,382,56,22,30,38,45,42,14,0,0,245,100,56,127,109,105,104,21,0,0,628,892,840,2403,3050,2890,2161,666,72,5,12987,571,155,476,480,473,1004,2340,1340,459,7296,124,110,280,283,281,242,195,173,104,1787,1589,1098,3163,3817,3638,3411,3201,1587,561,22066
SOSR515,1244,1539,4385,4547,4490,3809,999,113,6,21140,929,439,1312,1041,998,2270,4434,2361,884,14665,265,296,718,675,620,551,468,329,205,4119,2440,2277,6408,6265,6107,6627,5898,2804,1095,39927,700,2046,5917,5819,6079,4626,1021,86,0,26288,1377,771,2165,2464,2299,2399,1037,182,12,12714,105,171,655,590,614,798,290,27,6,3251,77,103,202,179,154,124,48,32,6,933,2267,3091,8939,9051,9145,7942,2396,329,23,43179,109,170,247,194,239,202,25,3,0,1183,185,71,118,140,111,139,44,5,5,820,293,237,364,336,348,339,71,7,5,1993,2563,3331,9296,9384,9492,8278,2471,338,23,45182,1947,734,1766,1552,1680,3733,8454,4750,1543,26156,586,614,1563,1497,1492,1277,999,604,334,8963,5095,4676,12625,12427,12665,13292,11923,5689,1898,80302
SOSR521,413,489,1453,1568,1727,1631,427,58,0,7763,431,260,686,571,563,1069,1857,999,359,6799,100,117,340,310,289,347,292,169,58,2023,945,867,2474,2451,2580,3040,2574,1226,423,16585,263,676,1999,2004,2301,2059,492,39,3,9839,381,273,697,885,886,1029,425,82,3,4672,46,54,229,177,205,343,110,9,0,1178,42,39,96,77,82,74,23,16,5,455,739,1039,3021,3145,3476,3498,1049,148,16,16141,49,70,123,109,109,108,24,0,0,591,55,29,43,54,55,57,19,4,0,316,102,98,168,164,167,166,45,4,0,908,840,1139,3189,3306,3642,3666,1092,154,16,17051,886,428,969,896,967,1826,3723,2008,621,12325,198,273,847,787,835,830,622,349,102,4844,1916,1841,5007,4996,5446,6323,5435,2507,738,34216
SOSR522,208,345,838,858,878,951,271,29,4,4372,324,252,443,358,353,675,1124,562,152,4239,55,69,132,133,125,192,184,95,43,1021,587,663,1420,1345,1355,1814,1575,685,199,9638,136,391,1128,1032,1257,1170,299,46,0,5459,172,209,425,491,433,572,275,51,3,2641,15,33,121,154,126,200,74,17,0,716,10,26,57,37,28,46,17,0,8,230,340,652,1729,1710,1842,1985,660,108,7,9040,34,64,83,84,77,59,10,0,0,409,35,24,53,55,33,38,17,0,0,253,66,81,137,137,103,100,25,0,0,661,407,735,1869,1849,1952,2084,689,111,6,9704,689,421,725,618,632,1148,2268,1177,290,7965,112,120,305,331,330,413,422,201,74,2316,1204,1279,2895,2793,2915,3647,3384,1481,369,19979
SOSR531,2258,2702,6216,7692,9669,8863,2695,411,24,40534,1570,489,1686,1701,1955,4329,6921,2989,716,22357,366,604,1500,1279,1443,1292,903,391,75,7844,4189,3795,9400,10667,13071,14487,10520,3798,820,70735,1440,4250,11445,12726,15680,12919,3484,581,58,62578,2478,1555,3028,4664,5325,5818,2943,653,67,26525,195,338,1252,1385,1593,1946,580,51,5,7351,138,163,326,350,379,334,181,97,22,1981,4258,6316,16051,19113,22971,21014,7188,1373,147,98440,155,189,305,296,336,341,65,0,0,1684,298,103,131,148,177,208,85,4,0,1160,451,286,437,445,524,542,151,8,0,2840,4715,6602,16492,19563,23490,21559,7335,1381,152,101279,3480,1222,3465,3415,3595,7558,14201,6428,1344,44712,795,1853,5864,5711,5796,4568,2249,854,164,27852,8990,9679,25814,28684,32883,33687,23786,8666,1662,173841
SOSR579,7,21,54,28,32,29,5,5,0,190,0,0,0,0,6,24,36,11,0,81,3,15,28,20,23,24,12,5,0,123,8,36,89,49,60,77,61,17,0,392,12,74,263,456,430,220,25,6,0,1478,0,0,15,24,15,15,7,0,0,77,0,0,18,29,37,30,9,5,0,120,0,3,5,6,3,4,0,0,0,20,10,71,297,516,486,267,40,8,0,1697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,5,0,0,0,7,8,76,301,517,488,269,40,8,0,1711,0,0,4,7,10,45,86,21,0,165,6,43,219,425,390,221,49,6,0,1367,20,116,518,957,896,533,176,32,0,3249
