SOSR_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOSR501,11341,11327,22662,13950,13155,27098,128,76,209,31,15,45,1966,1679,3644,334514,296171,630681,17966,25004,42971,4560,134,4693,2464,255,2711,5224,1495,6715,8767,2178,10939,6941,7011,13950,407844,358480,766327,6731,6529,13258,9,7,25,0,4,5,4523,4112,8630,658,912,1570,495,188,681,12413,11755,24171,13,8,24,8,8,15,725,766,1495,450,877,1326,502,350,855,1699,2006,3704,3833,2067,5899,17947,15828,33771,2108,2514,4617,324,225,549,196,78,274,2628,2815,5442,33695,43286,76978,50297,65332,115625,2236,1566,3799,514630,487315,1001946
SOSR511,11,9,20,396,93,490,0,0,3,0,0,0,35,41,73,12178,11770,23949,1014,1034,2052,143,4,144,66,10,73,153,46,200,216,59,273,224,249,476,14431,13325,27752,0,0,0,0,0,0,0,0,0,8,5,13,0,3,5,0,0,0,13,4,16,0,0,0,0,0,0,190,44,236,16,17,34,19,0,23,230,60,296,185,79,265,425,151,576,0,0,5,18,3,21,10,3,13,28,10,40,470,892,1367,2001,2368,4368,89,38,129,17452,16784,34235
SOSR512,12,8,17,415,139,556,14,0,14,0,0,0,84,95,182,20144,19048,39191,1730,1816,3549,356,16,378,161,22,185,348,125,474,343,107,445,616,624,1242,24217,22010,46227,0,0,0,0,0,0,0,0,0,4,10,14,0,0,4,0,0,0,11,9,23,0,0,0,0,0,0,75,27,99,18,11,23,18,7,29,110,43,156,261,143,403,373,200,573,0,3,3,18,6,21,22,6,23,36,12,52,788,1507,2298,3012,3382,6391,128,98,226,28560,27205,55766
SOSR513,30,39,68,504,115,616,9,0,9,0,6,5,43,38,85,13038,10732,23773,1334,1039,2380,275,12,285,215,58,267,237,150,385,432,124,552,558,682,1239,16670,12991,29664,34,23,57,0,0,0,0,0,0,44,37,85,3,7,6,0,3,5,85,68,152,0,0,0,0,0,0,22,8,29,11,10,20,17,6,26,47,22,69,247,89,339,379,181,566,23,11,32,7,0,14,24,4,27,52,18,73,502,991,1498,2416,2428,4847,150,112,258,20171,16732,36899
SOSR514,0,4,4,72,13,87,4,0,4,0,0,0,5,17,18,3974,3947,7921,378,333,708,51,0,51,10,0,20,89,35,124,101,30,137,184,205,390,4873,4584,9455,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,6,6,7,0,0,0,3,3,7,12,11,16,72,25,104,89,39,123,0,0,0,5,0,5,4,0,3,5,0,8,330,592,919,878,888,1774,44,34,80,6221,6139,12359
SOSR515,23,15,39,1003,286,1291,6,5,10,0,0,0,25,13,41,13894,12489,26385,1360,1183,2540,343,17,363,116,35,153,252,189,446,470,156,628,921,1182,2100,18412,15569,33981,13,8,25,0,0,0,0,0,0,30,19,55,0,0,0,0,0,0,47,27,78,0,0,0,0,0,0,65,36,98,15,13,21,20,5,23,93,50,144,235,133,364,378,208,589,8,8,20,25,4,27,17,5,21,52,19,70,689,1211,1908,3194,3067,6261,211,158,368,22937,20248,43179
SOSR521,3,5,5,407,105,516,0,0,5,0,0,0,8,0,8,5147,4303,9443,524,417,940,192,8,198,32,5,33,65,55,121,220,54,273,516,702,1220,7108,5654,12765,0,0,0,0,0,0,0,0,0,3,17,20,0,0,0,0,0,0,4,15,25,0,0,0,0,0,0,17,5,23,9,0,9,10,4,15,33,12,46,104,38,140,143,65,208,3,0,10,25,5,25,13,4,16,42,6,50,298,510,816,1070,1018,2088,122,100,218,8788,7350,16141
SOSR522,4,0,11,194,79,273,7,0,9,0,0,0,3,0,3,2658,1986,4645,267,225,486,141,6,144,7,0,7,65,39,107,177,61,231,512,709,1217,4038,3102,7139,4,5,3,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,10,9,16,0,0,0,0,0,0,3,0,4,0,0,0,0,4,8,8,5,14,50,30,83,68,43,109,6,0,6,7,0,5,4,0,6,14,5,17,173,242,417,582,638,1216,75,59,133,4951,4089,9040
SOSR531,130,123,253,5884,1057,6940,14,4,17,0,4,6,97,25,120,25927,19673,45593,3259,1796,5055,1408,84,1489,199,26,229,133,55,189,4377,1103,5480,3655,2460,6116,45087,26411,71494,20,20,47,0,0,0,0,0,0,123,129,252,14,10,19,3,0,3,155,166,322,0,0,0,0,0,0,74,21,99,48,13,66,324,68,389,452,108,555,921,252,1174,1529,521,2053,43,43,88,277,52,325,87,17,106,406,114,517,6052,6223,12278,5466,5665,11126,599,375,976,59138,39300,98440
SOSR579,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
