SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOSR501,9,5,50,399,2049,1762,8969,10134,1711,1240,1163,1468,522,163,479,30116,193,86,165,363,2173,646,553,497,63,61,67,56,29,10,100,5059,67,138,433,1436,2327,2280,4527,1763,349,380,373,404,308,56,236,15076,19,82,408,1537,3435,4888,15642,6520,867,703,831,926,497,269,408,37031,46,73,179,370,824,807,2346,1985,258,252,286,671,302,24,107,8528,0,0,3,22,236,355,662,1155,150,151,210,284,55,15,68,3361,4,4,34,188,724,816,2685,1719,422,337,355,366,199,65,239,8156,2092,6214,33707,26709,28057,18098,42287,21958,2074,1696,1691,1823,1053,395,3759,191611,31,82,420,759,939,1047,1921,1358,278,274,302,395,320,139,207,8467,5,0,22,1623,4583,2704,2791,2115,499,511,435,578,302,76,635,16876,829,1333,6489,7209,10930,13922,31621,17967,3987,3763,4186,5470,2305,534,2154,112691,6177,19325,56694,56785,87317,76215,190989,124983,20026,18148,20172,25097,11657,3349,14525,731454
SOSR511,0,0,0,14,44,58,321,291,55,40,45,50,33,4,19,976,9,4,0,5,33,9,10,13,0,0,0,0,0,0,3,92,3,5,5,14,9,13,44,14,6,4,7,0,4,0,3,120,0,5,20,44,65,111,691,294,20,44,36,39,14,7,22,1410,0,0,3,0,7,11,23,15,8,5,4,0,0,4,0,71,0,0,0,0,0,4,13,36,4,12,22,39,17,0,0,148,0,0,0,3,8,11,62,27,10,12,11,10,3,0,6,166,115,246,1164,774,609,329,830,382,43,18,24,47,28,0,127,4725,0,0,18,42,23,7,41,23,5,0,3,4,0,7,4,175,0,0,0,5,7,19,26,24,4,8,0,6,5,0,3,113,24,38,102,119,153,130,513,283,39,60,36,50,34,20,41,1643,253,630,1593,1344,1579,1163,3821,2439,313,346,333,421,213,70,402,14919
SOSR512,0,0,0,25,102,102,635,544,105,82,103,126,33,12,30,1904,10,4,3,10,10,6,11,8,3,0,0,0,0,0,5,70,0,3,10,26,20,22,28,18,0,0,0,3,0,0,0,129,0,7,25,41,68,135,678,358,25,61,47,68,48,24,16,1605,4,3,0,3,5,9,43,37,6,4,11,12,0,3,0,140,0,0,0,0,0,3,11,35,4,0,8,17,5,0,5,80,0,0,0,8,16,51,152,122,45,28,19,15,10,11,18,498,190,471,2074,1298,868,483,904,464,52,41,39,57,31,13,245,7235,4,0,27,54,45,35,59,50,7,12,7,13,10,0,5,311,0,0,0,10,33,35,32,59,13,4,10,16,8,0,19,237,44,84,199,165,211,189,754,479,105,99,144,147,90,81,65,2854,408,1013,2801,2224,2229,1845,5229,3686,552,543,624,724,351,213,688,23137
SOSR513,0,0,0,7,57,45,295,456,98,54,72,80,31,3,22,1224,4,0,0,6,27,7,8,12,0,0,0,0,0,0,0,70,0,0,5,18,31,14,34,0,0,0,11,8,0,0,5,132,0,0,4,29,54,98,499,225,22,15,19,49,22,12,15,1058,0,0,5,4,10,4,39,44,9,3,6,15,4,0,0,146,0,0,0,4,0,0,9,39,0,4,0,11,4,0,0,72,0,0,0,4,16,30,93,93,24,18,22,30,11,0,9,352,32,148,738,578,708,480,1254,676,57,42,49,54,34,10,143,4996,0,3,4,28,18,28,44,37,3,12,12,12,0,0,5,201,0,0,0,4,5,3,18,39,11,12,4,11,6,4,3,125,12,22,86,120,162,161,602,345,69,74,89,153,81,22,65,2055,100,341,1064,1180,1707,1420,4498,3152,458,384,458,710,329,106,419,16332
SOSR514,0,0,0,8,14,10,84,80,9,12,4,3,9,4,7,251,12,0,5,0,7,0,3,3,0,0,0,0,0,0,3,35,0,3,5,6,8,8,10,4,0,0,0,3,0,0,3,46,0,0,0,25,49,36,65,33,6,3,4,10,0,0,7,240,0,0,0,0,6,4,4,6,0,0,0,4,0,0,0,30,0,0,0,0,0,0,7,10,8,3,0,9,4,0,0,39,0,0,0,0,3,4,21,3,4,0,3,3,11,0,3,54,37,85,455,322,262,162,283,166,22,4,20,28,10,5,66,1934,0,3,3,14,15,13,16,10,3,0,4,6,0,0,0,96,0,0,0,0,0,6,9,4,0,0,3,0,3,0,0,34,18,10,54,49,59,50,120,88,19,20,24,42,17,0,74,642,138,217,625,590,641,455,970,736,117,90,106,163,90,23,213,5183
SOSR515,0,0,0,12,43,31,257,421,108,83,99,126,23,16,32,1242,4,5,6,4,35,3,7,5,0,3,4,0,0,0,0,77,0,0,11,17,14,15,24,6,3,6,0,3,0,0,17,126,0,4,24,40,65,94,371,104,11,10,18,19,19,3,11,799,0,0,4,3,7,9,22,15,11,3,3,4,6,0,0,83,0,0,0,0,5,0,22,37,8,3,26,23,0,0,6,128,0,0,0,3,10,19,100,64,27,20,14,23,7,3,22,320,121,373,1822,1191,847,471,849,371,42,31,38,55,26,9,287,6521,0,6,30,48,30,40,60,30,6,8,18,19,17,8,8,322,0,0,0,9,11,17,35,29,13,10,7,8,5,0,9,150,25,56,202,158,212,158,518,299,71,63,72,144,94,88,91,2265,291,857,2495,2098,2085,1546,3565,2239,422,364,471,697,303,184,773,18398
SOSR521,0,0,0,7,16,25,95,170,42,39,44,43,30,0,14,519,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,0,0,5,11,4,3,3,3,0,0,0,0,0,0,3,32,0,0,6,6,29,27,143,57,11,3,9,10,12,8,10,326,0,0,3,0,3,0,3,3,0,0,3,0,0,0,0,19,0,0,0,0,0,0,8,11,0,0,20,21,7,0,0,58,0,0,0,0,3,11,31,18,4,10,7,7,0,0,6,103,54,156,708,456,279,188,328,179,4,7,15,28,12,0,122,2554,0,3,12,15,9,10,16,14,0,3,0,0,0,0,6,98,0,0,0,0,3,5,9,12,0,6,4,0,4,0,0,51,10,30,101,68,61,55,152,85,20,22,20,56,13,48,35,762,118,344,1005,792,775,591,1200,827,139,125,169,211,106,75,306,6786
SOSR522,0,0,0,4,16,6,36,31,8,4,7,13,0,0,4,132,0,0,0,0,6,4,0,6,0,0,0,0,0,0,0,18,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,12,0,0,4,6,8,29,49,17,0,3,0,0,8,0,5,132,3,0,0,0,0,5,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,11,0,0,0,0,0,0,5,10,0,0,0,4,0,0,0,23,33,106,441,260,187,99,172,80,14,17,6,18,3,0,59,1483,0,0,10,0,3,3,11,10,3,0,0,3,0,0,4,55,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,17,9,7,43,29,39,32,64,34,10,6,17,33,12,13,19,361,62,200,579,435,454,307,523,335,79,50,69,122,38,29,148,3439
SOSR531,0,0,5,9,82,73,325,360,47,33,42,61,26,11,55,1129,9,9,10,10,90,15,17,10,0,0,5,0,0,0,5,174,3,7,25,42,61,40,65,19,3,7,0,8,0,0,5,284,0,10,28,94,226,312,962,315,41,42,42,65,23,13,56,2226,0,7,10,7,19,15,25,9,0,0,0,9,0,0,26,136,0,0,0,0,3,9,11,23,3,5,13,23,9,0,8,113,0,0,3,18,23,39,91,67,12,12,15,24,15,0,17,331,187,676,3559,2498,2023,1392,2483,856,76,60,89,154,48,16,599,14727,3,10,58,101,82,73,136,93,10,6,13,22,18,0,18,634,0,0,4,25,132,58,47,50,3,12,6,7,4,3,97,455,37,127,504,425,579,511,1092,453,71,76,132,301,102,93,333,4826,455,1641,5101,4445,5256,4055,7765,3808,455,443,636,1095,390,218,1989,37753
SOSR579,0,0,0,0,0,7,14,10,0,7,3,0,0,0,14,60,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,9,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,24,33,37,32,66,36,5,4,7,5,0,0,3,255,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,11,8,16,15,27,12,4,0,0,0,3,0,0,94,0,4,37,59,82,108,208,115,17,6,18,14,10,3,28,717
