SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR501,21916,30058,51975,86141,108986,195129,20,18,37,14998,17265,32263,619,600,1214,183661,211334,394997,2212,2852,5067,11085,12137,23221,3335,4395,7733,2077,2399,4487,1803,2349,4151,1608,1588,3190,5647,6641,12285,10490,12578,23064,12477,14231,26708,857,1283,2140,1974,2483,4453,12100,17198,29302,31804,37854,69660,1092,1279,2377,383999,457485,841479,25274,23975,49252,32005,30309,62318,2567,2763,5330,64,54,119,9420,8469,17891,3633,5006,8637,13122,13527,26649,430575,405137,835710,3353,2507,5860,1353,2287,3639,435277,409932,845214,61380,56690,118068,2636,2568,5203,978179,1027301,2005481
SOSR511,221,382,610,3768,5007,8775,0,0,0,739,776,1509,0,0,0,5754,6835,12591,67,115,184,112,135,247,205,314,524,161,192,349,81,95,175,17,17,30,135,167,302,251,294,540,393,445,839,49,83,128,96,107,203,509,765,1278,1147,1328,2469,52,61,115,13534,16736,30271,244,213,453,317,312,634,11,22,30,3,4,8,87,68,155,104,165,273,193,238,431,17884,17159,35039,113,73,184,53,78,130,18054,17311,35360,2853,2204,5049,43,49,92,35471,37465,72939
SOSR512,393,735,1125,5938,7431,13375,0,0,0,1081,1175,2255,51,52,111,9348,10657,20005,244,306,555,123,116,246,288,414,704,166,196,362,158,237,395,14,4,15,311,387,699,518,624,1146,730,857,1588,86,130,212,273,283,552,1080,1569,2645,1925,2358,4281,56,64,115,22398,26866,49268,396,351,751,562,523,1086,24,26,48,7,11,20,107,98,206,149,233,378,261,340,604,28268,26293,54560,163,110,272,74,139,213,28503,26548,55045,6414,5320,11734,111,94,209,59066,60799,119864
SOSR513,328,571,904,3265,3434,6695,0,0,5,516,549,1065,4,5,4,6169,6398,12574,61,85,148,126,126,248,178,219,400,101,103,209,126,128,254,14,6,19,166,181,346,248,310,554,369,385,755,25,53,79,103,119,224,550,698,1253,976,1088,2058,52,39,92,13044,13928,26968,369,276,650,507,389,887,26,25,48,28,33,57,49,46,96,94,94,184,167,170,337,19027,16744,35769,98,72,165,36,55,90,19165,16866,36030,7757,5367,13124,206,135,346,41570,37730,79299
SOSR514,101,137,243,1351,1740,3097,0,0,0,125,161,282,62,71,138,1967,2279,4249,56,65,117,41,43,82,102,120,219,19,20,30,21,40,61,4,3,6,30,29,58,50,56,105,103,112,214,17,24,48,28,40,68,210,325,535,229,317,547,14,6,23,4424,5448,9874,49,38,81,52,49,105,7,11,14,0,8,5,20,8,26,38,52,88,53,66,119,7388,7074,14460,39,29,63,23,45,70,7441,7148,14591,1427,1343,2773,62,20,83,13626,14253,27874
SOSR515,304,524,830,5184,6021,11195,0,0,0,802,915,1714,0,0,0,7161,7892,15053,139,174,314,138,150,294,262,330,590,84,83,166,144,172,318,11,11,20,325,356,682,240,300,543,654,611,1260,69,79,144,179,202,376,944,1293,2239,1234,1392,2624,35,53,81,17605,20013,37618,168,138,305,474,373,852,26,28,48,56,45,105,44,33,73,122,226,347,224,304,529,24300,21697,45994,156,85,245,51,93,146,24507,21878,46387,6938,5804,12742,327,161,490,50568,49230,99799
SOSR521,110,214,319,2312,2582,4896,0,0,0,311,286,594,150,132,280,2855,2870,5725,58,63,124,48,38,85,83,104,188,37,48,78,53,73,127,3,4,9,175,237,409,192,254,451,278,265,543,30,43,78,69,100,167,460,581,1043,595,654,1247,19,20,46,7735,8356,16094,41,42,78,38,25,69,15,18,28,69,85,156,12,8,22,62,87,151,138,185,327,9503,8279,17786,47,36,84,24,42,67,9577,8360,17943,3737,2864,6607,53,69,120,21451,20119,41575
SOSR522,56,67,124,1376,1392,2773,0,0,0,145,162,300,6,4,5,2019,2121,4137,65,60,124,15,6,22,46,65,108,12,16,27,109,99,213,8,4,10,160,169,329,63,56,116,147,150,291,12,21,30,137,162,300,260,293,550,453,521,978,8,12,22,5048,5294,10342,28,17,44,45,30,75,3,5,11,102,110,216,10,10,22,20,31,49,129,156,289,5048,4314,9365,32,17,52,22,30,47,5105,4361,9466,2100,1825,3921,28,48,77,12546,11805,24346
SOSR531,738,798,1541,12579,11970,24547,0,0,0,1437,1292,2734,41,41,86,15610,13168,28779,317,308,628,375,230,601,315,377,688,130,120,254,359,378,731,18,8,23,576,531,1107,560,480,1040,1424,1203,2630,84,113,197,356,360,716,2166,2132,4303,3173,2921,6097,83,94,179,39620,35708,75327,299,99,400,453,233,691,67,56,125,230,183,418,64,27,93,244,308,556,542,526,1060,48557,35478,84031,297,171,470,139,192,337,49001,35839,84840,26784,10779,37560,503,262,774,118008,84308,202315
SOSR579,25,5,32,170,39,218,0,0,0,23,4,32,0,0,0,309,46,356,0,0,0,9,0,13,0,0,0,0,0,3,3,0,0,0,0,0,6,0,6,7,3,17,19,3,23,0,0,0,0,0,0,29,7,41,43,0,47,3,0,3,632,122,754,19,0,19,22,4,25,0,0,5,0,0,0,0,0,0,3,0,3,6,0,6,856,127,986,14,0,12,9,0,10,876,125,1001,1272,129,1401,143,16,164,3003,413,3413
