SOSR_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR501,12377,11824,24198,12654,12041,24696,12864,12205,25075,13126,12382,25510,13565,12653,26216,64586,61109,125696,13861,12949,26815,13524,12703,26228,13322,12901,26218,13534,12896,26433,13217,12870,26091,67457,64330,131782,13392,12871,26260,13396,12651,26044,13404,12365,25761,13475,12811,26281,13397,12569,25966,67058,63263,130320,12769,12110,24875,12275,11534,23812,12112,11336,23447,11679,11543,23219,11820,11512,23335,60648,58036,118685,12496,12132,24630,12674,12577,25249,12806,12567,25366,12640,12534,25174,12717,12854,25577,63332,62657,125988,13090,13026,26116,13518,13566,27084,13346,13910,27253,13058,14250,27304,13412,14409,27818,66422,69160,135581,13823,15368,29191,14289,15558,29849,14146,16031,30178,14525,16110,30630,14720,16256,30980,71502,79315,150821,14912,16328,31238,15137,16278,31413,14889,16121,31008,14992,15923,30909,14516,15224,29740,74444,79867,154314,14203,15015,29219,13524,14180,27702,12955,13890,26845,12716,13319,26039,12475,13216,25688,65878,69618,135495,12481,13165,25650,12224,13272,25498,12308,13176,25479,12472,13350,25821,13151,13938,27093,62639,66901,129540,13208,14246,27453,12490,13143,25634,12335,13130,25462,11684,12347,24033,11394,12108,23504,61113,64975,126083,11201,11976
SOSR511,431,427,857,455,420,876,453,441,892,494,440,924,487,456,940,2316,2174,4488,504,493,999,528,489,1024,552,503,1051,529,477,1008,553,468,1024,2669,2439,5103,543,464,1010,499,520,1022,556,535,1090,575,529,1099,555,548,1109,2735,2595,5328,537,542,1072,528,501,1026,462,501,967,403,408,806,373,381,753,2294,2323,4624,376,348,719,373,371,738,402,383,780,381,368,754,402,384,792,1933,1856,3782,380,393,770,417,421,834,420,445,865,429,448,877,430,484,914,2078,2189,4263,448,485,930,440,492,928,488,491,986,459,524,986,454,520,977,2297,2505,4806,495,526,1031,406,511,920,454,494,950,543,511,1052,452,538,987,2354,2591,4944,487,478,965,448,517,966,454,499,953,452,455,906,454,470,923,2290,2419,4712,459,434,891,410,484,895,450,520,967,470,485,961,484,522,1002,2270,2453,4722,470,565,1036,437,517,950,463,459,921,399,525,922,454,465,911,2224,2520,4746,426,440
SOSR512,665,642,1313,714,712,1426,760,670,1431,722,706,1424,747,751,1499,3610,3475,7085,815,754,1566,798,756,1548,783,773,1550,839,786,1626,795,767,1566,4022,3841,7863,808,763,1576,873,814,1680,865,788,1650,861,856,1722,850,827,1678,4261,4048,8307,836,805,1641,733,702,1439,806,764,1565,723,673,1399,623,537,1155,3722,3480,7202,622,546,1165,640,609,1255,648,605,1247,651,667,1323,686,672,1357,3255,3091,6346,741,675,1415,738,694,1432,751,732,1484,746,744,1489,729,716,1442,3701,3553,7258,768,753,1517,748,763,1506,717,786,1505,745,758,1506,712,776,1482,3690,3838,7526,768,801,1576,764,818,1584,759,817,1567,764,833,1599,722,739,1459,3780,4011,7791,734,774,1511,747,758,1515,739,740,1481,722,741,1464,665,727,1388,3609,3748,7359,712,784,1501,692,771,1467,701,790,1497,776,744,1526,851,863,1715,3743,3958,7697,812,900,1712,718,808,1527,788,858,1645,692,778,1468,709,716,1434,3722,4064,7788,724,740
SOSR513,536,474,1012,527,533,1064,599,509,1107,604,549,1158,599,552,1150,2867,2622,5491,606,579,1186,632,580,1214,624,607,1231,601,572,1174,580,598,1179,3050,2935,5990,585,576,1161,533,512,1052,508,525,1033,566,503,1069,509,466,977,2707,2583,5291,440,433,877,457,392,845,401,351,755,364,306,669,358,314,669,2025,1788,3812,356,281,641,339,309,648,381,390,774,400,422,823,475,459,936,1958,1864,3818,508,549,1058,583,583,1167,562,650,1210,574,578,1153,598,616,1206,2822,2977,5801,687,681,1370,646,711,1357,677,715,1392,709,669,1374,695,733,1424,3409,3511,6918,754,737,1487,730,683,1411,744,651,1394,707,662,1372,698,638,1340,3631,3371,6996,711,563,1274,666,507,1173,583,516,1101,602,492,1098,633,489,1121,3194,2566,5762,562,450,1009,609,502,1113,596,466,1068,578,478,1057,667,496,1164,3010,2397,5409,667,494,1158,581,436,1018,568,485,1056,566,463,1029,559,429,984,2943,2298,5247,540,412
SOSR514,171,141,307,177,165,348,194,149,346,175,177,354,182,175,355,895,811,1706,201,203,399,218,185,404,195,212,409,199,168,363,206,240,448,1017,1007,2023,212,175,382,233,211,445,183,195,381,198,172,373,203,211,410,1031,969,1999,216,189,405,200,163,363,164,154,319,162,124,281,120,101,222,856,729,1589,120,101,217,115,91,207,114,95,218,129,111,237,113,112,225,595,510,1098,127,136,263,139,144,285,146,152,294,124,134,260,148,138,282,688,699,1385,161,182,344,153,189,343,170,194,362,162,188,350,184,195,383,833,945,1778,146,207,352,156,222,380,178,204,379,179,226,404,175,211,382,831,1064,1902,203,215,415,179,225,402,191,189,383,186,185,372,165,186,348,913,1000,1917,160,205,367,182,200,378,160,188,356,193,199,390,199,230,429,901,1018,1921,175,214,392,146,185,329,151,172,321,178,188,358,153,164,321,805,911,1720,154,174
SOSR515,590,525,1117,610,575,1187,643,584,1224,614,603,1221,653,590,1247,3120,2884,6001,699,644,1347,654,619,1276,711,604,1315,672,684,1353,700,658,1361,3444,3208,6649,690,647,1345,683,647,1332,606,564,1175,673,586,1260,646,599,1245,3309,3048,6359,613,581,1196,576,549,1121,588,487,1073,447,413,864,428,412,845,2651,2440,5095,439,376,817,450,418,865,467,431,898,523,505,1028,520,549,1072,2402,2277,4676,517,535,1051,580,619,1201,541,613,1158,615,690,1304,665,648,1317,2929,3103,6026,680,661,1340,650,684,1335,632,638,1270,661,668,1327,667,660,1322,3291,3308,6599,651,630,1282,665,698,1362,643,677,1323,621,631,1255,653,644,1295,3240,3277,6519,627,615,1239,559,593,1154,577,635,1219,607,567,1171,553,575,1128,2927,2987,5915,665,557,1224,567,563,1135,592,581,1172,653,600,1258,648,654,1306,3127,2953,6085,737,674,1414,654,632,1288,627,617,1250,679,629,1310,723,603,1322,3430,3153,6581,671,650
SOSR521,227,208,444,269,229,500,244,232,473,258,228,490,250,246,496,1249,1149,2392,257,229,484,255,240,491,278,243,524,251,244,489,245,220,465,1277,1178,2452,254,246,503,267,217,486,275,249,517,227,235,463,221,196,416,1241,1148,2392,219,220,439,188,199,392,192,173,367,168,173,345,201,179,380,975,945,1916,164,141,301,208,164,371,202,187,383,185,190,377,220,187,406,976,867,1841,264,220,477,223,231,455,238,210,449,207,270,481,260,219,477,1189,1151,2341,248,248,498,259,309,565,271,257,527,282,246,529,295,261,551,1343,1320,2663,277,259,539,260,270,529,267,271,534,276,245,519,246,248,494,1325,1294,2616,242,248,494,253,238,488,236,226,457,247,229,471,245,217,459,1218,1162,2382,236,222,461,239,223,463,238,228,468,270,207,479,277,256,536,1267,1140,2407,310,283,595,323,284,608,314,324,638,327,290,618,323,259,579,1600,1439,3041,295,304
SOSR522,124,125,248,157,121,283,137,123,265,132,143,272,137,145,285,691,662,1353,182,150,331,150,144,301,149,160,309,151,173,324,159,136,295,799,753,1554,153,135,287,151,152,307,125,137,263,124,134,259,131,145,269,686,698,1385,133,140,272,138,117,254,116,99,209,116,105,215,128,128,254,620,587,1204,123,125,249,125,105,229,130,151,282,132,130,261,106,156,264,617,663,1279,155,147,303,141,139,276,150,137,283,137,148,283,140,128,270,722,699,1424,154,137,291,161,131,290,147,145,294,155,160,309,147,141,292,760,718,1476,154,139,287,142,142,287,155,144,298,145,138,283,161,155,315,748,718,1467,150,139,290,142,112,262,142,134,271,142,132,269,129,112,245,702,623,1331,148,123,270,152,123,270,153,111,264,132,146,275,184,128,318,769,628,1395,179,154,326,147,169,314,158,145,302,171,132,306,136,136,270,787,731,1520,155,150
SOSR531,716,628,1348,774,696,1469,768,731,1495,835,756,1592,875,835,1712,3965,3652,7621,918,869,1782,986,903,1891,1010,937,1946,1066,934,1992,1131,961,2091,5105,4606,9715,1137,991,2138,1112,1143,2254,1028,965,1991,958,979,1943,1083,965,2050,5325,5044,10372,997,953,1945,988,883,1872,974,862,1832,923,755,1675,923,741,1662,4805,4189,8990,1012,702,1712,1062,732,1795,1220,790,2008,1251,750,1998,1338,822,2157,5878,3795,9679,1462,822,2286,1458,894,2355,1557,923,2475,1515,896,2407,1612,904,2521,7605,4434,12043,1689,1000,2693,1715,1004,2717,1866,1005,2873,1740,966,2704,1799,987,2788,8808,4961,13771,1966,1078,3044,1778,1020,2795,1890,1042,2934,1804,1065,2867,1862,1087,2949,9297,5295,14593,1851,1143,2989,1661,1047,2705,1800,1114,2913,1705,1035,2745,1705,1034,2737,8716,5377,14091,1762,1132,2897,1882,1220,3101,1861,1162,3024,2036,1233,3271,1955,1402,3360,9486,6159,15642,2271,1374,3644,2097,1364,3465,2088,1390,3473,2028,1405,3434,1836,1382,3222,10322,6913,17237,2002,1408
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,0,0,0,4,3,8,6,4,12,13,8,20,0,5,8,20,4,21,21,14,34,28,4,36,14,6,23,81,36,116,27,8,35,26,4,29,24,7,33,34,9,45,39,15,48,152,43,196,35,11,44,57,11,71,56,10,65,62,9,65,63,5,74,283,40,327,86,11,90,75,10,82,94,8,109,108,0,108,78,3,85,441,29,470,105,5,107,90,4,97,108,0,111,98,3,96,66,9,74,465,24,483,90,3,90,83,4,88,86,5,95,80,3,83,83,6,89,418,23,440,100,8,110,86,6,96,85,3,89,68,6,79,74,13,85,418,36,453,79,0
