SOSR_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,29764,19357,12492,7493,2691,544,98086,792,8034,10219,9334,7201,4222,1340,222,41369,20563,78237,77979,53611,34068,22652,9001,2303,298420,9626,27909,33902,31685,26539,18474,8273,2288,158681,29577,57255,52315,46880,41069,26502,11902,3285,268788,10067,4490,3231,2601,2147,1433,554,117,24642,2110,3053,4468,5859,5630,4475,2348,766,28709,41755,64801,60020,55335,48839,32412,14805,4162,322135,900,1955,2436,2233,2022,2156,1504,544,13751,11966,17199,15929,13298,11734,11847,11295,8139,101419,87243,222239,230253,184862,142892,99255,48913,18211,1033862
SOSR511,329,294,214,146,37,11,1272,18,149,248,254,194,132,37,5,1035,242,1339,1577,1330,919,609,241,70,6326,158,718,984,967,939,643,278,77,4765,1618,2953,2867,2543,2124,1281,499,113,13999,557,301,178,143,104,62,22,12,1379,85,107,193,246,253,167,73,15,1134,2256,3366,3237,2931,2482,1509,593,137,16512,13,48,72,60,66,73,41,18,386,438,575,551,541,544,532,483,324,3985,3146,6409,7003,6377,5364,3643,1714,632,34279
SOSR512,589,444,341,227,79,11,2219,27,265,394,406,340,216,51,10,1718,471,2109,2338,1916,1430,1020,407,105,9793,286,1067,1524,1584,1585,1093,505,118,7756,2062,4385,4067,3903,3281,2045,865,230,20837,929,411,271,226,191,103,41,7,2181,122,176,218,363,344,303,116,38,1677,3116,4971,4555,4489,3813,2447,1022,278,24693,35,83,79,98,89,117,84,32,616,1146,1489,1480,1345,1490,1280,1012,673,9914,5127,10462,10953,10287,9094,6401,3155,1236,56712
SOSR513,463,304,234,149,37,5,1666,29,248,340,252,179,106,17,6,1179,302,2116,1874,1183,805,523,187,20,7012,158,906,1302,1098,930,589,170,20,5178,1030,3304,3279,2544,1881,1020,306,36,13393,385,265,212,116,91,60,10,0,1144,64,137,196,215,183,126,46,11,978,1476,3707,3685,2876,2150,1203,366,47,15520,27,46,66,63,62,57,33,5,361,1277,2379,2259,2061,1755,950,492,152,11322,3290,9869,9990,7833,6123,3577,1299,253,42240
SOSR514,138,87,73,82,29,4,506,6,53,108,86,70,60,19,3,409,53,501,714,538,327,334,151,33,2651,34,272,411,377,359,270,137,26,1880,368,876,981,900,723,481,157,39,4522,140,74,66,54,36,28,10,0,413,25,42,76,81,90,89,35,5,439,532,990,1119,1040,845,598,208,47,5374,3,18,30,22,39,41,19,4,177,287,341,335,328,316,295,251,168,2323,922,2258,2855,2483,2031,1687,808,285,13331
SOSR515,373,286,260,222,57,15,1553,21,251,265,269,255,184,46,8,1294,381,1864,1683,1312,1122,906,315,69,7644,173,851,1074,1170,1190,1021,372,64,5929,1433,3492,3336,2997,2841,1946,655,153,16845,544,343,199,173,170,94,29,4,1565,86,135,205,229,290,254,103,28,1323,2066,3975,3734,3401,3302,2299,791,180,19735,22,72,70,72,71,101,64,15,480,1432,1764,1701,1747,1593,1480,964,472,11150,4104,9108,8899,8257,7787,6204,2601,818,47786
SOSR521,115,107,125,80,24,3,584,5,72,82,87,101,69,9,0,422,93,600,586,485,453,311,122,30,2689,44,283,391,431,513,422,133,26,2239,450,1230,1152,1082,1268,857,265,47,6351,191,113,71,74,81,42,14,0,580,34,64,73,93,98,102,32,7,506,673,1414,1289,1242,1448,1002,316,58,7444,3,16,26,26,19,37,30,13,166,562,924,884,980,995,852,489,153,5841,1399,3406,3373,3358,3655,2770,1127,286,19379
SOSR522,67,66,82,63,24,0,378,0,46,34,57,65,54,9,0,268,66,347,328,234,270,266,79,10,1602,32,162,203,204,319,267,82,11,1284,273,634,597,607,663,502,159,28,3451,86,78,46,36,42,31,5,0,341,24,30,47,51,76,72,14,3,316,382,742,693,694,784,605,177,32,4114,3,11,17,12,23,31,16,0,121,327,353,384,397,524,554,292,99,2926,808,1726,1725,1669,2079,1842,681,153,10686
SOSR531,828,760,825,584,182,27,3929,24,336,489,633,652,459,63,11,2675,788,3694,3945,3787,3152,2284,613,75,18338,394,1467,2189,3047,3385,2373,682,110,13634,2865,6517,7148,7327,6958,3868,1061,118,35860,895,446,446,376,328,190,41,4,2728,162,230,391,602,706,567,178,34,2867,3925,7193,7983,8303,7998,4623,1281,156,41456,51,96,134,176,209,225,93,18,1008,3038,6248,6156,6327,5235,3048,1318,241,31614,8289,19688,21721,23041,21451,13598,4235,628,112651
SOSR579,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
