SOSR_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
SOSR501,207275,32266,8649,2003,399,123,1136,251858
SOSR511,6289,1377,433,79,29,7,52,8268
SOSR512,9258,1987,618,124,30,13,106,12137
SOSR513,5925,1136,431,79,29,10,58,7661
SOSR514,2173,491,139,31,9,0,27,2868
SOSR515,6789,1465,497,124,20,5,92,8995
SOSR521,2407,522,176,48,13,9,62,3238
SOSR522,1352,209,106,65,7,3,45,1800
SOSR531,13452,2321,636,208,42,9,168,16840
SOSR579,0,0,0,0,0,0,0,0
