SOSR_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOSR501,4158,787,1512,164,6631,1519,203,494,86,2304,1200,358,1078,128,2761,872,345,1930,86,3231,4405,823,3315,247,8794,3444,1235,5786,285,10751,17944,2623,6375,434,27381,12813,3995,8004,832,25650,14228,7249,8848,822,31153,15960,10796,7802,971,35533,9741,11581,6157,685,28164,11201,12814,5193,662,29863,24535,32211,8816,1235,66798,18627,28371,3881,745,51624,14910,26807,2740,462,44925,9259,18367,1079,251,28960,24341,61996,3208,432,89982,14372,29736,6317,339,50760,2452,1535,1050,123,5164,205986,251858,83590,8990,550426
SOSR511,124,12,43,0,183,49,4,14,0,69,48,7,38,0,101,37,3,93,0,140,206,21,164,8,399,157,36,318,4,513,963,77,353,13,1404,599,118,409,23,1142,629,228,430,16,1309,672,386,330,31,1417,378,417,224,30,1053,485,496,198,20,1201,1003,1220,303,27,2555,719,1081,119,16,1941,568,972,81,8,1626,267,575,32,0,875,613,1284,54,3,1955,589,1269,289,16,2160,85,58,39,0,186,8198,8268,3519,237,20221
SOSR512,190,31,75,7,306,96,9,31,5,143,79,14,85,5,181,46,8,135,3,189,295,27,271,12,607,248,43,431,18,743,1465,104,510,24,2106,914,174,556,44,1685,982,314,619,39,1956,1124,584,458,45,2206,619,615,361,29,1625,710,659,280,29,1675,1560,1738,427,46,3768,1146,1529,191,31,2900,882,1381,122,28,2415,510,854,43,6,1419,1138,2136,104,11,3395,971,1813,401,30,3223,220,102,98,11,427,13183,12137,5210,435,30964
SOSR513,68,14,50,7,138,21,7,16,7,46,9,6,46,5,67,0,3,86,0,102,67,16,121,10,216,69,25,147,7,243,301,39,162,13,519,193,61,213,12,483,231,128,212,17,589,250,207,197,24,679,157,219,176,9,559,223,306,159,11,698,686,893,281,31,1895,574,840,78,19,1505,621,914,94,12,1641,404,597,42,6,1050,1098,2127,99,9,3325,656,1177,220,17,2064,89,83,74,6,255,5732,7661,2475,214,16089
SOSR514,40,5,9,0,59,22,0,6,0,31,20,5,17,0,41,21,3,32,5,60,93,12,74,0,171,67,14,121,0,199,371,38,125,5,541,225,50,160,13,451,255,103,163,8,524,294,149,125,11,583,132,187,85,8,416,203,184,46,3,441,351,419,93,11,873,254,393,44,8,701,147,291,32,3,474,70,161,9,0,236,177,339,22,3,542,248,489,99,3,832,44,21,19,5,99,3033,2868,1279,81,7262
SOSR515,149,17,49,7,218,65,7,23,0,96,59,8,76,3,146,51,15,124,0,189,279,48,205,12,543,185,57,325,13,575,1221,135,356,22,1737,700,189,363,31,1279,723,307,390,31,1456,767,428,320,35,1543,406,436,215,18,1081,492,520,176,24,1219,1114,1242,281,30,2663,824,1112,104,7,2047,650,950,90,14,1700,378,570,29,0,977,849,1360,58,13,2282,893,1525,329,20,2765,185,69,81,13,346,9989,8995,3586,299,22870
SOSR521,76,16,20,0,112,39,7,30,3,79,24,8,68,9,109,26,4,75,5,104,134,38,99,4,278,90,32,159,11,305,569,83,162,24,839,310,98,209,26,644,300,121,159,22,604,360,170,116,7,656,157,183,75,6,424,225,201,63,8,497,456,458,82,12,1005,321,336,52,0,710,258,300,22,6,585,117,180,12,4,313,260,375,33,0,669,348,583,170,19,1117,99,40,56,6,201,4170,3238,1666,176,9251
SOSR522,34,3,4,5,51,16,9,3,0,37,18,12,66,0,98,20,3,73,4,102,115,68,75,11,269,60,61,96,8,219,314,129,108,15,565,225,82,98,20,419,170,110,95,16,382,193,114,65,10,379,82,84,31,4,206,121,104,33,0,260,229,217,45,8,497,159,132,17,3,311,104,133,5,0,248,56,70,9,0,130,128,163,11,0,305,188,269,88,5,554,75,45,54,12,182,2316,1800,984,118,5217
SOSR531,433,88,53,11,588,222,32,23,0,282,142,37,83,9,269,106,28,129,15,269,663,125,227,20,1022,362,130,255,18,761,1865,214,275,29,2385,1311,337,358,54,2060,1515,574,347,46,2479,1638,779,304,25,2748,906,764,220,15,1905,1131,842,200,19,2196,2193,1917,292,25,4436,1536,1764,153,17,3470,1241,1504,89,10,2842,729,1073,58,9,1863,1905,3059,111,19,5098,1567,3374,444,16,5407,406,205,102,23,735,19878,16840,3732,375,40824
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
