SOSR_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
SOSR501,151,281,687,696,718,639,379,119,6,3674,295,2029,10396,12933,10530,6189,1160,71,3,43611,1275,2870,7471,9061,9072,7023,1681,179,8,38647,118,345,1534,2051,1898,1449,295,14,0,7707,2854,6576,17992,17992,14358,10352,2442,196,10,72763,494,1206,3569,4281,4090,2994,797,104,10,17534,5826,7394,8419,6296,5008,3761,1466,203,13,38394,8576,5584,6304,4197,2477,1898,574,72,3,29673,672,2230,7294,8132,7461,6911,2179,194,4,35072,203,502,1249,1430,1091,689,210,39,0,5405,52,579,2411,3179,2827,1718,580,116,8,11472,113,404,1258,1531,1547,1222,723,179,24,6998,366,2905,10282,12983,9990,6270,2397,376,28,45594,547,1489,3374,3187,2800,2443,877,120,10,14852,263,1685,6522,7615,7614,6153,1560,163,8,31594,875,1788,4708,4883,4764,4537,1710,183,12,23463,383,2287,7028,7192,6103,4924,1830,246,9,30009,1173,1363,1999,1585,1201,934,395,83,6,8726,985,2092,4497,3987,3570,2951,1081,157,11,19336,1300,2991,7130,7001,5888,4144,1344,256,52,30111
SOSR511,16,26,71,52,60,65,34,11,0,335,13,99,406,526,482,319,50,0,0,1906,96,205,533,653,584,385,73,3,0,2522,9,30,101,127,137,136,14,0,0,562,133,339,721,735,650,546,141,11,0,3279,18,38,73,102,106,80,14,0,0,438,233,168,266,199,168,149,45,7,0,1236,390,96,140,91,57,48,12,0,0,837,13,57,141,201,252,279,86,11,0,1035,11,10,31,16,17,10,5,0,0,108,3,7,24,27,53,25,12,3,0,159,9,7,31,28,40,36,21,0,3,159,14,31,133,141,129,93,51,3,0,608,14,33,56,66,74,73,28,0,0,349,10,43,116,160,197,192,48,3,0,767,10,22,91,117,145,142,66,0,0,591,21,65,191,219,200,189,58,3,0,945,24,9,20,17,11,13,5,0,0,115,49,90,133,143,131,112,35,5,0,696,55,75,183,169,152,120,37,8,0,808
SOSR512,46,82,181,183,192,210,108,29,11,1044,103,337,1116,1200,1021,718,103,5,0,4609,102,168,378,386,352,289,79,4,0,1766,7,24,78,125,125,135,21,0,0,514,254,455,952,840,774,713,171,16,0,4173,26,70,188,218,240,162,48,0,0,961,442,313,410,360,328,303,114,19,0,2286,595,217,309,252,150,130,58,11,0,1725,34,84,275,323,541,563,207,14,0,2035,11,14,32,33,32,29,7,0,0,162,0,16,26,59,70,46,20,4,0,232,9,23,66,56,67,64,34,10,0,332,26,67,193,201,220,189,84,13,0,1001,24,51,116,132,144,164,43,7,0,669,23,47,252,342,449,404,102,8,0,1631,24,42,197,226,272,259,85,10,0,1121,25,73,283,323,360,350,109,14,0,1544,30,25,29,37,37,38,17,9,0,218,93,159,278,252,233,193,72,8,0,1292,102,111,277,225,240,190,79,17,6,1259
SOSR513,26,32,115,92,96,99,81,23,4,569,43,173,1004,1385,949,571,70,0,0,4199,33,65,211,213,190,107,24,4,0,854,15,21,78,118,130,89,15,0,0,465,116,254,827,738,606,472,118,4,0,3143,27,39,141,159,126,107,25,5,0,620,190,124,193,159,144,146,48,7,0,1021,218,92,228,171,108,102,39,0,0,963,40,76,385,513,522,408,101,4,0,2049,3,9,23,25,18,20,10,0,0,103,0,6,18,37,24,22,6,3,0,125,4,16,48,64,62,45,23,6,0,268,14,23,143,163,115,106,36,7,0,598,24,33,132,100,114,93,31,0,0,533,16,47,223,301,317,211,56,4,0,1169,4,25,148,165,154,130,28,5,0,657,14,35,166,174,149,158,59,0,0,752,20,9,27,21,32,24,16,4,0,159,49,86,187,185,147,92,24,0,0,777,56,101,256,273,241,169,42,9,0,1151
SOSR514,3,19,62,41,59,31,16,6,0,247,6,36,131,191,212,126,31,0,0,725,35,42,144,145,137,93,19,4,0,609,5,14,34,65,64,52,6,0,0,250,69,75,218,281,217,149,39,6,0,1045,7,8,23,25,50,23,11,0,0,150,83,60,72,62,62,68,22,0,0,431,128,57,129,115,57,43,32,0,0,569,6,7,35,34,46,72,39,3,0,251,0,0,6,13,8,11,5,0,0,34,0,0,0,15,17,13,5,0,0,52,0,0,8,15,21,17,11,0,0,64,0,4,39,53,52,46,24,4,0,221,3,4,39,47,56,36,10,3,0,201,3,10,44,64,64,89,16,0,0,295,5,6,29,57,55,48,17,4,0,218,3,11,36,60,48,54,23,0,0,238,8,6,16,13,15,9,4,3,0,75,18,28,53,52,40,29,11,0,0,245,9,28,56,67,63,49,18,3,0,306
SOSR515,67,115,347,294,255,261,162,55,4,1566,41,188,957,1264,1147,751,120,3,0,4458,78,147,364,370,358,328,86,13,0,1743,14,28,100,104,120,112,24,0,0,507,167,276,714,644,610,547,170,11,0,3142,36,58,154,139,132,133,38,6,0,698,265,145,258,176,212,173,76,16,0,1315,202,85,184,121,137,136,44,14,0,928,33,85,226,230,290,359,145,15,3,1389,8,11,29,26,24,12,8,0,0,115,3,7,14,29,40,21,10,0,0,126,5,14,28,34,43,48,29,10,0,197,0,36,138,135,159,126,45,7,0,649,23,38,126,122,143,121,49,6,0,633,20,97,307,316,372,381,118,3,0,1616,6,46,128,163,196,192,85,5,0,813,21,41,171,143,183,189,88,13,0,841,17,22,34,31,27,30,12,9,0,179,78,118,193,151,169,137,47,6,0,906,64,91,231,198,206,214,68,26,5,1107
SOSR521,33,64,145,111,117,133,106,36,4,751,16,85,424,463,394,312,43,3,0,1747,38,54,123,143,143,124,30,4,0,668,5,7,24,30,49,46,10,0,0,171,47,93,226,239,245,264,72,0,0,1190,5,34,54,55,62,44,14,5,0,284,59,51,74,40,53,77,27,6,0,385,66,31,62,43,54,66,36,6,0,353,9,21,52,76,100,191,86,12,0,541,3,0,3,11,8,3,0,0,0,36,0,0,5,10,7,10,3,0,0,33,0,0,6,11,10,9,7,0,0,49,5,8,26,44,48,43,25,4,0,198,9,15,38,33,62,52,16,5,0,229,14,25,109,114,179,230,54,6,0,724,4,12,54,49,48,69,20,3,0,261,11,8,71,58,77,89,17,6,0,330,7,3,11,12,12,18,3,0,0,70,24,28,62,47,60,57,18,0,0,296,37,35,69,73,97,98,53,16,3,477
SOSR522,31,46,142,123,108,136,63,23,0,677,9,34,159,155,168,129,39,0,0,699,15,24,60,62,78,45,13,3,0,293,0,4,16,23,31,25,8,0,0,112,28,43,113,113,100,128,40,4,0,565,4,10,38,28,21,34,10,0,0,147,16,24,39,22,35,38,18,0,0,189,19,36,51,46,31,46,25,4,0,256,9,15,50,53,76,100,39,5,0,341,0,0,0,6,3,0,3,0,0,17,0,0,0,6,7,3,0,0,0,23,0,6,3,3,6,7,3,0,0,36,3,0,17,29,17,25,21,5,0,122,0,11,28,29,25,29,12,0,0,135,9,16,59,82,140,146,43,6,0,496,0,20,42,39,50,44,22,0,0,225,0,6,24,36,36,37,16,0,0,152,6,0,15,10,6,10,6,0,0,52,3,21,32,23,27,36,21,5,0,182,15,16,54,37,48,40,24,12,0,247
SOSR531,329,626,1516,1812,2222,2436,1589,587,95,11212,127,813,3752,4143,4024,2664,403,17,0,15935,158,202,374,554,725,700,218,38,5,2971,10,15,74,154,178,195,44,3,0,675,312,573,1380,1680,1796,1649,423,34,0,7852,62,86,213,247,308,321,94,9,0,1347,320,224,216,204,325,316,145,20,0,1780,378,185,328,247,297,305,137,21,3,1899,39,76,246,367,663,721,302,28,0,2441,3,19,29,45,53,34,17,0,0,201,0,10,39,71,85,74,39,5,0,327,14,23,67,58,122,136,60,17,0,491,24,90,264,347,443,419,197,24,0,1816,41,91,213,221,299,280,102,11,0,1267,34,216,356,350,572,629,145,17,0,2319,25,56,127,206,272,346,131,8,0,1178,15,44,140,182,248,273,118,16,0,1032,29,37,79,72,104,108,44,13,0,474,147,154,302,333,337,342,125,8,0,1750,150,168,320,349,468,445,201,73,9,2181
SOSR579,3,13,30,20,14,11,0,0,0,91,0,8,65,164,162,85,3,0,0,488,0,0,3,14,7,10,6,0,0,36,0,0,7,13,11,9,0,0,0,51,0,0,38,81,62,23,3,0,0,212,0,0,3,7,8,6,0,0,0,21,0,0,0,0,3,0,0,0,0,8,0,4,7,11,7,4,0,0,0,39,0,3,22,51,55,31,3,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,4,14,19,5,0,0,0,49,0,5,8,15,21,10,4,0,0,53,0,0,8,0,3,0,0,0,0,24,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,10,42,81,68,29,0,0,0,231
