SOSR_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
SOSR501,117008,33865,25682,2713,2416,2488,2789,1644,731,3701,193031,42602,36006,30311,5593,5109,6105,7544,3021,591,2063,138961,6048,2795,2564,632,637,727,1372,642,181,558,16151,112,72,57,12,11,13,37,30,20,76,429,48760,38865,32936,6239,5762,6844,8955,3694,791,2702,155545,160,58,44,10,9,8,13,16,9,750,1075,165929,72792,58662,8961,8184,9345,11757,5342,1527,7152,349655,122653,32796,25963,3061,2665,2708,3127,1723,745,3692,199119,48577,36455,36001,6988,6327,7010,8050,3392,759,2243,155789,9413,4458,4249,994,953,1085,2124,1177,308,826,25593,133,63,62,12,11,17,34,13,9,98,449,58124,40977,40312,7995,7292,8108,10205,4581,1075,3169,181831,187,51,48,15,10,11,10,8,3,515,848,180955,73820,66314,11068,9968,10828,13343,6315,1818,7373,381803,239659,66659,51641,5769,5084,5196,5914,3362,1477,7392,392159,91176,72458,66315,12582,11439,13115,15595,6413,1352,4308,294754,15467,7251,6816,1628,1593,1808,3495,1820,489,1387,41745,246,137,116,27,22,29,73,38,27,172,879,106883,79844
SOSR511,3060,867,564,42,42,49,59,36,17,116,4856,421,586,575,79,96,76,87,43,17,32,2004,29,29,17,3,10,21,24,9,7,3,150,0,3,5,0,0,0,0,0,0,0,7,455,619,592,81,102,100,123,54,20,32,2163,5,0,0,0,3,0,0,0,0,83,92,3513,1485,1155,122,145,152,178,84,29,235,7107,3245,900,579,63,61,58,71,48,14,122,5169,531,611,661,118,121,100,121,55,18,35,2377,49,38,35,9,19,18,43,22,4,0,242,3,0,3,0,0,0,0,0,0,0,9,582,646,702,123,141,124,166,81,24,39,2637,3,0,0,0,0,0,0,0,0,4,12,3839,1550,1285,190,200,183,240,123,38,165,7812,6305,1771,1149,106,102,111,130,78,30,238,10024,956,1199,1234,195,213,174,216,98,36,66,4385,79,62,52,5,29,47,74,30,3,5,396,6,5,3,0,0,0,0,0,0,0,21,1038,1265
SOSR512,4691,1060,822,80,90,109,113,61,47,228,7299,587,954,851,139,164,162,193,89,71,58,3280,50,37,59,18,4,16,23,14,21,8,250,6,3,0,0,0,0,0,0,0,0,11,635,992,904,159,178,175,222,105,97,68,3539,13,4,0,0,0,0,0,0,0,116,130,5340,2055,1727,238,271,290,334,166,142,412,10968,5286,1139,876,102,103,122,127,72,20,194,8035,780,988,1002,175,158,199,223,92,35,39,3696,86,52,76,34,12,23,36,27,25,14,370,5,0,0,0,0,0,0,0,0,6,13,869,1039,1079,209,168,220,262,117,59,52,4075,19,8,0,0,0,0,3,0,0,29,56,6175,2177,1958,309,275,342,392,189,75,274,12171,9978,2198,1698,183,201,227,240,129,60,421,15334,1370,1939,1849,315,327,360,418,187,108,100,6973,133,86,132,51,16,36,60,39,47,19,621,4,6,0,0,0,0,0,0,0,3,20,1505,2027
SOSR513,2933,1161,896,76,65,79,98,59,28,150,5544,440,730,596,114,90,117,181,67,24,55,2418,23,21,9,3,4,8,14,15,5,6,106,7,4,3,0,0,0,0,3,0,0,16,473,753,611,115,94,123,192,88,28,55,2541,12,8,3,0,0,0,5,0,0,15,34,3421,1918,1508,196,157,200,300,145,58,226,8118,2750,1066,879,93,79,85,119,64,21,119,5292,466,615,737,159,133,148,252,111,30,48,2697,36,29,27,7,13,18,39,10,0,7,183,0,0,0,0,0,0,3,0,0,0,5,505,644,765,168,147,162,295,120,27,59,2886,12,5,0,0,0,4,0,0,0,21,34,3266,1710,1641,263,229,257,414,185,49,196,8214,5687,2222,1775,173,145,164,222,127,52,276,10839,910,1345,1334,272,225,266,430,181,52,106,5110,62,48,37,16,13,28,51,20,3,8,283,6,3,3,0,0,0,6,3,0,0,25,976,1395
SOSR514,1234,220,194,24,15,18,36,13,4,57,1814,117,116,125,24,23,33,40,17,8,17,513,4,8,9,0,0,0,3,9,0,56,88,0,0,0,0,0,0,0,0,0,0,3,123,121,133,22,23,36,44,23,8,71,606,3,0,0,0,0,0,0,0,0,7,10,1364,339,328,45,38,53,80,30,9,138,2423,1341,237,206,35,18,22,40,25,9,49,1987,169,151,193,32,34,25,41,21,6,19,690,13,13,12,4,0,4,6,7,0,5,58,0,0,0,0,0,0,0,0,0,0,5,185,166,205,36,33,28,52,31,9,17,752,3,0,0,0,0,0,0,0,0,10,11,1529,402,412,73,50,52,86,57,12,80,2758,2571,456,408,61,33,45,77,35,11,105,3797,289,266,317,58,56,61,81,43,11,38,1202,17,22,17,7,0,3,13,15,0,57,150,4,0,0,0,0,0,0,0,0,0,3,307,287
SOSR515,4462,789,532,55,58,66,84,45,34,235,6370,509,530,448,116,89,119,197,70,73,81,2242,36,49,51,9,5,22,30,18,10,15,251,7,0,0,0,0,0,0,6,4,4,21,550,580,495,126,96,147,227,96,92,102,2510,16,3,3,0,0,0,6,0,0,25,52,5023,1379,1035,188,160,213,314,143,126,362,8933,4545,796,596,84,84,76,115,57,15,274,6640,558,514,548,131,104,153,212,100,31,85,2432,54,64,51,17,16,29,52,15,7,19,317,4,0,8,0,0,0,3,0,0,0,16,615,577,608,147,122,183,261,111,43,100,2763,15,3,0,0,0,0,5,0,0,36,59,5171,1373,1203,235,206,255,380,169,56,415,9465,9005,1589,1126,143,145,145,196,99,49,511,13004,1062,1039,995,244,201,273,411,171,103,169,4675,91,112,99,29,26,51,78,32,22,34,563,5,5,5,0,0,0,3,6,6,6,36,1162,1157
SOSR521,1794,291,227,31,22,24,27,22,10,124,2570,163,135,171,30,22,39,56,25,15,12,670,8,0,3,0,0,9,8,9,3,4,50,5,0,0,0,0,0,0,0,3,0,6,178,137,180,34,21,48,61,28,27,22,727,6,0,0,0,0,0,0,0,0,9,21,1979,427,402,69,46,72,94,48,33,148,3320,1763,267,227,29,33,38,38,13,6,117,2540,187,175,183,41,38,49,70,35,29,24,825,6,9,8,0,6,10,20,7,8,9,79,0,3,3,0,0,0,0,0,0,0,8,190,188,197,41,46,62,86,44,34,30,916,7,0,0,0,0,0,0,0,0,4,15,1960,453,420,75,77,103,121,63,48,155,3467,3558,561,455,68,55,61,65,35,15,245,5115,350,309,357,73,63,85,120,57,43,38,1500,14,12,11,0,5,17,24,13,14,11,129,5,3,3,0,0,0,0,0,3,0,18,366,319
SOSR522,1042,139,95,18,19,15,26,10,3,52,1421,69,56,60,16,8,18,30,11,0,5,277,10,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,74,56,64,18,13,18,38,11,0,5,295,6,0,0,0,0,0,0,0,0,21,25,1126,197,161,36,24,32,61,18,7,73,1736,968,131,110,27,17,19,23,11,9,46,1344,81,47,68,17,10,23,34,12,14,13,319,7,5,3,0,0,0,4,0,3,5,22,0,0,0,0,0,0,0,0,0,0,0,93,50,70,17,10,23,35,12,14,17,340,0,0,0,0,0,0,0,0,0,9,11,1058,182,179,41,24,39,60,21,21,66,1696,2008,271,205,47,33,35,51,17,8,104,2764,155,109,130,30,19,41,66,21,17,18,597,15,5,4,0,0,0,3,0,3,5,40,0,0,0,0,0,0,0,0,0,0,0,170,111
SOSR531,10826,2229,1355,133,97,158,263,73,54,533,15729,1366,1183,860,87,121,144,269,104,69,113,4329,117,30,37,8,8,33,44,11,10,19,316,12,14,7,0,0,3,0,0,6,7,40,1496,1219,903,95,131,171,321,119,83,138,4683,47,17,8,0,0,0,5,8,0,785,878,12375,3469,2269,225,237,334,583,199,140,1454,21289,9457,1498,944,125,92,122,209,79,33,412,12965,1116,638,549,95,104,161,265,89,28,79,3120,121,29,45,3,14,21,33,23,5,17,295,9,0,0,0,0,0,3,0,0,8,26,1240,669,592,99,115,179,299,111,38,101,3441,22,0,3,0,0,0,3,0,0,20,52,10716,2167,1535,226,206,304,511,194,76,535,16470,20278,3725,2294,256,193,284,474,155,95,943,28698,2482,1817,1411,182,223,305,531,194,97,192,7446,239,56,76,10,23,50,78,32,14,29,615,17,12,6,0,0,3,3,0,9,15,66,2737,1890
SOSR579,242,93,71,4,4,10,12,5,3,6,439,52,43,27,3,4,7,5,4,0,15,168,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,41,27,3,4,7,5,4,0,15,175,0,0,0,0,0,0,0,0,0,0,5,301,139,100,9,9,18,14,10,3,25,618,44,7,9,0,0,0,4,0,0,0,79,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,51,15,15,4,0,0,5,6,0,5,97,291,101,71,5,7,13,10,6,3,8,511,55,45,36,9,4,7,8,9,0,19,191,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,62,49
