SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOSR501,220,185,218,288,81,46,66,6144,0,9,29,10,34,936,1158,766,128,114,120,80,31,14,78,3495,52,215,901,1002,2629,1008,3557,4522,234,211,286,395,251,110,222,15592,731,5288,4169,1064,474,386,836,1561,237,157,153,197,108,24,567,15967,8,26,22,80,300,758,1378,613,138,152,221,280,145,88,108,4310,0,3,4,112,352,456,2381,1467,233,243,201,274,70,25,130,5956,3,16,89,194,268,144,188,98,30,15,12,20,16,3,43,1135,63,205,1007,2379,6830,3169,7640,4392,1014,974,1029,934,563,72,564,30827,0,0,0,0,12,59,1010,860,319,390,594,630,233,18,65,4190,255,2585,622,458,651,379,772,384,54,70,61,94,44,16,160,6608,61,179,1617,4954,9739,7903,13908,10924,822,757,846,1002,496,442,1498,55156,38,153,535,663,646,519,354,150,41,23,28,34,16,8,93,3296,11,15,60,92,161,328,1451,2214,441,518,521,737,414,59,110,7144
SOSR511,3,0,0,0,0,0,3,45,0,0,0,0,6,4,7,8,4,0,0,0,0,0,0,42,4,5,15,26,65,11,75,104,0,3,4,7,0,0,6,318,26,158,61,8,0,0,10,20,0,0,0,0,0,0,21,304,0,0,3,0,3,7,22,13,0,3,0,4,5,3,0,59,0,0,0,0,3,6,38,27,3,0,13,17,3,0,5,118,0,0,0,7,8,11,10,4,0,0,0,0,3,0,0,43,0,7,13,17,23,21,35,41,6,11,13,8,0,0,6,193,0,0,0,0,0,0,19,13,9,10,4,3,0,0,0,66,3,113,34,16,33,20,25,9,0,4,0,0,0,0,0,259,3,6,68,208,401,294,611,383,13,35,20,25,22,14,96,2213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,42,9,10,6,3,5,3,0,94
SOSR512,5,6,3,0,5,0,0,60,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,13,4,10,28,33,48,19,59,91,4,5,4,8,0,0,8,323,31,113,87,22,4,7,15,29,5,3,8,0,0,0,20,341,0,0,0,4,5,18,17,12,0,0,0,4,0,0,0,59,0,0,0,0,11,0,30,27,11,5,4,5,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,27,33,18,45,23,10,13,9,4,0,0,18,238,0,0,0,0,0,0,13,18,12,11,7,6,11,0,0,68,22,191,37,27,34,15,26,26,0,0,5,4,0,0,15,406,3,14,138,359,568,538,1031,653,53,74,84,72,20,28,138,3776,0,4,4,7,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,40,50,3,3,3,6,5,6,5,134
SOSR513,0,0,5,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,5,12,9,22,54,17,91,123,3,0,4,7,0,0,5,352,5,29,28,6,3,7,7,26,4,6,3,7,4,0,3,147,0,0,0,0,4,5,27,9,0,0,0,0,0,0,0,53,0,0,0,0,0,7,14,13,3,0,3,4,5,5,0,54,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,7,3,3,9,17,23,14,51,24,4,11,8,3,3,0,4,168,0,0,0,0,0,0,8,8,10,0,5,7,5,0,0,49,6,62,19,12,19,10,31,7,5,5,6,3,6,0,3,190,3,4,67,235,431,361,793,621,38,40,54,59,48,30,103,2886,0,0,7,9,3,5,6,0,0,0,0,0,0,0,0,33,0,3,4,0,5,7,13,27,0,0,4,0,0,0,0,68
SOSR514,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,26,22,11,26,29,3,0,0,4,0,0,5,127,6,29,11,0,0,0,11,30,5,9,8,8,5,0,11,123,0,0,0,0,0,7,6,15,4,0,0,0,0,0,0,36,0,0,0,0,0,0,12,15,3,0,5,3,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,3,11,5,6,6,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,4,40,6,4,4,3,9,7,0,0,6,0,3,0,5,91,0,0,33,86,137,109,150,90,3,12,7,15,11,5,16,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,18
SOSR515,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,22,42,41,25,70,95,0,8,4,6,4,0,7,333,30,129,83,25,3,0,9,26,7,0,3,9,8,0,35,357,6,0,0,0,4,6,11,4,0,0,5,6,0,3,0,59,0,0,0,0,0,3,15,11,0,0,5,4,0,0,9,52,0,0,4,0,0,0,0,0,0,0,4,7,0,0,4,13,6,6,18,30,29,18,51,17,9,13,21,12,3,0,7,237,0,0,0,0,0,0,4,5,0,3,6,8,0,0,0,28,14,162,43,23,28,16,32,13,0,0,5,0,5,0,13,357,10,17,113,390,558,478,728,383,43,54,32,63,22,21,160,3071,4,13,5,3,5,4,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5,8,14,3,0,10,7,5,0,0,60
SOSR521,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,8,16,9,33,37,0,0,3,4,0,0,7,140,8,40,25,5,0,0,5,11,0,0,0,4,3,0,11,110,0,0,0,5,0,0,4,9,0,0,0,3,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,10,8,0,0,4,0,0,0,3,64,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,54,19,18,4,8,15,5,6,0,0,0,0,0,3,137,0,3,38,154,264,208,234,136,18,17,12,13,7,12,66,1171,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR522,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,4,3,10,11,12,15,0,0,0,0,0,0,0,66,3,15,15,0,3,0,3,7,0,0,0,0,0,0,0,49,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,0,3,0,3,0,0,0,0,0,3,25,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,13,0,37,8,3,11,6,4,0,3,0,3,0,0,0,3,82,0,3,28,79,138,95,121,66,16,6,11,11,7,3,35,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10
SOSR531,0,0,4,0,0,0,40,105,0,0,0,0,0,15,12,0,0,0,0,0,0,0,15,46,0,10,63,69,129,62,180,184,10,5,21,62,22,0,21,847,51,278,187,22,15,7,36,73,13,9,9,41,15,0,32,790,0,3,6,4,9,26,30,16,0,4,3,9,5,0,3,109,0,0,0,7,7,15,30,16,0,0,0,12,3,0,5,91,0,0,4,8,0,0,0,0,0,0,0,0,0,0,15,33,5,13,34,51,86,34,76,43,17,25,32,21,0,0,36,468,0,0,0,0,0,4,8,4,0,4,0,0,0,0,3,25,35,300,80,58,83,55,78,25,7,5,8,8,4,0,21,763,7,15,223,769,1237,986,1355,737,68,66,82,116,21,48,376,6108,0,5,0,3,11,3,4,0,0,0,0,0,0,0,0,40,0,0,0,3,4,7,10,21,8,4,9,0,0,3,9,74
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,13,14,27,37,27,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
