SOSR_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
SOSR501,23181,11106,12014,23123,11322,12083,23405,11305,12140,23448,11016,11780,22792,55948,59999,115954,10759,11634,22386,10397,11450,21846,10015,11094,21102,9772,10680,20450,9379,10491,19875,50322,55346,105668,9633,10487,20118,9027,10224,19255,8618,9946,18567,8571,9590,18164,8348,9303,17649,44192,49557,93749,8235,8978,17217,7908,8751,16659,7622,8691,16309,7648,8264,15919,8005,8670,16674,39424,43357,82781,6205,6729,12930,5785,6363,12146,5604,6235,11839,4759,5491,10253,4820,5412,10226,27172,30227,57400,18064,22481,40545,9986,14317,24306,4271,7590,11866,998,2283,3288,85,345,436,2636,2568,5203,978179,1027301,2005481
SOSR511,872,451,445,895,435,476,906,402,441,844,438,492,935,2153,2298,4451,451,507,964,426,445,869,408,444,856,400,503,903,408,387,791,2093,2290,4387,435,406,838,310,413,722,367,366,733,333,372,705,315,353,674,1759,1912,3670,337,391,726,294,376,673,328,333,662,317,331,649,328,349,681,1611,1785,3396,250,298,547,247,266,509,220,254,477,182,213,395,200,211,412,1103,1237,2337,686,888,1575,381,544,922,143,307,448,43,87,129,4,10,9,43,49,92,35471,37465,72939
SOSR512,1468,730,727,1458,762,780,1544,817,834,1645,732,810,1551,3765,3888,7657,801,836,1638,739,785,1525,756,751,1513,701,781,1484,695,710,1406,3698,3864,7564,634,693,1324,634,676,1310,616,648,1264,589,703,1294,581,694,1276,3063,3410,6477,585,600,1185,606,591,1196,551,583,1129,588,540,1128,585,607,1184,2911,2911,5821,408,436,847,405,438,848,400,432,828,341,407,757,366,414,780,1926,2138,4063,1339,1625,2963,740,1079,1818,317,524,839,65,143,211,6,23,29,111,94,209,59066,60799,119864
SOSR513,956,512,389,904,548,440,989,566,431,1003,514,428,940,2676,2108,4788,534,424,958,489,420,908,436,459,892,412,384,800,468,401,867,2341,2082,4427,404,380,787,378,366,738,345,340,680,324,298,621,328,322,644,1773,1706,3477,308,292,601,296,240,533,285,245,532,254,237,494,283,260,542,1425,1276,2699,201,188,390,198,176,375,174,146,317,133,139,269,138,129,267,837,779,1619,456,396,846,168,221,387,57,84,142,12,21,28,0,3,3,206,135,346,41570,37730,79299
SOSR514,328,148,161,310,170,199,372,161,153,315,163,200,366,798,888,1682,190,171,366,160,181,342,154,180,338,148,202,344,174,169,338,821,904,1729,187,193,378,176,179,348,169,163,331,155,148,304,162,160,326,842,845,1687,150,158,313,149,159,308,167,146,309,141,132,272,146,167,315,747,761,1511,125,131,258,108,117,219,100,96,202,68,83,146,65,100,172,468,526,998,288,303,586,137,205,340,71,98,172,12,36,46,0,3,3,62,20,83,13626,14253,27874
SOSR515,1320,647,668,1318,645,605,1252,656,657,1320,690,673,1367,3315,3255,6565,671,697,1367,647,656,1307,704,712,1416,674,648,1325,651,649,1309,3353,3371,6723,650,708,1360,639,661,1301,629,613,1240,614,630,1240,637,599,1236,3170,3213,6384,611,567,1178,580,527,1104,597,555,1147,534,546,1075,533,501,1030,2856,2691,5542,410,385,797,365,384,742,375,345,720,311,294,601,284,270,555,1749,1676,3427,1138,1126,2264,536,692,1229,226,282,511,34,105,142,3,16,20,327,161,490,50568,49230,99799
SOSR521,602,338,269,609,325,296,626,333,313,650,324,338,659,1621,1528,3145,383,313,699,299,288,586,337,329,670,306,308,610,339,282,619,1662,1518,3180,334,289,627,289,294,582,269,272,536,305,291,598,308,271,577,1508,1422,2922,293,232,524,291,256,551,280,229,510,268,216,483,225,217,440,1357,1150,2511,165,169,334,193,178,372,145,168,323,129,106,238,162,128,293,795,755,1554,480,468,951,216,262,481,78,121,201,22,29,51,0,3,7,53,69,120,21451,20119,41575
SOSR522,304,170,169,332,167,184,357,191,193,380,163,178,341,833,875,1711,218,171,385,185,191,378,184,205,386,187,179,367,221,196,414,997,940,1934,208,169,375,207,177,379,192,170,364,182,208,392,152,159,317,942,880,1827,206,183,387,189,149,333,148,122,268,146,113,259,188,127,315,864,696,1563,112,102,211,111,76,185,107,74,182,92,80,171,101,72,173,522,410,933,276,277,558,128,134,258,35,54,94,12,9,25,0,0,0,28,48,77,12546,11805,24346
SOSR531,3407,1952,1462,3411,2000,1508,3508,2099,1483,3578,2006,1498,3505,10052,7356,17413,1965,1535,3496,1890,1435,3330,1805,1448,3246,1744,1359,3109,1745,1342,3094,9150,7120,16271,1687,1411,3102,1548,1266,2809,1476,1199,2674,1404,1137,2546,1339,1057,2392,7455,6060,13513,1313,1000,2313,1224,956,2174,1118,822,1939,1087,834,1917,1071,853,1921,5809,4457,10271,804,628,1440,780,560,1334,650,504,1150,565,438,1007,517,418,927,3316,2542,5860,1558,1246,2806,613,537,1156,190,216,406,33,57,96,0,9,3,503,262,774,118008,84308,202315
SOSR579,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
