SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR501,168388,96430,104506,104108,84169,61022,35324,13435,3295,670680,16166,16335,19638,21631,23398,26439,25980,14348,4620,168551,890,1715,2675,3624,5338,8055,11132,8214,2977,44623,40,131,311,706,1649,3694,6335,6178,2699,21736,17094,18179,22618,25959,30382,38190,43445,28739,10301,234910,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,163140,86118,105260,106080,85329,63702,39679,14936,4616,668864,11905,22118,26979,26602,27499,29245,28282,17667,7709,198015,773,3614,5620,6126,7808,10464,12510,9503,4991,61400,47,287,696,1395,2836,5180,7186,6652,4360,28628,12724,26014,33295,34123,38139,44885,47981,33816,17058,288046,12838,8559,9914,9281,8407,6761,5251,3953,2858,67830,188700,120692,148478,149485,131874,115347,92912,52702,24539,1024731,331532,182548,209769,210183,169498,124722,75005,28377,7915,1339542,28074,38451,46610,48232,50896,55687,54265,32013,12334,366565,1664,5329,8293,9751,13148,18519,23640,17720,7971,106032,82,419,1002,2100,4480,8870,13523,12828,7060,50365,29815,44198,55911,60079,68528,83077,91431,62561,27363,522954,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776
SOSR511,6143,3056,2975,3160,2794,2274,1281,516,119,22318,914,643,697,799,894,1054,1088,541,169,6799,57,75,143,139,254,385,457,349,109,1968,0,8,25,47,83,171,307,253,99,986,976,725,864,982,1231,1611,1852,1138,378,9754,608,446,530,506,466,358,238,131,64,3352,7719,4224,4376,4645,4493,4249,3369,1790,561,35427,5965,2753,2989,3250,2919,2282,1410,611,153,22338,604,917,1069,1049,1178,1190,1128,684,265,8080,38,167,231,296,393,525,553,364,169,2735,5,12,31,95,143,274,368,288,209,1432,645,1092,1334,1436,1716,1996,2052,1333,648,12247,594,334,369,319,333,318,236,184,147,2829,7206,4179,4693,5009,4973,4584,3696,2122,949,37415,12105,5805,5961,6409,5719,4557,2690,1129,276,44662,1513,1560,1772,1841,2072,2248,2216,1221,428,14878,102,238,373,433,647,910,1016,714,279,4706,6,21,56,137,229,450,667,545,310,2417,1619,1824,2196,2416,2947,3603,3903,2473,1020,22004,1200,776,906,824,801,677,477,308,213,6178
SOSR512,9342,5023,5012,4806,4580,3771,2332,903,224,35985,1161,976,1080,1269,1395,1848,1718,975,344,10764,63,113,161,179,396,634,826,607,220,3193,4,10,33,39,144,316,515,478,243,1778,1229,1099,1267,1494,1930,2792,3054,2060,809,15731,1327,856,1113,1086,951,899,595,303,109,7235,11895,6972,7389,7385,7462,7471,5974,3262,1137,58954,9223,4349,4650,4918,4651,3858,2459,1032,298,35436,794,1240,1555,1523,1745,1920,1871,1228,507,12378,59,224,349,379,605,759,855,684,408,4325,3,21,46,134,237,464,577,499,361,2339,852,1482,1947,2038,2589,3146,3304,2413,1276,19049,1289,741,795,805,782,748,555,316,188,6224,11365,6576,7389,7758,8020,7752,6322,3757,1766,60702,18564,9374,9661,9728,9227,7626,4791,1937,516,71424,1955,2216,2633,2791,3138,3767,3591,2203,853,23148,119,335,505,565,1001,1395,1687,1286,623,7518,8,26,77,173,382,784,1085,978,602,4115,2077,2579,3215,3524,4521,5939,6361,4474,2080,34777,2616,1596,1901,1897,1739,1655,1150,610,300,13463
SOSR513,6706,2764,4137,4424,3490,2410,1352,371,52,25705,605,396,667,770,862,1059,837,384,59,5645,29,46,81,119,175,291,335,208,55,1326,0,4,8,18,45,138,190,134,39,578,632,448,758,905,1073,1485,1362,729,152,7544,1285,777,1342,1501,1393,1124,473,195,29,8114,8620,3985,6234,6824,5957,5016,3191,1288,231,41367,6517,2429,4217,3844,2695,2165,1214,350,51,23487,446,520,974,952,898,901,879,335,93,6002,19,73,176,199,234,305,310,196,79,1607,0,6,28,40,96,150,145,137,59,669,468,599,1181,1192,1226,1357,1340,674,237,8273,1159,618,1084,903,778,669,422,146,39,5826,8148,3652,6488,5938,4697,4188,2978,1174,330,37592,13222,5200,8349,8262,6187,4577,2570,721,104,49195,1051,917,1645,1719,1750,1960,1721,723,154,11642,50,118,260,313,406,597,652,411,128,2930,3,11,34,58,138,287,335,272,101,1242,1108,1044,1937,2092,2299,2846,2705,1406,388,15818,2444,1392,2426,2407,2176,1789,898,341,68,13941
SOSR514,2340,1045,1080,1203,1091,873,630,228,55,8549,264,203,200,277,302,363,498,252,66,2426,10,20,29,49,86,134,206,105,43,690,3,0,7,11,23,78,135,113,31,393,278,224,237,343,415,575,834,469,139,3507,326,180,204,202,198,175,125,59,28,1504,2944,1453,1518,1751,1709,1620,1593,756,221,13562,2243,841,1056,1354,1153,920,635,238,61,8486,195,217,343,379,414,452,486,277,113,2880,17,33,67,114,142,169,208,147,74,961,0,7,8,27,55,96,154,91,52,493,209,257,420,517,610,721,852,517,235,4338,333,142,164,196,169,154,126,76,48,1409,2787,1238,1648,2067,1934,1792,1608,830,340,14233,4581,1885,2132,2559,2246,1791,1262,464,117,17038,458,422,551,658,721,809,987,527,178,5310,25,50,104,161,226,300,416,252,114,1652,3,7,13,40,80,179,287,202,81,889,489,476,660,862,1027,1289,1683,984,373,7847,658,324,370,400,370,331,249,136,73,2908
SOSR515,7647,3537,4333,4062,3996,3332,2363,777,171,30209,774,650,751,912,1124,1626,1756,876,239,8705,37,76,108,159,311,508,826,516,156,2703,0,3,19,42,96,291,429,375,125,1392,815,732,880,1112,1527,2422,3021,1765,522,12801,1403,788,997,989,1036,907,648,342,113,7230,9868,5057,6217,6165,6560,6667,6025,2885,804,50244,7299,3084,4171,3895,3434,3284,2309,743,196,28406,572,752,1113,1149,1272,1612,1709,930,351,9463,42,162,259,327,429,633,834,482,217,3389,3,15,28,73,219,369,457,313,173,1653,612,934,1400,1549,1924,2617,3001,1725,746,14505,1230,706,843,818,751,731,593,336,160,6155,9139,4716,6408,6265,6107,6627,5898,2804,1095,49068,14942,6621,8502,7953,7428,6614,4666,1521,369,58618,1351,1403,1864,2061,2396,3233,3472,1805,591,18172,80,238,369,489,743,1140,1660,1001,371,6092,4,24,48,115,316,662,893,685,300,3043,1430,1662,2286,2663,3455,5040,6021,3490,1265,27305,2636,1493,1840,1812,1785,1635,1238,682,274,13387
SOSR521,2882,1391,1596,1525,1610,1567,1016,334,79,12000,338,233,322,379,500,760,785,380,103,3800,15,33,45,86,118,259,391,221,57,1222,0,3,7,19,32,139,275,167,41,681,352,262,371,484,656,1153,1449,767,208,5696,533,298,570,534,601,558,399,177,37,3702,3769,1946,2531,2545,2865,3280,2863,1281,317,21405,2713,1196,1586,1501,1386,1408,896,344,88,11118,220,310,405,452,571,743,755,374,133,3957,15,45,85,133,198,304,364,182,78,1406,0,3,18,32,81,176,234,142,70,758,234,356,504,619,849,1222,1353,701,281,6117,522,257,384,330,350,413,322,181,56,2820,3471,1813,2474,2451,2580,3040,2574,1226,423,20054,5595,2591,3179,3029,2992,2971,1914,681,165,23116,560,535,724,834,1071,1505,1541,758,238,7757,29,76,128,219,313,555,760,403,139,2621,0,9,26,46,118,316,504,308,108,1441,585,616,875,1103,1505,2375,2806,1473,484,11818,1056,557,953,871,946,975,719,360,89,6523
SOSR522,1679,926,1084,934,916,897,677,220,41,7377,140,138,156,243,277,435,511,243,52,2189,11,17,31,36,79,157,222,131,36,721,0,0,4,15,35,80,156,101,24,410,157,149,193,296,393,666,887,471,109,3319,340,159,208,225,256,266,242,105,21,1823,2175,1234,1478,1448,1563,1832,1807,796,179,12517,1659,911,976,840,772,865,591,209,44,6870,83,165,210,238,275,426,413,215,53,2083,4,19,53,76,110,180,224,108,30,797,0,4,8,28,56,115,135,67,30,428,93,182,271,337,445,721,769,388,110,3312,371,154,172,164,144,223,220,90,41,1575,2120,1246,1420,1345,1355,1814,1575,685,199,11752,3336,1843,2064,1777,1688,1761,1273,423,88,14244,230,297,371,482,551,866,924,460,102,4278,19,28,77,116,193,341,447,244,65,1522,0,5,12,36,92,191,286,164,55,831,245,330,462,634,831,1390,1653,864,220,6627,712,311,378,390,400,493,461,199,65,3400
SOSR531,11575,7269,9146,10071,10967,9817,5588,1604,234,66270,1150,1038,1451,1950,2784,3883,3747,1448,255,17710,53,101,161,282,573,1140,1515,778,150,4753,4,17,20,48,165,440,696,477,105,1971,1206,1160,1630,2280,3525,5457,5962,2707,510,24429,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,11005,5413,5970,6811,7842,7727,4474,1202,199,50642,779,1160,1467,1858,2481,3472,3032,1202,286,15730,43,191,251,405,700,1157,1250,580,158,4739,0,15,32,76,246,447,602,383,110,1913,823,1368,1750,2334,3430,5076,4887,2165,549,22383,1486,1205,1678,1522,1794,1676,1159,430,73,11018,13308,7985,9400,10667,13071,14487,10520,3798,820,84045,22581,12678,15118,16879,18810,17539,10063,2806,432,116906,1928,2203,2914,3803,5263,7356,6776,2651,536,33434,94,290,416,688,1278,2296,2764,1358,306,9491,7,31,55,125,409,891,1298,856,215,3883,2027,2524,3385,4613,6951,10538,10843,4867,1057,46815,3091,3462,7313,7191,7115,5607,2881,991,168,37824
SOSR579,0,58,206,427,380,184,41,0,0,1305,0,0,31,57,68,52,27,7,0,232,0,0,6,5,7,15,11,0,0,44,0,0,0,0,0,8,0,0,0,9,0,0,31,63,80,69,38,7,0,287,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,3,21,43,24,29,49,24,9,0,201,0,8,12,4,4,8,18,4,0,55,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,8,12,4,4,7,22,3,0,67,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,3,80,249,453,414,233,64,12,0,1503,0,4,41,64,72,56,47,9,0,292,0,0,3,5,7,18,13,0,0,53,0,0,0,0,0,8,0,0,0,12,0,4,45,73,80,74,57,17,0,350,0,51,220,435,397,221,57,6,0,1396
