SOSR_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,..,2815,2886,857,512,408,180,52,22,7744,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2182,3119,2662,1575,1430,1688,1439,768,369,15227,117,142,247,146,175,428,381,101,30,1764,181979,114072,141479,143653,127302,111674,89363,48284,17520,975321,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4394,5807,5617,3790,3225,3085,2491,1255,519,30184,234,249,471,317,349,673,654,195,47,3191,373970,231372,271466,276821,245264,213261,169248,90197,29735,1901339
SOSR511,..,124,89,43,25,12,10,5,0,304,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,107,162,111,62,57,80,74,28,15,698,3,5,4,4,3,6,4,7,0,37,6925,3989,4444,4806,4758,4360,3544,1963,657,35448,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,221,295,243,156,130,145,123,56,21,1384,5,9,14,10,7,12,6,3,0,72,14348,7973,8355,8985,8847,8247,6688,3639,1114,68201
SOSR512,..,199,119,41,29,31,12,3,0,422,..,294,284,103,125,187,93,33,4,1132,..,297,521,385,819,1330,1567,1300,729,6952,183,245,194,131,133,209,136,77,27,1333,4,5,10,6,5,8,16,5,0,54,10527,5974,6598,7046,7400,6938,5637,3308,1181,54604,..,214,3995,7036,7545,7435,6429,3436,770,36859,..,1664,3657,2320,1899,1365,604,169,34,11705,..,181,811,1439,1427,703,307,218,119,5207,21169,..,..,..,..,..,..,..,..,21169,..,3815,..,..,..,..,..,..,..,3815,..,3593,1208,458,347,185,40,4,0,5838,..,649,336,175,206,317,322,186,92,2271,..,385,307,133,105,75,31,15,0,1045,..,646,755,302,303,375,191,79,15,2673,..,591,1271,1126,1753,2554,2622,1881,987,12771,381,472,415,330,270,369,259,122,42,2658,14,8,15,6,11,23,16,4,5,107,21567,12210,12762,13330,13862,13386,10822,6111,2066,106110
SOSR513,..,100,115,35,29,19,4,0,0,296,..,130,267,99,85,77,36,7,0,711,..,172,402,249,356,478,390,285,99,2435,112,153,194,115,116,235,223,83,13,1232,3,8,23,0,5,3,12,0,0,58,7035,2973,5092,4867,3670,2863,1681,770,198,29139,..,91,2878,5046,3880,2959,1649,668,97,17272,..,838,3112,2048,1257,698,186,39,0,8192,..,102,478,757,615,294,135,69,32,2475,14198,..,..,..,..,..,..,..,..,14198,..,1866,..,..,..,..,..,..,..,1866,..,1673,516,190,105,45,8,0,0,2533,..,411,212,114,133,186,135,73,29,1300,..,200,253,83,75,51,8,0,0,670,..,274,571,239,224,189,96,21,5,1626,..,359,949,762,936,1076,716,453,146,5396,235,289,355,241,230,402,450,179,24,2407,4,12,43,14,7,5,15,3,0,99,14440,6122,9359,9497,7459,5913,3396,1507,334,58030
SOSR514,..,48,49,18,10,8,4,0,0,131,..,73,102,33,39,53,23,10,0,328,..,32,83,105,207,326,392,274,147,1566,44,50,37,25,22,21,24,17,10,252,0,0,3,3,0,5,0,0,0,13,2555,1118,1457,1902,1754,1566,1415,724,240,12732,..,34,746,1771,1668,1626,1692,812,126,8480,..,252,870,674,486,304,158,34,0,2779,..,15,164,367,415,157,75,45,37,1280,5169,..,..,..,..,..,..,..,..,5169,..,872,..,..,..,..,..,..,..,872,..,716,266,100,65,40,11,0,0,1205,..,112,57,29,27,65,58,38,19,407,..,79,110,52,28,23,9,0,0,294,..,152,281,94,106,100,48,21,3,819,..,81,192,275,415,596,697,398,202,2859,102,90,79,65,67,54,54,22,10,545,0,0,8,3,0,3,0,6,0,19,5266,2412,2773,3442,3268,2966,2812,1380,407,24727
SOSR515,..,113,80,30,24,13,13,9,0,280,..,155,252,66,94,131,90,25,8,831,..,196,388,304,524,914,1082,857,451,4723,127,188,149,84,107,193,209,76,23,1158,0,3,16,0,5,10,3,3,0,48,7989,3914,5235,5270,5079,5130,4317,2194,746,39871,..,180,3080,5173,5098,5407,4793,2368,468,26559,..,1107,3090,1993,1548,1188,565,155,24,9666,..,128,626,957,952,457,244,136,88,3586,16318,..,..,..,..,..,..,..,..,16318,..,2431,..,..,..,..,..,..,..,2431,..,2397,758,338,260,122,22,4,0,3897,..,456,237,132,167,265,223,122,58,1673,..,240,217,88,64,53,34,7,0,709,..,311,555,209,233,299,205,63,13,1896,..,428,969,829,1390,1923,2051,1349,638,9579,250,342,341,240,271,320,389,141,34,2322,3,16,39,5,7,18,14,4,0,105,16574,8028,9916,9955,9992,10044,8543,4349,1330,78732
SOSR521,..,31,27,11,6,15,7,0,0,99,..,35,82,16,63,65,41,24,4,322,..,76,152,119,242,457,462,384,163,2064,63,66,69,56,54,62,50,16,6,443,0,4,9,0,0,0,4,0,0,17,2997,1558,1922,2014,2128,2311,1917,983,281,16110,..,98,1036,1756,1904,2285,2206,1007,198,10488,..,407,1025,672,644,597,274,75,3,3708,..,62,281,438,407,213,136,99,27,1665,6113,..,..,..,..,..,..,..,..,6113,..,860,..,..,..,..,..,..,..,860,..,998,370,196,152,66,4,0,0,1793,..,284,147,89,113,144,127,55,29,991,..,63,65,40,30,38,21,3,0,259,..,86,149,76,109,153,104,41,8,721,..,176,336,323,615,1004,981,651,248,4333,147,145,124,125,99,125,106,33,15,924,0,3,11,4,0,0,4,0,0,24,6263,3178,3536,3725,4082,4631,3964,1966,527,31873
SOSR522,..,16,12,0,4,9,5,0,0,35,..,18,28,14,25,43,31,10,3,164,..,57,84,74,108,240,243,179,69,1063,39,65,44,35,31,39,34,11,4,294,0,0,5,0,0,0,0,0,0,9,1860,1066,1129,1096,1084,1295,1040,529,147,9250,..,117,617,911,978,1219,1201,604,118,5764,..,278,636,449,362,279,133,49,10,2192,..,64,194,234,214,156,70,39,21,981,3678,..,..,..,..,..,..,..,..,3678,..,428,..,..,..,..,..,..,..,428,..,643,232,115,79,26,6,0,0,1104,..,267,123,89,84,106,77,35,15,794,..,29,30,5,14,11,3,0,0,98,..,33,63,34,57,88,60,20,8,363,..,101,198,202,344,582,593,340,113,2479,85,120,78,61,59,79,67,12,3,581,0,6,8,0,0,0,0,0,0,6,3768,2093,2178,2098,2186,2548,2214,1106,284,18479
SOSR531,..,188,160,71,68,64,35,22,7,611,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,247,322,271,176,183,254,240,107,54,1857,5,13,17,6,5,10,7,4,4,63,11535,5964,5845,8045,10121,10856,7751,3176,751,64047,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,519,621,511,372,359,471,474,204,81,3614,11,17,41,14,10,21,18,6,3,141,24061,12773,11223,15137,19744,22012,17029,7105,1495,130583
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,15
