SOSR_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOSR501,40664,73666,31411,19290,48050,8531,910,222529,23094,47733,29737,21440,47111,7417,788,177310,11486,20937,13941,11281,33226,7065,267,98207,4611,5816,2973,2182,18828,5478,78,39957,349476,447152,183760,136880,412992,82217,4837,1617314
SOSR511,1523,2866,1332,892,1800,426,14,8854,841,1813,1268,923,1850,370,11,7074,454,831,578,503,1268,283,3,3920,141,241,121,92,639,280,0,1511,11443,16155,7288,5774,13600,3656,89,58003
SOSR512,2553,4860,2119,1232,3214,1239,39,15253,1493,3082,2055,1651,3055,966,23,12323,804,1370,955,892,2367,636,12,7037,332,371,240,216,1365,373,10,2902,18317,26033,11438,8785,23041,8792,192,96591
SOSR513,1590,2433,888,583,2095,1621,39,9248,793,1424,786,583,1773,811,32,6210,330,464,291,226,798,357,7,2466,67,92,32,28,253,93,0,563,11633,15547,5664,4449,14288,10599,332,62518
SOSR514,546,1090,529,320,664,261,6,3414,396,832,539,452,764,213,0,3198,178,288,214,241,502,159,3,1591,67,75,46,35,224,109,0,561,4082,6019,2795,2359,4894,1924,77,22147
SOSR515,2213,3837,1817,1215,2874,1337,34,13327,1514,2819,1821,1655,3089,1031,28,11946,571,1115,789,768,1784,659,8,5698,211,221,167,144,806,349,4,1904,14528,20569,9414,7846,18451,9500,480,80781
SOSR521,1088,1709,763,578,1345,839,8,6325,622,1211,754,828,1368,661,9,5446,248,437,322,341,783,375,0,2507,80,100,66,50,339,101,0,738,5917,8244,3842,3459,7701,5063,118,34335
SOSR522,605,1037,474,321,764,433,0,3646,438,756,517,393,833,452,5,3386,153,259,198,233,438,215,0,1481,35,49,22,38,141,87,0,373,3781,4974,2418,1965,4353,2492,79,20052
SOSR531,5017,9177,4564,3357,6607,4954,75,33753,3047,5563,3826,3563,5304,2478,40,23823,1043,1702,1289,1333,2346,948,12,8679,244,322,163,139,625,163,5,1662,29247,40235,19337,16166,36779,32078,733,174575
SOSR579,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
