SOSR_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,4814,9909,11029,9757,9664,12152,25675,20455,9796,113266,4918,13115,16859,14277,12793,13207,19494,12346,4701,111706,3124,13273,19506,16503,13798,12957,13483,7559,2578,102777,2085,14625,27930,21854,19370,16258,11349,4820,1662,119947,1076,12822,36562,29349,25195,21532,10737,3442,976,141697,430,7586,30911,25654,21564,17098,6953,1867,478,112553,212,4118,27218,25279,21338,16407,5475,1510,530,102081,86,1794,18793,20695,17864,12409,3654,778,224,76293,88,2017,28364,42405,36924,23940,5850,1171,362,141117,24,307,5561,11109,9954,6155,1615,402,121,35244,70,267,5198,17824,20220,12161,3573,1107,316,60731,5548,7112,16518,14157,11520,9218,8571,8438,7547,88634,129,379,1024,632,635,910,788,267,78,4837,118813,126375,287428,290440,256255,222529,177310,98207,39957,1617314
SOSR511,204,214,404,420,419,560,1148,908,415,4691,293,371,586,605,550,569,837,507,184,4506,196,476,686,647,683,556,567,328,108,4243,135,622,973,823,798,674,421,179,49,4672,50,461,1063,961,987,821,417,118,23,4904,17,254,836,793,779,651,196,50,11,3594,14,158,680,830,763,607,163,45,20,3269,4,81,575,665,663,552,102,27,6,2662,0,107,862,1316,1328,957,165,21,14,4769,0,16,159,275,320,210,50,8,10,1045,5,13,131,325,400,250,99,19,9,1250,237,260,680,628,530,458,385,297,266,3736,6,3,26,8,9,14,11,3,0,89,4627,3786,9091,9666,9478,8854,7074,3920,1511,58003
SOSR512,356,347,614,641,642,944,1867,1485,598,7493,462,598,888,894,903,977,1440,895,348,7402,355,783,1016,989,1011,1014,961,548,168,6841,267,869,1323,1211,1224,1234,744,284,121,7288,124,766,1676,1512,1637,1496,688,211,52,8169,63,448,1301,1283,1348,1088,397,95,31,6046,43,329,1286,1156,1355,1070,310,107,54,5712,10,169,939,996,1114,822,229,56,11,4349,20,203,1451,2047,2114,1517,333,63,19,7769,0,34,348,500,502,360,86,14,3,1847,3,24,256,543,601,459,133,55,18,2094,582,610,1578,1449,1266,1250,1034,787,619,9172,3,15,56,19,22,39,23,12,10,192,7209,6364,14837,15166,15506,15253,12323,7037,2902,96591
SOSR513,123,171,279,301,253,334,691,419,132,2712,178,234,433,451,322,399,568,281,56,2919,164,329,561,483,424,367,385,159,24,2893,114,396,856,683,555,515,362,140,27,3643,108,411,1101,922,758,719,392,87,11,4515,41,332,983,867,722,613,271,47,11,3882,33,229,1100,947,797,618,228,31,7,3989,22,143,965,890,743,552,184,20,4,3516,17,218,1699,2108,1784,1123,238,53,8,7248,5,46,547,673,529,336,84,15,0,2244,5,39,570,1080,851,578,169,72,3,3369,554,718,2279,2154,1934,1650,854,416,160,10717,5,40,137,51,25,39,32,7,0,332,3815,3860,12858,12809,10684,9248,6210,2466,563,62518
SOSR514,82,62,160,179,189,250,538,328,175,1956,86,104,230,272,223,266,358,187,51,1779,59,147,247,318,259,214,242,134,42,1666,22,167,378,350,339,257,219,68,13,1821,23,128,398,480,402,329,203,44,16,2019,9,64,308,306,293,246,98,29,6,1354,7,48,203,255,267,217,77,24,5,1105,0,33,139,227,224,148,50,10,0,836,0,17,256,427,417,287,76,14,0,1490,0,3,38,95,106,65,8,3,0,323,0,0,29,102,135,91,40,13,5,416,156,105,289,300,293,260,243,172,131,1948,0,8,30,23,3,6,0,3,0,77,1589,1106,3194,3836,3643,3414,3198,1591,561,22147
SOSR515,214,230,453,467,538,882,1816,1158,430,6181,284,364,697,678,674,821,1300,682,220,5723,208,496,829,701,749,817,879,416,104,5202,151,589,1059,930,978,940,641,263,82,5640,94,522,1315,1075,1123,1241,661,166,25,6222,45,372,1035,905,926,814,381,92,15,4580,22,245,1076,889,932,782,299,68,29,4349,8,124,727,812,839,669,219,32,13,3449,21,167,1394,1644,1675,1314,321,48,7,6580,0,31,357,487,477,338,72,23,5,1794,3,21,294,592,548,407,146,27,11,2054,712,638,1654,1562,1574,1413,1102,745,422,9830,4,128,181,57,32,34,28,8,4,480,5104,4808,12807,12491,12696,13327,11946,5698,1904,80781
SOSR521,80,89,206,223,292,419,868,551,168,2893,110,113,284,286,304,357,519,266,79,2321,87,174,302,285,260,324,415,167,60,2067,70,192,351,340,385,417,266,100,36,2150,35,168,404,377,457,513,270,79,16,2323,11,120,342,310,364,413,154,30,8,1749,9,66,345,365,324,404,142,42,11,1720,8,50,250,253,283,285,76,6,3,1213,4,72,487,571,608,533,103,19,5,2403,0,11,141,161,148,137,26,10,3,635,0,12,101,187,208,162,53,15,12,758,280,301,869,832,878,902,706,391,124,5280,4,20,52,20,10,8,9,0,0,118,1925,1866,5059,5022,5453,6325,5446,2507,738,34335
SOSR522,40,63,113,126,131,242,530,336,94,1676,58,83,184,169,145,223,344,130,46,1377,37,77,157,156,156,197,230,101,19,1132,40,109,210,170,202,264,188,65,16,1258,22,99,244,209,238,286,139,55,13,1291,7,76,215,157,175,230,105,23,3,999,5,53,174,165,184,184,75,23,6,850,0,33,129,143,175,165,52,8,0,703,0,36,238,293,306,323,91,13,3,1303,0,3,51,69,80,62,31,5,0,306,0,0,33,92,106,107,47,6,0,392,204,150,372,374,375,449,473,217,84,2697,0,12,45,3,6,0,5,0,0,79,1204,1292,2939,2802,2920,3646,3386,1481,373,20052
SOSR531,411,372,690,756,939,1488,2746,1407,396,9200,539,614,873,1038,1313,1773,2282,974,155,9563,361,780,948,1099,1390,1773,1694,610,105,8759,259,883,1356,1415,1752,2144,1550,487,82,9922,170,897,1862,1760,2352,2714,1472,364,49,11643,84,688,1614,1679,1953,2153,911,218,24,9324,55,492,1670,1770,2222,2112,734,177,30,9250,45,374,1462,1658,2030,1767,517,119,10,7993,39,699,3621,4186,4876,3725,929,143,18,18237,7,107,1125,1517,1555,1104,269,37,8,5732,19,82,960,1939,2259,1585,518,138,22,7519,1086,2230,7092,6866,6663,5225,2679,1055,184,33088,7,111,290,126,74,75,40,12,5,733,8998,9785,26105,28811,32959,33753,23823,8679,1662,174575
SOSR579,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
