SOSR_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOSR501,5033,7459,12495,2006,2646,4651,2324,6960,9291,2670,13518,16188,7676,30395,38074,9200,20216,29421,25206,13464,38677,23669,16709,40379,29028,19590,48618,33507,16627,50141,26940,14649,41591,28776,11467,40248,65158,20391,85549,51607,2638,54248,45469,5537,51000,29795,1178,30970,94027,8260,102290,51281,5481,56768,4758,7123,11881,538147,224320,762472
SOSR511,150,233,382,63,86,149,87,282,373,108,596,708,356,1415,1770,447,842,1290,1322,607,1926,1060,688,1749,1235,737,1970,1345,574,1918,1036,502,1541,1185,397,1587,2523,676,3198,1965,60,2030,1634,195,1830,911,40,951,2082,234,2314,2177,143,2319,169,329,499,19856,8636,28494
SOSR512,271,423,692,126,182,308,153,591,745,154,997,1150,532,2292,2826,642,1583,2225,1970,1053,3020,1598,1220,2820,1850,1272,3123,2120,971,3091,1567,891,2456,1623,737,2358,3705,1312,5025,2905,146,3053,2439,351,2788,1493,74,1565,3590,468,4060,3233,271,3503,406,840,1249,30377,15668,46046
SOSR513,111,220,336,40,81,124,52,212,261,82,384,468,173,609,782,210,417,627,468,434,905,452,483,930,550,701,1254,631,658,1288,531,604,1138,664,657,1320,1824,1281,3106,1460,220,1688,1627,490,2116,1059,125,1184,3492,855,4347,2087,200,2288,234,680,911,15765,9311,25072
SOSR514,52,98,155,22,43,69,35,135,169,47,250,298,156,643,797,166,349,515,506,233,734,418,259,677,504,323,828,569,219,790,401,170,569,431,137,567,877,250,1130,694,55,747,488,70,566,241,30,273,587,109,701,838,103,940,95,150,247,7150,3621,10767
SOSR515,200,391,589,90,182,274,125,462,587,156,807,964,475,1968,2440,487,1171,1658,1619,886,2504,1197,1067,2268,1391,1152,2545,1487,968,2456,1053,792,1848,1212,691,1906,2591,1324,3918,2044,226,2264,1724,454,2175,991,115,1108,2433,676,3107,2800,205,3003,321,827,1148,22399,14351,36749
SOSR521,97,190,283,73,75,145,76,254,329,79,384,462,212,960,1176,247,476,728,789,405,1198,598,483,1083,593,455,1048,634,411,1048,430,337,765,482,330,817,1022,485,1506,704,86,789,582,135,723,317,28,345,711,229,941,1125,57,1188,184,561,745,8983,6341,15326
SOSR522,40,106,148,26,57,82,46,158,203,62,241,308,167,606,778,165,264,434,472,243,715,383,282,667,373,340,718,392,305,697,217,213,433,268,180,451,515,363,872,317,59,382,248,95,346,138,38,176,316,171,488,559,42,601,160,366,522,4880,4130,9012
SOSR531,515,706,1221,252,270,521,232,568,795,214,904,1120,829,1982,2811,653,1235,1890,2126,1273,3395,1875,1571,3440,2323,1754,4075,2571,1350,3928,1809,1021,2834,2052,896,2947,4249,1628,5877,3432,409,3841,2812,602,3416,1897,225,2119,5425,1166,6601,5472,273,5743,659,1408,2066,39395,19242,58639
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
