SOSR_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOSR501,17586,49823,99275,99529,75884,54584,40602,18180,4719,460191,2672,4379,11801,12051,12253,10304,5703,2575,584,62322,3367,5025,16033,17533,24580,29642,23465,11055,2971,133665,957,702,1958,2426,2972,3955,4779,3847,1518,23111,252,262,866,1254,1501,2224,3935,4954,2657,17901,45,141,696,871,982,913,794,619,352,5409,2102,2872,7184,6568,5485,4556,4269,3963,2532,39543,26981,63205,137805,140229,123663,106186,83549,45196,15337,742150,18455,52003,116856,115446,86415,61009,38870,17086,5554,511699,1717,3223,9463,9852,12765,13604,7805,3331,947,62707,2495,3907,12448,13965,22564,29061,30043,15371,5666,135515,705,511,1366,1900,2373,3596,5363,4683,2548,23040,202,179,767,1321,1791,2586,4826,5953,4303,21942,48,89,620,986,1107,1236,1098,928,789,6906,2026,2631,6853,5918,4760,4164,4831,5301,4701,41183,25634,62543,148379,149396,131784,115258,92837,52655,24513,802983,36042,101823,216135,214980,162295,115599,79475,35268,10276,971889,4382,7604,21261,21900,25019,23913,13506,5902,1537,125032,5859,8929,28484,31492,47146,58703,53507,26426,8638,269181,1660,1207,3325,4331,5346,7550,10141,8529,4065,46156
SOSR511,470,1162,2221,2337,1979,1458,1094,468,129,11314,185,264,611,691,636,447,265,97,24,3212,240,342,1093,1211,1406,1733,1289,587,107,8003,50,33,131,124,159,269,287,230,67,1361,9,11,32,34,43,85,203,251,130,793,3,0,19,14,19,25,14,14,12,124,94,111,273,236,242,222,212,142,99,1642,1046,1933,4376,4640,4491,4246,3370,1790,562,26446,543,1348,3007,3145,2593,1780,1079,503,156,14145,113,153,544,631,656,672,401,138,43,3349,176,229,765,898,1372,1661,1499,751,236,7596,34,41,91,100,95,172,310,236,121,1200,6,15,29,34,45,75,175,273,182,823,3,0,8,3,7,15,18,22,15,94,73,82,252,194,203,212,207,208,196,1620,949,1856,4692,5009,4967,4584,3693,2127,947,28826,1011,2509,5225,5483,4568,3233,2176,967,281,25456,297,409,1155,1317,1289,1120,663,234,65,6562,411,568,1861,2107,2779,3390,2796,1341,347,15595,87,71,227,225,255,436,600,470,191,2563
SOSR512,686,1853,3786,3724,3116,2497,1959,840,231,18683,345,454,961,951,955,783,473,178,49,5146,464,567,1617,1642,2269,2843,2115,954,229,12699,110,78,161,192,295,388,494,409,133,2263,21,26,65,82,112,221,368,488,284,1676,6,10,44,48,46,42,27,28,26,280,266,275,749,732,665,691,538,370,173,4457,1891,3245,7389,7385,7462,7463,5976,3260,1134,45204,753,2029,4760,4824,4110,3055,1932,922,324,22704,190,292,774,788,1097,1174,735,262,65,5368,288,441,1058,1316,1995,2471,2352,1205,394,11512,78,62,122,139,185,301,448,415,209,1963,17,13,35,61,75,147,300,475,374,1495,4,5,25,24,44,30,44,25,40,241,239,251,620,598,512,572,512,454,363,4116,1568,3092,7389,7756,8021,7755,6314,3758,1766,47405,1434,3883,8543,8548,7221,5553,3889,1763,553,41390,531,747,1738,1741,2053,1958,1211,434,111,10516,751,1001,2675,2965,4261,5312,4466,2154,624,24216,187,136,279,333,479,688,941,824,345,4225
SOSR513,392,1076,3159,3303,2333,1560,1049,395,51,13321,170,210,687,753,709,578,258,75,9,3447,172,242,955,1181,1397,1511,1020,327,35,6839,52,45,136,170,160,241,237,118,23,1186,12,6,29,40,76,89,166,145,54,613,7,5,11,26,18,13,18,10,3,116,266,372,1242,1353,1254,1023,446,221,58,6245,1067,1959,6226,6821,5956,5018,3190,1288,231,31764,396,1207,4178,3716,2305,1605,970,316,62,14759,85,148,519,534,595,610,332,91,17,2924,111,170,682,743,929,1128,1005,324,66,5161,40,28,82,84,116,152,157,111,48,817,14,6,17,59,54,74,115,122,61,520,0,3,8,13,20,15,16,9,8,96,210,294,991,785,693,590,389,193,78,4221,867,1862,6482,5934,4696,4181,2978,1171,330,28500,787,2285,7335,7016,4637,3169,2022,713,117,28080,256,356,1205,1288,1300,1193,587,169,18,6374,286,411,1639,1925,2328,2638,2021,652,101,11992,93,76,221,253,275,395,392,227,67,2000
SOSR514,156,354,805,952,761,537,578,233,42,4419,63,85,222,240,241,183,129,47,8,1218,80,73,258,332,464,610,536,200,40,2596,16,12,30,43,56,102,135,87,22,486,8,17,35,21,26,40,96,91,52,379,0,0,5,6,5,7,9,9,0,35,75,54,165,154,158,139,120,95,61,1024,398,594,1518,1747,1709,1620,1593,755,221,10159,144,342,1112,1363,1061,719,527,226,55,5559,38,47,168,213,220,271,176,68,7,1204,56,58,200,298,445,580,591,250,74,2554,26,8,21,29,46,64,105,72,40,411,0,3,11,9,14,26,76,88,52,282,0,0,3,0,0,0,3,0,9,24,52,51,133,146,145,128,121,124,100,994,313,510,1648,2069,1931,1790,1605,825,340,11025,304,698,1915,2315,1821,1259,1107,459,98,9975,102,126,390,451,459,457,303,115,22,2426,137,129,456,629,911,1188,1129,451,118,5154,38,20,52,72,102,163,235,152,59,896
SOSR515,439,1316,3175,2761,2386,1925,1806,726,143,14673,227,307,721,811,899,770,476,174,38,4427,258,370,1156,1381,1923,2488,2147,753,145,10624,92,56,154,234,271,446,564,365,121,2295,28,18,63,80,123,181,363,447,194,1482,4,4,44,28,48,45,43,32,17,262,325,320,898,876,912,812,627,384,152,5305,1365,2396,6211,6163,6554,6664,6024,2884,804,39075,490,1411,4009,3605,2765,2364,1754,657,188,17244,158,203,641,693,852,1016,603,181,40,4374,174,288,847,1016,1484,2166,2247,820,267,9309,78,48,91,149,206,289,422,315,123,1710,24,16,41,63,88,136,258,376,211,1211,4,7,25,23,30,32,36,31,21,212,270,307,754,711,677,629,587,429,239,4604,1195,2272,6408,6258,6104,6623,5898,2804,1094,38664,928,2728,7188,6366,5152,4295,3556,1385,330,31918,386,508,1364,1504,1756,1783,1078,352,77,8801,434,659,1999,2394,3409,4650,4393,1576,415,19934,166,103,250,383,476,731,982,679,244,4005
SOSR521,191,494,1124,1031,905,822,750,284,56,5661,81,115,286,282,331,325,193,80,9,1705,142,150,500,594,845,1273,1023,344,70,4937,32,25,71,86,131,207,272,129,44,1001,20,17,32,47,62,113,217,212,84,803,0,4,7,5,13,4,9,20,3,74,92,162,518,501,573,533,393,209,47,3036,572,976,2530,2540,2865,3280,2860,1279,317,17222,208,497,1358,1300,1064,1015,672,292,70,6475,62,81,267,282,325,422,218,77,14,1750,102,123,386,452,727,971,975,344,97,4178,27,24,59,69,101,163,209,130,45,824,22,23,37,24,39,73,146,152,93,604,0,0,7,8,3,13,18,15,9,69,90,119,354,318,322,390,341,215,90,2237,511,867,2471,2454,2582,3043,2570,1226,423,16142,397,996,2488,2332,1963,1836,1422,575,127,12137,147,197,551,563,651,749,414,164,25,3461,242,274,883,1042,1575,2239,1997,693,173,9114,62,45,131,151,234,375,480,256,87,1824
SOSR522,125,292,657,576,498,537,559,192,38,3454,56,75,219,192,213,174,133,41,7,1109,100,147,337,361,483,661,572,220,40,2918,41,23,55,78,86,129,153,85,19,663,22,17,34,41,52,81,125,129,45,546,5,4,5,3,11,15,9,8,0,64,59,62,177,202,224,242,259,123,27,1372,405,616,1477,1450,1555,1828,1807,798,179,10115,132,360,793,643,527,619,485,163,47,3766,41,82,181,202,201,241,156,40,7,1152,83,100,234,288,403,589,525,205,39,2469,28,28,33,55,53,72,92,84,16,469,9,13,28,15,24,58,88,78,33,358,4,4,0,5,10,15,24,15,9,78,53,69,142,137,132,218,210,105,46,1111,360,657,1412,1343,1357,1807,1575,685,199,9398,256,655,1448,1220,1019,1149,1043,349,81,7223,102,155,401,388,408,411,289,81,15,2253,179,245,567,645,890,1254,1094,428,73,5382,69,48,86,133,136,197,247,173,33,1130
SOSR531,1087,3136,7030,7515,7254,6260,4621,1463,191,38545,344,523,1551,1856,2168,1876,1031,330,39,9720,486,804,2793,3355,4884,6246,4289,1348,187,24383,104,73,256,405,590,899,1041,501,103,3970,35,24,112,130,220,358,711,621,198,2402,12,13,35,72,121,96,45,54,26,465,447,1306,4643,4671,4563,3459,1527,557,102,21274,2510,5874,16407,18008,19795,19191,13258,4871,842,100763,1069,2595,6022,6772,6806,6405,3926,1119,206,34909,187,250,721,988,1590,2042,986,259,33,7054,255,279,985,1366,2794,3975,3564,1142,215,14572,79,36,101,132,241,483,618,377,100,2176,20,15,47,58,115,179,370,393,162,1356,3,10,15,24,28,29,28,38,14,186,372,614,1519,1314,1488,1375,1025,467,85,8252,1978,3792,9401,10661,13068,14482,10520,3788,820,68501,2152,5725,13044,14292,14061,12660,8548,2581,391,73453,531,776,2269,2846,3760,3916,2015,590,77,16771,741,1082,3776,4725,7679,10226,7853,2486,403,38956,185,111,351,536,836,1378,1656,876,209,6141
SOSR579,0,37,164,325,243,122,47,6,0,942,0,3,33,72,81,43,8,0,0,246,6,7,31,96,118,83,22,3,0,366,0,0,5,5,8,10,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,6,28,190,414,378,198,35,4,0,1263,13,81,430,908,839,449,117,15,0,2854,7,19,53,29,29,38,22,7,0,198,0,0,3,0,0,7,3,0,0,22,0,6,0,0,4,7,12,3,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,29,20,23,24,12,5,0,124,8,36,89,49,60,77,61,17,0,392,5,59,216,349,273,156,75,7,0,1134,0,3,43,74,83,53,13,0,0,272,6,9,31,95,129,92,39,10,0,402,0,0,7,3,8,8,0,0,0,38
