SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR501,148,473,1479,3160,6111,11091,14825,10769,3990,52041,12619,9114,9692,9781,8092,6267,5033,2733,872,64198,213,253,518,1036,2047,4666,8109,6433,2244,25515,4,18,21,44,100,287,932,2217,1968,5584,304,604,1240,3328,6804,10843,13607,8527,2377,47632,273,251,460,1084,3539,8541,13648,10975,4302,43074,202,152,243,482,699,1211,1874,2056,1037,7967,271,161,254,469,1117,2590,4408,3833,1438,14536,4016,9132,12002,11573,10490,8356,5484,2570,975,64597,48,59,103,295,638,1387,2428,2589,1172,8713,9422,5904,5977,7439,9378,10636,9683,5308,2371,66128,161173,92497,100712,99327,78439,55419,31131,11753,2729,633176,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,215,791,2259,4895,11128,19964,26622,20365,10048,96289,8740,9863,13175,13227,11835,10690,9124,5016,1835,83514,171,229,667,1859,4081,6351,7945,5441,2203,28945,12,21,16,28,56,259,857,2808,4098,8152,298,663,1309,2847,5262,8577,10775,7133,2912,39772,211,231,327,704,1760,4080,7223,7670,5174,27378
SOSR511,8,32,75,160,294,538,723,491,144,2454,751,346,389,367,325,233,222,129,33,2801,7,9,18,38,70,214,329,224,78,982,0,0,0,4,0,11,35,106,81,240,19,26,52,107,295,438,601,338,94,1961,12,14,19,49,119,313,522,421,176,1644,9,5,15,17,41,50,67,86,42,325,11,8,13,17,48,127,210,190,50,674,217,380,475,465,456,414,289,113,44,2859,0,0,9,3,26,57,105,88,38,337,399,221,192,259,315,447,357,197,75,2469,5859,2911,2859,3009,2621,2041,1144,456,103,21014,608,446,530,506,466,358,238,131,64,3352,7719,4224,4376,4645,4493,4249,3369,1790,561,35427,17,33,116,265,622,1024,1227,830,412,4541,462,414,505,587,490,481,400,193,64,3609,3,6,30,69,159,267,338,224,86,1180,0,0,3,0,9,14,42,117,175,365,14,30,64,125,220,376,473,284,126,1710,9,11,13,30,66,167,282,303,207,1086
SOSR512,13,30,92,225,471,868,1166,836,352,4054,955,584,530,548,475,505,370,198,69,4232,11,8,37,50,146,321,583,445,170,1770,0,0,0,7,10,18,74,201,153,459,24,30,89,182,444,823,918,622,171,3311,20,9,31,48,218,564,895,772,360,2922,16,5,19,25,52,103,162,150,91,630,13,8,16,15,75,229,381,295,112,1144,246,542,669,652,737,699,443,217,87,4283,0,4,3,11,40,112,168,194,102,628,572,362,307,375,502,644,571,369,140,3854,8906,4783,4815,4572,4279,3464,2100,803,201,33913,1327,856,1113,1086,951,899,595,303,109,7235,11895,6972,7389,7385,7462,7471,5974,3262,1137,58954,17,42,134,321,822,1476,1851,1499,753,6913,620,615,810,801,827,777,645,393,166,5655,6,4,39,112,252,404,547,401,171,1928,0,0,0,3,11,30,67,229,349,688,10,36,105,189,371,669,780,513,213,2890,8,17,21,47,125,338,516,490,404,1969
SOSR513,3,13,64,109,226,448,492,280,52,1679,451,222,351,383,269,270,171,68,12,2199,4,4,19,45,58,177,239,160,46,753,0,0,3,0,0,13,29,46,31,120,22,26,55,115,264,415,377,178,29,1487,12,9,15,43,113,315,427,272,64,1281,11,6,25,17,31,40,66,43,14,249,16,9,12,9,38,107,127,96,26,442,138,212,320,320,316,291,171,63,19,1857,0,0,0,10,19,46,74,66,15,221,311,118,188,209,294,278,278,124,46,1845,6460,2684,4002,4277,3301,2276,1227,329,44,24603,1285,777,1342,1501,1393,1124,473,195,29,8114,8620,3985,6234,6824,5957,5016,3191,1288,231,41367,5,18,74,153,346,586,704,386,107,2375,318,254,505,462,385,340,278,102,26,2681,0,3,16,77,122,170,182,115,28,723,0,0,0,0,3,5,24,63,74,175,9,16,64,102,185,266,277,140,51,1113,16,12,20,32,85,148,186,169,66,737
SOSR514,0,5,18,49,92,200,302,209,61,938,211,103,107,141,109,99,89,44,16,917,3,4,6,17,24,85,144,111,31,423,0,0,0,0,0,11,21,37,20,89,4,13,12,36,74,157,254,133,21,713,4,0,10,7,45,112,231,170,54,635,3,9,4,8,10,23,40,24,7,125,5,0,3,7,17,59,102,53,21,267,62,108,117,161,162,157,120,44,16,943,0,0,0,3,16,17,53,45,11,153,139,70,60,78,126,145,165,80,39,891,2229,999,1036,1155,1021,802,560,206,44,8062,326,180,204,202,198,175,125,59,28,1504,2944,1453,1518,1751,1709,1620,1593,756,221,13562,3,6,23,84,194,341,490,337,139,1619,144,99,174,195,176,159,157,78,23,1214,4,0,8,33,65,102,141,75,20,439,0,0,0,0,0,0,15,43,56,116,3,3,21,45,79,143,194,96,26,619,7,3,3,10,36,68,131,102,60,418
SOSR515,11,20,81,168,379,820,1196,687,207,3566,605,370,398,411,372,420,363,176,45,3166,3,4,24,36,92,286,556,392,110,1499,0,0,0,0,4,9,46,101,96,264,18,36,64,150,332,697,846,524,120,2798,24,4,25,57,216,495,924,625,198,2572,11,3,11,17,46,92,117,125,49,473,17,12,11,24,67,208,325,255,63,993,167,352,424,498,513,547,391,164,46,3108,5,3,4,10,39,70,168,140,54,501,389,204,206,288,406,539,564,287,103,2992,7346,3386,4205,3897,3756,3097,2129,690,146,28666,1403,788,997,989,1036,907,648,342,113,7230,9868,5057,6217,6165,6560,6667,6025,2885,804,50244,16,34,83,243,617,1251,1729,1040,439,5457,429,400,591,617,627,673,624,250,75,4285,9,4,35,72,181,328,465,308,84,1485,0,0,0,3,9,10,64,127,179,398,15,30,66,128,318,511,644,336,133,2177,13,13,16,39,113,252,451,365,199,1470
SOSR521,6,10,25,77,147,404,621,324,85,1699,255,132,173,180,154,181,185,82,10,1363,0,0,13,8,33,142,247,177,46,662,0,0,0,3,3,5,23,31,29,103,8,19,35,67,169,283,446,217,48,1287,6,14,6,27,87,258,427,270,77,1172,4,0,9,7,17,36,68,54,14,215,3,0,7,16,32,116,211,132,28,541,85,123,175,222,207,272,225,74,21,1397,0,0,0,7,11,49,78,69,18,242,141,78,67,111,161,280,268,106,36,1251,2774,1339,1559,1458,1514,1430,909,298,62,11345,533,298,570,534,601,558,399,177,37,3702,3769,1946,2531,2545,2865,3280,2863,1281,317,21405,3,13,45,103,262,577,795,438,176,2413,165,146,207,226,262,309,293,122,31,1764,0,5,7,41,71,167,191,117,39,638,0,0,0,0,0,9,17,38,55,135,5,9,32,68,161,255,302,148,44,1029,11,14,12,26,60,134,217,157,88,715
SOSR522,6,3,9,32,94,225,351,190,40,953,104,68,89,103,110,102,130,51,8,769,3,3,3,13,19,89,140,117,20,402,0,0,0,0,0,4,19,18,11,62,5,10,18,59,113,210,264,140,27,858,3,3,12,25,53,154,277,176,48,744,4,0,0,6,14,21,29,23,12,105,6,0,0,3,19,60,120,76,18,300,40,74,85,117,131,135,116,39,12,753,0,0,0,3,4,33,54,36,10,151,85,43,40,77,114,168,164,64,11,768,1615,906,1060,885,861,814,611,195,37,6974,340,159,208,225,256,266,242,105,21,1823,2175,1234,1478,1448,1563,1832,1807,796,179,12517,4,6,21,56,132,326,447,234,64,1289,53,70,112,121,144,180,184,52,16,936,0,0,5,10,34,93,114,65,15,340,0,0,0,0,4,5,12,24,21,63,6,12,25,65,130,192,172,88,22,707,10,9,10,23,37,81,124,81,38,410
SOSR531,7,57,132,337,844,1919,2318,1084,217,6917,863,612,810,1006,943,908,703,260,46,6143,11,26,35,85,260,692,1117,621,110,2951,0,4,0,4,8,20,48,133,47,265,28,51,112,248,734,1276,1495,676,102,4726,22,21,40,85,415,1146,1714,1009,215,4667,14,12,24,37,85,157,192,158,48,730,17,13,14,26,123,362,602,359,64,1579,297,504,652,834,1042,1053,713,228,28,5356,3,5,8,18,61,142,276,198,54,766,532,351,368,581,865,1264,1056,403,85,5514,11194,7030,8864,9662,10407,9150,5111,1452,209,63077,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,10,49,152,378,1104,2433,2843,1274,325,8555,566,573,697,886,1124,1192,942,335,62,6374,15,11,33,131,361,738,803,361,61,2509,0,5,0,7,6,29,68,120,108,341,18,38,75,161,382,678,843,421,108,2736,15,15,33,50,153,432,708,521,163,2091
SOSR579,0,0,5,10,26,25,13,4,0,83,0,0,17,34,19,17,5,0,0,96,0,0,0,0,5,12,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,4,4,0,34,0,0,0,0,5,13,13,3,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,13,0,0,9,21,9,6,0,3,0,57,0,0,0,0,0,0,0,0,0,5,0,0,3,9,21,11,0,3,0,48,0,58,202,419,365,180,32,0,0,1267,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,0,0,5,0,0,5,13,0,0,27,0,3,5,0,4,0,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
