SOSR_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOSR501,776449,836033,1612479,374911,222641,597549,113715,235729,349444,26004,28949,54953,29765,27552,57316,544400,514862,1059262,197371,286120,483491,5.5,5.4,5.4,70.1,61.6,65.7,66.3,58.3,62.1,49269,48818,98086,14100,27267,41369,129002,169412,298420,69584,89102,158681,172444,96350,268788,10101,14539,24642,10009,18700,28709,192553,129584,322135,788298,829690,1617987,132691,142678,275373,507281,532879,1040162,359322,387930,747250
SOSR511,27709,30211,57919,13243,7136,20385,3157,8611,11774,1047,1030,2081,934,889,1824,18386,17672,36055,7963,11150,19112,5.1,5,5.1,66.4,58.5,62.3,63,55.5,59.1,611,660,1272,310,724,1035,2306,4016,6326,1892,2875,4765,8572,5424,13999,521,860,1379,378,754,1134,9472,7047,16512,27647,29561,57205,5166,5731,10894,18222,19248,37470,12581,14237,26819
SOSR512,47058,49344,96403,21160,12536,33695,5619,12983,18600,1779,1689,3470,1395,1072,2464,29955,28276,58226,13075,17486,30556,4.7,3.8,4.2,63.7,57.3,60.4,60.7,55.1,57.8,1043,1177,2219,490,1226,1718,3494,6300,9793,3008,4753,7756,13524,7307,20837,849,1328,2181,600,1079,1677,14975,9717,24693,43858,46148,90009,9020,9462,18477,28207,29160,57364,21594,23478,45071
SOSR513,32740,29444,62190,15697,8955,24652,2658,6157,8819,1817,1614,3429,733,671,1405,20902,17397,38302,5797,8009,13816,3.5,3.8,3.7,63.8,59.1,61.6,61.6,56.8,59.3,744,923,1666,326,855,1179,2567,4452,7012,2292,2885,5178,9575,3817,13393,409,740,1144,407,570,978,10387,5128,15520,26905,25176,52079,6877,7067,13947,14900,13482,28381,16544,16612,33160
SOSR514,10618,11447,22066,4297,2355,6647,1461,3369,4832,467,419,884,340,284,628,6564,6425,12987,3140,4158,7296,5.2,4.5,4.8,61.8,56.1,58.8,58.6,53.6,56,239,267,506,103,302,409,983,1676,2651,706,1174,1880,2953,1573,4522,159,256,413,179,265,439,3287,2089,5374,10240,10833,21073,2034,2182,4223,6626,6816,13442,4871,5484,10350
SOSR515,40378,39927,80302,16781,9506,26288,3931,8780,12714,2219,1960,4183,1106,890,1993,24039,21140,45182,11490,14665,26156,4.6,4.2,4.4,59.5,52.9,56.3,56.8,50.7,53.8,722,834,1553,378,912,1294,2795,4846,7644,2295,3633,5929,11409,5434,16845,597,970,1565,527,797,1323,12532,7209,19735,36029,35544,71574,7554,7856,15406,23256,22516,45770,17809,18492,36298
SOSR521,17631,16585,34216,6435,3401,9839,1467,3203,4672,886,747,1634,494,414,908,9284,7763,17051,5529,6799,12325,5.3,5.3,5.3,52.7,46.8,49.8,49.8,44.3,47.2,262,320,584,120,303,422,948,1739,2689,943,1296,2239,4327,2023,6351,211,369,580,192,322,506,4732,2713,7444,15087,14575,29664,2839,2812,5651,10383,9918,20307,6498,6506,12999
SOSR522,10341,9638,19979,3548,1908,5459,893,1746,2641,510,434,950,377,281,661,5330,4372,9704,3722,4239,7965,7.1,6.5,6.8,51.5,45.4,48.6,47.9,42.4,45.2,178,199,378,81,188,268,615,987,1602,541,742,1284,2386,1071,3451,144,195,341,122,199,316,2648,1462,4114,9401,8899,18298,1516,1534,3049,6773,6354,13123,3528,3500,7034
SOSR531,103108,70735,173841,44725,17852,62578,9050,17475,26525,5365,3971,9332,1608,1230,2840,60745,40534,101279,22355,22357,44712,2.6,3,2.8,58.9,57.3,58.3,57.4,55.6,56.6,2009,1922,3929,846,1823,2675,7811,10521,18338,6383,7250,13634,26715,9149,35860,1185,1549,2728,1192,1673,2867,29085,12374,41456,79394,63940,143331,12932,10442,23375,57446,46327,103774,31418,24971,56391
SOSR579,2854,392,3249,1339,139,1478,54,20,77,115,31,147,7,0,7,1525,190,1711,87,81,165,0.6,0.5,0.6,53.3,48.1,52.7,53,47.8,52.4,43,16,55,15,15,31,208,68,277,257,34,292,659,43,703,22,9,28,39,4,41,722,57,776,1324,213,1540,286,55,345,925,147,1067,678,129,801
