SOSR_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOSR501,192,2861,17,3072,54916,2666,63,60713,1343,1999,46,3384,56421,3527,190,63523,29372,3335,775,33490,95766,8675,548,138475,71692,2526,2028,76248,56556,7519,388,140711,42542,2947,1118,46599,71411,5739,372,124118,7686,8374,205,16271,85684,4324,397,106670,1362,13341,58,14763,65460,3393,342,83955,250,3467,21,3736,38604,2894,118,45355,36,180,0,216,13237,1891,28,15374,154478,39031,4267,197779,538058,40614,2453,778901,305,4646,46,5000,50409,2620,67,58103,3383,3939,195,7519,52126,3017,187,62845,51030,6363,2512,59909,81084,7486,478,148949,89743,4592,5100,99436,43775,6278,242,149730,41204,8074,1868,51148,75912,4819,262,132138,3462,23865,288,27606,83909,3829,513,115861,945,23115,133,24194,65076,3641,446,93356,219,4230,29,4479,44359,3872,140,52848,35,246,0,280,20840,3421,45,24582,190328,79073,10170,279563,517489,38980,2380,838412,501,7504,72,8076,105319,5289,129,118813,4725,5937,239,10897,108550,6540,379,126375,80407,9700,3290,93390,176844,16159,1024,287428,161436,7122,7123,175687,100330,13795,632,290440,83743,11023,2982,97751,147322,10552,635,256255
SOSR511,13,121,0,130,2044,119,4,2300,121,72,4,192,1584,152,0,1932,1280,124,47,1443,2490,439,14,4384,2459,98,109,2665,1580,400,9,4653,1327,140,37,1509,2669,311,6,4504,226,391,9,621,3395,233,5,4253,43,413,0,454,2720,197,0,3372,10,76,0,86,1595,107,3,1790,0,4,0,4,468,89,0,561,5477,1430,207,7109,18548,2048,44,27749,16,207,0,226,2001,104,0,2329,241,135,15,393,1374,89,0,1860,2137,194,167,2499,1934,262,7,4706,3088,161,243,3497,1313,199,4,5014,1306,389,76,1767,3000,207,6,4978,95,1050,15,1155,3253,180,7,4597,30,673,0,705,2827,160,3,3701,12,100,0,112,1853,156,7,2128,6,8,0,11,762,179,0,949,6926,2918,516,10361,18321,1533,41,30255,25,326,4,357,4047,220,6,4627,364,203,16,586,2955,243,3,3786,3415,315,212,3950,4422,704,26,9091,5548,267,346,6161,2893,600,8,9666,2631,534,118,3274,5673,515,9,9478
SOSR512,7,188,3,198,3200,326,0,3724,160,102,12,276,2645,330,13,3265,1992,187,70,2247,4201,941,26,7421,3441,144,130,3714,2788,885,15,7405,2029,192,66,2288,4461,720,8,7470,401,516,17,926,5867,676,21,7488,51,520,0,575,4922,482,8,5986,15,112,0,123,2866,276,9,3271,0,4,0,4,981,144,4,1137,8098,1964,289,10349,31931,4780,110,47164,27,309,4,332,2877,275,3,3485,366,208,26,600,2228,264,7,3096,3077,317,248,3640,3106,643,28,7419,4419,275,339,5026,2130,600,6,7765,1957,612,109,2680,4833,512,11,8038,160,1341,17,1519,5706,526,11,7767,39,940,11,986,4891,447,14,6334,12,153,0,165,3261,336,5,3763,0,14,0,8,1527,223,4,1766,10048,4162,749,14957,30563,3823,84,49428,30,493,3,526,6073,601,3,7209,526,310,36,871,4882,594,15,6364,5062,505,321,5883,7309,1583,56,14837,7857,417,465,8738,4913,1487,19,15166,3988,805,172,4963,9297,1226,22,15506
SOSR513,21,95,6,120,1598,307,0,2029,89,71,4,157,1420,384,14,1978,1443,142,55,1641,3322,1268,82,6316,2860,118,92,3065,2364,1392,45,6867,1356,149,38,1546,3153,1259,21,5979,201,293,0,493,3494,1033,29,5045,20,253,0,275,2484,434,12,3203,6,57,0,66,1041,183,4,1294,0,3,0,0,192,35,0,231,5998,1179,190,7362,19074,6300,199,32940,18,182,0,206,1325,261,4,1793,183,114,14,317,1233,306,23,1882,2240,232,177,2645,2821,1025,59,6542,3039,190,244,3470,1681,784,12,5948,1025,321,57,1409,2615,675,4,4707,78,638,4,721,2899,566,15,4202,10,384,3,393,2226,361,18,3003,0,69,0,74,941,158,0,1173,0,4,0,6,273,47,0,330,6600,2146,506,9243,16016,4185,131,29578,43,281,3,321,2922,566,5,3815,268,184,25,474,2649,696,40,3860,3681,379,230,4286,6140,2294,137,12858,5897,309,330,6535,4052,2181,51,12809,2388,468,99,2957,5763,1937,25,10684
SOSR514,0,38,0,44,722,94,0,856,35,7,0,43,494,58,8,596,404,44,10,456,889,170,28,1549,887,37,43,969,634,148,23,1768,580,42,19,641,910,154,5,1708,90,128,0,220,1270,134,3,1625,16,188,0,197,1276,115,0,1593,3,35,0,44,645,70,0,760,0,0,0,0,181,46,0,221,2014,522,76,2608,7023,985,62,10676,3,62,0,68,594,66,0,729,58,23,7,81,368,56,0,510,666,84,44,798,725,129,3,1649,1215,71,94,1381,539,148,3,2074,557,127,38,723,1069,144,5,1934,37,359,0,399,1276,115,5,1793,8,298,0,309,1196,100,0,1607,0,40,0,47,700,85,3,834,0,7,0,7,271,65,0,340,2549,1073,188,3805,6735,900,20,11464,11,104,0,112,1315,161,0,1589,85,37,7,125,864,117,8,1106,1070,122,56,1253,1609,297,30,3194,2099,110,132,2351,1176,293,23,3836,1136,169,57,1365,1977,297,3,3643
SOSR515,11,142,5,158,2126,375,3,2656,129,91,7,223,1857,316,101,2503,1708,159,74,1941,3388,887,116,6329,2819,129,132,3081,2239,848,48,6208,1500,184,57,1746,3930,888,22,6586,290,404,14,703,5216,748,12,6681,40,409,0,452,5031,539,14,6038,10,64,0,79,2508,297,4,2890,0,3,0,10,662,129,0,808,6511,1590,284,8383,26963,5028,320,40698,25,251,15,288,1823,334,0,2447,307,168,19,489,1467,317,30,2307,2517,270,216,3003,2657,745,66,6480,3389,219,285,3895,1667,702,15,6277,1299,470,93,1858,3616,635,9,6116,105,1000,18,1121,4945,562,22,6649,21,678,3,705,4728,462,15,5912,14,97,0,107,2371,328,3,2808,0,11,0,11,879,209,0,1099,7672,3157,643,11480,24148,4296,160,40084,40,393,17,444,3944,706,4,5104,439,255,22,713,3328,637,128,4808,4225,430,291,4950,6042,1634,181,12807,6210,342,419,6973,3907,1551,57,12491,2799,653,151,3600,7550,1519,32,12696
SOSR521,11,61,0,71,766,132,0,975,71,50,3,126,683,163,7,983,664,82,28,769,1241,516,21,2552,1011,63,56,1131,923,486,8,2557,535,103,21,663,1644,555,0,2863,130,216,3,345,2450,484,4,3281,24,163,0,188,2314,360,0,2866,0,31,0,35,1069,177,0,1281,0,0,0,0,269,46,0,317,2449,775,116,3342,11364,2927,51,17680,17,102,6,126,680,132,4,946,140,79,10,222,521,129,7,877,973,124,91,1187,946,341,31,2504,1192,118,115,1428,713,308,11,2462,455,248,30,738,1536,308,9,2592,54,421,7,481,2207,357,5,3045,12,300,3,317,1953,298,4,2581,0,47,0,46,994,184,0,1226,0,4,0,4,360,61,0,423,2846,1437,261,4554,9917,2117,67,16650,31,163,7,203,1454,267,4,1925,207,131,16,351,1202,290,20,1866,1634,200,119,1960,2189,861,52,5059,2203,185,169,2560,1643,795,20,5022,997,354,54,1404,3181,864,10,5453
SOSR522,11,82,3,91,440,85,0,620,62,75,10,136,415,63,3,621,392,71,47,514,790,183,22,1503,557,80,57,687,567,196,0,1447,307,78,21,403,944,217,0,1563,56,113,4,180,1420,234,0,1832,18,126,0,143,1423,238,0,1806,3,21,0,24,664,109,0,796,0,0,0,0,141,35,0,179,1397,651,142,2181,6803,1361,28,10373,23,110,3,138,368,85,0,587,118,80,26,225,367,71,11,671,527,88,98,706,572,139,21,1436,600,121,111,833,378,137,7,1350,238,169,29,436,788,130,6,1365,31,279,3,313,1299,198,3,1810,14,199,5,213,1170,192,4,1580,3,27,4,32,553,100,0,685,0,3,3,7,148,46,0,198,1551,1078,283,2907,5643,1088,47,9688,32,186,9,226,809,171,0,1204,176,150,32,362,781,130,12,1292,917,163,141,1222,1361,322,45,2939,1157,196,169,1520,943,330,3,2802,540,247,53,835,1734,348,6,2920
SOSR531,21,213,0,239,3985,575,3,4807,122,173,14,309,4018,1552,59,5940,2833,300,98,3234,7735,5447,174,16591,6486,288,254,7028,5533,5459,100,18116,4282,475,129,4888,9995,4934,64,19874,779,1153,31,1966,13656,3581,48,19251,118,1135,4,1261,10521,1482,28,13287,15,182,3,199,4143,531,5,4877,3,0,0,7,742,86,0,840,14663,3924,546,19126,60339,23641,483,103590,26,385,6,418,3299,473,3,4197,206,239,27,471,2701,623,47,3843,2955,406,217,3574,4282,1544,113,9515,5795,364,441,6593,2755,1321,28,10697,2941,929,141,4013,7566,1486,12,13079,280,2530,27,2837,10317,1333,22,14508,62,1669,10,1740,7852,930,14,10535,18,200,3,225,3191,379,0,3797,5,13,0,15,730,69,4,818,12284,6734,872,19884,42698,8152,251,70987,50,598,6,656,7283,1052,7,8998,328,408,39,779,6717,2178,111,9785,5785,706,311,6805,12017,6991,290,26105,12282,651,689,13619,8294,6780,126,28811,7230,1402,274,8902,17564,6416,74,32959
SOSR579,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
