SOSR_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR501,17103,197730,214831,220888,31492,252384,118339,9548,127893,116451,4915,121361,44592,2047,46638,20774,996,21776,538147,246732,784879
SOSR511,736,7851,8583,8922,1219,10143,4070,295,4372,3819,155,3975,1574,65,1642,732,35,767,19856,9625,29481
SOSR512,1135,13976,15111,13979,2676,16657,6171,711,6888,5450,384,5830,2365,216,2585,1274,101,1376,30377,18069,48447
SOSR513,730,6876,7610,5689,3141,8832,3358,754,4109,3363,574,3935,1656,271,1926,966,149,1109,15765,11761,27524
SOSR514,308,3122,3432,3243,663,3903,1453,174,1632,1378,158,1536,527,59,592,232,31,268,7150,4207,11356
SOSR515,991,11381,12366,10269,3967,14233,4312,766,5075,3883,596,4480,1891,280,2172,1052,197,1252,22399,17179,39577
SOSR521,361,5193,5557,4402,1733,6131,1640,260,1905,1430,224,1652,658,92,744,501,47,546,8983,7551,16534
SOSR522,189,3197,3384,2314,1206,3524,800,161,959,725,103,831,415,53,473,442,51,492,4880,4775,9655
SOSR531,1570,13280,14848,18760,7110,25871,7082,969,8052,6619,896,7507,3380,448,3822,1996,191,2187,39395,22891,62293
SOSR579,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
