SOSR_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
SOSR501,1910,460,535,17,563,202,469,1873,93,6117,8057,15775,13190,409,5142,198,10566,2792,882,57016,8344,5219,15569,782,5537,2636,7243,7158,608,53099,1771,2656,1938,53,1972,218,1418,792,234,11056,10959,6211,39785,369,9570,1311,5862,11784,1008,86856,5122,3442,3272,88,4016,3456,4180,1670,292,25542,13495,4383,4863,935,4855,48609,4418,8996,440,90989,9605,842,9182,19239,1790,8638,1644,14253,350,65550,4423,3573,2132,1607,9386,1329,20505,2143,495,45590,1339,3132,1534,73,1102,1029,117,313,88,8729,3574,9263,319,194,10355,885,57,97,505,25245,2211,1483,767,136,3008,6088,368,635,200,14893,10491,44702,9390,308,11986,790,800,831,640,79931,3034,4006,3183,2409,3741,494,1141,13161,320,31493,7548,14768,4215,14684,14422,229,783,2535,1094,60286,6949,49703,3027,19322,7300,237,145,3052,399,90131,7655,57648,5616,45553,20321,763,1108,4982,898,144548,2848,3410,1481,6061,1659,875,116,1197,192,17845,3501,3594,15987,7804,3930,599,583,3197,253,39442,5770,6627,7208,2379,5863,2537,4658,4967,7592,47593
SOSR511,110,32,48,0,41,11,79,180,3,503,155,239,802,15,110,8,749,130,36,2245,322,245,974,26,219,109,653,655,38,3240,61,68,260,0,80,3,110,84,19,688,298,166,1747,13,373,45,446,674,43,3809,112,48,101,6,90,124,105,36,5,620,465,92,211,33,194,1966,127,460,11,3553,289,9,239,569,71,379,71,651,14,2283,111,54,98,10,269,32,678,85,13,1357,27,75,28,0,21,53,0,11,0,213,38,141,4,0,228,21,0,5,0,440,37,16,27,4,120,181,21,17,0,423,88,524,248,4,254,22,6,27,5,1179,64,97,95,56,66,11,33,445,10,872,141,314,117,356,505,9,24,162,33,1660,176,1501,102,766,212,7,6,164,8,2928,213,1821,202,1938,749,38,43,174,30,5207,44,52,31,104,32,13,0,31,9,328,91,127,648,226,117,25,30,134,16,1410,98,91,253,51,140,55,144,183,244,1263
SOSR512,454,111,114,4,94,27,107,426,18,1368,397,709,1765,34,333,18,2087,308,67,5718,327,140,765,30,207,130,356,423,32,2412,67,48,210,0,90,6,123,66,22,626,447,96,2566,25,506,66,442,685,53,4886,219,113,278,7,182,240,214,65,16,1327,842,140,378,41,307,3227,226,727,16,5908,640,22,592,1099,213,555,98,1214,25,4448,235,139,204,54,453,63,1319,153,28,2662,49,100,47,0,26,62,4,13,5,312,76,195,10,7,330,27,0,4,8,649,79,41,63,3,186,305,34,51,7,784,134,856,424,10,474,30,44,74,17,2071,103,140,177,100,134,15,61,863,4,1604,308,531,202,1010,551,12,69,246,50,2978,345,2547,178,1222,336,10,0,246,27,4918,410,2906,292,2822,1102,48,50,367,45,8049,73,80,64,175,47,26,0,60,5,534,187,144,1198,350,278,45,35,195,13,2433,172,120,428,130,244,124,214,244,396,2076
SOSR513,344,48,63,8,58,30,65,182,14,813,409,585,2098,34,349,15,1349,314,150,5306,160,73,468,19,84,68,142,86,17,1122,76,46,165,4,101,13,140,64,18,630,386,122,1695,15,399,19,457,548,61,3689,146,74,171,0,105,130,158,50,20,858,456,77,180,24,144,1372,96,364,12,2722,423,27,315,493,166,247,37,594,17,2326,292,367,299,79,420,65,925,213,41,2694,32,68,52,0,29,13,7,3,0,202,70,86,4,0,183,13,0,0,7,355,99,24,70,4,126,229,13,43,11,622,132,484,222,8,236,12,26,27,18,1166,103,99,201,72,111,8,57,552,11,1219,331,409,165,715,472,8,53,83,47,2278,254,1610,103,758,252,11,0,131,15,3127,268,1666,143,1247,644,31,21,130,24,4178,80,88,46,103,42,15,3,27,5,420,119,85,653,195,184,39,31,105,11,1421,174,177,341,82,211,77,153,191,347,1758
SOSR514,85,19,34,3,19,12,17,139,3,327,36,77,264,3,24,0,364,53,11,843,137,91,246,35,50,70,82,211,3,921,27,22,133,0,43,5,31,34,8,307,119,27,645,3,102,10,93,203,6,1211,42,22,21,0,32,46,33,11,0,221,208,38,75,16,37,689,37,168,10,1268,264,20,228,342,81,115,11,330,10,1393,34,16,23,13,62,18,167,21,0,350,9,15,14,0,5,6,0,0,0,54,23,49,0,0,77,4,0,0,0,162,19,17,4,0,37,85,7,5,5,172,33,239,78,4,103,3,10,11,6,488,33,24,72,37,29,4,12,230,6,458,69,98,44,162,103,3,31,65,10,574,66,526,34,284,77,3,6,51,0,1047,60,516,37,515,181,15,7,69,5,1408,24,38,14,32,19,8,0,10,0,153,50,20,219,85,50,4,9,46,5,490,61,38,89,42,42,27,48,80,100,519
SOSR515,672,80,234,0,132,46,206,780,23,2168,326,395,1970,46,261,7,2177,271,127,5580,274,104,631,63,163,105,350,709,35,2436,70,49,187,3,68,5,132,93,10,620,346,75,1697,8,361,19,519,584,33,3653,127,86,187,0,112,223,146,77,15,977,570,88,247,30,194,1888,121,479,19,3647,461,13,383,672,163,189,32,685,23,2619,188,176,145,64,360,84,812,127,18,1967,29,52,56,7,21,15,3,6,4,190,64,104,4,0,209,18,0,9,7,415,52,13,47,3,108,195,26,34,10,490,129,559,274,20,260,17,29,31,20,1326,87,132,200,114,123,10,137,645,15,1460,341,527,255,810,615,16,117,250,36,2975,309,1798,159,973,280,8,9,249,15,3802,264,1714,195,1808,667,40,23,258,39,5013,62,103,61,96,46,13,5,41,12,430,89,118,831,209,189,19,24,133,13,1617,148,135,291,105,168,86,165,258,438,1809
SOSR521,331,41,125,4,54,20,103,396,12,1091,152,219,626,26,120,5,818,113,31,2105,118,48,309,17,75,29,162,152,13,920,19,5,68,0,19,0,46,38,4,206,130,35,540,3,123,14,265,249,16,1371,64,32,81,0,59,84,56,24,0,400,176,39,92,19,52,602,29,134,10,1150,232,5,151,229,55,59,18,314,8,1074,84,30,35,24,129,26,384,33,9,749,0,19,16,0,10,7,0,5,0,61,24,20,0,0,56,5,0,0,7,106,8,7,12,4,39,55,10,5,0,139,48,168,56,3,97,0,7,16,4,403,27,41,70,27,42,11,38,233,4,485,161,142,101,326,259,6,116,165,26,1294,135,653,51,372,71,0,4,116,0,1408,87,580,61,669,198,9,11,89,10,1712,29,40,21,21,15,7,4,16,0,152,50,37,256,56,60,7,12,45,5,532,68,64,116,37,69,29,92,88,208,770
SOSR522,324,52,91,0,46,8,73,305,8,898,63,102,234,6,50,3,334,61,10,866,52,32,126,0,37,18,82,68,3,424,10,3,54,0,10,0,16,25,6,126,52,8,287,0,48,8,149,97,4,647,42,21,33,0,27,51,27,15,6,223,127,18,46,12,14,266,11,53,11,563,168,10,102,153,47,31,8,141,5,654,67,27,26,11,71,18,235,24,3,492,0,7,8,0,5,3,0,0,0,24,10,21,0,0,32,0,0,0,0,66,7,0,7,0,11,13,7,3,3,54,21,115,27,0,50,0,4,3,6,230,37,22,37,33,27,13,9,93,9,284,105,79,82,165,163,3,109,108,6,823,95,425,48,265,62,0,9,81,8,980,46,310,36,321,92,9,3,36,0,862,19,52,8,22,14,0,0,19,0,141,34,24,138,39,27,6,4,33,0,308,32,29,51,20,23,16,35,45,140,385
SOSR531,10827,267,627,35,670,88,685,3144,108,16453,1366,2421,5994,209,723,22,6852,1165,176,18926,779,338,1283,84,425,181,526,596,54,4266,124,90,257,3,119,9,159,93,20,877,979,371,3838,16,865,51,1651,1429,96,9299,406,193,381,0,293,359,272,129,32,2068,855,167,415,56,283,2476,147,468,24,4892,980,65,690,1027,273,347,140,1321,37,4881,418,222,223,76,571,75,1640,145,35,3407,62,79,85,7,41,31,4,9,0,317,148,295,8,3,348,34,5,9,22,873,154,67,102,11,168,373,50,110,7,1042,375,1633,588,14,647,22,65,81,23,3449,247,157,462,162,203,29,201,975,27,2462,606,743,516,1129,869,25,212,324,60,4481,584,3022,323,1520,473,8,21,250,32,6232,352,2715,265,2176,1004,28,31,209,48,6829,154,303,166,212,89,25,20,129,11,1113,274,146,1587,321,346,45,46,179,23,2977,511,269,561,145,373,135,359,421,832,3611
SOSR579,11,21,15,0,0,0,0,61,0,106,35,82,275,3,20,0,58,57,9,533,3,3,24,0,0,0,0,0,0,44,7,14,9,0,0,0,11,11,0,50,12,21,106,0,0,0,28,46,5,218,0,5,11,0,0,0,0,3,0,27,3,0,3,0,0,4,0,3,0,10,0,0,22,0,0,0,0,29,0,62,9,61,25,19,6,0,36,46,3,204,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,32,15,0,5,0,0,8,0,55,0,7,26,6,0,0,0,18,0,64,0,0,3,7,0,0,0,3,0,25,0,5,0,0,0,0,0,0,0,12,4,7,0,3,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,11,8,44,83,11,4,0,27,64,7,242
