SOSR_CODE_2021,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_3499_15_19_yr,F_3000_3499_20_24_yr,F_3000_3499_25_34_yr,F_3000_3499_35_44_yr,F_3000_3499_45_54_yr,F_3000_3499_55_64_yr,F_3000_3499_65_74_yr,F_3000_3499_75_84_yr,F_3000_3499_85_yr_over,F_3000_3499_Tot,F_3500_more_15_19_yr,F_3500_more_20_24_yr,F_3500_more_25_34_yr,F_3500_more_35_44_yr,F_3500_more_45_54_yr,F_3500_more_55_64_yr,F_3500_more_65_74_yr,F_3500_more_75_84_yr,F_3500_more_85_yr_over,F_3500_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr_over,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot
SOSR501,8391,6453,5666,5921,4784,6065,6794,3475,1163,48720,3498,6091,6688,6789,6358,8295,15252,10149,2779,65890,2345,5556,7258,7145,6636,7918,15853,13082,6941,72741,2084,7238,11546,10914,9402,9002,11066,6897,3129,71285,1222,6715,12717,12153,10264,8664,7201,3675,1429,64045,777,7089,15396,13779,12603,9597,5421,2217,930,67803,342,5938,17840,15471,14239,11233,4428,1293,481,71266,154,3578,14773,12330,11189,8295,2665,661,237,53874,68,1738,12662,11111,10084,7131,2047,595,271,45715,18,565,8011,8139,7441,4887,1291,303,98,30763,27,535,9326,13783,12804,7632,1759,413,166,46458,11,82,1349,2623,2435,1483,425,178,61,8632,30,91,1156,3976,4335,2302,845,421,143,13304,2712,3264,7725,6497,5307,4336,4531,4895,4972,44244,67,187,478,242,262,513,446,140,45,2380,58103,62845,148949,149730,132138,115861,93356,52848,24582,838412,49175,10254,17701,18071,14472,20003,15568,5571,1966,152792,25738,5650,4158,4631,3744,5440,6072,2329,798,58569,15101,12086,8890,8198,7265,9404,11548,6191,1964,80646,6197,11058,11198,10042,9931,13277,26902,19948,5873,114426
SOSR511,296,133,221,227,190,278,249,127,37,1760,129,120,268,283,259,390,778,477,114,2826,106,122,306,321,293,378,726,587,291,3125,131,228,440,489,431,385,482,277,129,2992,95,254,478,523,542,394,286,157,68,2794,49,308,585,579,566,426,201,79,32,2824,20,206,523,522,604,429,145,45,16,2508,6,112,370,376,407,296,61,13,6,1657,0,63,283,309,353,221,63,17,7,1321,5,17,182,215,221,157,30,5,3,834,0,19,171,302,323,223,28,5,3,1081,0,6,25,42,40,28,4,8,6,153,5,3,28,61,71,45,26,3,0,239,109,99,254,223,203,198,178,175,182,1620,0,0,7,4,6,7,3,7,0,41,2329,1860,4706,5014,4978,4597,3701,2128,949,30255,1665,225,525,471,443,767,491,164,62,4810,1068,79,156,176,127,210,190,78,13,2106,506,229,325,317,268,398,456,229,69,2791,230,231,423,407,398,598,1386,946,252,4871
SOSR512,458,187,334,344,271,398,431,249,109,2780,175,189,360,361,390,575,1195,780,214,4239,171,195,440,461,438,600,1107,902,424,4735,194,357,659,697,675,672,814,514,243,4826,151,416,699,770,783,652,471,280,80,4303,122,414,733,808,838,753,350,139,67,4228,45,370,817,835,967,777,267,83,28,4195,13,211,583,623,689,512,158,44,22,2845,17,122,547,505,622,442,96,46,30,2422,4,47,313,388,445,291,69,19,4,1585,8,39,364,518,618,385,100,17,8,2063,0,0,55,76,101,62,25,4,3,325,4,6,47,102,127,86,39,26,5,435,258,266,651,596,535,553,504,436,417,4217,3,7,28,6,11,11,14,5,4,84,3485,3096,7419,7765,8038,7767,6334,3763,1766,49428,2170,363,774,646,571,1057,778,276,109,6740,1609,112,207,207,179,326,381,133,88,3241,846,352,540,508,420,647,797,423,184,4702,305,332,596,567,596,955,2123,1586,479,7531
SOSR513,205,92,214,170,116,154,212,59,8,1213,79,96,219,245,206,263,454,207,42,1806,65,113,218,236,166,215,397,248,93,1745,71,130,362,379,248,275,292,141,36,1935,67,173,417,395,331,246,203,72,16,1917,48,221,563,515,369,322,160,51,9,2260,45,219,632,575,484,384,147,34,3,2517,13,168,529,505,389,290,104,17,4,2008,14,100,566,438,361,280,83,15,4,1859,9,50,470,341,297,191,65,9,4,1435,0,54,491,581,539,289,78,16,4,2056,0,9,94,107,63,61,23,8,0,362,4,9,87,157,123,78,47,23,0,526,256,317,1007,774,680,602,392,204,95,4316,4,23,59,12,4,15,18,0,0,131,1793,1882,6542,5948,4707,4202,3003,1173,330,29578,1236,187,609,500,375,607,400,108,14,4032,692,45,123,130,82,135,147,53,9,1420,373,164,292,226,206,245,342,111,18,1992,151,157,317,338,324,423,856,449,81,3094
SOSR514,64,21,73,101,77,121,112,56,10,648,32,35,103,109,114,185,282,173,32,1061,39,37,122,135,146,146,314,200,121,1265,42,62,168,219,174,175,214,105,31,1188,29,74,159,264,202,135,110,66,16,1057,9,98,211,235,228,144,78,35,8,1048,8,42,171,239,220,160,78,18,9,937,0,28,136,136,143,109,39,9,0,604,5,10,82,98,117,82,22,8,6,431,0,0,47,72,82,49,8,3,0,257,0,3,58,102,108,73,26,3,0,383,0,0,8,16,13,13,0,3,0,56,0,3,3,14,26,25,7,4,0,88,64,48,136,150,140,128,126,92,86,962,0,0,3,3,5,5,0,3,0,20,729,510,1649,2074,1934,1793,1607,834,340,11464,533,61,144,139,139,250,215,51,11,1540,407,32,57,83,47,69,89,34,15,833,134,59,119,139,131,175,198,101,23,1084,66,73,156,154,180,288,559,364,69,1908
SOSR515,222,136,296,279,247,380,432,165,52,2214,120,156,281,355,369,544,1207,596,121,3751,103,132,318,343,349,543,1026,670,292,3786,134,207,527,548,476,552,677,350,129,3608,105,260,563,531,548,492,440,193,53,3174,57,275,615,597,620,521,267,109,47,3118,35,247,668,596,625,602,244,56,13,3081,14,172,501,461,438,387,130,33,3,2148,5,94,453,394,398,310,88,27,20,1790,3,35,269,305,294,232,72,12,3,1221,7,46,357,433,459,350,99,19,5,1771,0,11,68,70,77,51,15,12,4,302,3,0,48,98,95,87,36,12,6,391,323,300,751,690,654,626,524,385,279,4520,0,30,66,15,9,22,15,3,0,160,2447,2307,6480,6277,6116,6649,5912,2808,1099,40084,1762,274,681,548,477,985,804,220,88,5834,924,102,171,172,163,316,323,104,36,2322,434,275,448,454,401,614,778,333,108,3841,206,242,436,504,592,936,2184,1300,300,6691
SOSR521,88,87,172,156,161,230,168,68,23,1150,53,63,159,149,190,261,537,234,55,1692,38,54,140,146,177,257,448,310,106,1671,58,83,225,219,215,223,260,129,47,1463,36,101,225,212,186,201,189,77,26,1263,21,76,211,223,246,219,103,37,20,1166,17,63,198,214,252,231,81,26,9,1088,0,59,162,144,153,175,47,20,3,762,0,26,125,153,136,149,46,22,5,658,0,16,84,82,96,89,24,4,3,400,0,14,106,135,150,151,27,4,5,606,0,0,17,25,27,21,7,4,0,105,0,4,16,27,39,26,18,3,8,134,135,139,345,331,314,375,326,205,81,2253,4,7,31,11,9,5,4,0,0,67,946,877,2504,2462,2592,3045,2581,1226,423,16650,703,119,279,212,240,468,359,98,28,2507,255,47,82,90,82,157,138,51,7,905,188,184,294,262,281,375,338,145,39,2100,82,128,264,243,338,462,998,540,133,3185
SOSR522,84,114,160,173,159,146,133,48,11,1019,38,80,163,132,124,180,276,155,19,1163,24,40,74,85,68,139,272,180,64,952,29,63,130,119,85,141,166,67,26,821,22,42,102,124,109,120,108,37,13,680,13,59,101,90,122,148,77,22,5,645,9,44,125,100,115,128,51,14,3,585,0,35,93,70,74,90,37,7,0,407,0,25,68,70,65,71,19,12,0,321,0,7,46,53,54,57,10,5,0,240,0,13,60,74,95,107,39,5,0,379,0,0,7,10,11,11,9,0,0,62,0,0,7,22,20,24,14,0,0,79,93,83,169,152,139,205,217,99,47,1207,0,11,21,7,6,3,4,0,0,47,587,671,1436,1350,1365,1810,1580,685,198,9688,436,73,100,70,110,260,194,34,10,1297,116,32,53,46,29,89,101,34,7,511,174,234,359,331,292,248,233,105,19,2003,63,142,262,221,222,325,570,339,50,2191
SOSR531,424,263,464,542,547,813,772,275,64,4170,200,203,438,528,591,1021,1799,746,129,5650,180,198,447,548,628,891,1331,732,227,5197,195,329,586,780,909,1065,1104,459,74,5503,138,371,595,776,957,1049,790,240,51,4972,93,394,725,877,1095,1120,645,185,33,5166,70,375,865,916,1239,1246,463,118,13,5314,36,273,718,750,900,919,271,68,11,3951,12,170,654,705,899,804,246,54,11,3562,9,98,468,496,730,564,175,42,7,2584,3,163,747,867,1148,927,241,46,9,4149,0,13,139,190,235,186,65,11,5,838,3,12,109,253,345,284,123,34,8,1169,490,648,1585,1386,1601,1484,1082,475,81,8829,3,47,113,28,12,22,14,0,4,251,4197,3843,9515,10697,13079,14508,10535,3797,818,70987,3158,362,849,989,1367,2409,1736,431,100,11397,1602,192,300,388,408,716,732,245,52,4627,792,513,724,834,851,1341,1492,550,129,7227,374,374,666,789,958,1665,3524,1712,304,10354
SOSR579,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,6,3,0,13,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,5,8,0,0,20,3,3,7,3,0,3,3,0,0,28,0,4,6,0,8,3,3,0,0,37,0,6,6,0,0,0,0,0,0,25,0,4,6,3,4,4,0,0,0,17,0,5,7,10,6,3,0,0,0,32,0,0,0,0,3,0,0,0,0,10,0,0,9,3,7,13,3,0,0,39,3,14,28,20,21,28,11,8,0,127,0,0,3,7,0,3,0,0,4,16,8,37,94,55,57,86,61,17,3,405,0,0,0,0,0,8,12,0,0,21,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,4,0,0,0,12,0,0,5,4,3,9,5,0,0,26
