SOSR_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
SOSR501,313,573,4527,3107,637,6139,2075,8759,418,26535,1638,5340,11736,5911,2521,5736,4754,8021,929,46594,10416,26496,30155,8364,6704,5567,12508,11482,2416,114114,20461,30131,27953,6457,7163,4180,12830,8786,2258,120217,20705,22752,22697,5293,6312,3836,11859,7651,1899,102999,14400,15658,16252,3879,5292,3128,10644,6668,1274,77192,4146,5747,3950,1037,1675,1384,2945,2355,442,23675,625,907,304,88,227,212,219,353,137,3075,36,52,10,4,24,22,4,20,50,232,72739,107662,117579,34132,30551,30204,57837,54096,9831,514630,346,676,966,7868,1687,12552,410,3751,391,28647,2030,7447,2910,13772,7156,8965,914,3064,653,46913,9836,37446,7213,19309,18946,8054,1925,5679,1675,110078,12901,37259,5913,17362,21626,6553,1707,6012,1544,110875,12021,28177,4739,16122,22647,7139,1758,6699,1258,100554,7061,17495,3131,11325,18485,5941,1297,5533,828,71099,1518,4381,696,2401,4969,1569,295,1436,256,17523,153,339,48,140,427,124,23,157,112,1516,6,13,6,0,24,9,0,10,40,99,45870,133228,25616,88306,95967,50909,8321,32336,6752,487315
SOSR511,4,9,259,76,15,269,76,411,26,1143,31,68,520,82,44,117,209,353,23,1446,237,402,1277,148,94,168,513,564,70,3479,440,525,1206,161,141,107,662,452,83,3782,494,538,1036,167,171,131,677,372,72,3662,372,452,771,134,158,115,631,330,43,3005,118,155,167,42,52,42,170,86,16,846,23,12,3,6,3,9,18,6,5,82,0,0,0,0,0,3,0,0,0,4,1713,2169,5240,821,674,965,2953,2587,338,17452,15,16,43,325,81,583,19,193,19,1290,70,161,113,383,218,214,37,140,19,1351,217,816,253,583,587,344,72,293,35,3211,317,980,218,700,706,335,77,366,51,3750,329,841,220,761,832,361,84,382,51,3844,213,574,114,512,648,269,62,281,22,2691,50,142,24,92,143,42,16,72,13,588,8,10,0,7,4,3,0,8,0,42,4,0,0,0,0,0,0,0,0,3,1215,3535,989,3361,3229,2147,368,1733,203,16784
SOSR512,21,23,544,142,30,468,112,612,32,1968,69,123,973,140,55,221,282,488,36,2383,395,717,2091,302,157,266,849,774,95,5649,809,803,1789,332,182,235,883,631,100,5767,870,814,1535,391,217,243,1104,546,117,5837,787,690,1162,330,248,210,1084,550,88,5150,298,220,285,88,69,76,323,177,34,1567,47,34,25,5,15,17,19,28,14,203,8,0,0,0,0,0,0,4,6,23,3307,3428,8409,1733,965,1730,4660,3805,525,28560,22,33,109,573,109,843,38,280,24,2033,79,335,197,567,323,336,85,224,25,2176,356,1373,380,962,903,462,177,388,50,5049,550,1451,291,1087,1114,480,166,472,65,5663,650,1416,313,1144,1270,552,207,576,67,6200,454,933,196,872,1086,508,138,529,57,4768,131,214,46,178,315,121,25,147,23,1199,22,20,4,10,25,10,0,13,8,104,5,0,0,0,0,0,0,0,5,11,2270,5772,1536,5394,5139,3312,829,2625,327,27205
SOSR513,16,11,235,70,14,217,62,270,27,922,50,67,534,82,35,86,148,245,30,1277,365,644,1734,240,158,134,601,555,120,4550,711,690,1764,248,217,121,734,432,155,5063,676,540,1262,216,182,110,779,339,135,4236,521,433,773,143,151,106,686,298,61,3167,180,124,154,38,52,36,150,86,23,846,40,17,4,5,7,8,12,12,9,102,4,0,0,0,0,0,0,0,0,5,2543,2522,6459,1033,818,824,3172,2231,567,20171,8,14,57,187,98,328,23,130,28,880,56,196,86,279,242,157,57,104,26,1191,410,1165,323,675,804,318,173,335,57,4250,483,1038,246,725,910,265,112,321,84,4192,441,687,163,548,750,260,115,290,43,3297,301,471,96,342,545,226,68,223,36,2302,100,125,22,62,138,40,11,52,10,562,13,6,0,10,6,8,3,8,0,52,0,0,0,0,0,0,0,0,0,3,1801,3710,998,2823,3491,1602,550,1463,284,16732
SOSR514,0,5,89,42,6,100,13,141,4,406,19,13,174,29,4,31,35,123,5,427,111,103,459,71,33,41,117,232,21,1177,182,206,459,75,37,39,165,201,32,1399,203,192,398,54,30,57,202,164,25,1335,161,124,253,52,34,48,213,145,29,1060,67,64,55,10,20,25,72,43,9,367,9,8,5,4,0,0,8,7,3,43,0,0,0,0,0,0,0,0,0,5,759,718,1896,340,169,342,823,1052,128,6221,3,4,27,116,13,136,8,65,8,388,14,26,27,105,49,70,10,52,9,354,108,244,91,242,145,101,32,122,8,1101,192,370,101,292,242,149,30,148,19,1543,177,288,78,274,285,153,30,159,13,1454,113,188,56,160,198,132,22,122,12,999,25,58,14,45,62,39,6,29,3,277,3,9,0,5,8,4,0,3,0,31,0,0,0,0,0,0,0,0,0,0,645,1190,388,1234,990,787,132,699,74,6139
SOSR515,15,12,300,96,16,236,70,377,32,1153,50,141,662,94,36,92,183,356,28,1644,361,497,1718,293,115,166,662,793,108,4715,574,524,1504,258,154,102,867,574,120,4680,710,544,1284,236,166,151,1078,533,122,4819,607,445,1007,244,171,138,1018,533,103,4270,289,178,239,83,59,65,287,188,35,1422,79,18,21,4,15,15,15,37,15,219,0,0,0,0,0,0,0,0,7,14,2697,2368,6728,1297,744,969,4175,3392,572,22937,12,15,61,323,78,387,28,184,27,1113,56,201,124,356,243,182,78,173,28,1444,340,1059,349,771,745,290,189,425,70,4222,464,997,291,730,840,340,203,456,56,4375,494,829,258,742,863,372,192,499,72,4326,390,666,189,670,755,349,121,464,54,3667,147,188,42,135,212,91,30,105,24,976,24,10,4,6,14,13,0,17,10,114,0,0,0,0,0,3,0,0,0,7,1923,3964,1318,3734,3755,2040,845,2328,338,20248
SOSR521,5,4,112,19,3,58,33,132,15,382,24,44,203,24,10,44,91,144,11,593,157,170,539,110,38,40,304,244,35,1636,210,188,525,109,41,34,332,169,43,1659,281,195,466,97,54,39,413,223,53,1824,305,195,408,101,93,52,514,231,45,1943,146,62,95,19,27,28,155,86,22,639,41,8,3,6,3,5,10,12,6,90,7,0,0,0,0,0,0,0,0,12,1164,877,2359,496,270,304,1856,1233,237,8788,6,3,24,83,25,90,9,95,14,350,23,59,32,98,82,63,28,66,9,451,97,306,93,262,260,90,62,185,24,1387,179,312,96,274,285,102,67,156,31,1490,199,306,95,296,307,137,75,218,17,1651,190,277,90,261,311,150,55,205,18,1553,65,74,14,62,66,35,21,52,17,412,17,3,0,3,12,4,6,14,3,57,0,0,0,0,0,0,0,0,0,0,770,1342,449,1340,1334,678,319,991,128,7350
SOSR522,4,7,57,12,7,16,14,44,7,168,19,18,111,30,4,15,42,83,10,336,96,119,281,69,16,29,155,162,31,953,173,113,238,46,20,19,180,114,21,921,193,105,231,64,28,19,208,141,26,1014,209,104,207,51,42,35,274,126,26,1067,98,48,67,7,23,14,87,54,13,405,32,16,0,0,5,0,10,12,3,75,4,0,0,0,0,0,0,0,0,8,817,528,1189,288,147,146,968,724,145,4951,3,5,14,56,13,45,0,42,5,177,18,44,20,89,51,33,16,41,5,320,61,190,54,164,133,41,29,87,10,774,108,189,58,118,151,63,22,74,13,787,121,150,42,161,149,72,25,91,16,829,139,190,41,155,158,56,43,111,20,912,45,54,14,29,56,14,12,28,7,258,5,5,0,8,7,0,0,3,4,29,0,0,0,0,0,0,0,0,0,0,496,822,245,773,715,327,146,475,79,4089
SOSR531,80,26,629,133,21,310,183,755,61,2216,258,245,1258,219,69,174,603,830,55,3716,1296,1285,3391,327,160,153,1847,1427,141,10028,2468,1263,3650,279,225,170,2268,1134,176,11632,3438,1377,3549,398,326,215,2832,1152,245,13539,3334,1262,2717,353,347,263,2706,1198,208,12395,1930,460,639,83,107,126,669,426,83,4529,616,55,50,13,22,22,44,89,53,963,95,0,0,0,0,0,0,9,14,126,13521,5978,15884,1808,1289,1442,11170,7025,1031,59138,30,27,120,548,121,651,60,457,49,2047,113,347,261,562,343,298,197,407,73,2598,639,1525,478,796,1006,298,424,760,89,6023,1286,1802,552,915,1509,375,339,609,110,7488,1768,1850,543,1240,1986,608,490,814,141,9433,1733,1581,427,1100,1927,567,362,812,111,8623,876,424,96,232,524,135,55,264,56,2662,218,20,15,12,60,7,9,46,25,410,23,0,0,0,0,0,0,0,0,20,6674,7581,2489,5400,7482,2932,1930,4158,648,39300
SOSR579,0,0,0,0,0,0,0,3,0,3,0,6,15,9,0,0,0,20,0,54,5,42,103,8,0,0,18,64,0,237,18,80,204,10,11,0,52,105,9,494,27,92,175,10,18,0,60,66,10,451,21,53,90,6,5,0,32,29,8,234,5,8,10,0,0,0,4,7,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,76,290,596,37,33,6,168,289,18,1517,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,10,0,23,3,15,8,12,3,0,0,18,0,54,0,8,8,3,0,0,0,9,0,28,3,9,6,0,3,0,0,10,0,32,11,8,0,5,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,40,28,25,9,0,4,49,5,186
