SOSR_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOSR501,660,1246,5493,10972,2321,18691,2483,12507,806,55182,3668,12787,14640,19683,9680,14703,5670,11084,1588,93507,20257,63948,37366,27673,25653,13614,14434,17162,4089,224191,33359,67389,33864,23814,28793,10735,14542,14794,3800,231089,32719,50927,27436,21414,28964,10973,13617,14350,3155,203550,21458,33157,19385,15203,23781,9075,11940,12194,2101,148292,5668,10126,4642,3434,6643,2955,3238,3790,702,41198,771,1243,350,227,653,339,241,513,248,4597,46,69,16,8,45,28,9,31,88,334,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
SOSR511,20,26,303,402,98,849,98,607,40,2430,98,228,636,465,259,330,246,491,42,2794,452,1221,1527,735,684,512,588,860,111,6684,757,1508,1426,860,853,446,735,820,132,7536,825,1377,1258,927,1005,490,757,754,119,7509,583,1023,888,648,800,387,694,613,62,5696,161,296,187,138,203,87,187,151,28,1441,31,21,10,6,12,12,20,19,3,124,3,0,0,0,0,3,0,0,0,13,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
SOSR512,42,50,650,714,136,1312,143,885,62,4000,154,461,1169,707,377,555,369,718,56,4566,752,2093,2476,1267,1060,718,1029,1162,148,10704,1360,2251,2082,1417,1292,713,1052,1104,165,11434,1520,2226,1850,1533,1486,800,1315,1118,183,12041,1244,1623,1364,1203,1329,717,1217,1079,144,9923,431,435,329,261,388,198,346,325,62,2767,72,55,28,18,36,29,20,37,25,309,14,3,0,0,0,0,0,4,10,32,5578,9198,9942,7122,6098,5045,5488,6429,854,55766
SOSR513,24,20,295,263,115,548,86,403,51,1807,100,266,624,357,272,239,203,353,55,2464,776,1805,2052,911,961,450,773,890,177,8803,1192,1732,2007,972,1129,385,850,757,233,9252,1115,1225,1427,759,932,379,892,623,178,7540,815,905,871,482,693,330,753,519,100,5469,278,253,175,100,188,72,160,143,37,1408,51,20,5,9,11,15,14,16,14,154,4,0,0,0,0,0,0,0,0,6,4351,6230,7457,3856,4309,2423,3721,3699,853,36899
SOSR514,9,8,122,157,22,238,20,203,18,790,28,35,197,124,51,104,45,175,15,781,218,349,545,315,179,145,147,352,31,2279,378,577,556,372,276,188,199,348,54,2944,380,481,478,326,319,208,231,324,37,2782,271,316,312,217,235,180,233,265,38,2061,93,125,68,54,84,61,74,69,9,645,12,12,9,4,4,6,8,14,0,70,0,0,0,0,0,0,0,0,0,5,1401,1906,2284,1573,1162,1132,956,1749,205,12359
SOSR515,28,29,363,416,94,627,100,558,60,2267,99,341,785,447,286,278,260,530,57,3091,694,1557,2064,1067,864,456,850,1215,172,8939,1039,1517,1792,988,994,440,1071,1026,178,9051,1197,1375,1540,976,1029,525,1269,1033,193,9145,1000,1109,1198,911,927,495,1138,999,160,7942,444,369,282,213,269,161,318,295,54,2396,108,27,23,17,33,29,18,60,28,329,0,0,0,0,0,3,0,3,8,23,4612,6328,8044,5033,4496,3011,5022,5720,912,43179
SOSR521,5,12,136,107,26,154,43,224,28,739,40,105,233,119,92,103,122,206,17,1039,254,483,638,377,295,129,363,427,57,3021,389,497,623,384,328,138,394,321,67,3145,478,501,563,394,357,170,486,439,75,3476,495,472,499,359,404,203,570,439,61,3498,209,133,113,81,88,65,175,144,37,1049,55,14,9,7,12,3,18,20,15,148,7,0,0,0,0,0,0,0,6,16,1935,2220,2813,1834,1603,982,2170,2227,365,16141
SOSR522,7,11,69,70,18,63,10,85,8,340,40,66,127,121,57,50,61,128,18,652,153,309,332,233,152,66,181,251,39,1729,276,298,295,162,169,81,201,182,35,1710,314,257,274,231,173,93,240,227,45,1842,342,297,247,212,199,90,318,237,40,1985,142,102,76,38,79,28,98,79,26,660,38,19,5,8,13,4,13,16,8,108,4,0,0,0,0,0,0,0,8,7,1319,1352,1436,1059,859,473,1117,1201,226,9040
SOSR531,110,52,751,681,139,967,244,1208,108,4258,366,592,1516,782,412,467,804,1242,131,6316,1937,2809,3872,1126,1172,455,2271,2186,230,16051,3753,3064,4199,1191,1736,548,2606,1742,285,19113,5204,3230,4093,1640,2316,817,3323,1967,382,22971,5066,2845,3144,1451,2276,828,3078,2011,319,21014,2804,878,738,318,632,262,728,687,137,7188,835,81,60,17,82,31,50,133,81,1373,121,4,0,0,0,0,0,9,14,147,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOSR579,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
